branch,bloco,spearman,ssim
mobilenet_orig,nenhum (referencia),1.0,1.0
mobilenet_orig,classifier,0.15990724286590857,0.34467697389059193
mobilenet_orig,features[18],0.2517383993816191,0.39051331619174273
mobilenet_orig,features[17],0.05260700141048219,0.36579734117044344
mobilenet_orig,features[16],-0.1421415422865749,0.3222513704504124
mobilenet_orig,features[15],-0.06576831435424618,0.30291457056774235
mobilenet_orig,features[14],-0.0023316784738104538,0.28000934057082905
mobilenet_orig,features[13],0.24427639075934943,0.3633181914096983
mobilenet_orig,features[12],0.3006877096797329,0.3527597237232406
mobilenet_orig,features[11],0.15532921424556942,0.34618409632930636
mobilenet_orig,features[10],0.046579381459729535,0.3307913506625789
mobilenet_orig,features[9],-0.09088286622731874,0.308840230495588
mobilenet_orig,features[8],0.07191227916391078,0.3538243644651467
mobilenet_orig,features[7],0.13920742057072732,0.34934944601049844
mobilenet_orig,features[6],0.0072341002000175314,0.32039380996092276
mobilenet_orig,features[5],0.1285451314457841,0.37687068237069404
mobilenet_orig,features[4],0.21288211607958596,0.3715436611391799
mobilenet_orig,features[3],0.35060963583642235,0.377835962707305
mobilenet_orig,features[2],0.14068204120270858,0.3725018834731035
mobilenet_orig,features[1],0.23270623216816455,0.4019577522485229
mobilenet_orig,features[0],0.023043508299249706,0.25053089210667856
mobilenet_recplot,nenhum (referencia),1.0,1.0
mobilenet_recplot,classifier,0.32223382129110917,0.41857180552782747
mobilenet_recplot,features[18],-0.06022201149104703,0.32832763733348
mobilenet_recplot,features[17],0.3528771446102846,0.38670278319470025
mobilenet_recplot,features[16],-0.1520563555371387,0.2983285029831501
mobilenet_recplot,features[15],0.1049000310784212,0.33248860849494327
mobilenet_recplot,features[14],0.09831618707615807,0.3781919818621404
mobilenet_recplot,features[13],0.036298002215333615,0.34399945304075613
mobilenet_recplot,features[12],0.28031779677900054,0.43233406154104387
mobilenet_recplot,features[11],0.21624365482233504,0.34172355372483054
mobilenet_recplot,features[10],-0.14409635270676371,0.2447786418379454
mobilenet_recplot,features[9],0.05696597190430367,0.2886002832075199
mobilenet_recplot,features[8],0.09287351595499783,0.33561775163935237
mobilenet_recplot,features[7],0.16848123835835446,0.3108121705888098
mobilenet_recplot,features[6],0.04231131199653265,0.3061441755065772
mobilenet_recplot,features[5],0.10689546768859781,0.34619402535333244
mobilenet_recplot,features[4],0.009649559000852344,0.2647754338022116
mobilenet_recplot,features[3],0.15648656500309788,0.35334057678865777
mobilenet_recplot,features[2],0.2096079709082053,0.34038270620080485
mobilenet_recplot,features[1],0.1680784924061069,0.20782858144216487
mobilenet_recplot,features[0],0.0,0.034271315643738844
effnet_orig,nenhum (referencia),1.0,1.0
effnet_orig,classifier,0.3001075791503638,0.5257761531560765
effnet_orig,features[8],0.0013547004119883017,0.35511136231878915
effnet_orig,features[7],0.14248898309812016,0.3609254073166612
effnet_orig,features[6],0.1879989481149742,0.49237730049047634
effnet_orig,features[5],-0.02979147956513434,0.4296534063443884
effnet_orig,features[4],-0.12478994011660484,0.3969469986727715
effnet_orig,features[3],0.17666497142424545,0.05980542599660307
effnet_orig,features[2],0.0,0.004785999358891846
effnet_orig,features[1],0.0,0.004785999358891846
effnet_orig,features[0],0.0,0.004785999358891846
effnet_recplot,nenhum (referencia),1.0,1.0
effnet_recplot,classifier,0.033717696371793546,0.3174165951411709
effnet_recplot,features[8],0.1879989481149742,0.38398528012070077
effnet_recplot,features[7],-0.16662974443975168,0.3776427599834458
effnet_recplot,features[6],-0.052879535258070424,0.27569499564051975
effnet_recplot,features[5],0.0952481890843022,0.43052847600850463
effnet_recplot,features[4],0.09022154947944871,0.3931622134175854
effnet_recplot,features[3],0.01192699092425945,0.14533083157109367
effnet_recplot,features[2],0.0,0.003018322785344479
effnet_recplot,features[1],0.0,0.003018322785344479
effnet_recplot,features[0],0.0,0.003018322785344479
