branch,metrica,media,std
effnet_orig,complexity,0.5958140051994735,0.040368822789184196
effnet_orig,faithfulness,0.005166905441159463,0.1849131631112476
effnet_orig,robustness,254.19911490996247,750.7555232954564
effnet_recplot,complexity,0.622149074555012,0.03495161615313648
effnet_recplot,faithfulness,0.002392814256777258,0.18305874004599906
effnet_recplot,robustness,143.80246405886567,382.4251090107304
mobilenet_orig,complexity,0.6319185544554318,0.016714843538267334
mobilenet_orig,faithfulness,-0.010166492442215753,0.17996001457748054
mobilenet_orig,robustness,2.1516396630069483,1.1082084359596949
mobilenet_recplot,complexity,0.6325478724984676,0.021186369282366356
mobilenet_recplot,faithfulness,-0.038146154142653,0.1832435530349189
mobilenet_recplot,robustness,1.8082970827817917,0.8272189403973801
