fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[0.6889048781193478, 0.6706874320204829, 0.6609745604891173, 0.6431642334226152, 0.6361140852243128, 0.6199741615376002, 0.5881097190816638, 0.5812972146020808, 0.5694067066823932, 0.5478922036332143, 0.5499025944253089, 0.5452091954123806, 0.5217480659484863, 0.527037264175818, 0.4935929514992405, 0.5042656815387834, 0.48459954916591375, 0.47540925002433887, 0.47291226999860414, 0.4632094082698016, 0.4479248284454077, 0.4389191018023961, 0.42689948014810053, 0.4151019819185767, 0.43923478479116734, 0.4009974716414868, 0.4007116060861399, 0.390414512493241, 0.3890723774970417, 0.3834380402531422]","[0.5211267605633803, 0.5704225352112676, 0.6549295774647887, 0.6901408450704225, 0.6901408450704225, 0.7605633802816901, 0.7605633802816901, 0.8169014084507042, 0.8028169014084507, 0.8591549295774648, 0.852112676056338, 0.8732394366197183, 0.8943661971830986, 0.8380281690140845, 0.8873239436619719, 0.8380281690140845, 0.9154929577464789, 0.9154929577464789, 0.8943661971830986, 0.9366197183098591, 0.9436619718309859, 0.971830985915493, 0.9507042253521126, 0.9647887323943662, 0.9366197183098591, 0.9225352112676056, 0.9507042253521126, 0.9647887323943662, 0.9577464788732394, 0.9366197183098591]","[0.6863358630690464, 0.6713072089261787, 0.6710331814233647, 0.6821119993232018, 0.6779561112093371, 0.665815670822942, 0.6569493246632953, 0.6396426156509755, 0.6289407278216163, 0.6185901733331902, 0.6076647417489872, 0.5965733694475751, 0.5829974828764449, 0.5724145922549936, 0.5624373610629592, 0.549179190813109, 0.5362863263418508, 0.5258383570715438, 0.5176267318947371, 0.5094060135442157, 0.4958117257717044, 0.48728403241135354, 0.48134726563165353, 0.47358996923579727, 0.4696771717348764, 0.4614180271015611, 0.45061969826387804, 0.44070018516030424, 0.43358259492142254, 0.4277083742064099]","[0.627906976744186, 0.6744186046511628, 0.6046511627906976, 0.5813953488372093, 0.5813953488372093, 0.627906976744186, 0.627906976744186, 0.6744186046511628, 0.7209302325581395, 0.7674418604651163, 0.7906976744186046, 0.813953488372093, 0.8604651162790697, 0.8372093023255814, 0.8604651162790697, 0.8604651162790697, 0.8604651162790697, 0.8604651162790697, 0.9069767441860465, 0.9069767441860465, 0.9302325581395349, 0.9302325581395349, 0.9302325581395349, 0.9302325581395349, 0.9302325581395349, 0.9302325581395349, 0.9302325581395349, 0.9302325581395349, 0.9302325581395349, 0.9302325581395349]"
2,"[0.7008254818014197, 0.6764787242219255, 0.6794029216508608, 0.6414363593668551, 0.6176129064044437, 0.6073978253313013, 0.5986687814867174, 0.5654704071379997, 0.5706859069901544, 0.5539531868857306, 0.5381302543588586, 0.5287772674818296, 0.5223377991367031, 0.5131751604982324, 0.49401062565880854, 0.5041702502482647, 0.45903253716391484, 0.4548915914587072, 0.4807604277456129, 0.4426818030911523, 0.4416784225283442, 0.4461016155577995, 0.42680330534239075, 0.4166332998791257, 0.42151478980038615, 0.4003241432679666, 0.38820970541722066, 0.38226032982001434, 0.3780521645739272, 0.37340404858460297]","[0.5405405405405406, 0.5878378378378378, 0.5608108108108109, 0.7297297297297297, 0.7432432432432432, 0.7635135135135135, 0.7837837837837838, 0.8243243243243243, 0.8445945945945946, 0.8513513513513513, 0.8918918918918919, 0.8378378378378378, 0.8581081081081081, 0.8918918918918919, 0.9121621621621622, 0.8716216216216216, 0.9527027027027027, 0.9391891891891891, 0.8986486486486487, 0.9256756756756757, 0.9391891891891891, 0.8918918918918919, 0.918918918918919, 0.9391891891891891, 0.9324324324324325, 0.9256756756756757, 0.9527027027027027, 0.9527027027027027, 0.9864864864864865, 0.9527027027027027]","[0.661752472052703, 0.7044062517784737, 0.6898805031905303, 0.671973565140286, 0.6570175451201361, 0.6470828217429083, 0.6375240425805788, 0.6284328521908941, 0.6195635505624719, 0.6113278060346037, 0.5917906664513253, 0.5821122285482045, 0.5746153270876085, 0.5644776805027111, 0.5507148697569564, 0.5446931655342514, 0.5325841662046071, 0.5243235568742495, 0.524300352947132, 0.5130502694361919, 0.5045652598948092, 0.49665851528580124, 0.48369362225403656, 0.4766707935848752, 0.47345910684482473, 0.466190209259858, 0.46384623566189326, 0.4563888472479743, 0.44676158557067047, 0.44223316134633245]","[0.6216216216216216, 0.43243243243243246, 0.5135135135135135, 0.5945945945945946, 0.6756756756756757, 0.6486486486486487, 0.5945945945945946, 0.6486486486486487, 0.6486486486486487, 0.6486486486486487, 0.7297297297297297, 0.7297297297297297, 0.7297297297297297, 0.7567567567567568, 0.7837837837837838, 0.7837837837837838, 0.7837837837837838, 0.7837837837837838, 0.7837837837837838, 0.7837837837837838, 0.8108108108108109, 0.8108108108108109, 0.8378378378378378, 0.8378378378378378, 0.8648648648648649, 0.8648648648648649, 0.8378378378378378, 0.8378378378378378, 0.8648648648648649, 0.8918918918918919]"
3,"[0.6904223200621878, 0.6757991063367029, 0.672734921145591, 0.6191363581426584, 0.6273909940081797, 0.6060607759815873, 0.5894312444765857, 0.5799695393841737, 0.5661902803524285, 0.547076427632836, 0.5218013999568429, 0.5179584440152356, 0.5021420639411659, 0.4884365121270441, 0.5143574445870271, 0.48275708430891584, 0.45864503854399274, 0.44902795287454206, 0.44820758282758627, 0.4353308415716621, 0.43067575639979855, 0.41387608476505156, 0.4014707044431358, 0.41168148901052537, 0.39595395136790673, 0.4270049937211784, 0.39087630096514514, 0.3727327725689882, 0.3685919636753714, 0.3456364906137916]","[0.5286624203821656, 0.5796178343949044, 0.5605095541401274, 0.7707006369426752, 0.7261146496815286, 0.802547770700637, 0.8280254777070064, 0.8598726114649682, 0.8280254777070064, 0.8980891719745223, 0.8980891719745223, 0.9171974522292994, 0.9235668789808917, 0.9044585987261147, 0.8853503184713376, 0.9171974522292994, 0.9363057324840764, 0.9235668789808917, 0.9490445859872612, 0.9490445859872612, 0.9363057324840764, 0.9554140127388535, 0.9554140127388535, 0.9235668789808917, 0.9554140127388535, 0.9044585987261147, 0.9363057324840764, 0.9490445859872612, 0.9554140127388535, 0.9808917197452229]","[0.6182882189750671, 0.6513705253601074, 0.6515275239944458, 0.6422699689865112, 0.6336733102798462, 0.6317312121391296, 0.6277413368225098, 0.6173471212387085, 0.6081420183181763, 0.5969980955123901, 0.5899085402488708, 0.5840062499046326, 0.5772183537483215, 0.5677518248558044, 0.5606467723846436, 0.5545450448989868, 0.5467025637626648, 0.540019690990448, 0.5340820550918579, 0.5297709107398987, 0.5225268006324768, 0.5180197358131409, 0.5129827260971069, 0.5089377164840698, 0.5064647197723389, 0.503142237663269, 0.49764105677604675, 0.4902750551700592, 0.4856821894645691, 0.4810606837272644]","[0.75, 0.7142857142857143, 0.6785714285714286, 0.75, 0.75, 0.75, 0.7142857142857143, 0.6785714285714286, 0.7142857142857143, 0.75, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.75, 0.75, 0.75, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857, 0.75, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857]"
4,"[0.7011812750985023, 0.6923865294780861, 0.6674286390648407, 0.653618805667981, 0.6435175254231408, 0.6262078289272023, 0.6050728741957216, 0.5818304366805926, 0.5632950696004492, 0.5507858626696528, 0.5436774853135453, 0.5334446916774828, 0.514822971253168, 0.5112787813556438, 0.5089162348889981, 0.4812583809807187, 0.4786558528335727, 0.47874571352588885, 0.4474162463428212, 0.44901907565642374, 0.42892865299367583, 0.4462797189650892, 0.41087927968323634, 0.4067771897024038, 0.4018588364124298, 0.3969427470852729, 0.39330219634536173, 0.38717295158477055, 0.37573848999276455, 0.3661900602635883]","[0.5510204081632653, 0.5170068027210885, 0.6666666666666666, 0.6598639455782312, 0.6530612244897959, 0.7074829931972789, 0.7482993197278912, 0.8095238095238095, 0.8707482993197279, 0.8775510204081632, 0.891156462585034, 0.8843537414965986, 0.9183673469387755, 0.9047619047619048, 0.891156462585034, 0.9387755102040817, 0.9319727891156463, 0.891156462585034, 0.9523809523809523, 0.9319727891156463, 0.9591836734693877, 0.9115646258503401, 0.9795918367346939, 0.9523809523809523, 0.9659863945578231, 0.9659863945578231, 0.9455782312925171, 0.9591836734693877, 0.9523809523809523, 0.9863945578231292]","[0.7362195065146998, 0.6991043843721089, 0.6929828995152524, 0.6785742483640972, 0.6644507081885087, 0.6425229656068903, 0.6226370428737841, 0.6091269474280508, 0.5940295740177757, 0.583967525708048, 0.5726542943402341, 0.5600621355207342, 0.5478713637904117, 0.5384990196478995, 0.529028594493866, 0.521953030636436, 0.5118110430868048, 0.5022956289743122, 0.49617444841485275, 0.4874322069318671, 0.48323143469659907, 0.47285233045879166, 0.464919670632011, 0.46019119651694046, 0.45572357114992645, 0.44812157279566717, 0.44381522504906906, 0.436971200139899, 0.4299619291958056, 0.4255788389005159]","[0.3684210526315789, 0.5526315789473685, 0.5263157894736842, 0.6578947368421053, 0.631578947368421, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.8421052631578947, 0.868421052631579, 0.8947368421052632, 0.9210526315789473, 0.9210526315789473, 0.9210526315789473, 0.9210526315789473, 0.9210526315789473, 0.9210526315789473, 0.9210526315789473, 0.9210526315789473, 0.9210526315789473, 0.9210526315789473, 0.9210526315789473, 0.9210526315789473, 0.9210526315789473, 0.9210526315789473, 0.9210526315789473, 0.9210526315789473]"
5,"[0.7183378681744614, 0.6912166459919655, 0.6621616564384879, 0.6512025880486998, 0.6356428216581476, 0.6229769873292479, 0.6133618738553296, 0.5860993943802298, 0.5830111928182106, 0.5562343238151237, 0.549137829917751, 0.5362260529439743, 0.5113834604008557, 0.5119489953942495, 0.5057617450413638, 0.4913927586111304, 0.4733300262118039, 0.4743811259530995, 0.46023878495987147, 0.4617145935150042, 0.4545459751396963, 0.4256288858309184, 0.42237647224778996, 0.4097194242967318, 0.41008449131495334, 0.40497286434042945, 0.39009508245611846, 0.3990274373799154, 0.37927428745243646, 0.3791414299239851]","[0.4589041095890411, 0.4726027397260274, 0.6232876712328768, 0.6712328767123288, 0.6643835616438356, 0.7534246575342466, 0.7534246575342466, 0.8356164383561644, 0.8493150684931506, 0.8561643835616438, 0.8561643835616438, 0.8767123287671232, 0.8972602739726028, 0.9041095890410958, 0.910958904109589, 0.910958904109589, 0.9383561643835616, 0.9383561643835616, 0.952054794520548, 0.9246575342465754, 0.910958904109589, 0.9383561643835616, 0.9452054794520548, 0.952054794520548, 0.9383561643835616, 0.958904109589041, 0.9657534246575342, 0.9383561643835616, 0.9726027397260274, 0.9383561643835616]","[0.7071749033072056, 0.6612902421217698, 0.6393647560706506, 0.6341129251015492, 0.6356719120954856, 0.6307996603158804, 0.6211079252071869, 0.6104342647087879, 0.6019018857907026, 0.589778660199581, 0.575691296504094, 0.5655384568067697, 0.558483784015362, 0.5449239214261373, 0.5353153302119329, 0.5211975024296687, 0.5090845059125851, 0.5006347023523771, 0.49078359206517536, 0.481136591006548, 0.47154332124269926, 0.46344611736444324, 0.4600444374940334, 0.4481823795881027, 0.4440712791222792, 0.43741219777327317, 0.4308925698965024, 0.4224192683513348, 0.4185849305910942, 0.4123738759603256]","[0.5128205128205128, 0.5897435897435898, 0.7435897435897436, 0.7692307692307693, 0.7435897435897436, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.8205128205128205, 0.8461538461538461, 0.8461538461538461, 0.8717948717948718, 0.8717948717948718, 0.8974358974358975, 0.8974358974358975, 0.8974358974358975, 0.8974358974358975, 0.8974358974358975, 0.8974358974358975, 0.8974358974358975, 0.8974358974358975, 0.8974358974358975, 0.8974358974358975, 0.8974358974358975, 0.8974358974358975, 0.8974358974358975, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231]"
