fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[0.6722327046198388, 0.618813350592574, 0.5546814088952051, 0.5201794162188491, 0.4744735098864934, 0.42949407394618205, 0.40009999438507915, 0.33885937357602053, 0.29704754932285987, 0.26166056321091846, 0.2331205320684877, 0.19636554526139613, 0.16525222095724654, 0.15205181604378845, 0.1422015998053224, 0.10822433600687001, 0.08941078165622607, 0.07551095206035327, 0.06984778912100073, 0.06365892811589045, 0.051908871745818284, 0.0382358302706725, 0.04164544533785075, 0.027600811360633536, 0.039724707807580084, 0.026416156772677214, 0.022358987327307872, 0.023577496256322078, 0.02274190665107884, 0.014532514426806201, 0.03158230212045043, 0.015432516291533431, 0.014863355212832151, 0.011574773959917566, 0.014392452084854858, 0.00801617038525539, 0.024392864577574273, 0.011526048655481371, 0.01990148129120265, 0.006686987967727935, 0.0063252209698500695, 0.007026068458001907, 0.009562148521207783, 0.006091811987635208, 0.0073607164014079796, 0.005269746710737683, 0.006507051241112082, 0.007355993383959548, 0.004449572720348019, 0.005306166934793534]","[0.6027397260273972, 0.7191780821917808, 0.863013698630137, 0.8561643835616438, 0.9041095890410958, 0.9041095890410958, 0.9383561643835616, 0.958904109589041, 0.9726027397260274, 0.9657534246575342, 0.9863013698630136, 0.9794520547945206, 0.9931506849315068, 0.9931506849315068, 0.9931506849315068, 1.0, 0.9931506849315068, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931506849315068, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6832272873984443, 0.6809982789887322, 0.6949808067745633, 0.6987880865732828, 0.6968609922462039, 0.6989515754911635, 0.6924871140056186, 0.6894296871291267, 0.6932840148607889, 0.7004827525880601, 0.6875279943148295, 0.6816022594769796, 0.6602321200900607, 0.6389021608564589, 0.6044980155097114, 0.5999560985300276, 0.5773734980159335, 0.5429599516921573, 0.5430147300163904, 0.5581283768018087, 0.5394975890715917, 0.5273814664946662, 0.5480339278777441, 0.5706501122977998, 0.5892208947075738, 0.5662723763121499, 0.5686890151765611, 0.5704004797670577, 0.5971717950370576, 0.6064673968487315, 0.626666881971889, 0.6299007874396112, 0.6265454275740517, 0.6512914175788561, 0.6784952556093534, 0.6867886144253943, 0.6928678386741214, 0.6721670859389834, 0.6501391347911623, 0.6211728039715025, 0.6091668837600284, 0.6188736889097426, 0.6333104934957292, 0.6483304351568222, 0.6644261793957816, 0.6638260359565417, 0.6635186084442668, 0.6620078194472525, 0.6693525695138507, 0.67824736982584]","[0.5, 0.6388888888888888, 0.4722222222222222, 0.4722222222222222, 0.4722222222222222, 0.4722222222222222, 0.5, 0.5277777777777778, 0.5277777777777778, 0.5, 0.5277777777777778, 0.5833333333333334, 0.6111111111111112, 0.6944444444444444, 0.6666666666666666, 0.7222222222222222, 0.7222222222222222, 0.6944444444444444, 0.7222222222222222, 0.6944444444444444, 0.7222222222222222, 0.7222222222222222, 0.7222222222222222, 0.6666666666666666, 0.6944444444444444, 0.6666666666666666, 0.6944444444444444, 0.6666666666666666, 0.6666666666666666, 0.7222222222222222, 0.6944444444444444, 0.6666666666666666, 0.6666666666666666, 0.7222222222222222, 0.6944444444444444, 0.6944444444444444, 0.6944444444444444, 0.7222222222222222, 0.7222222222222222, 0.75, 0.6944444444444444, 0.7222222222222222, 0.6944444444444444, 0.6944444444444444, 0.6944444444444444, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]"
2,"[0.6979314056161332, 0.6177606035585272, 0.5696839845343812, 0.5172866027649135, 0.46844609796184383, 0.422380900546296, 0.3865632798573742, 0.3764672230367791, 0.2968116925187307, 0.25984502104047225, 0.25499754572567873, 0.20484884062858477, 0.19612613810251836, 0.15647244657555673, 0.12634526948406272, 0.09938768532178173, 0.08500649055389509, 0.0731396638367274, 0.06841181177799016, 0.05701798955871634, 0.05506645826852485, 0.0410736521629438, 0.03819584412729903, 0.032052278314551264, 0.02528517233998808, 0.02822018060067745, 0.03761474487103828, 0.016296205417036195, 0.023622238064465458, 0.019474696674167295, 0.013499674425549703, 0.012949678740681035, 0.014070567407020151, 0.010532527779267258, 0.009117669055927289, 0.009003680505572932, 0.012513526944979413, 0.01962969149781825, 0.006659453824060421, 0.010931365389683067, 0.009229447041982657, 0.008936269432051133, 0.006905899191760037, 0.003884739963312263, 0.004253250789152433, 0.009091218065929739, 0.007511775379311548, 0.004779208323931041, 0.0074061051725524745, 0.005518616764002467]","[0.541095890410959, 0.7397260273972602, 0.7671232876712328, 0.8561643835616438, 0.8835616438356164, 0.910958904109589, 0.9315068493150684, 0.9041095890410958, 0.958904109589041, 0.9794520547945206, 0.9726027397260274, 1.0, 0.9657534246575342, 0.9931506849315068, 0.9931506849315068, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7194710506333245, 0.6820146838823954, 0.6686933835347494, 0.6853342056274414, 0.6943700777159797, 0.6881498495737711, 0.673618753751119, 0.6595184935463799, 0.6532363891601562, 0.6664162079493204, 0.6639617085456848, 0.6595588525136312, 0.6651117867893643, 0.6813820567395952, 0.6371457311842177, 0.5901373691029019, 0.55148536629147, 0.5442688796255324, 0.5527276628547244, 0.5611653460396661, 0.5684984723726908, 0.5562663806809319, 0.5635559360186259, 0.6123434967464871, 0.6506802373462253, 0.6680130561192831, 0.6643180317348905, 0.6713536315494113, 0.6937318179342482, 0.6631003287103441, 0.6620798640780978, 0.6553866929478116, 0.6495083570480347, 0.6561152935028076, 0.6699499487876892, 0.6789457731776767, 0.6878300441635979, 0.7064570453431871, 0.708584898047977, 0.722032282087538, 0.7181360456678603, 0.7152938312954373, 0.7318802939520942, 0.7333676815032959, 0.7351010243097941, 0.7375655571619669, 0.7594007584783766, 0.7519883447223239, 0.7410280903180441, 0.7527331776089139]","[0.3333333333333333, 0.5, 0.5833333333333334, 0.5833333333333334, 0.4722222222222222, 0.5, 0.5277777777777778, 0.6388888888888888, 0.6388888888888888, 0.6111111111111112, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6388888888888888, 0.6388888888888888, 0.7222222222222222, 0.6944444444444444, 0.6944444444444444, 0.6388888888888888, 0.6111111111111112, 0.6388888888888888, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888, 0.6111111111111112, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888, 0.6111111111111112, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888, 0.6388888888888888]"
3,"[0.7121228853317156, 0.6217895868706377, 0.5949609736873679, 0.5387532882494469, 0.4793455706883783, 0.44361660047753215, 0.4010988710677787, 0.38325220428101003, 0.32820222026681245, 0.30663450041862383, 0.24275004904564113, 0.22130115881358106, 0.2011346980316998, 0.15785739152398828, 0.14718774001892299, 0.12578356082308784, 0.11798371068418842, 0.09894489303027114, 0.07228265927262502, 0.05449471658427421, 0.059013408136694395, 0.05338617148872924, 0.032390645309670334, 0.036609023197056494, 0.035051514228729354, 0.03365745410731394, 0.03489032530621307, 0.02929669394068522, 0.026700365318827433, 0.025253606067128377, 0.01720602353652046, 0.012145864968634632, 0.023794840051703257, 0.019025677177187516, 0.012775269081841593, 0.029061008091658763, 0.006960668129055467, 0.012759828914518226, 0.020982070532563613, 0.00675350718506395, 0.00905708560388382, 0.009264965898880404, 0.017094204380904157, 0.005649991218664058, 0.0046010283077110165, 0.0043709066517855204, 0.004257769457842797, 0.008028153215267071, 0.00677291585183511, 0.0048094097882100985]","[0.5068493150684932, 0.7328767123287672, 0.7602739726027398, 0.8493150684931506, 0.8835616438356164, 0.9041095890410958, 0.9383561643835616, 0.9178082191780822, 0.9383561643835616, 0.958904109589041, 0.9657534246575342, 0.9794520547945206, 1.0, 0.9931506849315068, 0.9863013698630136, 1.0, 0.9863013698630136, 0.9931506849315068, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7240970465872023, 0.7041215764151679, 0.7062552703751458, 0.7048299180136787, 0.7039762536684672, 0.7013845178816054, 0.7100973195499845, 0.7089915540483263, 0.7140668100780911, 0.712716731760237, 0.6931507322523329, 0.6561461819542779, 0.6212824119461907, 0.5960561301973131, 0.5835709571838379, 0.5326354801654816, 0.45241544975174797, 0.41251783900790745, 0.3949463102552626, 0.3599482791291343, 0.3478869977924559, 0.33560319079293144, 0.3342149191432529, 0.3285428434610367, 0.32693496346473694, 0.3229493614700105, 0.32145441075166065, 0.3288036154376136, 0.32399364643626744, 0.3229878412352668, 0.330262776878145, 0.33741186724768746, 0.33438393308056724, 0.34719112515449524, 0.3612504021988975, 0.3670380198293262, 0.35940970480442047, 0.3581770857175191, 0.36352965732415515, 0.3508790565861596, 0.35190316041310626, 0.3509851098060608, 0.3418598622083664, 0.3443574806054433, 0.34418103098869324, 0.33996446596251595, 0.34711263080437976, 0.34931444625059765, 0.34407903419600594, 0.33922802408536273]","[0.4166666666666667, 0.3888888888888889, 0.4444444444444444, 0.4722222222222222, 0.5, 0.5, 0.5, 0.5, 0.4722222222222222, 0.4722222222222222, 0.4722222222222222, 0.5277777777777778, 0.6944444444444444, 0.7222222222222222, 0.7222222222222222, 0.6666666666666666, 0.8333333333333334, 0.8611111111111112, 0.8611111111111112, 0.8888888888888888, 0.8611111111111112, 0.8888888888888888, 0.8333333333333334, 0.8611111111111112, 0.8611111111111112, 0.8611111111111112, 0.8888888888888888, 0.8888888888888888, 0.8611111111111112, 0.8611111111111112, 0.8611111111111112, 0.8611111111111112, 0.8888888888888888, 0.8611111111111112, 0.8611111111111112, 0.8611111111111112, 0.8611111111111112, 0.8611111111111112, 0.8333333333333334, 0.8055555555555556, 0.8055555555555556, 0.8333333333333334, 0.8333333333333334, 0.8611111111111112, 0.8611111111111112, 0.8611111111111112, 0.8611111111111112, 0.8611111111111112, 0.8611111111111112, 0.8611111111111112]"
4,"[0.7151766308422747, 0.6532458346465538, 0.5892337852510913, 0.5220321499068161, 0.46731104850769045, 0.43039376304067417, 0.3915034908672859, 0.3464956957718422, 0.31092026973592823, 0.2505942985929292, 0.21224950408113413, 0.19217322458480968, 0.16689884991481385, 0.14223923364589955, 0.13028187720940032, 0.10098533075431297, 0.07439294745182169, 0.07122599364354693, 0.060223041526202496, 0.053851049907248594, 0.04626778102126615, 0.03775601166075673, 0.031520049993334145, 0.03405410503518992, 0.02148633147108144, 0.027050961913733646, 0.026125655657258526, 0.01708072400812445, 0.01755477174602706, 0.014050053233473466, 0.015215716048561293, 0.014611439246298938, 0.008449129374890492, 0.013716531866069498, 0.013557931344056952, 0.014831527682213947, 0.010380760156388941, 0.008537566013120371, 0.009921219109975059, 0.006464266475161602, 0.009394378054501681, 0.006915416501077085, 0.0059864768822645315, 0.006845281754845175, 0.005690978011437531, 0.010122055971416934, 0.00593009007901981, 0.007060221544113653, 0.008071560464028654, 0.006980056521193734]","[0.4896551724137931, 0.6551724137931034, 0.7310344827586207, 0.8551724137931035, 0.9172413793103448, 0.9379310344827586, 0.9448275862068966, 0.9793103448275862, 0.9586206896551724, 1.0, 1.0, 1.0, 0.9862068965517241, 0.993103448275862, 0.993103448275862, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6656630780245807, 0.6688106929933703, 0.6736564539574288, 0.6817485351820249, 0.6766572610752003, 0.6780666451196413, 0.6721871446918797, 0.66399180728036, 0.6568970889658541, 0.6502423995249981, 0.6405516250713451, 0.6341730388435157, 0.632413387298584, 0.6247270381128466, 0.6296430890624588, 0.5745724455730336, 0.5258644448744284, 0.505021188710187, 0.4932504473505793, 0.5029478878588289, 0.5166408210187345, 0.5270814219036618, 0.5307715905679239, 0.5403225131936975, 0.5403422858263995, 0.5530559855538446, 0.552615449235246, 0.5565550262863571, 0.5596655736098418, 0.5691054382839719, 0.5702812413911562, 0.5829905464842513, 0.5894440831364812, 0.5946671704988222, 0.5876981084411209, 0.5686643896876155, 0.5463854525540326, 0.5471379048115498, 0.5568946277773058, 0.5789440676972673, 0.5944837911708934, 0.6165527169768875, 0.6253344529383892, 0.6377715581172222, 0.6373343532149857, 0.642821859669041, 0.6297492980957031, 0.6130604872832427, 0.6049983308121964, 0.5997506670049719]","[0.5675675675675675, 0.6486486486486487, 0.6756756756756757, 0.6216216216216216, 0.6216216216216216, 0.6216216216216216, 0.5945945945945946, 0.5405405405405406, 0.5135135135135135, 0.5675675675675675, 0.5945945945945946, 0.6756756756756757, 0.6756756756756757, 0.6486486486486487, 0.6486486486486487, 0.7567567567567568, 0.7297297297297297, 0.7027027027027027, 0.7297297297297297, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.7567567567567568, 0.7837837837837838, 0.7567567567567568, 0.7297297297297297, 0.7837837837837838, 0.8108108108108109, 0.8108108108108109, 0.8108108108108109, 0.8108108108108109, 0.8108108108108109, 0.7837837837837838, 0.7837837837837838, 0.7567567567567568, 0.7837837837837838, 0.8108108108108109, 0.8108108108108109, 0.8108108108108109, 0.8108108108108109, 0.8108108108108109, 0.7837837837837838, 0.7837837837837838, 0.7837837837837838, 0.7837837837837838, 0.7837837837837838, 0.7837837837837838, 0.7837837837837838, 0.7837837837837838, 0.8108108108108109]"
5,"[0.6912974176735713, 0.6173951214757459, 0.5477050065994262, 0.5008629539917255, 0.4571621237130001, 0.4321440725490965, 0.3739617890325086, 0.33176528153748347, 0.30172272735628586, 0.2525853013170177, 0.23158075254538962, 0.20441634809148723, 0.1808634870011231, 0.14509353041648865, 0.1156864760764714, 0.10383425539937513, 0.08778710807191914, 0.08061501049789889, 0.060458426434418254, 0.052021262820424706, 0.042212331860229886, 0.03956472215981319, 0.03956858741826025, 0.02563787750129042, 0.032293799082780704, 0.024345003119830427, 0.02583605287403896, 0.020820813921505008, 0.017629999359106197, 0.013651605734023554, 0.015294217421063062, 0.008611032035972537, 0.011239611331758829, 0.013279580552901687, 0.013151669836249845, 0.007924000867481889, 0.007906126018998951, 0.006239391471548327, 0.007187336374973429, 0.006765852579525833, 0.005597491671556029, 0.006544826989030016, 0.018346174420981572, 0.007483863907641378, 0.004170447170477489, 0.0084517539061349, 0.006757815895152503, 0.003218992850903807, 0.0030687935489775806, 0.010835878493200089]","[0.5517241379310345, 0.7241379310344828, 0.8275862068965517, 0.8758620689655172, 0.8689655172413793, 0.8896551724137931, 0.9103448275862069, 0.9793103448275862, 0.9862068965517241, 0.9793103448275862, 0.9862068965517241, 0.993103448275862, 0.9793103448275862, 0.993103448275862, 1.0, 0.993103448275862, 1.0, 1.0, 0.993103448275862, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6578229198584685, 0.648545228146218, 0.660707992476386, 0.6861326694488525, 0.6937076433284862, 0.6921914107090718, 0.6940148215036135, 0.689736904324712, 0.6734320891870035, 0.6622996732995317, 0.634084711203704, 0.6178641045415724, 0.5966766331646893, 0.5646028840864027, 0.5312525275591258, 0.51122848085455, 0.5035082746196438, 0.5062225026053351, 0.5249000932719257, 0.5440405752207782, 0.5486114186209601, 0.5579770320170635, 0.5697762225125287, 0.5757012222264264, 0.5801522554578008, 0.5922908944052618, 0.6006923076268789, 0.5820135876939103, 0.5764871545740076, 0.5977186190115439, 0.6155756164241482, 0.6185585453703597, 0.615339588474583, 0.6193087358732481, 0.6234821210036406, 0.6168053536801725, 0.6612547539375924, 0.6834910238111341, 0.6920970162829837, 0.6903690325247275, 0.6835671180003399, 0.6936057773796288, 0.7100976834426055, 0.7193770279755464, 0.7334286941064371, 0.7427927513380308, 0.7553397803693205, 0.7428905802804071, 0.7514476357279597, 0.7309216357566215]","[0.5405405405405406, 0.7027027027027027, 0.5945945945945946, 0.5675675675675675, 0.5405405405405406, 0.4864864864864865, 0.4864864864864865, 0.4594594594594595, 0.4864864864864865, 0.5405405405405406, 0.5675675675675675, 0.7297297297297297, 0.7297297297297297, 0.7297297297297297, 0.6756756756756757, 0.7837837837837838, 0.7297297297297297, 0.7297297297297297, 0.7297297297297297, 0.7297297297297297, 0.7027027027027027, 0.7297297297297297, 0.7297297297297297, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.7297297297297297, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.6756756756756757, 0.6756756756756757, 0.6756756756756757, 0.6756756756756757, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027]"
