branch,bloco,spearman,ssim
mobilenet_orig,nenhum (referencia),1.0,1.0
mobilenet_orig,classifier,0.4431496062072925,0.5791565879356277
mobilenet_orig,features[18],0.3797642974148149,0.4523666676813011
mobilenet_orig,features[17],0.33304609124210593,0.45194076126886507
mobilenet_orig,features[16],0.3420599474398004,0.5182745958829883
mobilenet_orig,features[15],0.3163215726605986,0.46036331509714906
mobilenet_orig,features[14],0.364600393489382,0.48073373973903366
mobilenet_orig,features[13],0.35375417641589013,0.45554325676763563
mobilenet_orig,features[12],0.3495891526821202,0.4277146989346305
mobilenet_orig,features[11],0.32624243301869627,0.4745702525153735
mobilenet_orig,features[10],0.35010602886885056,0.42312050348587316
mobilenet_orig,features[9],0.3420817514357362,0.4850935825200318
mobilenet_orig,features[8],0.3335328936540507,0.473113542987779
mobilenet_orig,features[7],0.32813061530214926,0.4231055290170258
mobilenet_orig,features[6],0.30952978116691793,0.45388868319723674
mobilenet_orig,features[5],0.311343700906328,0.3849677975348158
mobilenet_orig,features[4],0.3227117204888741,0.4627502509839607
mobilenet_orig,features[3],0.3195459420409127,0.35866873294625695
mobilenet_orig,features[2],0.2563608793964422,0.38788787310489714
mobilenet_orig,features[1],0.21979505733179364,0.2664721797989833
mobilenet_orig,features[0],0.1661488726113714,0.2762519163276071
mobilenet_recplot,nenhum (referencia),1.0,1.0
mobilenet_recplot,classifier,0.7296195123477991,0.6413744626582222
mobilenet_recplot,features[18],0.6598930939707875,0.4979443771953675
mobilenet_recplot,features[17],0.6497331788629468,0.49925993833691795
mobilenet_recplot,features[16],0.6510988405754577,0.5372914155755093
mobilenet_recplot,features[15],0.6455982030023062,0.4535215313742301
mobilenet_recplot,features[14],0.6325138339815933,0.516335068400422
mobilenet_recplot,features[13],0.6466580406982645,0.5108534789451187
mobilenet_recplot,features[12],0.6317063791348488,0.5156212959481746
mobilenet_recplot,features[11],0.629869562110514,0.38167428892334465
mobilenet_recplot,features[10],0.6376558963526737,0.49752200237794575
mobilenet_recplot,features[9],0.6302580230909625,0.41459662838743716
mobilenet_recplot,features[8],0.6198232246510577,0.4359041560623171
mobilenet_recplot,features[7],0.6117349679091525,0.4412720260745197
mobilenet_recplot,features[6],0.6100968078197343,0.4709926785751074
mobilenet_recplot,features[5],0.6114169529350654,0.43461628927988316
mobilenet_recplot,features[4],0.5948027706428218,0.43349936439546516
mobilenet_recplot,features[3],0.6018817481635269,0.3741210555875634
mobilenet_recplot,features[2],0.5719583959585145,0.2873473918325294
mobilenet_recplot,features[1],0.5601804384654492,0.3462601330508132
mobilenet_recplot,features[0],0.556970171215142,0.24210137767986564
effnet_orig,nenhum (referencia),1.0,1.0
effnet_orig,classifier,0.9644429260713787,0.9876055263623115
effnet_orig,features[8],0.8750512528733034,0.9347551923852538
effnet_orig,features[7],0.5274592027414017,0.5444548836058942
effnet_orig,features[6],0.2601287787788507,0.48907846520275317
effnet_orig,features[5],0.32946792677642794,0.38748746721310906
effnet_orig,features[4],0.2821871545294065,0.4564168341866423
effnet_orig,features[3],0.23273940569855003,0.3223199515787581
effnet_orig,features[2],0.20093577516964037,0.2070304041404191
effnet_orig,features[1],0.0,0.1484316921064007
effnet_orig,features[0],0.0,0.1484316921064007
effnet_recplot,nenhum (referencia),1.0,1.0
effnet_recplot,classifier,0.6914469232935794,0.7814846484059369
effnet_recplot,features[8],0.7325065414491935,0.8012420856866943
effnet_recplot,features[7],0.6953819506945003,0.7224218115016348
effnet_recplot,features[6],0.687451913359625,0.6464589850442445
effnet_recplot,features[5],0.6156952222142248,0.37099642163123026
effnet_recplot,features[4],0.5497621153262117,0.513594134520949
effnet_recplot,features[3],0.4700826984411838,0.2533716733016457
effnet_recplot,features[2],0.5358895488252813,0.1535607423440566
effnet_recplot,features[1],0.4506324846480116,0.15423482740575137
effnet_recplot,features[0],0.0,0.333020055202257
