fold,best_epoch,best_val_loss,best_val_accuracy,best_train_loss,best_train_accuracy
1,40,0.6708088803291321,0.74,0.04911515952059717,1.0
2,24,0.6570082974433898,0.74,0.16540677830426379,0.98989898989899
3,34,0.548079879283905,0.8,0.08781649097047671,0.98989898989899
4,23,0.5924863389560154,0.7959183673469388,0.18388683831871455,0.9698492462311558
5,48,0.6720086384792717,0.7346938775510204,0.028908905222188287,1.0
