seed,banda,queda_prob,sample,target_class
87,Manhattan (H),-0.24589690566062927,1,0
93,Minkowski (P),-0.46936750411987305,1,0
93,Minkowski (G),-0.4559999704360962,1,0
93,Minkowski (H),-0.0682716965675354,1,0
93,Euclidiana (P),-0.4543766379356384,1,0
93,Euclidiana (G),-0.21770882606506348,1,0
93,Euclidiana (H),-0.3574215769767761,1,0
93,Manhattan (P),-0.3868798613548279,1,0
93,Manhattan (G),-0.21046173572540283,1,0
93,Manhattan (H),-0.3943858742713928,1,0
107,Minkowski (P),-0.08800011873245239,1,0
107,Minkowski (G),-0.060398995876312256,1,0
107,Minkowski (H),0.038936495780944824,1,0
107,Euclidiana (P),-0.1343492865562439,1,0
107,Euclidiana (G),-0.03835904598236084,1,0
107,Euclidiana (H),-0.07894247770309448,1,0
107,Manhattan (P),-0.08182317018508911,1,0
107,Manhattan (G),-0.044961512088775635,1,0
107,Manhattan (H),-0.04662168025970459,1,0
121,Minkowski (P),-0.02564338408410549,1,0
121,Minkowski (G),-0.020819494500756264,1,0
121,Minkowski (H),-0.011663941666483879,1,0
121,Euclidiana (P),-0.020707981660962105,1,0
121,Euclidiana (G),-0.00572243332862854,1,0
121,Euclidiana (H),-0.004835130646824837,1,0
121,Manhattan (P),-0.00814448855817318,1,0
121,Manhattan (G),-0.002194751054048538,1,0
121,Manhattan (H),-0.025190966203808784,1,0
7,Minkowski (P),0.00019288063049316406,2,0
7,Minkowski (G),0.0019728541374206543,2,0
7,Minkowski (H),0.0031253695487976074,2,0
7,Euclidiana (P),0.01129692792892456,2,0
7,Euclidiana (G),0.004047870635986328,2,0
7,Euclidiana (H),0.0025855302810668945,2,0
7,Manhattan (P),0.006251394748687744,2,0
7,Manhattan (G),-0.00020182132720947266,2,0
7,Manhattan (H),0.0023987293243408203,2,0
12,Minkowski (P),-0.03337353467941284,2,0
12,Minkowski (G),0.0012155771255493164,2,0
12,Minkowski (H),-0.012810170650482178,2,0
12,Euclidiana (P),-0.014342665672302246,2,0
12,Euclidiana (G),0.0077217817306518555,2,0
12,Euclidiana (H),-0.003959298133850098,2,0
12,Manhattan (P),-0.009571254253387451,2,0
12,Manhattan (G),-0.011589884757995605,2,0
12,Manhattan (H),0.01199650764465332,2,0
42,Minkowski (P),0.023482143878936768,2,0
42,Minkowski (G),0.013786137104034424,2,0
42,Minkowski (H),0.027313947677612305,2,0
42,Euclidiana (P),-0.002490520477294922,2,0
42,Euclidiana (G),0.013043642044067383,2,0
42,Euclidiana (H),0.028590619564056396,2,0
42,Manhattan (P),0.007245898246765137,2,0
42,Manhattan (G),-0.01230841875076294,2,0
42,Manhattan (H),0.0330539345741272,2,0
65,Minkowski (P),-0.006585836410522461,2,0
65,Minkowski (G),-0.006358206272125244,2,0
65,Minkowski (H),0.0015752911567687988,2,0
65,Euclidiana (P),-0.006297707557678223,2,0
65,Euclidiana (G),-0.0031629204750061035,2,0
65,Euclidiana (H),-0.001539766788482666,2,0
65,Manhattan (P),-0.002416253089904785,2,0
65,Manhattan (G),-0.0035096406936645508,2,0
65,Manhattan (H),-0.0017066001892089844,2,0
87,Minkowski (P),-0.037015557289123535,2,0
87,Minkowski (G),-0.03630638122558594,2,0
87,Minkowski (H),-0.005683422088623047,2,0
87,Euclidiana (P),-0.04068410396575928,2,0
87,Euclidiana (G),-0.02760303020477295,2,0
87,Euclidiana (H),-0.026681482791900635,2,0
87,Manhattan (P),-0.03817129135131836,2,0
87,Manhattan (G),-0.02239406108856201,2,0
87,Manhattan (H),-0.04564368724822998,2,0
93,Minkowski (P),-0.0018912553787231445,2,0
93,Minkowski (G),0.0018182992935180664,2,0
93,Minkowski (H),-0.00034815073013305664,2,0
93,Euclidiana (P),-0.0009506940841674805,2,0
93,Euclidiana (G),-0.0004641413688659668,2,0
93,Euclidiana (H),0.0008188486099243164,2,0
93,Manhattan (P),0.0010370612144470215,2,0
93,Manhattan (G),-0.0009369850158691406,2,0
93,Manhattan (H),-0.0012772679328918457,2,0
107,Minkowski (P),-0.010292768478393555,2,0
107,Minkowski (G),-0.009633660316467285,2,0
107,Minkowski (H),0.00014257431030273438,2,0
107,Euclidiana (P),-0.004716634750366211,2,0
107,Euclidiana (G),-0.0034908056259155273,2,0
107,Euclidiana (H),0.00018346309661865234,2,0
107,Manhattan (P),-0.007682442665100098,2,0
107,Manhattan (G),-0.001813650131225586,2,0
107,Manhattan (H),-0.0077863335609436035,2,0
121,Minkowski (P),-0.04873865842819214,2,0
121,Minkowski (G),-0.03623974323272705,2,0
121,Minkowski (H),-0.016452312469482422,2,0
121,Euclidiana (P),-0.039079487323760986,2,0
121,Euclidiana (G),-0.03403371572494507,2,0
121,Euclidiana (H),-0.020513951778411865,2,0
121,Manhattan (P),-0.026526808738708496,2,0
121,Manhattan (G),-0.03160220384597778,2,0
121,Manhattan (H),-0.009501338005065918,2,0
7,Minkowski (P),0.00038826465606689453,3,0
7,Minkowski (G),-0.0019484758377075195,3,0
7,Minkowski (H),0.0027455687522888184,3,0
7,Euclidiana (P),0.008510410785675049,3,0
7,Euclidiana (G),0.0021554231643676758,3,0
7,Euclidiana (H),0.0010613799095153809,3,0
7,Manhattan (P),0.0011396408081054688,3,0
7,Manhattan (G),0.0022411346435546875,3,0
