banda,media_displasia,media_pulmao,rank_displasia,rank_pulmao,diferenca_rank
Euclidiana (P),-0.04759320457621167,0.04711115489772055,9.0,1.0,8.0
Minkowski (H),-0.016416081964659195,-0.0007287945384935787,3.0,7.0,4.0
Manhattan (H),-0.029499956135017175,-0.015177864406723529,5.0,9.0,4.0
Manhattan (P),-0.013637993833981454,0.008852866497666886,1.0,4.0,3.0
Euclidiana (H),-0.033324851926105716,0.02333887848847856,6.0,3.0,3.0
Minkowski (P),-0.04007714393083006,0.007437412277795374,7.0,5.0,2.0
Minkowski (G),-0.02468118044392516,0.002603135178408896,4.0,6.0,2.0
Euclidiana (G),-0.015505438670516014,0.032692137741832994,2.0,2.0,0.0
Manhattan (G),-0.04423312625537316,-0.013400798954535276,8.0,8.0,0.0
