banda,media_displasia,media_pulmao,rank_displasia,rank_pulmao,diferenca_rank
Euclidiana (P),0.06358377604434888,-0.028156522351006668,1.0,9.0,8.0
Manhattan (H),-0.0011397367343306541,-0.00021484370032946268,7.0,2.0,5.0
Manhattan (G),0.0026361014073093734,0.008072562050074339,6.0,1.0,5.0
Manhattan (P),0.03579167618105809,-0.00236323568969965,2.0,5.0,3.0
Euclidiana (H),0.008946148057778677,-0.02744543451505403,5.0,8.0,3.0
Minkowski (G),-0.024683071300387383,-0.005355484240377943,9.0,6.0,3.0
Minkowski (H),-0.008422465374072393,-0.011372223030775785,8.0,7.0,1.0
Euclidiana (G),0.03401713538914919,-0.001042189309373498,3.0,3.0,0.0
Minkowski (P),0.0315904775634408,-0.0020657998975366354,4.0,4.0,0.0
