banda,media,std,n
Manhattan (P),-0.013637993833981454,0.09270857719411349,48
Euclidiana (G),-0.015505438670516014,0.07420233215655711,48
Minkowski (H),-0.016416081964659195,0.058109459725836775,48
Minkowski (G),-0.02468118044392516,0.1128578595238629,48
Manhattan (H),-0.029499956135017175,0.12156785772908464,48
Euclidiana (H),-0.033324851926105716,0.08419178887336658,48
Minkowski (P),-0.04007714393083006,0.13535039979501923,48
Manhattan (G),-0.04423312625537316,0.1015721288347213,48
Euclidiana (P),-0.04759320457621167,0.11736750152938508,48
