banda,media,std,n
Euclidiana (P),0.06358377604434888,0.08590317778752679,48
Manhattan (P),0.03579167618105809,0.05735898038775691,48
Euclidiana (G),0.03401713538914919,0.05604285856640823,48
Minkowski (P),0.0315904775634408,0.08089760179327897,48
Euclidiana (H),0.008946148057778677,0.04573033048982319,48
Manhattan (G),0.0026361014073093734,0.01634560289618402,48
Manhattan (H),-0.0011397367343306541,0.010924928775563461,48
Minkowski (H),-0.008422465374072393,0.09359025998106894,48
Minkowski (G),-0.024683071300387383,0.06550943604485662,48
