banda,media,std,n
Euclidiana (P),0.04711115489772055,0.08178862934449707,48
Euclidiana (G),0.032692137741832994,0.0990112824893403,48
Euclidiana (H),0.02333887848847856,0.06930198718738094,48
Manhattan (P),0.008852866497666886,0.07176083699237377,48
Minkowski (P),0.007437412277795374,0.07275428611254574,48
Minkowski (G),0.002603135178408896,0.104172727249677,48
Minkowski (H),-0.0007287945384935787,0.10070396348924714,48
Manhattan (G),-0.013400798954535276,0.07110688761598555,48
Manhattan (H),-0.015177864406723529,0.15480259847596572,48
