fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[1.0903183564995274, 0.9682588914428094, 0.8649064741953455, 0.793583439456092, 0.6946372317545342, 0.6302299692173197, 0.5703718126422227, 0.5300074057145552, 0.4878326515958767, 0.4544940163390805, 0.428166627281844, 0.4050185289045777, 0.36861105037458014, 0.3314730804977995, 0.3122340476874149, 0.29904141480272467, 0.2731362736285335, 0.24838642279307047, 0.2296026060075471, 0.21666864885224235, 0.20091828463053463, 0.16764292421967092, 0.17754665498781685, 0.1980081321013094, 0.14037056508088352, 0.13984718557560083, 0.1328682764009996, 0.13842811969795613, 0.11619193385345768, 0.10000035994582707]","[0.36363636363636365, 0.6666666666666666, 0.7424242424242424, 0.7929292929292929, 0.8535353535353535, 0.8636363636363636, 0.8787878787878788, 0.8585858585858586, 0.898989898989899, 0.9191919191919192, 0.9292929292929293, 0.9191919191919192, 0.9393939393939394, 0.9545454545454546, 0.9444444444444444, 0.9343434343434344, 0.9646464646464646, 0.9545454545454546, 0.9646464646464646, 0.98989898989899, 0.9696969696969697, 0.98989898989899, 0.98989898989899, 0.9848484848484849, 0.9848484848484849, 0.9797979797979798, 1.0, 0.9848484848484849, 0.9848484848484849, 1.0]","[1.0506433534622193, 1.018994460105896, 0.9495915222167969, 0.8372701787948609, 0.761164710521698, 0.6727036380767822, 0.6091066551208496, 0.5551999187469483, 0.517935483455658, 0.48159012079238894, 0.448226637840271, 0.41202911257743835, 0.38267066597938537, 0.36854625344276426, 0.3523989498615265, 0.3309943270683289, 0.32337470769882204, 0.31535245656967165, 0.3062240755558014, 0.30174214839935304, 0.28932817339897154, 0.2770450735092163, 0.27584853768348694, 0.282085725069046, 0.26262603878974916, 0.2550828909873962, 0.2606444537639618, 0.2586152112483978, 0.24601274728775024, 0.23495414972305298]","[0.54, 0.72, 0.64, 0.76, 0.76, 0.8, 0.82, 0.82, 0.8, 0.8, 0.84, 0.88, 0.88, 0.88, 0.9, 0.88, 0.9, 0.86, 0.92, 0.94, 0.92, 0.94, 0.92, 0.9, 0.96, 0.96, 0.96, 0.92, 0.94, 0.98]"
2,"[1.0643142269115256, 0.9454802551654854, 0.8609794293991243, 0.7943492405342333, 0.729871584309472, 0.670686727822429, 0.573576984983502, 0.5514975566454609, 0.5251340854047525, 0.4744916299376825, 0.43308663548845233, 0.3922100976260022, 0.36896963522891807, 0.3445454772674676, 0.32763297931112423, 0.2953227475436047, 0.2738393263684379, 0.2645826520341815, 0.2273366529532153, 0.2511539097988244, 0.228545073156405, 0.18909843883129082, 0.1895673880071351, 0.18722517336859848, 0.1995204548643093, 0.15116736021908847, 0.14955720877406573, 0.14179565479057005, 0.09328967347891644, 0.1068899394436316]","[0.4292929292929293, 0.6717171717171717, 0.7777777777777778, 0.8181818181818182, 0.8131313131313131, 0.8535353535353535, 0.8838383838383839, 0.8888888888888888, 0.8686868686868687, 0.8838383838383839, 0.9242424242424242, 0.9393939393939394, 0.9242424242424242, 0.9393939393939394, 0.9393939393939394, 0.9696969696969697, 0.9747474747474747, 0.9494949494949495, 0.9797979797979798, 0.9545454545454546, 0.9747474747474747, 0.9747474747474747, 0.9747474747474747, 0.9747474747474747, 0.9646464646464646, 0.9797979797979798, 0.9797979797979798, 0.98989898989899, 0.9949494949494949, 0.9949494949494949]","[1.0996596717834473, 1.0269351196289063, 0.9162018513679504, 0.8013653373718261, 0.7131203889846802, 0.6388433718681336, 0.5983803296089172, 0.5615433812141418, 0.5149159121513367, 0.49120097160339354, 0.48102081775665284, 0.4570753026008606, 0.4411060333251953, 0.41142759323120115, 0.39422473788261414, 0.385484025478363, 0.37585954189300536, 0.35746535420417785, 0.3432403147220612, 0.3428148889541626, 0.3403823149204254, 0.3309589159488678, 0.31560500621795656, 0.3113487529754639, 0.32911654591560363, 0.3273900604248047, 0.31424045920372007, 0.29977375745773316, 0.29045297384262087, 0.27611897349357606]","[0.4, 0.48, 0.64, 0.8, 0.88, 0.9, 0.9, 0.94, 0.94, 0.92, 0.96, 0.96, 0.92, 0.92, 0.92, 0.94, 0.94, 0.94, 0.94, 0.94, 0.96, 0.94, 0.94, 0.94, 0.94, 0.92, 0.94, 0.9, 0.92, 0.94]"
3,"[1.0287200441264144, 0.9006090350825378, 0.8006047738922967, 0.7095538173059021, 0.6493877322986873, 0.5953571501404348, 0.5253735548920102, 0.4986538468587278, 0.42430980639024213, 0.38574895082098065, 0.3754005678976425, 0.3396914333406121, 0.34042184942900533, 0.2963580603551383, 0.27863337340379, 0.26996301972504816, 0.2379003188224754, 0.23617922326531074, 0.1889634889484656, 0.19748758893422405, 0.1972893270278218, 0.1808425723904311, 0.16121297863998799, 0.1594398021697998, 0.13590562494114192, 0.1415434145566189, 0.10155256619357099, 0.13862514450694574, 0.12074970913053763, 0.10989396680485118]","[0.4797979797979798, 0.6919191919191919, 0.797979797979798, 0.7828282828282829, 0.8333333333333334, 0.8535353535353535, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.9393939393939394, 0.9393939393939394, 0.9343434343434344, 0.9494949494949495, 0.9444444444444444, 0.9393939393939394, 0.9494949494949495, 0.9646464646464646, 0.9646464646464646, 0.9949494949494949, 0.9696969696969697, 0.9747474747474747, 0.9797979797979798, 0.98989898989899, 0.9747474747474747, 0.9949494949494949, 0.98989898989899, 0.9949494949494949, 0.9848484848484849, 0.9848484848484849, 0.9848484848484849]","[1.1510112380981445, 1.051334080696106, 0.9301828813552856, 0.8492980098724365, 0.782893898487091, 0.7446125650405884, 0.7187505269050598, 0.6851127672195435, 0.657514374256134, 0.6446231174468994, 0.6252516603469849, 0.6149238109588623, 0.594489939212799, 0.5921283531188964, 0.5830804491043091, 0.5724060821533203, 0.5637485527992249, 0.5376667547225952, 0.536752519607544, 0.5202264666557312, 0.5028126692771911, 0.4909170031547546, 0.48477878570556643, 0.47757452726364136, 0.46463991165161134, 0.46153650045394895, 0.4506031322479248, 0.43416199922561644, 0.4402448153495789, 0.4496927738189697]","[0.28, 0.52, 0.66, 0.74, 0.7, 0.72, 0.7, 0.76, 0.76, 0.74, 0.74, 0.74, 0.76, 0.74, 0.8, 0.78, 0.78, 0.84, 0.82, 0.76, 0.8, 0.82, 0.82, 0.82, 0.82, 0.86, 0.8, 0.82, 0.86, 0.82]"
4,"[1.0570904921047652, 0.9499558575788335, 0.8523838966336083, 0.7658541382257663, 0.7041696687439578, 0.6162300867650976, 0.55542194034586, 0.4777219490190247, 0.4454360775013066, 0.41694086745156717, 0.37615529930771296, 0.3552628962238829, 0.30640958107296545, 0.31483521323707236, 0.2669095759415746, 0.24589292023649167, 0.25325253036753015, 0.24662086157942537, 0.21930674676919104, 0.19193538109860828, 0.19108034468176377, 0.16587378945781958, 0.1511701704119917, 0.16244777977167063, 0.1125600330494157, 0.13563114524486675, 0.12947518966305796, 0.10951035658842954, 0.10795317328155939, 0.09698937121947207]","[0.45226130653266333, 0.6733668341708543, 0.7437185929648241, 0.8140703517587939, 0.8190954773869347, 0.8793969849246231, 0.864321608040201, 0.9246231155778895, 0.9095477386934674, 0.9296482412060302, 0.9246231155778895, 0.9396984924623115, 0.964824120603015, 0.9296482412060302, 0.964824120603015, 0.964824120603015, 0.964824120603015, 0.9547738693467337, 0.9547738693467337, 0.9849246231155779, 0.9698492462311558, 0.9748743718592965, 0.9949748743718593, 0.9698492462311558, 0.9949748743718593, 0.9798994974874372, 0.9949748743718593, 1.0, 0.9899497487437185, 0.9949748743718593]","[1.0908271974446822, 1.0499626081817004, 0.9856184745321468, 0.8908253591887805, 0.8327049758969521, 0.7628365791573817, 0.7023451571561852, 0.6617247644735842, 0.6331582860070832, 0.6107553462592923, 0.588374383595525, 0.5750313997268677, 0.5752568293590935, 0.562203582452268, 0.5481539453778949, 0.5268292013479738, 0.523642153156047, 0.4929573572411829, 0.5018308868213576, 0.507151186466217, 0.46769598065590373, 0.4548619644982474, 0.46167224767256754, 0.42255228271289746, 0.4406198384810467, 0.4057149412680645, 0.38884347677230835, 0.3947353800948785, 0.39220563246279344, 0.38537792526945774]","[0.3673469387755102, 0.4489795918367347, 0.5306122448979592, 0.673469387755102, 0.6530612244897959, 0.7755102040816326, 0.7959183673469388, 0.7755102040816326, 0.7755102040816326, 0.7755102040816326, 0.7959183673469388, 0.7755102040816326, 0.7551020408163265, 0.7755102040816326, 0.7959183673469388, 0.7755102040816326, 0.7755102040816326, 0.7755102040816326, 0.7755102040816326, 0.7346938775510204, 0.7959183673469388, 0.8367346938775511, 0.8775510204081632, 0.8775510204081632, 0.8775510204081632, 0.8979591836734694, 0.8979591836734694, 0.8775510204081632, 0.8775510204081632, 0.8775510204081632]"
5,"[1.0936787332122648, 0.9789046806905737, 0.8632589383940001, 0.7705115214664133, 0.6889378410487917, 0.6290236001637712, 0.572937729071133, 0.5281832254112665, 0.47534011895932143, 0.46347944670586133, 0.4352198872134913, 0.3494336591593584, 0.340545870251392, 0.35367262423338003, 0.29500326783812825, 0.2726575637133277, 0.2867992929178267, 0.23672700182876394, 0.24849621824283696, 0.21704744678645876, 0.1843941581608662, 0.1698169622888517, 0.17260039526613513, 0.14723475037807196, 0.13868075582999081, 0.15667657179748593, 0.16164427786017183, 0.10831270782492268, 0.13395337393535442, 0.10505512641302904]","[0.3969849246231156, 0.5728643216080402, 0.7135678391959799, 0.7939698492462312, 0.8241206030150754, 0.8241206030150754, 0.8592964824120602, 0.8743718592964824, 0.8944723618090452, 0.8844221105527639, 0.8894472361809045, 0.9597989949748744, 0.9748743718592965, 0.9246231155778895, 0.9698492462311558, 0.9597989949748744, 0.949748743718593, 0.9597989949748744, 0.949748743718593, 0.9798994974874372, 0.9949748743718593, 0.9899497487437185, 0.9849246231155779, 0.9849246231155779, 0.9899497487437185, 0.9899497487437185, 0.9748743718592965, 1.0, 0.9849246231155779, 0.9899497487437185]","[1.0988455645892086, 1.045467461858477, 0.9348863922819799, 0.8380104327688411, 0.7684152138476469, 0.7306220130044587, 0.6807539584685345, 0.647945054939815, 0.5991104938546006, 0.5672437463487897, 0.548267953249873, 0.5212152247526207, 0.5021849846353337, 0.4831759589059012, 0.46779643759435535, 0.4554020579980344, 0.438014986563702, 0.42536691743500377, 0.43014179078900083, 0.42575253272543145, 0.41130687509264263, 0.3979764507741344, 0.39394889194138194, 0.3914824030837234, 0.38431089143363795, 0.3753018111598735, 0.37010376672355494, 0.3614624118318363, 0.3611825716738798, 0.3701790279271651]","[0.40816326530612246, 0.4489795918367347, 0.5918367346938775, 0.673469387755102, 0.7142857142857143, 0.7551020408163265, 0.7755102040816326, 0.7755102040816326, 0.8163265306122449, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8571428571428571, 0.8367346938775511, 0.8163265306122449, 0.8163265306122449, 0.8163265306122449, 0.8163265306122449, 0.8571428571428571, 0.8367346938775511, 0.8367346938775511, 0.8163265306122449]"
