fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[1.0358581663382174, 0.8548583454555936, 0.7329446914220097, 0.591160465370525, 0.506573407336919, 0.4516627824667728, 0.342900060945087, 0.32138079103797373, 0.2519177363978492, 0.23948743548056092, 0.231977102431384, 0.21445031479151563, 0.14328561437250387, 0.16088466240902138, 0.09593126915320001, 0.08524146073996419, 0.10119897774373642, 0.08516803534343989, 0.07575305302937825, 0.06033753694006891, 0.064588211702578, 0.05600221876544182, 0.0705831360937369, 0.0867501726054182, 0.05809942399612581, 0.04751627222456113, 0.05291167921339623, 0.040952728252218226, 0.03135973781422533, 0.02419138150383728, 0.07254856614151386, 0.04481622275680003, 0.04124452279071615, 0.030523428712228334, 0.03462921098025158, 0.015717867611333577, 0.021405647367690548, 0.02905213516769987, 0.05762569515994101, 0.023603093594011634, 0.02761194742087162, 0.02064471070965131, 0.038220584919356336, 0.02750593326007477, 0.014829085782320813, 0.012221087880357348, 0.034569705074483696, 0.020667504331078192, 0.04044017203227438, 0.016691160811619324]","[0.494949494949495, 0.7373737373737373, 0.8333333333333334, 0.898989898989899, 0.9393939393939394, 0.9242424242424242, 0.9696969696969697, 0.9494949494949495, 0.9848484848484849, 0.9797979797979798, 0.9696969696969697, 0.9545454545454546, 0.9949494949494949, 0.9696969696969697, 1.0, 0.9949494949494949, 0.9949494949494949, 0.98989898989899, 0.9848484848484849, 1.0, 0.98989898989899, 0.9949494949494949, 0.98989898989899, 0.9848484848484849, 0.9949494949494949, 0.9949494949494949, 0.9949494949494949, 0.98989898989899, 1.0, 1.0, 0.98989898989899, 0.98989898989899, 1.0, 1.0, 0.9949494949494949, 1.0, 1.0, 0.9949494949494949, 0.9747474747474747, 0.9949494949494949, 1.0, 1.0, 0.9848484848484849, 0.9949494949494949, 1.0, 1.0, 0.98989898989899, 0.9949494949494949, 0.9848484848484849, 1.0]","[1.089081540107727, 0.9478100109100341, 0.8298727488517761, 0.710409574508667, 0.6239992427825928, 0.536680839061737, 0.47513647079467775, 0.4279291868209839, 0.3926676845550537, 0.36504106044769286, 0.3397348940372467, 0.320385080575943, 0.32460340023040773, 0.29617836833000183, 0.2892937111854553, 0.2707139599323273, 0.24342204689979552, 0.23490801453590393, 0.23658188581466674, 0.22489569187164307, 0.23805886626243591, 0.22226810216903686, 0.23696143865585328, 0.22759983897209168, 0.19594053864479066, 0.19136397361755372, 0.20198902904987334, 0.192744899392128, 0.19804622769355773, 0.20515429735183716, 0.20393789529800416, 0.19404557049274446, 0.2035761833190918, 0.2023759067058563, 0.21802484035491942, 0.21243286728858948, 0.2103978431224823, 0.21849334120750427, 0.24682683050632476, 0.1952575671672821, 0.19981581449508667, 0.18812172830104829, 0.17331191539764404, 0.1655970311164856, 0.16864773869514466, 0.19615121006965638, 0.19291164517402648, 0.17429592967033386, 0.16386524200439453, 0.1645923912525177]","[0.34, 0.66, 0.7, 0.76, 0.76, 0.82, 0.86, 0.86, 0.86, 0.88, 0.88, 0.88, 0.88, 0.88, 0.9, 0.88, 0.9, 0.9, 0.94, 0.92, 0.92, 0.92, 0.88, 0.9, 0.92, 0.9, 0.92, 0.9, 0.9, 0.92, 0.9, 0.92, 0.88, 0.88, 0.88, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.92, 0.94, 0.92, 0.9, 0.92, 0.92, 0.94, 0.96]"
2,"[1.1439751651551988, 0.9411746751178395, 0.8076658977402581, 0.6811336754548429, 0.5900662553430808, 0.4816851248644819, 0.3993926265022971, 0.3232037223348714, 0.2713100353274683, 0.24561463793118796, 0.19804683688915137, 0.17615804046091407, 0.10670615747721508, 0.16342218235285597, 0.15176855735104494, 0.09875580638346046, 0.06783921038261567, 0.07230336768458588, 0.07293323675791423, 0.046301615358603124, 0.0590638771201625, 0.09324692656295468, 0.055754479735788676, 0.060843889761452725, 0.056983112686812276, 0.06943541072835827, 0.05483009568368546, 0.04638271169228987, 0.04533230204774876, 0.05703457286863616, 0.03921996704255692, 0.04909985824817359, 0.03167128638185636, 0.031926842124173134, 0.02811575553031883, 0.059136910420475586, 0.040386913551224604, 0.04416377330669249, 0.021255639090080453, 0.03969933709712944, 0.03305898140175174, 0.03289607551061746, 0.023349124298553275, 0.028491081914516412, 0.022595730017532, 0.02022217996794768, 0.025530936742069747, 0.030123781826761033, 0.030607449135395013, 0.019334745753293085]","[0.31313131313131315, 0.6616161616161617, 0.7878787878787878, 0.8737373737373737, 0.898989898989899, 0.9292929292929293, 0.9343434343434344, 0.9696969696969697, 0.9797979797979798, 0.9848484848484849, 0.9797979797979798, 0.9848484848484849, 1.0, 0.9747474747474747, 0.9797979797979798, 0.9949494949494949, 1.0, 1.0, 0.9949494949494949, 1.0, 0.98989898989899, 0.9848484848484849, 0.9949494949494949, 0.9848484848484849, 0.9848484848484849, 0.9848484848484849, 0.9949494949494949, 0.9949494949494949, 0.9949494949494949, 0.98989898989899, 0.9949494949494949, 1.0, 0.9949494949494949, 1.0, 1.0, 0.9848484848484849, 0.9949494949494949, 0.9949494949494949, 1.0, 1.0, 0.9949494949494949, 0.9949494949494949, 1.0, 0.9949494949494949, 0.9949494949494949, 0.9949494949494949, 0.98989898989899, 0.9949494949494949, 0.98989898989899, 1.0]","[1.1085495710372926, 1.0591309356689453, 0.9508105111122132, 0.8265149354934692, 0.7108509540557861, 0.6275061321258545, 0.5463323736190796, 0.4946399974822998, 0.44268969297409055, 0.3993699526786804, 0.3676080667972565, 0.34422136545181276, 0.3198609972000122, 0.2943784296512604, 0.2760346734523773, 0.2773187851905823, 0.2620687782764435, 0.24852054715156555, 0.23192031383514405, 0.24101794958114625, 0.23753810107707976, 0.21764850318431855, 0.22998658657073975, 0.2654605913162231, 0.254507257938385, 0.2431292390823364, 0.20671746730804444, 0.18878426015377045, 0.20476350009441377, 0.19451673746109008, 0.23347850322723387, 0.2213466078042984, 0.22147827208042145, 0.24828601241111756, 0.23921064972877504, 0.2252177381515503, 0.2019675302505493, 0.19677263498306274, 0.22063481271266938, 0.23762110114097595, 0.23331913053989412, 0.22648582577705384, 0.22911352932453155, 0.22218875229358673, 0.22136393070220947, 0.22765742421150206, 0.23139903903007508, 0.2879808473587036, 0.3040656757354736, 0.34829451560974123]","[0.42, 0.56, 0.6, 0.82, 0.82, 0.86, 0.88, 0.86, 0.9, 0.9, 0.92, 0.9, 0.9, 0.9, 0.92, 0.92, 0.92, 0.92, 0.92, 0.92, 0.92, 0.94, 0.94, 0.9, 0.92, 0.92, 0.92, 0.94, 0.94, 0.94, 0.92, 0.94, 0.94, 0.92, 0.92, 0.94, 0.92, 0.92, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.92, 0.94, 0.88, 0.86]"
3,"[1.0589686945231274, 0.8793384788012264, 0.7363320763665017, 0.627516877169561, 0.5379602421413768, 0.4333265520105458, 0.38505602725828536, 0.33776571834930263, 0.2441494633453061, 0.24364045683783714, 0.20314635381554114, 0.18116130672319972, 0.15392982658713755, 0.13889305218301637, 0.10804183043614783, 0.09807723941224994, 0.08731629511322637, 0.0883937907038313, 0.05145572336635204, 0.08446084474674379, 0.06568797256308373, 0.08569791581895617, 0.08228134326260499, 0.05327320832646254, 0.051552404207412646, 0.05224262253202573, 0.047350422752023946, 0.0438264093615792, 0.04654702325963011, 0.04063110121271827, 0.03035174972481198, 0.04581393918605766, 0.04425301184557905, 0.026576202174629828, 0.09225265305451673, 0.025796918913421004, 0.029837542712086378, 0.023708523900219887, 0.03366124042958924, 0.021568251416237666, 0.01947350875295774, 0.030645837687482736, 0.023867291332495332, 0.01772273000743654, 0.01655367620270511, 0.03354988217052787, 0.012257585095034705, 0.016916276059216924, 0.03238102244307296, 0.017002106879395667]","[0.398989898989899, 0.7272727272727273, 0.8838383838383839, 0.8888888888888888, 0.898989898989899, 0.9191919191919192, 0.9494949494949495, 0.9595959595959596, 0.98989898989899, 0.9696969696969697, 0.9848484848484849, 0.9848484848484849, 0.98989898989899, 0.9949494949494949, 0.9949494949494949, 0.9949494949494949, 0.9949494949494949, 0.9949494949494949, 1.0, 0.9949494949494949, 0.9949494949494949, 0.9848484848484849, 0.9848484848484849, 1.0, 1.0, 0.9949494949494949, 0.9949494949494949, 1.0, 1.0, 1.0, 0.9949494949494949, 0.98989898989899, 0.98989898989899, 1.0, 0.9696969696969697, 1.0, 0.9949494949494949, 1.0, 0.98989898989899, 1.0, 1.0, 1.0, 1.0, 0.9949494949494949, 1.0, 0.9949494949494949, 1.0, 0.9949494949494949, 0.9949494949494949, 1.0]","[1.1060604906082154, 1.022146897315979, 0.895839581489563, 0.7734019565582275, 0.6429849839210511, 0.5457979369163514, 0.4793418955802917, 0.4441304302215576, 0.4012509870529175, 0.37473454952239993, 0.36009995579719545, 0.339283344745636, 0.31110647320747375, 0.2800315308570862, 0.29042728424072267, 0.29430719792842863, 0.3436155664920807, 0.29536821484565734, 0.27264771223068235, 0.2640680366754532, 0.24718007922172547, 0.22453278601169585, 0.2574366211891174, 0.26495933413505557, 0.25838588416576386, 0.2538976263999939, 0.23946860909461976, 0.2352540385723114, 0.23030445069074632, 0.23899510473012925, 0.23783737540245056, 0.2144142958521843, 0.1951913970708847, 0.2160141658782959, 0.20930793046951293, 0.23272929549217225, 0.25402652233839035, 0.2587514314055443, 0.22427141144871712, 0.17372713267803191, 0.1525569236278534, 0.13674504339694976, 0.14311224102973938, 0.13909758776426315, 0.14905311077833175, 0.14271969348192215, 0.1567128938436508, 0.17379003569483756, 0.17091587126255037, 0.17900873869657516]","[0.28, 0.52, 0.68, 0.74, 0.78, 0.9, 0.92, 0.92, 0.92, 0.92, 0.88, 0.92, 0.94, 0.94, 0.94, 0.94, 0.86, 0.88, 0.9, 0.9, 0.9, 0.92, 0.88, 0.88, 0.86, 0.88, 0.88, 0.88, 0.88, 0.86, 0.88, 0.86, 0.92, 0.9, 0.9, 0.88, 0.86, 0.88, 0.9, 0.96, 0.94, 0.94, 0.96, 0.96, 0.96, 0.96, 0.96, 0.94, 0.94, 0.9]"
4,"[1.1227380432675231, 0.9445562123054236, 0.8070648513247619, 0.6472439771920593, 0.5621445184976013, 0.4567900946990928, 0.38370920800084446, 0.3196057819541375, 0.25554035296991245, 0.2254205284705713, 0.17394581721655689, 0.13537698459984668, 0.11982592513513325, 0.10701486823996108, 0.069759758348441, 0.07712464843263578, 0.06685061370907118, 0.06000562431524746, 0.08364498289535992, 0.08106250199840297, 0.05131685482946473, 0.03050149475509797, 0.028814140585574074, 0.02667257663835982, 0.044933195389694904, 0.06308907525024222, 0.04868332989251793, 0.027217409213134394, 0.034509233643661194, 0.06592401382911145, 0.047253774039110345, 0.025712033452924773, 0.03607967370493927, 0.05740328994228612, 0.04005436382102008, 0.019477319309310098, 0.019746703044253976, 0.041878105220782696, 0.017728393214132318, 0.020096952928670087, 0.021170785641250897, 0.01939770537451958, 0.02420840700667108, 0.017813100437423093, 0.02872438893545812, 0.018032433474483203, 0.018811152283869797, 0.03234048165268635, 0.012287443906218562, 0.020483421770172504]","[0.36683417085427134, 0.6180904522613065, 0.7638190954773869, 0.8793969849246231, 0.8844221105527639, 0.9396984924623115, 0.9396984924623115, 0.949748743718593, 0.9798994974874372, 0.964824120603015, 0.9849246231155779, 0.9899497487437185, 0.9949748743718593, 1.0, 0.9949748743718593, 0.9899497487437185, 0.9949748743718593, 0.9899497487437185, 0.9849246231155779, 0.9849246231155779, 0.9899497487437185, 1.0, 0.9949748743718593, 1.0, 0.9899497487437185, 0.9899497487437185, 0.9849246231155779, 1.0, 0.9949748743718593, 0.9899497487437185, 0.9849246231155779, 1.0, 0.9949748743718593, 0.9748743718592965, 0.9899497487437185, 1.0, 1.0, 0.9949748743718593, 1.0, 1.0, 1.0, 0.9949748743718593, 0.9949748743718593, 0.9949748743718593, 0.9949748743718593, 1.0, 0.9949748743718593, 0.9949748743718593, 1.0, 1.0]","[1.0300733264611692, 0.9966495645289518, 0.892615371820878, 0.7787339261599949, 0.6814362236431667, 0.6041764215547212, 0.5414198393724403, 0.4863897099786875, 0.4529906182873006, 0.40035864649986735, 0.380602127435256, 0.3606602135969668, 0.35116094715741214, 0.3353988357952663, 0.31718616339625144, 0.3284577885452582, 0.3522948622703552, 0.3178873950121354, 0.31532800562527713, 0.29937940471026364, 0.33759451885612646, 0.36542546384188596, 0.3341197858051378, 0.33846500211832475, 0.35035251111400373, 0.30807225436580427, 0.2548273266578207, 0.25867965817451477, 0.2569099889726055, 0.3177585857255118, 0.34708635052856135, 0.3351365875224678, 0.3223259923409443, 0.315933350397616, 0.3518274584595038, 0.30759554006615464, 0.3012256622314453, 0.284962064757639, 0.31966519963984585, 0.312011786869594, 0.301327182930343, 0.2908353391958743, 0.2864540760614434, 0.36952088317092585, 0.3541737405621276, 0.3642819730602965, 0.3876501175822044, 0.4496565315188194, 0.3847867299099358, 0.40193516867501394]","[0.5510204081632653, 0.5306122448979592, 0.7142857142857143, 0.7346938775510204, 0.8571428571428571, 0.8367346938775511, 0.8367346938775511, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8775510204081632, 0.8775510204081632, 0.8775510204081632, 0.8775510204081632, 0.8571428571428571, 0.8571428571428571, 0.8775510204081632, 0.8979591836734694, 0.8979591836734694, 0.8571428571428571, 0.8367346938775511, 0.8571428571428571, 0.8571428571428571, 0.8367346938775511, 0.8775510204081632, 0.9183673469387755, 0.9387755102040817, 0.9387755102040817, 0.8775510204081632, 0.8979591836734694, 0.8979591836734694, 0.8979591836734694, 0.8979591836734694, 0.8775510204081632, 0.9183673469387755, 0.9183673469387755, 0.9183673469387755, 0.8979591836734694, 0.8979591836734694, 0.9183673469387755, 0.9183673469387755, 0.9183673469387755, 0.9183673469387755, 0.8775510204081632, 0.8775510204081632, 0.8979591836734694, 0.8367346938775511, 0.8775510204081632, 0.8775510204081632]"
5,"[1.0738143947855312, 0.9336949904360364, 0.7702539964536925, 0.6909626719340607, 0.5499909975420889, 0.4663021992798427, 0.34315757176384853, 0.32475525784732107, 0.274692165492168, 0.23465632658507957, 0.17516514419311255, 0.18342586348404238, 0.16046396388330653, 0.1033627665671871, 0.09461706172880816, 0.10391611680762852, 0.05960035983042501, 0.0816791250777604, 0.06208231506036155, 0.07411884825358439, 0.05654476186138901, 0.0538778668971517, 0.0627672794326466, 0.04510666291468107, 0.07633187663016008, 0.021961136379433636, 0.029802246211124723, 0.04733631252568571, 0.026274033227757593, 0.05314688586709487, 0.02358685568648966, 0.03528580039589849, 0.019144666601140895, 0.027369744167780156, 0.03628356275546491, 0.014335156834904272, 0.024728704037977823, 0.03345531720349837, 0.025634295002898978, 0.027480679559497977, 0.02999438000983329, 0.02767924065865464, 0.013698857137231372, 0.023533644334848353, 0.011094328268763408, 0.019285098092639865, 0.03871328851685452, 0.026071440821616495, 0.012516771709948927, 0.028173137325138303]","[0.3969849246231156, 0.6231155778894473, 0.8291457286432161, 0.8592964824120602, 0.9396984924623115, 0.8994974874371859, 0.964824120603015, 0.964824120603015, 0.9547738693467337, 0.9597989949748744, 0.9899497487437185, 0.9698492462311558, 0.9849246231155779, 1.0, 1.0, 0.9949748743718593, 1.0, 0.9899497487437185, 0.9899497487437185, 0.9849246231155779, 0.9899497487437185, 0.9949748743718593, 0.9949748743718593, 0.9949748743718593, 0.9849246231155779, 1.0, 0.9949748743718593, 0.9949748743718593, 0.9949748743718593, 0.9798994974874372, 1.0, 0.9949748743718593, 1.0, 1.0, 0.9949748743718593, 1.0, 1.0, 0.9949748743718593, 1.0, 0.9949748743718593, 0.9949748743718593, 0.9949748743718593, 1.0, 0.9949748743718593, 1.0, 0.9949748743718593, 0.9849246231155779, 0.9949748743718593, 1.0, 0.9949748743718593]","[1.1100295198207, 1.0325789840853945, 0.9044906533494288, 0.7659867831638881, 0.6359105402109574, 0.5234808848828686, 0.4615465268796804, 0.41685632418613044, 0.3757010692236375, 0.3479667147811578, 0.329836512098507, 0.29863027103093204, 0.2628713767139279, 0.24028067290782928, 0.2255734904688232, 0.206956220828757, 0.20243240619192318, 0.1993056633034531, 0.19201151205568898, 0.1721063146785814, 0.16487334577404722, 0.16987220578047693, 0.1548563728527147, 0.14722487330436707, 0.1415190305940959, 0.17604113142101133, 0.173669982017303, 0.18254471828742902, 0.18715705616133554, 0.1786927492642889, 0.17611774954260612, 0.15877808402387464, 0.24253322883528106, 0.2616255646761583, 0.28875826800964316, 0.27475645834085893, 0.2486336740608118, 0.2275871540210685, 0.223652399316126, 0.23038268940789358, 0.21620867355745665, 0.22894851528868385, 0.23756210110625442, 0.21434507807906794, 0.20339895845675954, 0.18011064401694707, 0.21160045144509296, 0.17851471353550347, 0.2340679928964498, 0.23560595786084934]","[0.3469387755102041, 0.5306122448979592, 0.7142857142857143, 0.8163265306122449, 0.7959183673469388, 0.8367346938775511, 0.8571428571428571, 0.8367346938775511, 0.8571428571428571, 0.8571428571428571, 0.8979591836734694, 0.8979591836734694, 0.9387755102040817, 0.9591836734693877, 0.9591836734693877, 0.9387755102040817, 0.9183673469387755, 0.9387755102040817, 0.9387755102040817, 0.9591836734693877, 0.9591836734693877, 0.9591836734693877, 1.0, 0.9795918367346939, 0.9591836734693877, 0.9387755102040817, 0.9591836734693877, 0.9387755102040817, 0.9387755102040817, 0.9183673469387755, 0.9387755102040817, 0.9795918367346939, 0.8979591836734694, 0.8775510204081632, 0.8775510204081632, 0.8571428571428571, 0.8775510204081632, 0.8979591836734694, 0.9387755102040817, 0.8979591836734694, 0.8775510204081632, 0.8775510204081632, 0.8979591836734694, 0.8979591836734694, 0.8979591836734694, 0.9183673469387755, 0.9183673469387755, 0.9387755102040817, 0.8775510204081632, 0.8979591836734694]"
