grupo,media,std,n
Minkowski (H),0.21955207702216284,0.26231883110702736,400
Minkowski (G),0.20852560438659565,0.2602913374170403,400
Euclidiana (P),0.20706603711914795,0.24700513216809244,400
Euclidiana (G),0.19736350226659852,0.2580065154038878,400
Minkowski (P),0.12929346729979443,0.19982873226388967,400
Euclidiana (H),0.12759889021610435,0.2084972793093193,400
Manhattan (P),0.10419195519738424,0.17143220447727134,400
Manhattan (G),0.05879072853109392,0.15443098883961892,400
Manhattan (H),0.05135509632797039,0.10450686050495238,400
