seed,sample,target_class,grupo,prob_base,prob_oclusa,queda_prob
7,0,0,Minkowski (P),0.6778494715690613,0.24866168200969696,0.4291877895593643
7,0,0,Minkowski (G),0.6778494715690613,0.36364632844924927,0.314203143119812
7,0,0,Minkowski (H),0.6778494715690613,0.1707138866186142,0.5071355849504471
7,0,0,Euclidiana (P),0.6778494715690613,0.19088290631771088,0.4869665652513504
7,0,0,Euclidiana (G),0.6778494715690613,0.2821049988269806,0.3957444727420807
7,0,0,Euclidiana (H),0.6778494715690613,0.22780215740203857,0.4500473141670227
7,0,0,Manhattan (P),0.6778494715690613,0.1655135452747345,0.5123359262943268
7,0,0,Manhattan (G),0.6778494715690613,0.15793491899967194,0.5199145525693893
7,0,0,Manhattan (H),0.6778494715690613,0.13118523359298706,0.5466642379760742
12,0,0,Minkowski (P),0.5275111794471741,0.5284443497657776,-0.0009331703186035156
12,0,0,Minkowski (G),0.5275111794471741,0.1941910833120346,0.33332009613513947
12,0,0,Minkowski (H),0.5275111794471741,0.2050010710954666,0.32251010835170746
12,0,0,Euclidiana (P),0.5275111794471741,0.23079435527324677,0.2967168241739273
12,0,0,Euclidiana (G),0.5275111794471741,0.31052038073539734,0.21699079871177673
12,0,0,Euclidiana (H),0.5275111794471741,0.23345442116260529,0.2940567582845688
12,0,0,Manhattan (P),0.5275111794471741,0.33521416783332825,0.19229701161384583
12,0,0,Manhattan (G),0.5275111794471741,0.15657827258110046,0.3709329068660736
12,0,0,Manhattan (H),0.5275111794471741,0.2703057527542114,0.25720542669296265
42,0,0,Minkowski (P),0.038751401007175446,0.5135167241096497,-0.4747653231024742
42,0,0,Minkowski (G),0.038751401007175446,0.4246797561645508,-0.38592835515737534
42,0,0,Minkowski (H),0.038751401007175446,0.3074380159378052,-0.26868661493062973
42,0,0,Euclidiana (P),0.038751401007175446,0.5869038701057434,-0.548152469098568
42,0,0,Euclidiana (G),0.038751401007175446,0.5439990758895874,-0.505247674882412
42,0,0,Euclidiana (H),0.038751401007175446,0.512902021408081,-0.4741506204009056
42,0,0,Manhattan (P),0.038751401007175446,0.4482263922691345,-0.4094749912619591
42,0,0,Manhattan (G),0.038751401007175446,0.48619794845581055,-0.4474465474486351
42,0,0,Manhattan (H),0.038751401007175446,0.5804139375686646,-0.5416625365614891
65,0,0,Minkowski (P),0.4522515535354614,0.551487922668457,-0.0992363691329956
65,0,0,Minkowski (G),0.4522515535354614,0.39611250162124634,0.05613905191421509
65,0,0,Minkowski (H),0.4522515535354614,0.19909551739692688,0.25315603613853455
65,0,0,Euclidiana (P),0.4522515535354614,0.40716615319252014,0.045085400342941284
65,0,0,Euclidiana (G),0.4522515535354614,0.5883132815361023,-0.13606172800064087
65,0,0,Euclidiana (H),0.4522515535354614,0.21195706725120544,0.24029448628425598
65,0,0,Manhattan (P),0.4522515535354614,0.24509207904338837,0.20715947449207306
65,0,0,Manhattan (G),0.4522515535354614,0.4191763401031494,0.03307521343231201
65,0,0,Manhattan (H),0.4522515535354614,0.5178056955337524,-0.06555414199829102
87,0,0,Minkowski (P),0.4293545186519623,0.4456026554107666,-0.01624813675880432
87,0,0,Minkowski (G),0.4293545186519623,0.5065682530403137,-0.07721373438835144
87,0,0,Minkowski (H),0.4293545186519623,0.4463455080986023,-0.016990989446640015
87,0,0,Euclidiana (P),0.4293545186519623,0.4899521470069885,-0.060597628355026245
87,0,0,Euclidiana (G),0.4293545186519623,0.6294500827789307,-0.20009556412696838
87,0,0,Euclidiana (H),0.4293545186519623,0.41521283984184265,0.014141678810119629
87,0,0,Manhattan (P),0.4293545186519623,0.6913732290267944,-0.26201871037483215
87,0,0,Manhattan (G),0.4293545186519623,0.49434730410575867,-0.06499278545379639
87,0,0,Manhattan (H),0.4293545186519623,0.8648160099983215,-0.43546149134635925
