grupo,media,std,n
Euclidiana (P),0.22175665348565773,0.2955824601472844,368
Euclidiana (G),0.1969408947194967,0.31655048048119855,368
Minkowski (H),0.17778306552107728,0.295334636067623,368
Minkowski (P),0.17223000930338775,0.2903589579590263,368
Euclidiana (H),0.15503194887676966,0.25351026399267435,368
Minkowski (G),0.14767243378066822,0.24184803380904168,368
Manhattan (P),0.11057537887245417,0.20060455857008558,368
Manhattan (G),0.05332065980031114,0.14543743165349401,368
Manhattan (H),0.020825437138504956,0.1358781529626015,368
