grupo,media_displasia,media_pulmao,rank_displasia,rank_pulmao,diferenca_rank,diferenca_media
Minkowski (P),0.30852988106892615,0.24594172129481387,1.0,8.0,7.0,0.06258815977411228
Euclidiana (H),0.2618368561991741,0.2709996033456264,8.0,2.0,6.0,-0.009162747146452321
Minkowski (H),0.25194642003656137,0.25808994568375054,9.0,4.0,5.0,-0.006143525647189174
Manhattan (H),0.29184153146352204,0.2496148115938881,4.0,7.0,3.0,0.042226719869633944
Euclidiana (G),0.2937154143350886,0.28254928871395196,3.0,1.0,2.0,0.011166125621136613
Manhattan (G),0.26245697720704536,0.24174540186533705,7.0,9.0,2.0,0.02071157534170831
Euclidiana (P),0.26424079138387635,0.2559168501658132,6.0,5.0,1.0,0.008323941218063124
Minkowski (G),0.2666926103233647,0.2534809421427467,5.0,6.0,1.0,0.01321166818061803
Manhattan (P),0.2940765840524194,0.2625699842643579,2.0,3.0,1.0,0.03150659978806147
