grupo,media,std,n
Euclidiana (G),0.28254928871395196,0.4396304554618132,400
Euclidiana (H),0.2709996033456264,0.408080705523523,400
Manhattan (P),0.2625699842643579,0.4188276029506592,400
Minkowski (H),0.25808994568375054,0.40144790817871134,400
Euclidiana (P),0.2559168501658132,0.40430730891055927,400
Minkowski (G),0.2534809421427467,0.44477749063065175,400
Manhattan (H),0.2496148115938881,0.41972285178980706,400
Minkowski (P),0.24594172129481387,0.4309921224911224,400
Manhattan (G),0.24174540186533705,0.42388169926513297,400
