grupo,media_displasia,media_pulmao,rank_displasia,rank_pulmao,diferenca_rank,diferenca_media
Euclidiana (P),0.22175665348565773,0.20706603711914795,1.0,3.0,2.0,0.014690616366509784
Euclidiana (G),0.1969408947194967,0.19736350226659852,2.0,4.0,2.0,-0.0004226075471018276
Minkowski (H),0.17778306552107728,0.21955207702216284,3.0,1.0,2.0,-0.04176901150108556
Minkowski (P),0.17223000930338775,0.12929346729979443,4.0,5.0,1.0,0.042936542003593314
Euclidiana (H),0.15503194887676966,0.12759889021610435,5.0,6.0,1.0,0.02743305866066531
Minkowski (G),0.14767243378066822,0.20852560438659565,6.0,2.0,4.0,-0.06085317060592743
Manhattan (P),0.11057537887245417,0.10419195519738424,7.0,7.0,0.0,0.00638342367506993
Manhattan (G),0.05332065980031114,0.05879072853109392,8.0,8.0,0.0,-0.005470068730782776
Manhattan (H),0.020825437138504956,0.05135509632797039,9.0,9.0,0.0,-0.030529659189465434
