fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[0.7059625811772804, 0.5278448772757021, 0.4272069755482347, 0.32995824127981105, 0.24585163225866344, 0.18955876565959356, 0.13272456600241464, 0.1163968928668597, 0.07652618521696901, 0.05468538291242025, 0.04570159117040569, 0.041532197533404994, 0.03215540511763259, 0.028136387569447086, 0.0246653312893763, 0.022970222217375286, 0.018143297160324985, 0.024380487785355686, 0.023589221684083547, 0.012145999997650108, 0.018646084614200135, 0.009515160248193839, 0.012806490165730045, 0.01458915466544767, 0.010141214738561683, 0.009578915083245055, 0.005862075899255603, 0.007598068443930721, 0.005761418759516657, 0.01109160493089728, 0.005344942594840102, 0.014358423854390236, 0.010657058059148593, 0.004695858283300106, 0.04118412615705843, 0.006364061337678808, 0.00572009883463791, 0.006666415485821358, 0.02555334152117984, 0.004879394042216344, 0.011071174112084794, 0.007339341897670537, 0.0040256715896348026, 0.003769324244038291, 0.007629565588415485, 0.003348198499249881, 0.004379282947884847, 0.002689599364115665, 0.002777109675313512, 0.002738937190159747]","[0.5, 0.8835616438356164, 0.9726027397260274, 0.9863013698630136, 0.9863013698630136, 1.0, 1.0, 0.9931506849315068, 1.0, 1.0, 1.0, 0.9931506849315068, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9726027397260274, 1.0, 1.0, 1.0, 0.9931506849315068, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7652640673849318, 0.6256087289916145, 0.47046122286054826, 0.35197849737273323, 0.25673192739486694, 0.18949533502260843, 0.1470592353079054, 0.11677988204691145, 0.09655464026663038, 0.07654138571686214, 0.06987678507963817, 0.06366120361619526, 0.05746186607413822, 0.0546340975496504, 0.05017911642789841, 0.048150004612074956, 0.046842883030573525, 0.042985728217495814, 0.036023674739731684, 0.035864435964160495, 0.03654447404874696, 0.03678125018874804, 0.035272662010457784, 0.031416601604885526, 0.029161816669834986, 0.03225272852513525, 0.029326234426763322, 0.028285200397173565, 0.03031458208958308, 0.030751857492658827, 0.03020949785908063, 0.022368678202231724, 0.020342336139745183, 0.020984966928760212, 0.01796790026128292, 0.022896635656555493, 0.028653279774718814, 0.03545872329009904, 0.02644978215297063, 0.030557850789692666, 0.036363637488749295, 0.02713518093029658, 0.027774410115347967, 0.02332294297715028, 0.017730916539827984, 0.017717879886428516, 0.01758089020020432, 0.020356376551919513, 0.02126977841059367, 0.022194749986131985]","[0.19444444444444445, 0.6944444444444444, 0.9444444444444444, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2,"[0.6510608179928505, 0.49202809186830915, 0.3641272460761136, 0.2682215383608047, 0.2535007516406987, 0.1333507276969413, 0.11997605349919567, 0.08040617988125918, 0.05976253518298881, 0.04205116752075822, 0.04017188553124258, 0.025480879700347167, 0.04447048800448849, 0.021360439286656575, 0.017873014591328087, 0.02337489797644419, 0.0199114676718026, 0.011541981645540832, 0.024692260073370314, 0.01969680450346372, 0.010994473497753274, 0.021160678963546883, 0.012487710466327732, 0.007202257517061821, 0.008106988433697452, 0.007788601267623574, 0.0067404603126318486, 0.006539739757674198, 0.01893715711616694, 0.007763015718696868, 0.008084507965265888, 0.009822226888563943, 0.00507021613087352, 0.008888281039791564, 0.015516755209393697, 0.003157354900868584, 0.007815241775386138, 0.015528306221487383, 0.014738501240945842, 0.012262445769259988, 0.007131876500502025, 0.010577509817603517, 0.00764804270934977, 0.006895335478874, 0.004824534007539488, 0.017928691351250428, 0.005655763874927612, 0.004638888082173589, 0.0026214829333483765, 0.0020578073924534942]","[0.6643835616438356, 0.8904109589041096, 0.9726027397260274, 1.0, 0.9794520547945206, 1.0, 0.9931506849315068, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931506849315068, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931506849315068, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9863013698630136, 1.0, 1.0, 0.9931506849315068, 1.0, 1.0, 1.0, 0.9931506849315068, 1.0, 1.0, 1.0, 0.9931506849315068, 1.0, 1.0, 1.0, 1.0]","[0.6860659254921807, 0.6192260053422716, 0.5670429600609673, 0.48848769399854874, 0.42228702041837907, 0.3424140479829576, 0.2695750925276015, 0.22472399142053393, 0.20415587060981327, 0.18462102942996556, 0.17612321509255302, 0.16501512047317293, 0.14060886576771736, 0.12304174486133787, 0.12449452777703603, 0.12398488695422809, 0.1174290817644861, 0.11616673154963388, 0.11778918301893605, 0.12235004620419608, 0.1185336419277721, 0.11271664707197084, 0.12494109053578642, 0.13362233382132319, 0.13624944620662266, 0.14135563373565674, 0.1378653542035156, 0.13768472688065636, 0.11507043056190014, 0.107282355427742, 0.09666827569405238, 0.0875259753730562, 0.08590189315792587, 0.08461205226679643, 0.0910708179904355, 0.11590752626458804, 0.1374300732794735, 0.1623147517028782, 0.17861870593494839, 0.19678312529706293, 0.21598791662189695, 0.21586453707681763, 0.24987258141239485, 0.260309346848064, 0.2683193025489648, 0.23077645587424436, 0.20839308471315438, 0.19782626546091503, 0.18468093809982142, 0.16685635472337404]","[0.5555555555555556, 0.6666666666666666, 0.7777777777777778, 0.7777777777777778, 0.8055555555555556, 0.9166666666666666, 0.9166666666666666, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9722222222222222, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.8888888888888888, 0.9166666666666666, 0.9166666666666666]"
3,"[0.6153444540911708, 0.47888051970251677, 0.36738022853588237, 0.2700964495025832, 0.20783417728440515, 0.14008598635936606, 0.1357436538256448, 0.08320569506493108, 0.07085899705516881, 0.06459503821257888, 0.04546787705400895, 0.04809928659735055, 0.03151022234353526, 0.023357499005465673, 0.020296041282086535, 0.026341751012308845, 0.014554851470065529, 0.012188910603009421, 0.020381010054000493, 0.027521917121163728, 0.00840548172207742, 0.012683268569024473, 0.010718937786617156, 0.017734480726307837, 0.00834073482466669, 0.005916189967558301, 0.00813693993018362, 0.007049361606738691, 0.004960494292578821, 0.005675642577738597, 0.006013447168315279, 0.007029979521858281, 0.03935513570904732, 0.00512754336513322, 0.0036162590768573613, 0.005138094954449555, 0.012502750805739699, 0.014044249057769775, 0.005188268564384559, 0.004891491903730764, 0.00891275416160452, 0.002903727711788539, 0.003046898320638414, 0.005137185167906613, 0.004464067316389289, 0.0051624645768054605, 0.008365638297179649, 0.01269891052667437, 0.0020758698549892367, 0.0065296409009345645]","[0.7241379310344828, 0.9172413793103448, 0.9862068965517241, 0.993103448275862, 0.9862068965517241, 1.0, 0.993103448275862, 1.0, 1.0, 1.0, 0.993103448275862, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.993103448275862, 0.993103448275862, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.724216499844113, 0.6036070391938493, 0.49321087631019384, 0.38201404584420695, 0.27871263188284795, 0.19503042665687767, 0.13876469473581057, 0.10670590078508532, 0.08674537934161522, 0.07064412353006569, 0.05914342282591639, 0.0505626492605016, 0.046450243809738674, 0.043622903928563404, 0.04044782561627594, 0.038383788957789135, 0.03748896929460603, 0.0340498443189505, 0.03024355453011152, 0.027955680481485418, 0.025426917583555787, 0.02234829217195511, 0.020552551927598747, 0.01856368870751278, 0.017194212338811642, 0.016928632013701105, 0.017221047970894222, 0.016578063469480823, 0.01635731540217593, 0.015254911085641061, 0.014689594104483322, 0.014467941899154638, 0.014337538363965781, 0.017045475391520036, 0.01905596462657323, 0.02056260281116576, 0.022719649094584828, 0.021392941625939833, 0.019402612705488462, 0.017537368310464395, 0.016369931978752483, 0.014471750580579848, 0.013360973648928307, 0.013004012254847062, 0.012248389120842959, 0.012182681091331147, 0.011512835233195408, 0.013460502859104323, 0.015321022503682086, 0.015453300816384522]","[0.3783783783783784, 0.7027027027027027, 0.8108108108108109, 0.8378378378378378, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4,"[0.6428568771440689, 0.5116338611465611, 0.3855354887981937, 0.2857393889802776, 0.2092787786705853, 0.15772349418026127, 0.11154439586074386, 0.08131917372141799, 0.07280280859503027, 0.05140996836636164, 0.04397583456888591, 0.03223155500137643, 0.025406679342666716, 0.023347108025256903, 0.02045461973047828, 0.016128932062077196, 0.015233270160547674, 0.01655906479652614, 0.02036857182057957, 0.019293801731442753, 0.07526569313382449, 0.022196030001832196, 0.024579692402318734, 0.013248856881097571, 0.01083173186913745, 0.005749519799568065, 0.008105926292195711, 0.006608920082551976, 0.009218154302862, 0.005139574823161103, 0.006217062715696145, 0.009646983638609925, 0.004158909866356687, 0.004350182281373298, 0.005309215740441051, 0.0031317804927287036, 0.0030777183782360325, 0.007601589232376993, 0.007681560447465067, 0.008597235361190692, 0.003467232850061296, 0.0022391499568746513, 0.0049886295176430106, 0.0032707465196997946, 0.004537775984978023, 0.0026993201152510837, 0.00390624696363325, 0.004055779522973789, 0.001583632183809803, 0.005611875151883657]","[0.6712328767123288, 0.815068493150685, 0.9452054794520548, 0.9863013698630136, 0.9931506849315068, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931506849315068, 0.9931506849315068, 1.0, 0.9726027397260274, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6940527624554105, 0.5958011878861321, 0.5085547500186496, 0.4168988996081882, 0.3339569303724501, 0.26002320978376603, 0.20638170507219103, 0.17188431157006157, 0.1247377594312032, 0.10742788844638401, 0.09740961260265774, 0.09599616130193074, 0.09563516245947944, 0.1040969689687093, 0.09684753086831835, 0.09620659550031026, 0.09705346160464817, 0.09607837266392177, 0.0869700378841824, 0.08074264393912421, 0.07724053495460087, 0.04520698388417562, 0.03915276130040487, 0.0368416193458769, 0.036113578412267894, 0.03919197122255961, 0.038431141111585826, 0.03740867144531674, 0.03673884107006921, 0.039256023036109075, 0.03895965880817837, 0.037525523040029735, 0.03711328407128652, 0.0415968464480506, 0.046057245797581144, 0.042120158672332764, 0.040944440497292414, 0.04802181323369344, 0.04852277868323856, 0.05301265584097968, 0.030844903654522367, 0.022334755294852786, 0.01871233433485031, 0.019256628221935697, 0.01700854508413209, 0.01697808379928271, 0.016729694687657885, 0.01681553903553221, 0.017384218258990183, 0.020842073692215815]","[0.5, 0.6388888888888888, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9722222222222222, 0.9722222222222222, 1.0, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5,"[0.6387114171324105, 0.488092237094353, 0.3601997480310243, 0.28819301703880573, 0.21483180862048576, 0.14383092630526115, 0.10336021297964557, 0.10208848005738752, 0.07076010637242218, 0.053246009658122886, 0.03471728271708406, 0.05781611019167407, 0.08512544046188222, 0.03554378534699308, 0.021457439995017546, 0.02743303734680702, 0.020608277284893495, 0.01804723372233325, 0.019263095126069826, 0.01736425526183227, 0.014498437594237, 0.008297960717102577, 0.014028516360397996, 0.016086869006013048, 0.0077823256752614315, 0.0068767739267184816, 0.01004167497800342, 0.00615341340288006, 0.004954350094214596, 0.0062461147020603045, 0.006293385941535235, 0.004621914327786914, 0.004437933669521891, 0.007699509594461014, 0.008515291956478151, 0.005194278016429523, 0.004177352619068376, 0.0024982268456369638, 0.0027033191928961153, 0.0067723550127241116, 0.004476238889940854, 0.004058813791850517, 0.002971889001542124, 0.004203079859244413, 0.00445177677601319, 0.005382499333214144, 0.0022928052421273856, 0.003228727490480604, 0.006039381386904881, 0.0037591272065865583]","[0.6551724137931034, 0.896551724137931, 0.9724137931034482, 0.9724137931034482, 0.9793103448275862, 0.993103448275862, 1.0, 0.9862068965517241, 1.0, 1.0, 1.0, 0.993103448275862, 0.9724137931034482, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6968499631495089, 0.5692615831220472, 0.4600466167604601, 0.34872736318691355, 0.24985243339796323, 0.18898656843481837, 0.15203561331774737, 0.12408188025693635, 0.11817818497483795, 0.11311311345245387, 0.09790118219884666, 0.09322748232532192, 0.0967382909478368, 0.08486640372791805, 0.08240471679616619, 0.07164950709085206, 0.07802846499190137, 0.0783770100490467, 0.0844181083847542, 0.08428609844397854, 0.0706055968295078, 0.06761900426165478, 0.06972882307663157, 0.07385071880511336, 0.06225173844880349, 0.06786064602233269, 0.05795687044391761, 0.05977453261211112, 0.0582822569067011, 0.05356621462851763, 0.0534536802788844, 0.05751997554624403, 0.05863054242689867, 0.053909933723106575, 0.04853806400520576, 0.045310241598132496, 0.048472836110237484, 0.052035266533493996, 0.05796760051335032, 0.0453036366836042, 0.047504419259525636, 0.05042910326674983, 0.058136043906513904, 0.06665929729068601, 0.061624941869160614, 0.04568797831952169, 0.053209727906898874, 0.04189804838215177, 0.03503954176463791, 0.03902672832781399]","[0.5135135135135135, 0.8918918918918919, 0.918918918918919, 0.9459459459459459, 0.918918918918919, 0.918918918918919, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 1.0, 1.0, 1.0, 1.0, 0.972972972972973, 0.972972972972973, 0.972972972972973, 1.0, 0.972972972972973, 0.972972972972973, 1.0, 0.972972972972973, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.972972972972973, 1.0, 1.0, 1.0, 0.972972972972973, 0.972972972972973, 0.972972972972973, 1.0, 0.972972972972973, 1.0, 1.0, 1.0]"
