fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[1.039798784737635, 0.8552346909889067, 0.7483153511779477, 0.6833351742137562, 0.6325267788135644, 0.5611594987638069, 0.5456205431861106, 0.518640666899055, 0.45798410791339295, 0.4684384712065109, 0.4186261630419529, 0.3766485302135198, 0.35461186218743374, 0.2961435495602964, 0.2969108356369866, 0.307644493351079, 0.3155665435273238, 0.2574914308509441, 0.20962148889748736, 0.2481891964421128, 0.15418072782381617, 0.17065606710284648, 0.16748236097169644, 0.2082414235731568, 0.1959377694310564, 0.21869162718454996, 0.145096853977502, 0.15885469317436218, 0.12352377055871366, 0.12980116136146314, 0.15365836837074973, 0.12879752563406724, 0.1523444733836434, 0.12853873889855663, 0.12306161503298114, 0.08306395495780791, 0.09758965505494012, 0.058025476532151, 0.08753970882507285, 0.1005442687357315, 0.09141007357399271, 0.09548639137335498, 0.09671628430034175, 0.08157089457969473, 0.09990720676653313, 0.09216292868509438, 0.10328923782916984, 0.0805068841636783, 0.07702410070583074, 0.07811385513556124]","[0.4696969696969697, 0.6717171717171717, 0.7424242424242424, 0.7272727272727273, 0.7323232323232324, 0.7727272727272727, 0.8282828282828283, 0.797979797979798, 0.8686868686868687, 0.8131313131313131, 0.8535353535353535, 0.8838383838383839, 0.8939393939393939, 0.9343434343434344, 0.9191919191919192, 0.9040404040404041, 0.9090909090909091, 0.9191919191919192, 0.9393939393939394, 0.9191919191919192, 0.9747474747474747, 0.9494949494949495, 0.9545454545454546, 0.9343434343434344, 0.9393939393939394, 0.9242424242424242, 0.9494949494949495, 0.9545454545454546, 0.9747474747474747, 0.9646464646464646, 0.9545454545454546, 0.9696969696969697, 0.9646464646464646, 0.9646464646464646, 0.9696969696969697, 0.9848484848484849, 0.9646464646464646, 0.98989898989899, 0.9797979797979798, 0.9848484848484849, 0.9797979797979798, 0.9747474747474747, 0.9595959595959596, 0.9797979797979798, 0.9797979797979798, 0.9747474747474747, 0.9545454545454546, 0.9696969696969697, 0.9797979797979798, 0.9696969696969697]","[1.0182799339294433, 0.9994158220291137, 1.052943048477173, 1.0938260984420776, 1.084837098121643, 1.043629388809204, 1.0194421434402465, 0.9975680112838745, 0.9462025403976441, 0.8845126867294312, 0.7620007133483887, 0.6349511528015137, 0.5873617863655091, 0.5714675641059875, 0.5839461946487426, 0.6044988322257996, 0.6565873765945435, 0.6178305315971374, 0.5706830143928527, 0.5571885967254638, 0.5550514006614685, 0.6003480696678162, 0.5995482468605041, 0.5847083497047424, 0.5927916479110718, 0.5795371222496033, 0.5939998340606689, 0.6373771858215332, 0.6362120342254639, 0.586308298110962, 0.5435358881950378, 0.54526211977005, 0.6046436595916748, 0.6774695825576782, 0.7371863079071045, 0.7040573620796203, 0.6787501645088195, 0.7034198498725891, 0.7402105617523194, 0.8369627833366394, 0.7754258871078491, 0.7664475917816163, 0.8675536489486695, 0.8459958493709564, 0.9251197743415832, 0.8234334754943847, 0.6787332248687744, 0.6957310152053833, 0.706699857711792, 0.7288914465904236]","[0.48, 0.48, 0.48, 0.48, 0.48, 0.48, 0.48, 0.48, 0.48, 0.52, 0.7, 0.72, 0.78, 0.78, 0.76, 0.76, 0.78, 0.78, 0.82, 0.8, 0.78, 0.78, 0.8, 0.78, 0.78, 0.8, 0.8, 0.78, 0.8, 0.82, 0.82, 0.86, 0.82, 0.78, 0.78, 0.76, 0.78, 0.78, 0.78, 0.7, 0.74, 0.76, 0.7, 0.8, 0.78, 0.76, 0.76, 0.74, 0.74, 0.74]"
2,"[1.076340939059402, 0.8983517421616448, 0.8045380789824207, 0.7138147570870139, 0.660985985187569, 0.6105539726488518, 0.5596797568629487, 0.5321256966903957, 0.4779665575485037, 0.469354571116091, 0.42342004450884735, 0.37954440020551583, 0.4085324767864112, 0.3618142574724525, 0.37692825962798765, 0.32509053716755876, 0.34297767973909477, 0.32164413308856465, 0.32683028717233675, 0.2673828791488301, 0.2496797904522732, 0.23426109191143152, 0.2505721684658166, 0.1949410607116391, 0.19505612537114306, 0.1704227782861151, 0.18242867637162258, 0.18260964721140235, 0.15942099901160808, 0.18064592011047131, 0.1952418266522764, 0.147644068255569, 0.13712719534382675, 0.17355872720781, 0.11748508943451776, 0.16300425354880516, 0.15149381726679176, 0.09977401823106438, 0.1634332688167842, 0.13645770935097126, 0.11465113451986601, 0.14131630313667384, 0.1049273806163157, 0.09238832474055916, 0.08915378409202653, 0.0808072586101715, 0.08318879056458521, 0.060861285888787475, 0.08649757703897928, 0.06079102706427526]","[0.40404040404040403, 0.6717171717171717, 0.7373737373737373, 0.7373737373737373, 0.7525252525252525, 0.7424242424242424, 0.7828282828282829, 0.8080808080808081, 0.8484848484848485, 0.8282828282828283, 0.8434343434343434, 0.8787878787878788, 0.8535353535353535, 0.8838383838383839, 0.8686868686868687, 0.9343434343434344, 0.9090909090909091, 0.9393939393939394, 0.8838383838383839, 0.9595959595959596, 0.9292929292929293, 0.9393939393939394, 0.9393939393939394, 0.9595959595959596, 0.9646464646464646, 0.9696969696969697, 0.9545454545454546, 0.9545454545454546, 0.9696969696969697, 0.9494949494949495, 0.9494949494949495, 0.9646464646464646, 0.9797979797979798, 0.9444444444444444, 0.9747474747474747, 0.9393939393939394, 0.9696969696969697, 0.9747474747474747, 0.9444444444444444, 0.9595959595959596, 0.9747474747474747, 0.9545454545454546, 0.9545454545454546, 0.9747474747474747, 0.9747474747474747, 0.9848484848484849, 0.9797979797979798, 0.98989898989899, 0.9646464646464646, 0.98989898989899]","[1.140799503326416, 1.133732967376709, 1.0559074974060059, 1.0503025770187377, 1.045603904724121, 1.0271402931213378, 0.9978401136398315, 0.9538158750534058, 0.8977126264572144, 0.8066213178634644, 0.7018271088600159, 0.6240600490570068, 0.6071703243255615, 0.5709689474105835, 0.5722620534896851, 0.5828126430511474, 0.6257094478607178, 0.5807550287246704, 0.5707369041442871, 0.5468698143959045, 0.5545666646957398, 0.5513754487037659, 0.5077247643470764, 0.470189106464386, 0.5707893419265747, 0.6188288259506226, 0.6584735822677612, 0.6692823314666748, 0.49337117195129393, 0.513705141544342, 0.5206091475486755, 0.5051145029067993, 0.43202867269515993, 0.5199514293670654, 0.5846813225746155, 0.6001191711425782, 0.49260174989700317, 0.42219561100006103, 0.47177758932113645, 0.6562509965896607, 0.6380256938934327, 0.5942368888854981, 0.44814395427703857, 0.3968211543560028, 0.4197736978530884, 0.40306591033935546, 0.44822931170463565, 0.5615096187591553, 0.5597073125839234, 0.5494900989532471]","[0.32, 0.22, 0.38, 0.5, 0.44, 0.44, 0.48, 0.6, 0.6, 0.62, 0.7, 0.74, 0.72, 0.72, 0.78, 0.82, 0.76, 0.76, 0.76, 0.76, 0.82, 0.8, 0.8, 0.82, 0.74, 0.8, 0.74, 0.78, 0.82, 0.84, 0.8, 0.8, 0.8, 0.84, 0.8, 0.76, 0.78, 0.86, 0.86, 0.82, 0.82, 0.82, 0.84, 0.88, 0.84, 0.86, 0.88, 0.82, 0.82, 0.82]"
3,"[1.065479237623889, 0.8970190972992869, 0.8044273708805894, 0.7184959114199937, 0.6542379946419687, 0.612320849991808, 0.5556652642259694, 0.5265056472836118, 0.4779046785951865, 0.4512279148053641, 0.417983905233518, 0.3792280476502698, 0.3944915659499891, 0.3338019194627049, 0.3381448773422627, 0.2972294296881165, 0.2853667540381653, 0.24990494759997936, 0.2663989205553074, 0.2416586448447873, 0.2621621618969272, 0.21375737105957185, 0.20288470808905784, 0.2306769791275564, 0.21636941156002007, 0.18219625046758942, 0.18186286543354843, 0.18243023723062843, 0.14917460083961487, 0.13888968722988862, 0.13293032724447926, 0.12698970990951616, 0.11620247785491172, 0.1381934556094083, 0.17011818500480266, 0.11889558917645252, 0.130802687972483, 0.10190998574700018, 0.08648474935931388, 0.1226707673960864, 0.12770110910589044, 0.1206800877445876, 0.1026490649791679, 0.13846200343334314, 0.09269394627725235, 0.09903138070696532, 0.10233331674879248, 0.12330245640542772, 0.06531175534532528, 0.10310750748171951]","[0.46464646464646464, 0.6060606060606061, 0.7121212121212122, 0.7474747474747475, 0.7373737373737373, 0.7626262626262627, 0.8181818181818182, 0.8080808080808081, 0.8383838383838383, 0.8636363636363636, 0.8888888888888888, 0.8888888888888888, 0.8737373737373737, 0.9040404040404041, 0.9040404040404041, 0.9242424242424242, 0.9191919191919192, 0.9343434343434344, 0.9393939393939394, 0.9242424242424242, 0.9141414141414141, 0.9494949494949495, 0.9444444444444444, 0.9494949494949495, 0.9393939393939394, 0.9494949494949495, 0.9343434343434344, 0.9343434343434344, 0.9595959595959596, 0.9696969696969697, 0.9595959595959596, 0.9545454545454546, 0.9797979797979798, 0.9494949494949495, 0.9292929292929293, 0.9797979797979798, 0.9696969696969697, 0.9747474747474747, 0.9848484848484849, 0.9646464646464646, 0.9646464646464646, 0.9797979797979798, 0.9797979797979798, 0.9595959595959596, 0.9848484848484849, 0.9797979797979798, 0.9696969696969697, 0.9595959595959596, 0.98989898989899, 0.9646464646464646]","[1.0489094591140746, 0.9881959486007691, 0.96608078956604, 0.9754757118225098, 0.988483772277832, 0.9804836130142212, 0.9683006572723388, 0.9319924068450928, 0.8995307350158691, 0.8683663892745972, 0.8052544069290161, 0.6728882312774658, 0.6341135859489441, 0.631964406967163, 0.6384349727630615, 0.6916454410552979, 0.7326242303848267, 0.7119757151603698, 0.694632396697998, 0.6334083127975464, 0.6236477947235107, 0.6410986280441284, 0.7253910875320435, 0.7801917362213134, 0.7384079599380493, 0.6895531845092774, 0.706364905834198, 0.8088969993591308, 0.8696862125396728, 0.8690856742858887, 0.8486355638504028, 0.8990896224975586, 0.9377734565734863, 0.8439598941802978, 0.9633097171783447, 0.8980065488815308, 0.8953645563125611, 0.8487793922424316, 0.9417362260818481, 0.914686541557312, 0.9281284904479981, 0.8531001043319703, 0.7785971474647522, 0.6924063682556152, 0.6559156608581543, 0.7065155339241028, 0.7156626057624816, 0.7842038035392761, 0.9551418161392212, 0.9218886184692383]","[0.6, 0.58, 0.66, 0.66, 0.66, 0.6, 0.56, 0.6, 0.6, 0.6, 0.66, 0.66, 0.72, 0.72, 0.74, 0.74, 0.72, 0.72, 0.74, 0.76, 0.78, 0.78, 0.74, 0.74, 0.74, 0.72, 0.72, 0.7, 0.74, 0.78, 0.76, 0.74, 0.74, 0.76, 0.7, 0.74, 0.74, 0.74, 0.76, 0.76, 0.7, 0.7, 0.76, 0.76, 0.76, 0.78, 0.76, 0.72, 0.7, 0.74]"
4,"[1.0511895681745442, 0.8753951503403822, 0.7491308306928856, 0.6677069406413553, 0.6011003294781824, 0.551145252570435, 0.5000427353322207, 0.46790062632393, 0.4189527671241281, 0.39919492347755625, 0.38782323874420854, 0.3704605075582188, 0.3560504410135087, 0.30149781913613555, 0.3179433723190921, 0.2844845544752763, 0.2880859320337449, 0.24813005462962778, 0.2442139232877511, 0.21980931381484373, 0.23616460414987114, 0.22435958720930857, 0.1883176124874671, 0.2065744784908678, 0.18777897684418376, 0.19662181141987517, 0.13904418141099076, 0.11674940279081239, 0.1583687961101532, 0.11512363930443424, 0.15041104992430412, 0.11795344858912367, 0.1127852638762201, 0.11737972168467152, 0.11086005117538286, 0.12850604344852007, 0.10829827631238717, 0.14171129599887522, 0.11579654684018849, 0.09080776583459509, 0.08931897378447068, 0.08123816272721218, 0.08841816085067826, 0.08841758502188639, 0.08561533865467388, 0.06442316086148497, 0.07774709329832738, 0.06412985037319624, 0.06516927847610646, 0.10323505560357367]","[0.44221105527638194, 0.6532663316582915, 0.7135678391959799, 0.7839195979899497, 0.7989949748743719, 0.7939698492462312, 0.8442211055276382, 0.8592964824120602, 0.864321608040201, 0.8743718592964824, 0.8844221105527639, 0.8743718592964824, 0.8844221105527639, 0.9095477386934674, 0.9296482412060302, 0.9195979899497487, 0.9195979899497487, 0.9195979899497487, 0.9396984924623115, 0.9195979899497487, 0.9396984924623115, 0.949748743718593, 0.9396984924623115, 0.9396984924623115, 0.9447236180904522, 0.949748743718593, 0.9698492462311558, 0.9748743718592965, 0.9396984924623115, 0.9748743718592965, 0.9547738693467337, 0.964824120603015, 0.964824120603015, 0.9748743718592965, 0.9798994974874372, 0.9447236180904522, 0.9748743718592965, 0.949748743718593, 0.9698492462311558, 0.9748743718592965, 0.9849246231155779, 0.9798994974874372, 0.9849246231155779, 0.9698492462311558, 0.9698492462311558, 0.9748743718592965, 0.9748743718592965, 0.9798994974874372, 0.9798994974874372, 0.9698492462311558]","[1.0597582471613982, 1.0372991878159192, 0.9997156055606141, 0.9829563194391678, 0.9700918708528791, 0.9522181506059608, 0.9410929460914768, 0.9255764168135974, 0.9109046763303329, 0.8246659089107903, 0.7292133070984665, 0.7247551570133287, 0.7504975722760571, 0.8145067995908309, 0.8011440172487375, 0.8179212127413068, 0.8244114019432847, 0.818615081358929, 0.8106331654957363, 0.8112970882532548, 0.8196304574304697, 0.8248685561880773, 0.8450535341184966, 0.9017005124870612, 0.9004055772508893, 1.0515647980631615, 0.861604135863635, 0.916622458672037, 0.9459837881886229, 0.9155718136806877, 0.946535258877034, 1.0390213521159426, 1.0088272897564634, 0.8871946529466279, 0.917830327335669, 0.9392208432664677, 1.1012158746622047, 1.0410345403515562, 0.9910242581854061, 0.9642501789696363, 0.9288695539746966, 0.9782362507314099, 1.0097913888035988, 1.0112916912351335, 0.9543545927320208, 0.9532507743154254, 0.9692383238247463, 1.0177311045782906, 1.0285574428889217, 0.9725532251961377]","[0.42857142857142855, 0.5714285714285714, 0.6122448979591837, 0.5714285714285714, 0.5306122448979592, 0.5714285714285714, 0.5510204081632653, 0.5510204081632653, 0.5714285714285714, 0.6530612244897959, 0.673469387755102, 0.6326530612244898, 0.7142857142857143, 0.6326530612244898, 0.673469387755102, 0.6938775510204082, 0.7142857142857143, 0.6938775510204082, 0.6938775510204082, 0.7142857142857143, 0.6938775510204082, 0.6938775510204082, 0.6938775510204082, 0.6938775510204082, 0.7551020408163265, 0.6938775510204082, 0.7142857142857143, 0.6530612244897959, 0.6530612244897959, 0.7142857142857143, 0.6530612244897959, 0.6122448979591837, 0.6122448979591837, 0.7346938775510204, 0.7551020408163265, 0.7959183673469388, 0.6938775510204082, 0.7142857142857143, 0.6938775510204082, 0.7142857142857143, 0.7346938775510204, 0.7142857142857143, 0.6938775510204082, 0.673469387755102, 0.6938775510204082, 0.7142857142857143, 0.7142857142857143, 0.7346938775510204, 0.7346938775510204, 0.7346938775510204]"
5,"[1.1037130942895783, 0.9098988738491307, 0.8217168827751773, 0.7220870214491034, 0.6573514288394295, 0.6073903153889143, 0.5746144921935383, 0.5313480915735714, 0.4863337889388578, 0.43555238154066267, 0.4425343567102998, 0.4004388572882168, 0.4013827625830569, 0.3614055512089226, 0.30805245955385757, 0.3134727608318904, 0.27661719244329175, 0.3089638801675346, 0.3034984166897721, 0.22239845407069028, 0.2315183573931306, 0.1843885796977647, 0.18399860848434008, 0.1380800696174104, 0.16858913760688438, 0.18967324944596795, 0.1731267647078289, 0.1683921135175767, 0.15730741021022127, 0.11865390268102963, 0.11125968029750652, 0.1156891312581211, 0.1304733563757422, 0.12135780846054231, 0.12091610608762832, 0.11260800190906428, 0.13383998463501284, 0.11756628572042264, 0.14828633011585504, 0.11217354327889544, 0.09770584061517189, 0.09035852012322776, 0.07656141175846358, 0.09325058589778354, 0.07848367529298791, 0.08017460085526483, 0.062188089118531, 0.0933730395595033, 0.10287778101973798, 0.0707771820975608]","[0.36683417085427134, 0.678391959798995, 0.7286432160804021, 0.7286432160804021, 0.7688442211055276, 0.7989949748743719, 0.8090452261306532, 0.8190954773869347, 0.8190954773869347, 0.8793969849246231, 0.8241206030150754, 0.864321608040201, 0.8693467336683417, 0.8743718592964824, 0.9246231155778895, 0.9195979899497487, 0.9246231155778895, 0.9346733668341709, 0.8894472361809045, 0.9346733668341709, 0.9246231155778895, 0.949748743718593, 0.949748743718593, 0.9748743718592965, 0.9447236180904522, 0.9447236180904522, 0.9447236180904522, 0.9547738693467337, 0.964824120603015, 0.9798994974874372, 0.964824120603015, 0.9698492462311558, 0.9547738693467337, 0.9698492462311558, 0.9597989949748744, 0.9597989949748744, 0.9597989949748744, 0.9547738693467337, 0.9396984924623115, 0.9597989949748744, 0.9698492462311558, 0.9798994974874372, 0.9748743718592965, 0.9849246231155779, 0.9798994974874372, 0.9748743718592965, 0.9748743718592965, 0.9698492462311558, 0.964824120603015, 0.9748743718592965]","[1.0257976030816838, 1.0350606100899833, 1.0089568848512611, 1.0339118509876484, 1.018757727681374, 1.0201265738934886, 1.0184288170872902, 1.0372992583683558, 1.0363597115691827, 0.988242609160287, 0.8516493914078693, 0.7013645038312796, 0.7123959915978568, 0.6457092263260666, 0.6350272796591934, 0.6767435171166245, 0.7269294334917652, 0.6717375224950363, 0.6661813210467903, 0.674761735663122, 0.6468288387571063, 0.640752764380708, 0.6190975758494163, 0.6675823793119314, 0.6593329638850932, 0.5513145218090135, 0.5992345736951245, 0.6729505414865455, 0.7447875969263972, 0.660809436622931, 0.5983301559273078, 0.5851451657256301, 0.6047637328809622, 0.6760591098240444, 0.7815344017379138, 0.7193650092397418, 0.8215472844182229, 0.7787787318229675, 0.8255587232356169, 0.7579459341204896, 0.7529467344284058, 0.7600812291612431, 0.7636041154666823, 0.706126196043832, 0.752401699825209, 0.7818576985475968, 0.8331947010390612, 0.7331876681775463, 0.7358189687436941, 0.6639892763021041]","[0.5306122448979592, 0.4489795918367347, 0.4897959183673469, 0.4897959183673469, 0.4897959183673469, 0.4897959183673469, 0.4897959183673469, 0.4897959183673469, 0.4897959183673469, 0.5306122448979592, 0.5918367346938775, 0.7551020408163265, 0.7551020408163265, 0.7142857142857143, 0.7346938775510204, 0.7551020408163265, 0.7346938775510204, 0.7346938775510204, 0.7346938775510204, 0.7551020408163265, 0.7551020408163265, 0.7551020408163265, 0.7959183673469388, 0.8163265306122449, 0.7755102040816326, 0.7959183673469388, 0.7755102040816326, 0.7346938775510204, 0.673469387755102, 0.7755102040816326, 0.7959183673469388, 0.7959183673469388, 0.7755102040816326, 0.7551020408163265, 0.7346938775510204, 0.7755102040816326, 0.7959183673469388, 0.7755102040816326, 0.7142857142857143, 0.7346938775510204, 0.7346938775510204, 0.7755102040816326, 0.7551020408163265, 0.7755102040816326, 0.7959183673469388, 0.8163265306122449, 0.7959183673469388, 0.7755102040816326, 0.7551020408163265, 0.7755102040816326]"
