branch,bloco,spearman,ssim
mobilenet_orig,nenhum (referencia),1.0,1.0
mobilenet_orig,classifier,0.5450401930834534,0.5904055971336135
mobilenet_orig,features[18],0.42965416529779665,0.6287016371537495
mobilenet_orig,features[17],0.41866390487270555,0.3276046890106349
mobilenet_orig,features[16],0.37469582173329435,0.19565325338019218
mobilenet_orig,features[15],0.3228573944661283,0.2665380578654563
mobilenet_orig,features[14],0.33001175576146863,0.28487868766425
mobilenet_orig,features[13],0.3359122236744301,0.5291063626916207
mobilenet_orig,features[12],0.321562205310596,0.2862934313825468
mobilenet_orig,features[11],0.3309827995051066,0.283464901911415
mobilenet_orig,features[10],0.30686751710308713,0.19932918679410117
mobilenet_orig,features[9],0.2981635008334644,0.1681556125984744
mobilenet_orig,features[8],0.30970820435869145,0.3303119412044491
mobilenet_orig,features[7],0.30642863621707767,0.15060080520800384
mobilenet_orig,features[6],0.32243055725011277,0.24486720126741573
mobilenet_orig,features[5],0.32360288015740823,0.17997194619569706
mobilenet_orig,features[4],0.3204829367664415,0.15472999398695406
mobilenet_orig,features[3],0.31392174211904517,0.13651895065391756
mobilenet_orig,features[2],0.25461913172112904,0.11705079382496718
mobilenet_orig,features[1],0.2196296783548037,0.1705943424514665
mobilenet_orig,features[0],0.2392894027393801,0.05861340644794877
mobilenet_recplot,nenhum (referencia),1.0,1.0
mobilenet_recplot,classifier,0.7198159715338364,0.7000178905254297
mobilenet_recplot,features[18],0.655248716026554,0.48692678534945133
mobilenet_recplot,features[17],0.62105402493934,0.5105845302483986
mobilenet_recplot,features[16],0.6141562103456071,0.47143114193497404
mobilenet_recplot,features[15],0.6030205331013874,0.41358337606267376
mobilenet_recplot,features[14],0.6085997781458872,0.40759892997462355
mobilenet_recplot,features[13],0.620574560451033,0.35568416790288876
mobilenet_recplot,features[12],0.6169981606335744,0.3514021193812089
mobilenet_recplot,features[11],0.6168142375761433,0.485195856445744
mobilenet_recplot,features[10],0.6105538835707021,0.4609111816029467
mobilenet_recplot,features[9],0.6247654990393179,0.30323450907304283
mobilenet_recplot,features[8],0.6229816897869581,0.3291479142619111
mobilenet_recplot,features[7],0.6074274356057481,0.3721856969322233
mobilenet_recplot,features[6],0.613290641802623,0.4837973597575138
mobilenet_recplot,features[5],0.5910546346432192,0.38569265524212104
mobilenet_recplot,features[4],0.5832592379748005,0.5274612680525391
mobilenet_recplot,features[3],0.5830318971633855,0.3336025730099322
mobilenet_recplot,features[2],0.5048014866581345,0.14611741567671166
mobilenet_recplot,features[1],0.3796617783654348,0.18177157150077142
mobilenet_recplot,features[0],0.5012989765210076,0.21238896408635893
effnet_orig,nenhum (referencia),1.0,1.0
effnet_orig,classifier,0.27374223241342427,0.45441090030164655
effnet_orig,features[8],0.24937335903600796,0.41432166277024185
effnet_orig,features[7],0.2481564903692947,0.4026487074533063
effnet_orig,features[6],0.20245067233914021,0.3047047028403959
effnet_orig,features[5],0.20219222852967275,0.3114331616356622
effnet_orig,features[4],0.14078367958840476,0.3027073622307018
effnet_orig,features[3],0.14675082398759626,0.23672823863523723
effnet_orig,features[2],0.09062452164713458,0.176695812316685
effnet_orig,features[1],0.0,0.03081331294563182
effnet_orig,features[0],0.0,0.03081331294563182
effnet_recplot,nenhum (referencia),1.0,1.0
effnet_recplot,classifier,0.9998761536122768,0.9999197644423219
effnet_recplot,features[8],0.9988093189330731,0.9980693648368378
effnet_recplot,features[7],0.9978781419339555,0.9985419257994945
effnet_recplot,features[6],0.9311333156632033,0.9500377232762421
effnet_recplot,features[5],0.7012155503122582,0.761268186033576
effnet_recplot,features[4],0.4928709739969352,0.30548624958631115
effnet_recplot,features[3],0.4338309514074764,0.3021650521522304
effnet_recplot,features[2],0.47184143773358334,0.2912968015843146
effnet_recplot,features[1],0.0,0.14138817936641754
effnet_recplot,features[0],0.0,0.14138817936641754
