fold,best_epoch,best_val_loss,best_val_accuracy,best_train_loss,best_train_accuracy
1,40,0.04619246527552605,1.0,0.020966917257567847,1.0
2,50,0.1164043441414833,0.96,0.01975942800066086,1.0
3,36,0.19108133912086486,0.92,0.04067749974101481,0.9949494949494949
4,45,0.15113650536050602,0.9591836734693877,0.07721579494188778,0.9899497487437185
5,43,0.2605173356679021,0.9183673469387755,0.016611675933078305,1.0
