fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[1.0462061612292974, 0.9415305714414577, 0.8439566872336648, 0.7542470627360873, 0.7049472386186774, 0.6407162775897016, 0.5679236391578057, 0.5359922039388406, 0.4788603024049239, 0.4419972502221965, 0.44332635492989514, 0.4102160328566426, 0.3702144454223941, 0.3580708530816165, 0.307455240476011, 0.29900525224329244, 0.2941088697524986, 0.2595879041185283, 0.24713157403348673, 0.24971309695580993, 0.23729718062612745, 0.21512994651842599, 0.21210444063851328, 0.16336393853028616, 0.1948187260916739, 0.1560349412488215, 0.13750483682661346, 0.14497010153953474, 0.12976882042306842, 0.1319732429704281]","[0.4696969696969697, 0.7373737373737373, 0.803030303030303, 0.8333333333333334, 0.8181818181818182, 0.8282828282828283, 0.8484848484848485, 0.8686868686868687, 0.8737373737373737, 0.9040404040404041, 0.8787878787878788, 0.8939393939393939, 0.9141414141414141, 0.9141414141414141, 0.9393939393939394, 0.9393939393939394, 0.9494949494949495, 0.9595959595959596, 0.9646464646464646, 0.9444444444444444, 0.9545454545454546, 0.9595959595959596, 0.9747474747474747, 0.9848484848484849, 0.9696969696969697, 0.9848484848484849, 0.98989898989899, 0.9747474747474747, 0.9949494949494949, 0.9797979797979798]","[1.065100359916687, 1.0052695655822754, 0.9005714106559753, 0.8038260459899902, 0.732224395275116, 0.6842416167259217, 0.6393418169021606, 0.602526159286499, 0.5534898018836976, 0.5345731163024903, 0.5283478736877442, 0.4922798705101013, 0.47162109375, 0.46734281063079836, 0.4550927209854126, 0.4338977634906769, 0.4209545850753784, 0.4026474905014038, 0.40630062341690065, 0.3956480622291565, 0.3842343318462372, 0.35010948061943054, 0.3420883810520172, 0.32976040363311765, 0.315296710729599, 0.3129306256771088, 0.3005189120769501, 0.3049735224246979, 0.295046284198761, 0.2911480057239533]","[0.48, 0.68, 0.74, 0.82, 0.84, 0.86, 0.88, 0.88, 0.88, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.88, 0.88, 0.88, 0.88, 0.88, 0.94, 0.88, 0.88, 0.92]"
2,"[1.090034382511871, 0.9690321148043931, 0.8850119156066818, 0.7861702514417244, 0.7279138829973009, 0.6690522805608884, 0.6025545500745677, 0.5502592283065872, 0.5223470155638877, 0.4859598275988993, 0.44161191853609955, 0.3954455214317399, 0.38133997026115957, 0.3360821779328163, 0.3722758913280988, 0.29491202969743746, 0.2755519786868433, 0.26692442249770115, 0.256638423661993, 0.2412338988347487, 0.19328561967069452, 0.18983204888575006, 0.17641253152278938, 0.18569958872265285, 0.17200824106582488, 0.13937425583299964, 0.13106512571826126, 0.130962552145274, 0.11679639539333304, 0.1235913083408818]","[0.41919191919191917, 0.6666666666666666, 0.7474747474747475, 0.7727272727272727, 0.7929292929292929, 0.8080808080808081, 0.8383838383838383, 0.8333333333333334, 0.8686868686868687, 0.8686868686868687, 0.9141414141414141, 0.9191919191919192, 0.9343434343434344, 0.9494949494949495, 0.9343434343434344, 0.9595959595959596, 0.9797979797979798, 0.9747474747474747, 0.9595959595959596, 0.9747474747474747, 0.9949494949494949, 0.98989898989899, 0.9848484848484849, 0.9797979797979798, 0.9848484848484849, 0.9949494949494949, 0.98989898989899, 0.9949494949494949, 1.0, 0.9949494949494949]","[1.0909094667434693, 1.0204213523864747, 0.924080958366394, 0.823330717086792, 0.7483918738365173, 0.6987504816055298, 0.658456335067749, 0.6136693596839905, 0.5810888481140136, 0.5517009305953979, 0.5169072318077087, 0.5000315070152282, 0.47110135555267335, 0.4559677743911743, 0.4455989038944244, 0.4342158126831055, 0.4209781813621521, 0.40334402322769164, 0.380597368478775, 0.3570319652557373, 0.3482106912136078, 0.3276010167598724, 0.3260256850719452, 0.31593057155609133, 0.3135243213176727, 0.29314047932624815, 0.29703762888908386, 0.2954285645484924, 0.2820082652568817, 0.27035034537315367]","[0.4, 0.6, 0.7, 0.74, 0.76, 0.78, 0.8, 0.8, 0.8, 0.82, 0.86, 0.86, 0.88, 0.9, 0.9, 0.9, 0.9, 0.92, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.96, 0.94]"
3,"[1.0808794245575413, 0.9746824207932058, 0.86881527274546, 0.8015357177666943, 0.7317673503750503, 0.6737698725979737, 0.6263560676815534, 0.5749298021046803, 0.5254293547736274, 0.49238116572601626, 0.4561303932257373, 0.4157573406142418, 0.3743603091047268, 0.37102476334331014, 0.35278813104436857, 0.30971560092887496, 0.29283994917917733, 0.27318202425735166, 0.26375885684080796, 0.23496804845453512, 0.21837699082162645, 0.23662881237087827, 0.1932067819918045, 0.17845561769273546, 0.1707084955591144, 0.16131266349493856, 0.14913551163191746, 0.13452674523748534, 0.12336330732913932, 0.1268035734843726]","[0.43434343434343436, 0.6464646464646465, 0.7272727272727273, 0.803030303030303, 0.8282828282828283, 0.8737373737373737, 0.8383838383838383, 0.8535353535353535, 0.8636363636363636, 0.8686868686868687, 0.8939393939393939, 0.8787878787878788, 0.9343434343434344, 0.9343434343434344, 0.9343434343434344, 0.9545454545454546, 0.9444444444444444, 0.9646464646464646, 0.9545454545454546, 0.9848484848484849, 0.9696969696969697, 0.9646464646464646, 0.98989898989899, 0.9848484848484849, 0.9848484848484849, 0.98989898989899, 0.9949494949494949, 0.98989898989899, 0.9949494949494949, 0.98989898989899]","[1.0481418943405152, 0.983552303314209, 0.9032396030426025, 0.8178089427947998, 0.7327994203567505, 0.6668328928947449, 0.6169934344291687, 0.5777953839302064, 0.5441922330856324, 0.509218511581421, 0.4782680583000183, 0.459812273979187, 0.4341017746925354, 0.410871696472168, 0.3944583010673523, 0.380980007648468, 0.36740687131881716, 0.3545665955543518, 0.3522853469848633, 0.3375792646408081, 0.337967689037323, 0.32177388429641723, 0.3046750783920288, 0.2980603981018066, 0.2986941838264465, 0.2890449929237366, 0.28088577508926393, 0.28106011152267457, 0.26122050046920775, 0.25549243450164794]","[0.58, 0.76, 0.76, 0.8, 0.82, 0.82, 0.8, 0.82, 0.82, 0.8, 0.82, 0.82, 0.82, 0.84, 0.88, 0.9, 0.94, 0.98, 0.96, 0.98, 0.96, 0.98, 0.94, 0.96, 0.94, 0.94, 0.96, 0.96, 0.98, 0.96]"
4,"[1.0477667807334632, 0.9339815893364911, 0.84762606339239, 0.7642182486141147, 0.7040745574026251, 0.6341388614932496, 0.5895769599095062, 0.5222415927067474, 0.48067114730576177, 0.44902031295862627, 0.42857508383803633, 0.3773321940671259, 0.36017091340156054, 0.31375140910172583, 0.3182912178375014, 0.2911605945783644, 0.28225712560529087, 0.259508043827124, 0.24336046871527955, 0.20205867515137446, 0.20326057106406245, 0.1840379334724129, 0.16798227823259843, 0.15802802400073812, 0.1583761683660536, 0.1589800382978353, 0.13313638520001167, 0.12469829162161554, 0.1297490891799256, 0.10278742112706055]","[0.4271356783919598, 0.628140703517588, 0.7587939698492462, 0.8090452261306532, 0.7989949748743719, 0.8592964824120602, 0.8442211055276382, 0.8542713567839196, 0.914572864321608, 0.8944723618090452, 0.9045226130653267, 0.9346733668341709, 0.9346733668341709, 0.9346733668341709, 0.949748743718593, 0.949748743718593, 0.9597989949748744, 0.964824120603015, 0.964824120603015, 0.9899497487437185, 0.9698492462311558, 0.9798994974874372, 1.0, 0.9949748743718593, 0.9849246231155779, 0.9798994974874372, 0.9899497487437185, 0.9949748743718593, 0.9849246231155779, 0.9949748743718593]","[1.0565489725190766, 0.9988703752050594, 0.9268541384716423, 0.830016973067303, 0.7744908600437398, 0.73366643822923, 0.694485181448411, 0.6683476652417865, 0.6404341970171247, 0.607287449496133, 0.5957399120136183, 0.5802803842388854, 0.5782401695543405, 0.5681640371984366, 0.5425999213238152, 0.5241499920280612, 0.518337142710783, 0.5152895207307777, 0.5252691604653184, 0.5205105312016546, 0.5144500756750301, 0.505963743949423, 0.5055694932840309, 0.4952803071664304, 0.5031332154663242, 0.49180032039175225, 0.4801114894905869, 0.46982188127478774, 0.4737168331535495, 0.45016021692022984]","[0.4489795918367347, 0.5510204081632653, 0.6530612244897959, 0.7755102040816326, 0.7551020408163265, 0.7346938775510204, 0.7551020408163265, 0.7551020408163265, 0.7755102040816326, 0.7755102040816326, 0.7959183673469388, 0.8163265306122449, 0.8367346938775511, 0.8163265306122449, 0.8163265306122449, 0.8163265306122449, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8367346938775511, 0.8571428571428571, 0.8367346938775511, 0.8571428571428571]"
5,"[1.0420857470239226, 0.9303695775156644, 0.8258152035013515, 0.7478073185412728, 0.6806967357295243, 0.6157353804938158, 0.5587913564701176, 0.5190265972410614, 0.4557303019504451, 0.4470877948418335, 0.38907827459388045, 0.39179311625322505, 0.34577639827776196, 0.3136376241343704, 0.27897811505063697, 0.29490814766093115, 0.2495944751566978, 0.22971640130383286, 0.22500969087658215, 0.20590551332313212, 0.20451926975394014, 0.2037782085001768, 0.17336561557036548, 0.13686756265522845, 0.1515969672244997, 0.12156889426648318, 0.14565236170088228, 0.13896224337007532, 0.11220821577250659, 0.11395158629920614]","[0.49748743718592964, 0.6884422110552764, 0.7989949748743719, 0.8040201005025126, 0.8241206030150754, 0.8693467336683417, 0.8693467336683417, 0.864321608040201, 0.8994974874371859, 0.8994974874371859, 0.914572864321608, 0.9195979899497487, 0.9396984924623115, 0.9547738693467337, 0.9597989949748744, 0.9346733668341709, 0.9798994974874372, 0.964824120603015, 0.964824120603015, 0.9798994974874372, 0.964824120603015, 0.964824120603015, 0.9849246231155779, 0.9949748743718593, 0.9748743718592965, 0.9949748743718593, 0.9748743718592965, 0.9798994974874372, 0.9949748743718593, 0.9949748743718593]","[1.0537547456974885, 0.9628726706212881, 0.8690600249232078, 0.7966603685398491, 0.7303719204299304, 0.6811347372677862, 0.6387055881169378, 0.6092291766283463, 0.5876453409389574, 0.566665704153022, 0.5487775048431085, 0.5302695510338764, 0.5119200044748734, 0.5045964547566005, 0.47715972394359357, 0.4630772824190101, 0.45094812159635583, 0.4309386039266781, 0.4276734517545116, 0.4208956743989672, 0.41271202418268943, 0.422442478793008, 0.40982211122707446, 0.3900228233969941, 0.3883434753028714, 0.37999656005781524, 0.37392788821337175, 0.3787790944381636, 0.36010710682187763, 0.3635745139754548]","[0.5306122448979592, 0.6122448979591837, 0.7142857142857143, 0.7346938775510204, 0.7142857142857143, 0.7346938775510204, 0.7346938775510204, 0.7551020408163265, 0.7755102040816326, 0.7755102040816326, 0.7755102040816326, 0.7755102040816326, 0.7755102040816326, 0.7755102040816326, 0.8163265306122449, 0.7959183673469388, 0.8163265306122449, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8163265306122449, 0.8163265306122449, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571]"
