branch,metrica,media,std
effnet_orig,complexity,0.3976249780536054,0.07426503016769284
effnet_orig,faithfulness,0.06629752369675164,0.18519972293209866
effnet_orig,robustness,1.4195019491016865,0.7109407513860356
effnet_recplot,complexity,0.32990342726033,0.12145221392518543
effnet_recplot,faithfulness,0.14526196476072073,0.17730816205690597
effnet_recplot,robustness,2.490082840124766,1.7414724997595514
mobilenet_orig,complexity,0.45743580093991576,0.04927555341638439
mobilenet_orig,faithfulness,0.12963585974648595,0.15012190903201716
mobilenet_orig,robustness,1.775668017566204,0.5283525775476011
mobilenet_recplot,complexity,0.4883431727863534,0.061478213165139614
mobilenet_recplot,faithfulness,0.1293172554578632,0.20761917972987742
mobilenet_recplot,robustness,2.1132014567653337,0.7011053214880177
