branch,metrica,media,std
effnet_orig,complexity,0.5438019025661425,0.15245605209646731
effnet_orig,faithfulness,0.03996330251465539,0.20173258427311577
effnet_orig,robustness,inf,
effnet_recplot,complexity,0.5976760179026391,0.14545183135676581
effnet_recplot,faithfulness,0.04266774734107615,0.1897377158182228
effnet_recplot,robustness,6.8698062198641505,29.500916054886403
mobilenet_orig,complexity,0.6093916676565695,0.08522444550400879
mobilenet_orig,faithfulness,0.054057164669401296,0.1932483742493621
mobilenet_orig,robustness,1.0575311694132246,0.47657346651935406
mobilenet_recplot,complexity,0.6052825403806399,0.13197757542093522
mobilenet_recplot,faithfulness,0.09148979094385615,0.1971377649552908
mobilenet_recplot,robustness,2.1906585290056206,2.898454916652307
