fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[1.0670185919963953, 0.8494605855508284, 0.7618182415914054, 0.6357771224445767, 0.592384691792305, 0.5598714556356873, 0.4689467362683229, 0.4827206791049302, 0.4178828612120465, 0.3384802079561985, 0.35766859743932283, 0.34936004485746824, 0.34309808051947394, 0.3184178543813301, 0.28888451872449933, 0.21553391729942475, 0.22029184572624438, 0.1860113414851102, 0.19599338643478625, 0.21361007052238543, 0.19765385849909348, 0.20111517111460367, 0.16002866866612675, 0.19227820815462054, 0.20699175800940003, 0.15575367423019024, 0.17014508476160994, 0.1247449213206166, 0.19348798075107612, 0.104518511379608]","[0.43434343434343436, 0.7727272727272727, 0.7525252525252525, 0.797979797979798, 0.8333333333333334, 0.797979797979798, 0.8383838383838383, 0.8383838383838383, 0.8888888888888888, 0.9242424242424242, 0.8787878787878788, 0.8888888888888888, 0.8838383838383839, 0.8888888888888888, 0.9090909090909091, 0.9494949494949495, 0.9292929292929293, 0.9494949494949495, 0.9595959595959596, 0.9191919191919192, 0.9393939393939394, 0.9343434343434344, 0.9747474747474747, 0.9494949494949495, 0.9292929292929293, 0.9444444444444444, 0.9393939393939394, 0.9595959595959596, 0.9494949494949495, 0.98989898989899]","[1.0353440427780152, 0.9938389539718628, 0.9320054292678833, 0.9015251207351684, 0.8586452722549438, 0.8282411956787109, 0.7949777150154114, 0.7510045909881592, 0.6897370409965515, 0.6228271389007568, 0.5834589862823486, 0.5649225044250489, 0.5616273951530456, 0.5876491332054138, 0.6295972275733948, 0.6116096472740173, 0.5758254027366638, 0.5329425144195556, 0.5590122294425964, 0.5412087154388427, 0.5490562248229981, 0.5389638185501099, 0.5819492626190186, 0.664710705280304, 0.7420839595794678, 0.7138362526893616, 0.6720245742797851, 0.6059152698516845, 0.6266998267173767, 0.6961976981163025]","[0.56, 0.58, 0.64, 0.64, 0.64, 0.68, 0.7, 0.72, 0.74, 0.74, 0.74, 0.76, 0.78, 0.76, 0.78, 0.74, 0.78, 0.78, 0.78, 0.78, 0.8, 0.8, 0.82, 0.78, 0.76, 0.78, 0.78, 0.76, 0.72, 0.74]"
2,"[1.059157047608886, 0.8608260919349362, 0.7624597862513378, 0.6896787008853874, 0.6017023752434085, 0.5605563069834854, 0.5165264504124419, 0.4588757518566016, 0.40973923814417135, 0.39538531712811403, 0.3321852909796166, 0.34935168304828684, 0.33110928445151355, 0.2755955858062012, 0.31354032170892965, 0.2647441493140327, 0.2671227816379432, 0.2141465659093375, 0.20991361231514902, 0.23992437365079167, 0.17915084536629494, 0.19805487087278656, 0.20069338486652183, 0.1751187148720327, 0.1405339523999378, 0.16231830433161573, 0.1420583917637064, 0.12580152187082502, 0.11840475915056287, 0.14405572625121685]","[0.41919191919191917, 0.6565656565656566, 0.7424242424242424, 0.7424242424242424, 0.7828282828282829, 0.803030303030303, 0.8232323232323232, 0.8585858585858586, 0.8636363636363636, 0.898989898989899, 0.898989898989899, 0.8838383838383839, 0.898989898989899, 0.9242424242424242, 0.898989898989899, 0.9292929292929293, 0.9090909090909091, 0.9494949494949495, 0.9595959595959596, 0.9191919191919192, 0.9444444444444444, 0.9393939393939394, 0.9393939393939394, 0.9393939393939394, 0.9595959595959596, 0.9494949494949495, 0.9545454545454546, 0.9646464646464646, 0.98989898989899, 0.9545454545454546]","[1.0854474544525146, 1.0104794597625733, 0.9986063098907471, 0.9661004018783569, 0.9277655410766602, 0.8807378768920898, 0.8516213297843933, 0.824791829586029, 0.7385703420639038, 0.6735617256164551, 0.6592577028274537, 0.622029287815094, 0.6314021372795104, 0.6464522004127502, 0.7025518441200256, 0.7427749991416931, 0.6565427541732788, 0.6985459995269775, 0.8003768110275269, 0.7408860492706298, 0.6913878226280212, 0.6377511119842529, 0.6644525623321533, 0.7582192516326904, 0.9179126977920532, 0.863161678314209, 0.7767469882965088, 0.7688472819328308, 0.7590543746948242, 0.7793440794944764]","[0.36, 0.48, 0.5, 0.54, 0.6, 0.6, 0.6, 0.62, 0.7, 0.76, 0.78, 0.76, 0.72, 0.72, 0.7, 0.76, 0.76, 0.76, 0.74, 0.74, 0.74, 0.72, 0.76, 0.76, 0.74, 0.72, 0.74, 0.78, 0.74, 0.74]"
3,"[1.0624406578564884, 0.850987049666318, 0.734724552342386, 0.6405335297488203, 0.5936152935028076, 0.5435031495913111, 0.4917299151420593, 0.5075562933478692, 0.4318984599426539, 0.4099081429568204, 0.3860638707575172, 0.36512330204549465, 0.3475059788636487, 0.3012883277854534, 0.28451139698124894, 0.31606099400857485, 0.2788327399528388, 0.2398811015817854, 0.2155601331079849, 0.22046253310911584, 0.23585188449031175, 0.1540947084625562, 0.19145077286344586, 0.15190891906468554, 0.14478225689945798, 0.14897039562764794, 0.13643764365803113, 0.14780743706105937, 0.15088253310232452, 0.22584275163785375]","[0.46464646464646464, 0.7171717171717171, 0.7525252525252525, 0.7424242424242424, 0.7929292929292929, 0.7474747474747475, 0.8232323232323232, 0.8232323232323232, 0.8686868686868687, 0.9090909090909091, 0.8787878787878788, 0.8888888888888888, 0.9040404040404041, 0.9141414141414141, 0.9444444444444444, 0.8838383838383839, 0.9292929292929293, 0.9292929292929293, 0.9444444444444444, 0.9494949494949495, 0.9292929292929293, 0.9747474747474747, 0.9545454545454546, 0.9595959595959596, 0.9646464646464646, 0.9393939393939394, 0.9696969696969697, 0.9646464646464646, 0.9595959595959596, 0.9141414141414141]","[1.0173511600494385, 0.9685273122787476, 0.9000962543487548, 0.8490572357177735, 0.8423325967788696, 0.8688578224182129, 0.8451757907867432, 0.8156433391571045, 0.7724858951568604, 0.7404863715171814, 0.7261137580871582, 0.7408914375305176, 0.6594047307968139, 0.6739217567443848, 0.7081221914291382, 0.7793825721740723, 0.7025856876373291, 0.687146577835083, 0.6716625738143921, 0.6663256311416625, 0.695938720703125, 0.7315040969848633, 0.713632869720459, 0.7172782754898072, 0.5937171626091003, 0.5864025282859803, 0.7599828386306763, 0.831238579750061, 0.901489725112915, 0.9434002590179443]","[0.52, 0.56, 0.54, 0.64, 0.58, 0.56, 0.58, 0.6, 0.7, 0.7, 0.7, 0.72, 0.78, 0.8, 0.74, 0.74, 0.76, 0.72, 0.72, 0.78, 0.74, 0.66, 0.72, 0.74, 0.72, 0.78, 0.78, 0.72, 0.68, 0.64]"
4,"[1.0331007146356095, 0.82230896057196, 0.7231421096241055, 0.6541485013674252, 0.5835365287622615, 0.5721054214928019, 0.5079770112157467, 0.47089746369788393, 0.4358959455585959, 0.4288238406780377, 0.40266032674204766, 0.3759323993519922, 0.3252827956448847, 0.31362491306947105, 0.32756791312490874, 0.2689061142391895, 0.26034004155115864, 0.27289571684209546, 0.2172417598753119, 0.19616627019254407, 0.20261654317678518, 0.17366155225727425, 0.19210923886179326, 0.20386233671226694, 0.13596165663183635, 0.138208960618206, 0.1121877936562102, 0.12672659380352078, 0.13465041012021164, 0.09624708810793095]","[0.49748743718592964, 0.6934673366834171, 0.7236180904522613, 0.7336683417085427, 0.7839195979899497, 0.7537688442211056, 0.8140703517587939, 0.8442211055276382, 0.8793969849246231, 0.8442211055276382, 0.864321608040201, 0.8894472361809045, 0.9045226130653267, 0.9195979899497487, 0.9045226130653267, 0.9396984924623115, 0.9447236180904522, 0.9195979899497487, 0.9447236180904522, 0.9447236180904522, 0.9547738693467337, 0.9447236180904522, 0.9447236180904522, 0.9396984924623115, 0.964824120603015, 0.9698492462311558, 0.9748743718592965, 0.964824120603015, 0.9547738693467337, 0.9899497487437185]","[1.1465561049325126, 1.0326550712390823, 0.9403852151364697, 0.8925344408774862, 0.8465675991408679, 0.8335487988530373, 0.8033193422823536, 0.7326127838115303, 0.635927072593144, 0.5853154002403727, 0.5302813430221713, 0.5227370566251327, 0.5442890111280947, 0.5492290659826629, 0.5010193038959893, 0.48965850289987056, 0.48406784388483787, 0.48159854387750434, 0.5016387044167032, 0.4910009193177126, 0.47897694913708433, 0.42102470993995667, 0.4078411989066066, 0.48395763185559487, 0.4985979947508598, 0.4934587077218659, 0.4602570989910437, 0.40052520316474294, 0.4243720088686262, 0.5473006805595086]","[0.2653061224489796, 0.5306122448979592, 0.6326530612244898, 0.6122448979591837, 0.6122448979591837, 0.6122448979591837, 0.5918367346938775, 0.673469387755102, 0.7755102040816326, 0.7755102040816326, 0.7755102040816326, 0.7346938775510204, 0.7959183673469388, 0.7551020408163265, 0.8367346938775511, 0.8571428571428571, 0.8571428571428571, 0.8775510204081632, 0.8775510204081632, 0.8367346938775511, 0.8367346938775511, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8367346938775511, 0.8571428571428571, 0.7959183673469388]"
5,"[1.0519433351018321, 0.8256299309994108, 0.7221671184103693, 0.6852738650599915, 0.579059054204567, 0.5180588792915919, 0.49384592256354326, 0.4127163087303315, 0.40818167481590156, 0.3550956500834556, 0.32215033853473374, 0.2885210984316304, 0.32863996675865137, 0.26196558181963975, 0.3178869135415734, 0.20822966772707263, 0.22804330132115427, 0.22875832822454634, 0.22281295660153105, 0.1680049860297735, 0.18535698568401623, 0.19682493798397294, 0.18374503010780968, 0.13704839333816987, 0.1795622544672022, 0.1436321820745516, 0.15390476075249102, 0.09825871940983001, 0.0879971627988408, 0.15854561897977512]","[0.49246231155778897, 0.7236180904522613, 0.7386934673366834, 0.7336683417085427, 0.7839195979899497, 0.8391959798994975, 0.8542713567839196, 0.8793969849246231, 0.8542713567839196, 0.9045226130653267, 0.8944723618090452, 0.9246231155778895, 0.8994974874371859, 0.9246231155778895, 0.8743718592964824, 0.9447236180904522, 0.9195979899497487, 0.949748743718593, 0.9296482412060302, 0.9547738693467337, 0.9547738693467337, 0.9597989949748744, 0.9346733668341709, 0.9698492462311558, 0.9597989949748744, 0.9597989949748744, 0.9447236180904522, 0.9899497487437185, 0.9849246231155779, 0.949748743718593]","[1.108862001068738, 1.0817080322577028, 1.0279843904534165, 0.9839231140759527, 0.9651014464242118, 0.9359979069962794, 0.9033374482271622, 0.8566451693067745, 0.7392030017716544, 0.6186032879109286, 0.5948503035671857, 0.6460190020045455, 0.6612403368463322, 0.6791763792232591, 0.7219744622707367, 0.7473468999473416, 0.6961128796849932, 0.6539589926904562, 0.7111148463220013, 0.8348817217106722, 0.8014079344515898, 0.795635883297239, 0.8014832449202635, 0.8040623275601134, 0.7994483386983677, 0.7156590010438647, 0.7509299571416816, 0.7956870690900453, 0.8152112218798423, 0.8246026075616175]","[0.3469387755102041, 0.3673469387755102, 0.46938775510204084, 0.5918367346938775, 0.6326530612244898, 0.6326530612244898, 0.6122448979591837, 0.6326530612244898, 0.6938775510204082, 0.7959183673469388, 0.8163265306122449, 0.8163265306122449, 0.7551020408163265, 0.7551020408163265, 0.7959183673469388, 0.7959183673469388, 0.7959183673469388, 0.7755102040816326, 0.7551020408163265, 0.7142857142857143, 0.7346938775510204, 0.7142857142857143, 0.673469387755102, 0.7346938775510204, 0.7346938775510204, 0.6938775510204082, 0.7142857142857143, 0.7551020408163265, 0.7346938775510204, 0.7346938775510204]"
