fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[0.6907926430765366, 0.5937532312822658, 0.5108125768355186, 0.44591929640201544, 0.3962060222957308, 0.3408312848861644, 0.2969216311609508, 0.23988248121659486, 0.1966041691650618, 0.19864548861190973, 0.13731611386829654, 0.12745700564408144, 0.1055243428771859, 0.09483010691917496, 0.07074520500093107, 0.07053349056089951, 0.06547115881316709, 0.04804550784806542, 0.04647003235110384, 0.03736068490917319, 0.03720761221272267, 0.048411466576010975, 0.03023358824237293, 0.0251094675345334, 0.021631606465933338, 0.026525625403945808, 0.016502534545069895, 0.043222185890406176, 0.017209104922236197, 0.01986199210317719]","[0.5165562913907285, 0.847682119205298, 0.9470198675496688, 0.9735099337748344, 0.9470198675496688, 0.9933774834437086, 0.9867549668874173, 0.9933774834437086, 1.0, 0.9801324503311258, 1.0, 1.0, 1.0, 0.9933774834437086, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6940228343009949, 0.6349472403526306, 0.5657965540885925, 0.48294246196746826, 0.41750553250312805, 0.3526781499385834, 0.30339619517326355, 0.27300968766212463, 0.24155396223068237, 0.21865811944007874, 0.19978168606758118, 0.180582657456398, 0.16690456867218018, 0.15641334652900696, 0.14778979122638702, 0.1443783938884735, 0.13659460842609406, 0.13392187654972076, 0.12961673736572266, 0.12331779301166534, 0.1190299242734909, 0.11367000639438629, 0.11114354431629181, 0.11423198133707047, 0.11108224093914032, 0.10786638408899307, 0.10634437948465347, 0.10341782867908478, 0.09834159165620804, 0.09680591523647308]","[0.6129032258064516, 0.6774193548387096, 0.8064516129032258, 0.8709677419354839, 0.8709677419354839, 0.9032258064516129, 0.8709677419354839, 0.9032258064516129, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.967741935483871, 1.0, 1.0, 1.0, 1.0]"
2,"[0.6991568172419512, 0.5962768051359388, 0.5203598609677067, 0.4715525178997605, 0.4247192484361154, 0.3597369498676724, 0.3075476783293265, 0.3032045159074995, 0.22555191296118277, 0.2118845760822296, 0.2041299449072944, 0.16886524734673677, 0.1404579566584693, 0.12638284564018248, 0.10881861569704833, 0.10718293383165642, 0.08147307236989339, 0.06698545093337695, 0.0755559609995948, 0.07710357617448878, 0.05201321216645064, 0.057343371184887706, 0.04145611883313568, 0.03626402473008191, 0.04574533436033461, 0.04324081832612002, 0.031347394927784246, 0.025913482104186657, 0.026464340532267535, 0.04333802549927323]","[0.5407407407407407, 0.8074074074074075, 0.9481481481481482, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9925925925925926, 0.9629629629629629, 1.0, 0.9925925925925926, 0.9703703703703703, 0.9925925925925926, 0.9851851851851852, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9925925925925926, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9851851851851852]","[0.6285630819645334, 0.6105344802775281, 0.5876235949232224, 0.5319493894881391, 0.4597528665623766, 0.40098190878299955, 0.35455719080377135, 0.3223908587973169, 0.29206019069286104, 0.2737320769340434, 0.2480035696892028, 0.2312574805097377, 0.22560967758614967, 0.20968727672353704, 0.20440605473011098, 0.18490801561386028, 0.1761238508402033, 0.15686317485697726, 0.1409072587464718, 0.12766454416386624, 0.12240846328278805, 0.11496521326455664, 0.11858433247246641, 0.11856642349603329, 0.1106382040901387, 0.1202300268601864, 0.11278333055212143, 0.10828868838700842, 0.10256204349880522, 0.11065167703844131]","[0.8085106382978723, 0.851063829787234, 0.8936170212765957, 0.8723404255319149, 0.8936170212765957, 0.9148936170212766, 0.9361702127659575, 0.9361702127659575, 0.9361702127659575, 0.9361702127659575, 0.9574468085106383, 0.9787234042553191, 0.9361702127659575, 0.9574468085106383, 0.9361702127659575, 0.9574468085106383, 0.9361702127659575, 0.9787234042553191, 0.9787234042553191, 0.9787234042553191, 0.9787234042553191, 0.9787234042553191, 0.9787234042553191, 0.9787234042553191, 0.9787234042553191, 0.9574468085106383, 0.9787234042553191, 0.9787234042553191, 0.9787234042553191, 0.9787234042553191]"
3,"[0.6841083234303618, 0.591035495065663, 0.5033244041547383, 0.44456676710141846, 0.37586438900803865, 0.32203817163428217, 0.2654951218872854, 0.22079729462323122, 0.20600600234449726, 0.1580003265240421, 0.13419042548088178, 0.11702419490846869, 0.10941392469079528, 0.13234839006646038, 0.0718555627008007, 0.06833304893480588, 0.05681964305982198, 0.04329005582895998, 0.048854199072269545, 0.04195639986085565, 0.034313880315382184, 0.03472651735152284, 0.021238126728224428, 0.020134268252000417, 0.027946554532606308, 0.02054264996047706, 0.016560412075829832, 0.019391425056000278, 0.01715661207698796, 0.020187084856506898]","[0.5205479452054794, 0.8356164383561644, 0.9931506849315068, 0.9863013698630136, 0.9863013698630136, 1.0, 1.0, 1.0, 0.9863013698630136, 1.0, 1.0, 1.0, 1.0, 0.9863013698630136, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6843868361579047, 0.6546635230382284, 0.6013441284497579, 0.5184016095267402, 0.43937261899312335, 0.38891320758395725, 0.33861464262008667, 0.29914095666673446, 0.2665977080663045, 0.24514143334494698, 0.22861258188883463, 0.21266714731852213, 0.20279301206270853, 0.19295649396048653, 0.18631897038883632, 0.1798587308989631, 0.1739425394270155, 0.17162087890836927, 0.16274944941202799, 0.1565194328625997, 0.15404323736826578, 0.15230426523420545, 0.15100004110071394, 0.148868418402142, 0.15084956255224016, 0.149614284435908, 0.15278812580638462, 0.15172093444400364, 0.14683850606282553, 0.14751067757606506]","[0.4444444444444444, 0.6388888888888888, 0.7777777777777778, 0.8055555555555556, 0.9166666666666666, 0.8888888888888888, 0.8888888888888888, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9166666666666666, 0.9166666666666666, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666]"
4,"[0.661641538143158, 0.5834973557790121, 0.4851994784673055, 0.4199998970826467, 0.36482053756713867, 0.31833021362622577, 0.26776519854863484, 0.2239543871084849, 0.20050244390964508, 0.16928131520748138, 0.13117356359958648, 0.1504965383807818, 0.13540165344874064, 0.12328154782454173, 0.08366825421651204, 0.07010593384504318, 0.056349410067001976, 0.05879770909746488, 0.045866987059513725, 0.04308162291844686, 0.038093403130769726, 0.03380677968263626, 0.028975354954600335, 0.023695760518312455, 0.02217000370224317, 0.02011153501768907, 0.017271526679396628, 0.030598677744468054, 0.040010596265395486, 0.02540369560321172]","[0.62, 0.7666666666666667, 0.96, 0.96, 0.9866666666666667, 0.9866666666666667, 0.98, 0.9933333333333333, 1.0, 1.0, 1.0, 0.98, 0.9733333333333334, 0.9866666666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6996610164642334, 0.6635485291481018, 0.6148902773857117, 0.5645224452018738, 0.501791775226593, 0.4378964900970459, 0.40003690123558044, 0.3583148419857025, 0.3298090994358063, 0.30897143483161926, 0.2885754108428955, 0.26932016015052795, 0.26368311047554016, 0.2394048273563385, 0.23609061539173126, 0.2257619947195053, 0.21266096830368042, 0.20418024063110352, 0.20456965267658234, 0.1873319149017334, 0.1926286220550537, 0.19112628698349, 0.195358008146286, 0.19218946993350983, 0.18455153703689575, 0.17646296322345734, 0.17109981179237366, 0.16349628567695618, 0.1692665070295334, 0.17646391689777374]","[0.4375, 0.59375, 0.78125, 0.8125, 0.90625, 0.90625, 0.90625, 0.90625, 0.90625, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.96875, 0.96875, 0.9375, 0.9375]"
5,"[0.6842527585486843, 0.5939569857022534, 0.5024408889959936, 0.4172569121399971, 0.36796658863760023, 0.2957599224293069, 0.27350453440457173, 0.21656553875910092, 0.18007095321400524, 0.16306172495018945, 0.13383976196589537, 0.10078541842633731, 0.09334207611949477, 0.07530686545045409, 0.06823667363352971, 0.057528440572627605, 0.0606719360572018, 0.04785270218367446, 0.05355799759495748, 0.05096949779824035, 0.048755399882793427, 0.030828447986955512, 0.046107766052631484, 0.034049138324717954, 0.026060854888533894, 0.021637955501879733, 0.014543614720236766, 0.016496728314724686, 0.013581943302734257, 0.017419902174031898]","[0.547945205479452, 0.821917808219178, 0.9383561643835616, 0.9863013698630136, 0.9794520547945206, 0.9863013698630136, 0.9657534246575342, 0.9931506849315068, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6514980528089735, 0.615976459450192, 0.5678347812758552, 0.5336591535144382, 0.500379827287462, 0.48629339536031085, 0.46279798613654244, 0.43227899736828274, 0.4109112090534634, 0.3945793906847636, 0.38025814294815063, 0.367815269364251, 0.3550533850987752, 0.34782376554277206, 0.33402053515116376, 0.3247687551710341, 0.3262057834201389, 0.3111919297112359, 0.3032734758324093, 0.29854908254411483, 0.296331975195143, 0.2887969348165724, 0.2827652825249566, 0.2745775348610348, 0.27113085985183716, 0.26953603161705864, 0.2630712356832292, 0.2598319947719574, 0.26507816049787736, 0.2627297904756334]","[0.6666666666666666, 0.75, 0.75, 0.75, 0.8611111111111112, 0.8055555555555556, 0.8333333333333334, 0.8055555555555556, 0.8055555555555556, 0.8055555555555556, 0.8055555555555556, 0.8333333333333334, 0.8333333333333334, 0.8055555555555556, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8055555555555556, 0.8333333333333334, 0.8055555555555556, 0.8055555555555556, 0.8055555555555556, 0.8055555555555556, 0.8333333333333334, 0.8333333333333334, 0.8888888888888888, 0.8333333333333334, 0.8333333333333334, 0.8611111111111112, 0.8888888888888888]"
