branch,metrica,media,std
effnet_orig,complexity,0.5438019025661425,0.15245605209646731
effnet_orig,faithfulness,0.04501338947655719,0.2031963320547771
effnet_orig,robustness,inf,
effnet_recplot,complexity,0.5976760179026391,0.14545183135676581
effnet_recplot,faithfulness,0.04158430794537391,0.18562204598118984
effnet_recplot,robustness,5.140153931696778,18.93467099841214
mobilenet_orig,complexity,0.6093916676565695,0.08522444550400879
mobilenet_orig,faithfulness,0.0537128785179685,0.2042614769948865
mobilenet_orig,robustness,1.0495753429182197,0.47421081197507486
mobilenet_recplot,complexity,0.6052825403806399,0.13197757542093522
mobilenet_recplot,faithfulness,0.08360756761596902,0.18122773249434268
mobilenet_recplot,robustness,2.2937016869368763,2.9953616695141787
