fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[1.0779370436764726, 0.952157549183778, 0.8648854704818341, 0.7709016926360853, 0.7273203411487618, 0.6599272381175648, 0.6223229832119412, 0.5849572763298497, 0.5355264300649817, 0.521312749747074, 0.4665738952280295, 0.44300774883742283, 0.40926634994420136, 0.3807638209275525, 0.33584564623206553, 0.3284730394982328, 0.3485997867102575, 0.27503460525262236, 0.246580818987856, 0.26491669934205336, 0.22846398269287263, 0.19392296701970727, 0.18156785736180314, 0.21837428182062477, 0.17771134262133126, 0.1587261813457566, 0.12711363353512503, 0.14712382266015717, 0.11348012872416564, 0.10469166257164696]","[0.37373737373737376, 0.6313131313131313, 0.6868686868686869, 0.7222222222222222, 0.7323232323232324, 0.7474747474747475, 0.7626262626262627, 0.803030303030303, 0.8131313131313131, 0.8232323232323232, 0.8535353535353535, 0.8434343434343434, 0.8939393939393939, 0.9090909090909091, 0.9040404040404041, 0.9141414141414141, 0.8888888888888888, 0.9393939393939394, 0.9444444444444444, 0.9242424242424242, 0.9494949494949495, 0.9747474747474747, 0.9747474747474747, 0.9444444444444444, 0.9696969696969697, 0.9797979797979798, 1.0, 0.9797979797979798, 0.98989898989899, 0.98989898989899]","[1.1129397130012513, 1.0494719123840333, 1.0207068872451783, 1.011451292037964, 0.9948410749435425, 0.9375088453292847, 0.9069668912887573, 0.8515233135223389, 0.7902868962287903, 0.7441590094566345, 0.6929184961318969, 0.6765700149536132, 0.6639865756034851, 0.6362887144088745, 0.6313307285308838, 0.63628178358078, 0.6425677967071534, 0.6322786021232605, 0.6164095997810364, 0.6144135570526124, 0.6140192127227784, 0.6153933811187744, 0.6376177716255188, 0.638741044998169, 0.6327520275115966, 0.6303058099746705, 0.6242229747772217, 0.62873779296875, 0.6433500647544861, 0.6469223237037659]","[0.34, 0.56, 0.58, 0.54, 0.6, 0.6, 0.62, 0.64, 0.72, 0.74, 0.76, 0.78, 0.8, 0.78, 0.8, 0.76, 0.76, 0.74, 0.78, 0.74, 0.74, 0.78, 0.76, 0.8, 0.74, 0.74, 0.76, 0.74, 0.74, 0.72]"
2,"[1.0663397300122963, 0.934146948535033, 0.8466314270038797, 0.7929893154086489, 0.7261512080828348, 0.6677231698325186, 0.6561633793994633, 0.6247673462135623, 0.5739622922858807, 0.5354613005512893, 0.5026464022771276, 0.49528269183756124, 0.47497568076307123, 0.42428641487853697, 0.3974280095461643, 0.37245309954941874, 0.3534788362907641, 0.3119348134055282, 0.2739722900318377, 0.27438624519290344, 0.24120717217223814, 0.22098829830535735, 0.1974130736456977, 0.21056135465400388, 0.1709120220909215, 0.14947945903045962, 0.12592566750868403, 0.14207168119122285, 0.10937295538006407, 0.11855420379927664]","[0.45454545454545453, 0.6212121212121212, 0.6666666666666666, 0.6868686868686869, 0.7171717171717171, 0.7373737373737373, 0.7575757575757576, 0.7373737373737373, 0.7878787878787878, 0.7929292929292929, 0.8282828282828283, 0.8434343434343434, 0.8838383838383839, 0.8686868686868687, 0.8787878787878788, 0.8838383838383839, 0.8888888888888888, 0.9141414141414141, 0.9242424242424242, 0.9191919191919192, 0.9393939393939394, 0.9646464646464646, 0.9595959595959596, 0.9595959595959596, 0.9797979797979798, 0.98989898989899, 0.98989898989899, 0.9747474747474747, 0.9949494949494949, 0.9797979797979798]","[1.0459346771240234, 1.038703384399414, 1.0140954780578613, 0.9910143709182739, 0.961358814239502, 0.9242799758911133, 0.8681982469558716, 0.8126664161682129, 0.7556996488571167, 0.7299988198280335, 0.7030289363861084, 0.6830441570281982, 0.6762687206268311, 0.6750136494636536, 0.6685000252723694, 0.6600183248519897, 0.6511574840545654, 0.6491919183731079, 0.657305302619934, 0.6676501035690308, 0.6633665418624878, 0.6502755212783814, 0.6291256356239319, 0.6408971714973449, 0.6450853085517884, 0.6557524776458741, 0.6463471102714539, 0.6601530933380126, 0.6698293018341065, 0.6947682118415832]","[0.5, 0.56, 0.54, 0.54, 0.62, 0.64, 0.62, 0.64, 0.66, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.72, 0.7, 0.7, 0.72, 0.7, 0.78, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74]"
3,"[1.0625536935498017, 0.9343566888510578, 0.8462220014947833, 0.7666144762376342, 0.7209377270756345, 0.666773502272789, 0.6106666284378128, 0.5850766379423816, 0.5295119460182961, 0.5079198088308777, 0.4621858982124714, 0.4367614846036892, 0.42419360623215185, 0.3918067289121223, 0.35808759837439563, 0.3361240661505497, 0.3328403342853893, 0.2849533792698022, 0.2652205433508362, 0.24536448957944157, 0.23631372957518607, 0.20361790482443992, 0.1848011567737117, 0.16848900522848573, 0.1721512886008831, 0.1382626776743417, 0.12103872467773129, 0.11973644100656414, 0.08895440008303132, 0.09939830727649457]","[0.4393939393939394, 0.6363636363636364, 0.7121212121212122, 0.7121212121212122, 0.7222222222222222, 0.7373737373737373, 0.7727272727272727, 0.7878787878787878, 0.803030303030303, 0.8232323232323232, 0.8282828282828283, 0.8686868686868687, 0.8686868686868687, 0.8838383838383839, 0.8939393939393939, 0.8939393939393939, 0.9090909090909091, 0.9393939393939394, 0.9595959595959596, 0.9696969696969697, 0.9646464646464646, 0.9747474747474747, 0.9949494949494949, 0.9848484848484849, 0.98989898989899, 0.9747474747474747, 0.9949494949494949, 0.98989898989899, 1.0, 0.9949494949494949]","[1.0485644483566283, 0.9992862510681152, 1.0031911277770995, 0.9839151191711426, 0.9492857933044434, 0.8757872533798218, 0.8436464214324951, 0.8137494969367981, 0.7942578554153442, 0.7716539335250855, 0.7641786956787109, 0.7539748859405517, 0.7539411449432373, 0.7564213895797729, 0.7570061779022217, 0.7712368297576905, 0.7938906335830689, 0.7660469675064087, 0.7741634178161622, 0.7773801183700562, 0.7695362186431884, 0.7684640312194824, 0.7510955238342285, 0.7739423847198487, 0.7997088670730591, 0.7973002576828003, 0.8498542451858521, 0.8625963735580444, 0.8363166189193726, 0.8256133604049682]","[0.6, 0.62, 0.62, 0.58, 0.66, 0.68, 0.68, 0.66, 0.62, 0.66, 0.66, 0.68, 0.68, 0.68, 0.68, 0.68, 0.7, 0.7, 0.74, 0.72, 0.72, 0.7, 0.72, 0.7, 0.7, 0.66, 0.66, 0.7, 0.68, 0.7]"
4,"[1.0690153651501066, 0.930714451487939, 0.8415373393039608, 0.7648767310770312, 0.7053451759731351, 0.6479068829785639, 0.6376868633169624, 0.5774384263771862, 0.5426610777126485, 0.5218798470257515, 0.49863975730972676, 0.4624818171089019, 0.4195846798431933, 0.36833129725863584, 0.370624728837804, 0.33226279225481214, 0.30745560709555547, 0.27355903611710325, 0.27210415098535357, 0.22766891511241397, 0.20585561817015835, 0.19397248252851879, 0.20490603770442944, 0.1676096064061975, 0.14460186697729868, 0.1397497045933901, 0.13001501245714311, 0.140132107027811, 0.10519363360488834, 0.09365512872461099]","[0.45226130653266333, 0.6381909547738693, 0.7386934673366834, 0.7185929648241206, 0.7788944723618091, 0.7487437185929648, 0.7738693467336684, 0.8040201005025126, 0.8291457286432161, 0.8291457286432161, 0.864321608040201, 0.8542713567839196, 0.8894472361809045, 0.914572864321608, 0.9095477386934674, 0.9195979899497487, 0.914572864321608, 0.9748743718592965, 0.9396984924623115, 0.9748743718592965, 0.9447236180904522, 0.9748743718592965, 0.964824120603015, 0.9798994974874372, 1.0, 0.9899497487437185, 0.9849246231155779, 0.9849246231155779, 1.0, 0.9949748743718593]","[1.1081882690896794, 1.0971734840042737, 1.0477702179733588, 1.034630257256177, 1.01611412787924, 0.977408551439947, 0.9311026760510036, 0.8793100520056121, 0.8287262928729154, 0.7816716809662021, 0.775439898578488, 0.760502747126988, 0.7557593742195441, 0.736599507380505, 0.7238341715871072, 0.7194691701811187, 0.7220682161194938, 0.7190724282848592, 0.7029422667561745, 0.7014385437478825, 0.711190002305167, 0.7359462015482844, 0.7473263168821529, 0.7524688170880688, 0.7297326654803996, 0.7492812458349734, 0.7714386205283963, 0.7820790446534449, 0.7546803148425355, 0.7571578427236907]","[0.30612244897959184, 0.32653061224489793, 0.5306122448979592, 0.5714285714285714, 0.5714285714285714, 0.6326530612244898, 0.6326530612244898, 0.6122448979591837, 0.6122448979591837, 0.6530612244897959, 0.6122448979591837, 0.6122448979591837, 0.673469387755102, 0.7142857142857143, 0.6938775510204082, 0.6938775510204082, 0.7346938775510204, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7346938775510204, 0.7346938775510204, 0.7346938775510204, 0.7346938775510204, 0.7551020408163265, 0.6938775510204082, 0.6938775510204082, 0.7346938775510204, 0.7551020408163265]"
5,"[1.062304184364913, 0.9346670589255328, 0.8335172444132705, 0.7803890564333853, 0.7348171508491937, 0.6745202658164441, 0.6154064718802371, 0.5951093450263517, 0.5306705667744929, 0.5411289916865191, 0.4806154570986877, 0.44401146299275923, 0.43387012116274043, 0.39810366516736284, 0.371455733350773, 0.3391587464653667, 0.32167653582203926, 0.34090719001377046, 0.2944054652997597, 0.2463825956061857, 0.23427387443020117, 0.2040554417587405, 0.22812762661794922, 0.1817609086707609, 0.16020582204488054, 0.15196547496258914, 0.14017609937406664, 0.12880144436754773, 0.11411529172904528, 0.10017519111010298]","[0.4623115577889447, 0.6381909547738693, 0.6984924623115578, 0.7085427135678392, 0.7035175879396985, 0.7286432160804021, 0.7537688442211056, 0.7738693467336684, 0.7839195979899497, 0.7989949748743719, 0.8190954773869347, 0.8542713567839196, 0.8442211055276382, 0.8793969849246231, 0.8793969849246231, 0.8994974874371859, 0.914572864321608, 0.8743718592964824, 0.9346733668341709, 0.964824120603015, 0.9447236180904522, 0.9748743718592965, 0.9597989949748744, 0.9698492462311558, 0.9899497487437185, 0.9798994974874372, 0.9949748743718593, 0.9748743718592965, 0.9899497487437185, 0.9949748743718593]","[1.0768174492582983, 1.0285408667155675, 1.0154025238387439, 0.9760372954971936, 0.944822080281316, 0.888118848508718, 0.8403477157865252, 0.7880805292908026, 0.7305370630050192, 0.7021687493032339, 0.6884534188679287, 0.6723800557000297, 0.6755831290264519, 0.6571633937407513, 0.6595985597493698, 0.6484533073950787, 0.6514801078913163, 0.6497796944209507, 0.6416909439223153, 0.6489475041019673, 0.6679543986612436, 0.7031893292251898, 0.7059059264708538, 0.7120354929748847, 0.6373634022109362, 0.6264034862420997, 0.6294183743243315, 0.649660704087238, 0.6537607567650932, 0.6919483214008565]","[0.3877551020408163, 0.5306122448979592, 0.6122448979591837, 0.6530612244897959, 0.6938775510204082, 0.6938775510204082, 0.6938775510204082, 0.673469387755102, 0.673469387755102, 0.7346938775510204, 0.7346938775510204, 0.7346938775510204, 0.7142857142857143, 0.7346938775510204, 0.7346938775510204, 0.7346938775510204, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7346938775510204, 0.7346938775510204, 0.7755102040816326, 0.7346938775510204, 0.7551020408163265, 0.7551020408163265, 0.7346938775510204, 0.7551020408163265, 0.7755102040816326]"
