acertos,acc,f1_macro,recall_macro,specificity_macro,seed,cenario
32/43,0.7441860465116279,0.729559748427673,0.75,0.75,93,MobileNet_Original + EffNet_RecPlot
36/43,0.8372093023255814,0.833976833976834,0.8409090909090908,0.8409090909090908,93,MobileNet_RecPlot + EffNet_Original
31/43,0.7209302325581395,0.7171052631578947,0.724025974025974,0.724025974025974,93,MobileNet_RecPlot + EffNet_RecPlot
36/43,0.8372093023255814,0.833976833976834,0.8409090909090908,0.8409090909090908,93,EffNet_Original + EffNet_RecPlot
28/43,0.6511627906976745,0.6098003629764065,0.6590909090909091,0.6590909090909091,93,MobileNet_Original + MobileNet_Original
30/43,0.6976744186046512,0.6916712630998345,0.7012987012987013,0.7012987012987013,93,MobileNet_RecPlot + MobileNet_RecPlot
36/43,0.8372093023255814,0.833976833976834,0.8409090909090908,0.8409090909090908,93,EffNet_Original + EffNet_Original
32/43,0.7441860465116279,0.7391064533921676,0.7478354978354979,0.7478354978354979,93,EffNet_RecPlot + EffNet_RecPlot
31/43,0.7209302325581395,0.7013888888888888,0.7272727272727273,0.7272727272727273,107,MobileNet_Original + MobileNet_RecPlot
32/43,0.7441860465116279,0.729559748427673,0.75,0.75,107,MobileNet_Original + EffNet_Original
35/43,0.813953488372093,0.8088888888888889,0.8181818181818181,0.8181818181818181,107,MobileNet_Original + EffNet_RecPlot
33/43,0.7674418604651163,0.7567873303167421,0.7727272727272727,0.7727272727272727,107,MobileNet_RecPlot + EffNet_Original
31/43,0.7209302325581395,0.7195652173913043,0.722943722943723,0.722943722943723,107,MobileNet_RecPlot + EffNet_RecPlot
35/43,0.813953488372093,0.8088888888888889,0.8181818181818181,0.8181818181818181,107,EffNet_Original + EffNet_RecPlot
29/43,0.6744186046511628,0.6416666666666666,0.6818181818181819,0.6818181818181819,107,MobileNet_Original + MobileNet_Original
28/43,0.6511627906976745,0.6442360728075014,0.6547619047619048,0.6547619047619048,107,MobileNet_RecPlot + MobileNet_RecPlot
35/43,0.813953488372093,0.8088888888888889,0.8181818181818181,0.8181818181818181,107,EffNet_Original + EffNet_Original
32/43,0.7441860465116279,0.7419530823786142,0.7467532467532467,0.7467532467532467,107,EffNet_RecPlot + EffNet_RecPlot
32/43,0.7441860465116279,0.729559748427673,0.75,0.75,121,MobileNet_Original + MobileNet_RecPlot
35/43,0.813953488372093,0.8088888888888889,0.8181818181818181,0.8181818181818181,121,MobileNet_Original + EffNet_Original
36/43,0.8372093023255814,0.8357883251500273,0.8398268398268398,0.8398268398268398,121,MobileNet_Original + EffNet_RecPlot
34/43,0.7906976744186046,0.7831932773109244,0.7954545454545454,0.7954545454545454,121,MobileNet_RecPlot + EffNet_Original
31/43,0.7209302325581395,0.7207792207792207,0.7218614718614718,0.7218614718614718,121,MobileNet_RecPlot + EffNet_RecPlot
36/43,0.8372093023255814,0.8357883251500273,0.8398268398268398,0.8398268398268398,121,EffNet_Original + EffNet_RecPlot
31/43,0.7209302325581395,0.7013888888888888,0.7272727272727273,0.7272727272727273,121,MobileNet_Original + MobileNet_Original
29/43,0.6744186046511628,0.6728260869565217,0.6764069264069263,0.6764069264069263,121,MobileNet_RecPlot + MobileNet_RecPlot
38/43,0.8837209302325582,0.8827059465357338,0.8863636363636364,0.8863636363636364,121,EffNet_Original + EffNet_Original
31/43,0.7209302325581395,0.7207792207792207,0.7218614718614718,0.7218614718614718,121,EffNet_RecPlot + EffNet_RecPlot
