fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[1.0818728569782141, 0.8330682485994666, 0.7539351696919914, 0.6901110874281989, 0.6452936608381946, 0.598398613207268, 0.5387139037401989, 0.5041459395427896, 0.47873532501134003, 0.4479844467808502, 0.4267414820314658, 0.40188354043045427, 0.3929731219705909, 0.33222607380211955, 0.37754202942655546, 0.3473993142445882, 0.282870575033053, 0.2860861390528053, 0.2649983956356241, 0.24130165516728103, 0.25791343775662506, 0.21522486872143215, 0.2195937464935611, 0.19876890862830962, 0.19041370924073037, 0.19806214294048272, 0.16196035706635678, 0.21738461292151248, 0.1662847962644365, 0.1422179871135288]","[0.41414141414141414, 0.7121212121212122, 0.7323232323232324, 0.7525252525252525, 0.7676767676767676, 0.797979797979798, 0.8181818181818182, 0.8383838383838383, 0.797979797979798, 0.8282828282828283, 0.8484848484848485, 0.8686868686868687, 0.8888888888888888, 0.9040404040404041, 0.8535353535353535, 0.8737373737373737, 0.9292929292929293, 0.9141414141414141, 0.9292929292929293, 0.9191919191919192, 0.9191919191919192, 0.9242424242424242, 0.9444444444444444, 0.9393939393939394, 0.9343434343434344, 0.9343434343434344, 0.9545454545454546, 0.9343434343434344, 0.9595959595959596, 0.9797979797979798]","[1.1160509443283082, 1.0184473657608033, 0.9086913967132568, 0.850925817489624, 0.8594126224517822, 0.878128023147583, 0.8754596471786499, 0.7730706334114075, 0.6922670888900757, 0.5994815731048584, 0.48178606033325194, 0.46788142442703246, 0.4628679895401001, 0.4038638460636139, 0.3804381585121155, 0.3735502994060516, 0.3999698781967163, 0.4575216746330261, 0.3965350675582886, 0.4032307243347168, 0.362295343875885, 0.3754066753387451, 0.38598156452178956, 0.33709224820137024, 0.3193248760700226, 0.2762879276275635, 0.3270990777015686, 0.25830026626586916, 0.2908654856681824, 0.3099159646034241]","[0.3, 0.6, 0.58, 0.66, 0.6, 0.58, 0.56, 0.66, 0.7, 0.76, 0.8, 0.78, 0.84, 0.88, 0.88, 0.86, 0.84, 0.84, 0.84, 0.84, 0.84, 0.88, 0.84, 0.86, 0.86, 0.84, 0.86, 0.88, 0.88, 0.88]"
2,"[1.0821224354734325, 0.8465048736996121, 0.7734321397964401, 0.6437916171671164, 0.5892044685103677, 0.5960221712035362, 0.5144362184736464, 0.49243308046851497, 0.43590312624218486, 0.43066524616395585, 0.36743838678706775, 0.3490294907430206, 0.31084977255927193, 0.3345958945727108, 0.30607577119812823, 0.2542793937403746, 0.2648733392207309, 0.2316208222899774, 0.17445793160886475, 0.22914815611309475, 0.17494755140458695, 0.19688893809463037, 0.17817712070966008, 0.1653411715018629, 0.12038183949812493, 0.12869185480204495, 0.12746491335859203, 0.12704840543294194, 0.1213562356853726, 0.1392657371482464]","[0.42424242424242425, 0.7121212121212122, 0.702020202020202, 0.803030303030303, 0.8232323232323232, 0.797979797979798, 0.8282828282828283, 0.8181818181818182, 0.8535353535353535, 0.8838383838383839, 0.9090909090909091, 0.8939393939393939, 0.9141414141414141, 0.898989898989899, 0.9242424242424242, 0.9444444444444444, 0.9242424242424242, 0.9343434343434344, 0.9797979797979798, 0.9595959595959596, 0.9696969696969697, 0.9444444444444444, 0.9545454545454546, 0.9595959595959596, 0.9848484848484849, 0.9797979797979798, 0.9848484848484849, 0.9696969696969697, 0.9696969696969697, 0.9595959595959596]","[1.0952899551391602, 1.0395558261871338, 0.9975356435775757, 0.9655275201797485, 0.9130665159225464, 0.9213129186630249, 0.8987289381027221, 0.7960979151725769, 0.68750483751297, 0.6026689243316651, 0.5221594262123108, 0.5032885718345642, 0.5111254024505615, 0.4911153483390808, 0.48294967889785767, 0.4774070405960083, 0.5160142326354981, 0.519709165096283, 0.508496458530426, 0.5038331913948059, 0.4986729419231415, 0.544021577835083, 0.5549181938171387, 0.5366038537025452, 0.5193837785720825, 0.4919357335567474, 0.49401023983955383, 0.4911441707611084, 0.4924198055267334, 0.47595442295074464]","[0.38, 0.48, 0.52, 0.56, 0.62, 0.62, 0.62, 0.66, 0.7, 0.76, 0.78, 0.78, 0.8, 0.84, 0.76, 0.8, 0.78, 0.78, 0.8, 0.8, 0.82, 0.82, 0.82, 0.8, 0.78, 0.84, 0.82, 0.8, 0.86, 0.82]"
3,"[1.0381263566739631, 0.8444250268165512, 0.713579717910651, 0.6493302667983855, 0.5720562019733467, 0.5323147274026967, 0.4667559524979254, 0.45585913489563296, 0.4253721839249736, 0.4067461845850704, 0.36081664008323594, 0.32453694668683136, 0.3528651956355933, 0.3573419578147657, 0.2763162839292276, 0.25000324122833484, 0.2506461546878622, 0.2330670016582566, 0.22956147549128292, 0.21369653037100128, 0.18118955541138698, 0.1764951434099313, 0.16660597152782208, 0.1745695261040119, 0.14824221998152107, 0.20850617355770534, 0.1400602159626556, 0.12802300760240265, 0.13575659105272003, 0.14981441952363408]","[0.51010101010101, 0.7121212121212122, 0.7323232323232324, 0.7474747474747475, 0.7929292929292929, 0.8080808080808081, 0.8434343434343434, 0.8484848484848485, 0.8686868686868687, 0.8434343434343434, 0.8838383838383839, 0.898989898989899, 0.8939393939393939, 0.8686868686868687, 0.9242424242424242, 0.9242424242424242, 0.9393939393939394, 0.9292929292929293, 0.9393939393939394, 0.9444444444444444, 0.9444444444444444, 0.9545454545454546, 0.9646464646464646, 0.9444444444444444, 0.9646464646464646, 0.9292929292929293, 0.9696969696969697, 0.9747474747474747, 0.9595959595959596, 0.9595959595959596]","[1.1205099964141845, 1.0392884969711305, 0.9876296901702881, 0.9827104520797729, 0.9698693084716797, 0.9514500761032104, 0.9347662162780762, 0.9118699550628662, 0.8775146007537842, 0.8837996196746826, 0.8856816744804382, 0.8493312406539917, 0.8379911923408508, 0.8409040331840515, 0.8545763874053955, 0.80994215965271, 0.82762619972229, 0.8431269073486328, 0.8493355226516723, 0.8933824968338012, 0.9377039456367493, 0.9548326396942138, 1.0356588649749756, 1.000342824459076, 1.0349927616119385, 1.1367746472358704, 1.1520661389827729, 1.0275913071632385, 1.0644605350494385, 1.1419615387916564]","[0.24, 0.46, 0.6, 0.58, 0.56, 0.62, 0.58, 0.58, 0.6, 0.6, 0.58, 0.6, 0.6, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.66, 0.66, 0.66, 0.68, 0.68, 0.68, 0.7]"
4,"[1.0106098496135156, 0.8330026218040505, 0.7063635108458935, 0.6009459705209014, 0.5576687712765219, 0.49815511973059956, 0.47233162633138687, 0.4240997969804697, 0.4075144661131816, 0.39665202040169106, 0.35852031147659724, 0.31182871646617527, 0.2798389071345928, 0.3169043738039295, 0.25287086370602324, 0.21205393663003816, 0.23275490067712026, 0.20812128896090254, 0.17246438675190337, 0.18517780783188403, 0.17297179854694922, 0.1905503541081395, 0.15622006573868757, 0.15498001085379015, 0.1509729819231896, 0.11028836622609565, 0.09080252882523752, 0.14103708584703992, 0.1178546458033461, 0.13648424226434985]","[0.5175879396984925, 0.7085427135678392, 0.7336683417085427, 0.7839195979899497, 0.8090452261306532, 0.8542713567839196, 0.8341708542713567, 0.8844221105527639, 0.8693467336683417, 0.8743718592964824, 0.8793969849246231, 0.9246231155778895, 0.9296482412060302, 0.8743718592964824, 0.9195979899497487, 0.9447236180904522, 0.9447236180904522, 0.9346733668341709, 0.9547738693467337, 0.9346733668341709, 0.9547738693467337, 0.9597989949748744, 0.9547738693467337, 0.9597989949748744, 0.9547738693467337, 0.9698492462311558, 0.9798994974874372, 0.9547738693467337, 0.9597989949748744, 0.9698492462311558]","[1.0542059942167632, 1.0151280335017614, 0.9745691990365788, 0.9315606623279805, 0.9053231234453163, 0.8743703803237604, 0.8567775354093435, 0.8483910889041667, 0.7908116092487257, 0.767121207957365, 0.8109006991191786, 0.8124360113727803, 0.8553680789713957, 0.8812370324621395, 0.823684309210096, 0.847774859593839, 0.8563384888123493, 0.8876850836131037, 0.9024412534674819, 0.9703616949976707, 0.9328776208721862, 0.922439055783408, 0.9959128024626751, 1.109091568966301, 1.0835684781171837, 1.0449033853959064, 1.007359122743412, 0.9884225057095898, 0.8694485924681838, 1.1655526477463392]","[0.5306122448979592, 0.5102040816326531, 0.5102040816326531, 0.5306122448979592, 0.6122448979591837, 0.5918367346938775, 0.6122448979591837, 0.6122448979591837, 0.673469387755102, 0.673469387755102, 0.6122448979591837, 0.6530612244897959, 0.6938775510204082, 0.5714285714285714, 0.6122448979591837, 0.6326530612244898, 0.6122448979591837, 0.6530612244897959, 0.673469387755102, 0.6326530612244898, 0.673469387755102, 0.6938775510204082, 0.673469387755102, 0.6122448979591837, 0.6326530612244898, 0.6938775510204082, 0.673469387755102, 0.6938775510204082, 0.6530612244897959, 0.673469387755102]"
5,"[1.0407542691158889, 0.8550275483323102, 0.728820811264479, 0.6591636853002424, 0.5948348353855574, 0.526548988555544, 0.486566668179766, 0.4096013891637026, 0.4568960546848163, 0.36872959706052466, 0.38317164913493784, 0.3201257243527839, 0.32269841582331826, 0.27486887619123984, 0.2842600937165208, 0.25490065255955835, 0.21168758881151975, 0.2555724878107483, 0.23195921670851397, 0.1597082566975349, 0.13545845261770278, 0.14230361805489314, 0.18637335510110137, 0.1365101632460877, 0.1297212091822121, 0.10838835240908004, 0.13948956214303349, 0.13379432803871644, 0.12545165524410842, 0.07162018689378422]","[0.4723618090452261, 0.7085427135678392, 0.7638190954773869, 0.7788944723618091, 0.7939698492462312, 0.8040201005025126, 0.8291457286432161, 0.864321608040201, 0.8241206030150754, 0.8894472361809045, 0.8944723618090452, 0.9296482412060302, 0.8793969849246231, 0.9296482412060302, 0.9195979899497487, 0.9396984924623115, 0.9547738693467337, 0.9045226130653267, 0.9396984924623115, 0.9798994974874372, 0.9849246231155779, 0.9698492462311558, 0.949748743718593, 0.9597989949748744, 0.9698492462311558, 0.9698492462311558, 0.9597989949748744, 0.964824120603015, 0.949748743718593, 0.9949748743718593]","[1.0608833857945033, 0.9998082749697627, 0.9106188112375687, 0.8702841851176047, 0.8515852519444057, 0.8297779341133273, 0.780282278450168, 0.7238587554620237, 0.6614443939559314, 0.6323739460536412, 0.5965009088418922, 0.6262365871546219, 0.6951740663878772, 0.7066404065307306, 0.7290137203372254, 0.7091472878748056, 0.7323837547886128, 0.7478781306013769, 0.7451127524278602, 0.7210088287081037, 0.7639096926669685, 0.7633125514400249, 0.7533345952325937, 0.7751941583594497, 0.9134521873629823, 0.9719973388983278, 0.988009372536017, 0.9831556714310938, 0.9789405939530353, 0.911456365974582]","[0.4897959183673469, 0.46938775510204084, 0.5714285714285714, 0.6938775510204082, 0.6530612244897959, 0.673469387755102, 0.7346938775510204, 0.6938775510204082, 0.7142857142857143, 0.6938775510204082, 0.7346938775510204, 0.7551020408163265, 0.7551020408163265, 0.7551020408163265, 0.7142857142857143, 0.7551020408163265, 0.7346938775510204, 0.7551020408163265, 0.7551020408163265, 0.7346938775510204, 0.7346938775510204, 0.7346938775510204, 0.7346938775510204, 0.7346938775510204, 0.7142857142857143, 0.7346938775510204, 0.7142857142857143, 0.7142857142857143, 0.7755102040816326, 0.7959183673469388]"
