branch,metrica,media,std
effnet_orig,complexity,0.5489650534117737,0.0170786334581667
effnet_orig,faithfulness,0.13765562062104375,0.18333891161499405
effnet_orig,robustness,1.317691762063463,0.31978365030360384
effnet_recplot,complexity,0.6006144414175811,0.045436534100977394
effnet_recplot,faithfulness,-0.0011438127070412798,0.17349663635389603
effnet_recplot,robustness,475.95835174645407,1890.6142763941252
mobilenet_orig,complexity,0.5827606263108823,0.019593922859202563
mobilenet_orig,faithfulness,0.06025326245669591,0.18663014755320217
mobilenet_orig,robustness,2.161801914542408,0.8205602387343276
mobilenet_recplot,complexity,0.6500767992404979,0.04605431947559271
mobilenet_recplot,faithfulness,-0.018608981033124156,0.18133944940590027
mobilenet_recplot,robustness,2.2981620675931542,0.9637055168894705
