fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[1.0283681370995261, 0.9218986979638687, 0.9251468259878833, 0.8984996965437224, 0.8564658616528367, 0.9279092779063215, 0.8350885600754709, 0.7760341041015856, 0.831406852211615, 0.7495694539763711, 0.7354050344891019, 0.7568201476877386, 0.714925017019715, 0.7023693034143159, 0.6230905694190902, 0.6490184917594447, 0.6051679398074294, 0.5607568395860267, 0.5691065082345346, 0.47556106821455135, 0.43340259760317174, 0.44059710972236865, 0.4278156576734601, 0.4028857398514796, 0.46095295084847343, 0.38542886153616085, 0.48016870924920746, 0.5259955305643756, 0.367908844141045, 0.4295861407963916, 0.40076536211100494, 0.34716565319986054, 0.45596823668239095, 0.3369356869447111, 0.4078453147050106, 0.3865643426625415, 0.33643584751119515, 0.4110540348773051, 0.3361069045283578, 0.29083019803569776, 0.28995081872651074, 0.28134664381393276, 0.2727823320663337, 0.26876350424506446, 0.32264477616608744, 0.21575025657210686, 0.41042448196447257, 0.3080126805738969, 0.2216440351924511, 0.2679394001912589]","[0.5606060606060606, 0.6111111111111112, 0.6313131313131313, 0.6212121212121212, 0.6666666666666666, 0.6111111111111112, 0.6717171717171717, 0.696969696969697, 0.6616161616161617, 0.7121212121212122, 0.7272727272727273, 0.6717171717171717, 0.7121212121212122, 0.7323232323232324, 0.7424242424242424, 0.7474747474747475, 0.7626262626262627, 0.7828282828282829, 0.7575757575757576, 0.8282828282828283, 0.8535353535353535, 0.8181818181818182, 0.8232323232323232, 0.8636363636363636, 0.7828282828282829, 0.8434343434343434, 0.8383838383838383, 0.803030303030303, 0.8484848484848485, 0.8434343434343434, 0.8585858585858586, 0.8939393939393939, 0.8434343434343434, 0.8838383838383839, 0.8383838383838383, 0.8686868686868687, 0.8686868686868687, 0.8737373737373737, 0.8737373737373737, 0.9090909090909091, 0.8939393939393939, 0.8838383838383839, 0.8939393939393939, 0.9242424242424242, 0.8686868686868687, 0.9292929292929293, 0.8636363636363636, 0.8838383838383839, 0.9191919191919192, 0.8939393939393939]","[1.0762059545516969, 1.0703039169311523, 1.068501124382019, 1.0673937129974365, 1.075833568572998, 1.0840467500686646, 1.0874592685699462, 1.093802433013916, 1.1136483716964722, 1.1367497396469117, 1.1572676467895509, 0.9776423215866089, 0.914621901512146, 0.8008556509017944, 0.7004799127578736, 0.6770068383216858, 0.7554381537437439, 0.7521989059448242, 0.7162701463699341, 0.677015266418457, 0.7528865122795105, 0.7813251495361329, 0.780580129623413, 0.7743478202819825, 0.725708794593811, 0.8463575744628906, 0.6736811089515686, 0.7047551679611206, 0.789297161102295, 0.6975840306282044, 0.7400415396690369, 0.8789555048942566, 0.8058636140823364, 0.7398526263237, 0.7779313802719117, 0.7018799591064453, 0.9782048296928406, 0.7159225320816041, 0.6638519620895386, 0.664550063610077, 0.6614559650421142, 0.770300784111023, 0.7466619420051575, 0.939726734161377, 0.844377703666687, 0.7864718127250672, 0.699743881225586, 0.8444175434112549, 0.863840503692627, 0.8316947984695434]","[0.48, 0.48, 0.48, 0.48, 0.48, 0.48, 0.48, 0.48, 0.48, 0.48, 0.48, 0.52, 0.56, 0.66, 0.68, 0.7, 0.66, 0.68, 0.68, 0.7, 0.68, 0.76, 0.7, 0.7, 0.72, 0.6, 0.66, 0.72, 0.66, 0.76, 0.74, 0.66, 0.72, 0.66, 0.7, 0.72, 0.64, 0.72, 0.74, 0.76, 0.78, 0.78, 0.78, 0.74, 0.74, 0.76, 0.8, 0.72, 0.72, 0.7]"
2,"[1.01301048982023, 0.883734774709952, 0.8794069555070665, 0.8643191896303736, 0.8418220052815447, 0.8320580817232228, 0.8091489064573038, 0.8004952928032538, 0.7234373616449761, 0.7529050629548352, 0.790760419585488, 0.7142775492234663, 0.7063618013353059, 0.6468263292553449, 0.5444633635607633, 0.5399005942874484, 0.4756166868739658, 0.47359093511947475, 0.5268317569385875, 0.582032393927526, 0.4274128061352354, 0.4231452201351975, 0.5146806848169577, 0.37393476926919184, 0.3866116127582512, 0.41665460124160303, 0.41040433386359554, 0.3428253794860358, 0.30460772369847156, 0.2467909288225752, 0.3159333639825233, 0.30542985477832835, 0.35535951636054297, 0.4201512676898879, 0.34133017303967716, 0.2794335481494364, 0.38343221009379685, 0.3304161646149375, 0.27591316537423566, 0.2063988916801684, 0.2292888525760535, 0.3381132185459137, 0.3248605156185651, 0.23954795526735712, 0.3169574466618625, 0.21974034261221836, 0.2168187511087668, 0.22841436212713068, 0.27983469659029836, 0.19074601055395723]","[0.5303030303030303, 0.6262626262626263, 0.6464646464646465, 0.6616161616161617, 0.6414141414141414, 0.6464646464646465, 0.6616161616161617, 0.6868686868686869, 0.7121212121212122, 0.702020202020202, 0.6818181818181818, 0.7373737373737373, 0.7222222222222222, 0.7121212121212122, 0.8080808080808081, 0.8181818181818182, 0.8383838383838383, 0.8282828282828283, 0.803030303030303, 0.803030303030303, 0.8333333333333334, 0.8282828282828283, 0.803030303030303, 0.8737373737373737, 0.8484848484848485, 0.8434343434343434, 0.8383838383838383, 0.8737373737373737, 0.898989898989899, 0.9090909090909091, 0.9191919191919192, 0.8787878787878788, 0.8888888888888888, 0.8434343434343434, 0.8585858585858586, 0.9141414141414141, 0.8737373737373737, 0.8888888888888888, 0.9040404040404041, 0.9242424242424242, 0.9292929292929293, 0.8838383838383839, 0.9040404040404041, 0.9141414141414141, 0.8838383838383839, 0.9242424242424242, 0.9292929292929293, 0.9040404040404041, 0.9090909090909091, 0.9343434343434344]","[1.0794047403335572, 1.063873152732849, 1.0650360918045043, 1.0693228006362916, 1.072578763961792, 1.0762994384765625, 1.077384877204895, 1.0905585956573487, 1.135560655593872, 1.1932904386520387, 1.1232402563095092, 0.9985776805877685, 0.9548223447799683, 0.9863102531433106, 0.9539505815505982, 1.0228766560554505, 1.0490911436080932, 1.0683365058898926, 1.145620505809784, 1.1649870371818543, 0.8202631139755249, 0.7864541006088257, 0.9490074229240417, 1.1187014865875244, 1.2707411384582519, 0.8581380474567414, 0.9243027091026306, 1.1180016613006591, 0.9807708811759949, 1.2614262104034424, 1.1930181503295898, 1.4012911653518676, 1.0462241077423096, 0.9421325039863586, 1.0394290566444397, 1.642161898612976, 1.2658676958084107, 1.0850764036178588, 0.9192501258850098, 1.0309071016311646, 1.0884095811843872, 1.2621060919761657, 1.1331814670562743, 1.2558358502388, 1.4485147571563721, 1.189385232925415, 1.2716253232955932, 1.1930784368515015, 1.1006269001960753, 1.094247419834137]","[0.48, 0.48, 0.48, 0.48, 0.48, 0.48, 0.48, 0.48, 0.48, 0.48, 0.48, 0.48, 0.6, 0.54, 0.6, 0.62, 0.62, 0.62, 0.58, 0.6, 0.64, 0.68, 0.62, 0.62, 0.62, 0.72, 0.72, 0.7, 0.68, 0.66, 0.68, 0.64, 0.66, 0.68, 0.7, 0.54, 0.64, 0.68, 0.7, 0.68, 0.68, 0.62, 0.72, 0.66, 0.66, 0.64, 0.68, 0.68, 0.62, 0.66]"
3,"[1.058213179159646, 0.9325860233017893, 0.9657380093227733, 0.8668480948968367, 0.8728558993098712, 0.8555160002274946, 0.7768617531265876, 0.8246900914895414, 0.7599134029764117, 0.6929283738136292, 0.6464529934555593, 0.6036094135106213, 0.5615826152791881, 0.5829395970912895, 0.5164129971855819, 0.5053548283047147, 0.4571077095137702, 0.412339114781582, 0.48811326785521075, 0.4248016443517473, 0.5376005220894862, 0.4021160217246624, 0.4463063761441394, 0.3975046656348489, 0.3998351678101703, 0.30362055488307066, 0.3160162261038115, 0.35484729451362534, 0.336053733497557, 0.3404760216221665, 0.28844453529878095, 0.2712052369659597, 0.36640480792883673, 0.20684976770420266, 0.25317331937828447, 0.2655177586006396, 0.2779957682195336, 0.2552818851639526, 0.27210057383835917, 0.30734145701533616, 0.2573410055854104, 0.23587323017794676, 0.23990255865183743, 0.3427282294841728, 0.27090144894941887, 0.21863080952504668, 0.2208742800385061, 0.1954927071928978, 0.2574871177926208, 0.2216182176512901]","[0.5505050505050505, 0.6161616161616161, 0.5909090909090909, 0.6313131313131313, 0.6464646464646465, 0.6414141414141414, 0.6868686868686869, 0.6767676767676768, 0.7070707070707071, 0.7272727272727273, 0.7424242424242424, 0.7525252525252525, 0.7929292929292929, 0.7929292929292929, 0.8131313131313131, 0.8282828282828283, 0.8131313131313131, 0.8686868686868687, 0.8282828282828283, 0.8282828282828283, 0.7878787878787878, 0.8535353535353535, 0.8333333333333334, 0.8585858585858586, 0.8686868686868687, 0.9090909090909091, 0.9191919191919192, 0.8787878787878788, 0.8787878787878788, 0.9040404040404041, 0.8888888888888888, 0.9090909090909091, 0.8636363636363636, 0.9292929292929293, 0.9242424242424242, 0.9242424242424242, 0.9040404040404041, 0.898989898989899, 0.9141414141414141, 0.8787878787878788, 0.898989898989899, 0.9343434343434344, 0.9292929292929293, 0.8838383838383839, 0.8737373737373737, 0.9141414141414141, 0.9090909090909091, 0.9191919191919192, 0.9090909090909091, 0.9141414141414141]","[1.0770599222183228, 1.057408127784729, 1.051110153198242, 1.0465782976150513, 1.0484255313873292, 1.0473000717163086, 1.0526016187667846, 1.064785213470459, 1.0921199226379394, 1.1632697582244873, 1.1583026838302612, 0.9889751529693603, 0.8397211313247681, 0.7367240619659424, 0.6228327369689941, 0.6192374610900879, 0.7880120205879212, 0.6101329350471496, 0.6678163194656372, 0.6833085680007934, 1.1303279972076417, 0.7603254461288452, 0.6699591827392578, 0.6370187091827393, 0.6981143283843995, 0.6972619557380676, 0.7004383516311645, 0.6692031717300415, 0.5585133314132691, 0.5487766790390015, 0.6355895805358887, 0.6562001228332519, 0.6365482068061828, 0.6846080207824707, 0.8139528512954712, 0.7813623189926148, 0.7099583005905151, 0.7437632751464843, 0.6943474960327148, 1.054054639339447, 0.7502307796478271, 0.65778564453125, 0.6267836713790893, 0.6870461082458497, 0.7878252506256104, 0.7949371337890625, 0.6585342025756836, 0.6558056354522706, 0.8914461135864258, 0.9159374284744263]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.56, 0.68, 0.68, 0.74, 0.76, 0.7, 0.76, 0.76, 0.78, 0.6, 0.68, 0.7, 0.76, 0.74, 0.74, 0.72, 0.72, 0.76, 0.76, 0.7, 0.74, 0.74, 0.7, 0.72, 0.7, 0.7, 0.8, 0.78, 0.68, 0.72, 0.68, 0.76, 0.76, 0.72, 0.7, 0.76, 0.78, 0.72, 0.7]"
4,"[1.0452176245612714, 0.949131554694631, 0.9122756012720079, 0.8563397038522078, 0.8383217657630767, 0.8639398858175805, 0.7809711556937826, 0.8259070261039926, 0.7353159425845698, 0.7514950288600059, 0.694212994683328, 0.6543076400780797, 0.6422208889045907, 0.6047713987192317, 0.6289079650562612, 0.6253657549170394, 0.5225121301023206, 0.547886394825413, 0.47273054733947295, 0.47494327917170887, 0.4639333611606953, 0.46755854059104346, 0.45176978087305425, 0.449682280046856, 0.3951111001584997, 0.47739279345052327, 0.42123295763629165, 0.4019083344756658, 0.33496397778616477, 0.2704805117755679, 0.4086616072223414, 0.2820242589442574, 0.38147967275063593, 0.2858853506757386, 0.2832762967776414, 0.2887620758171657, 0.26709926231347736, 0.20935797077327517, 0.22312557262990942, 0.27657767156859736, 0.28163896014342954, 0.3323782561112888, 0.2166395126350561, 0.22273899944283854, 0.3007068687946952, 0.32456130118825327, 0.3165244171068297, 0.3258380365731129, 0.2569896246320638, 0.26113166723718595]","[0.47738693467336685, 0.6130653266331658, 0.6231155778894473, 0.628140703517588, 0.6834170854271356, 0.6331658291457286, 0.6934673366834171, 0.6532663316582915, 0.7286432160804021, 0.6733668341708543, 0.7236180904522613, 0.7487437185929648, 0.7236180904522613, 0.7386934673366834, 0.7236180904522613, 0.7638190954773869, 0.8040201005025126, 0.8140703517587939, 0.8190954773869347, 0.8140703517587939, 0.8241206030150754, 0.8090452261306532, 0.8140703517587939, 0.8140703517587939, 0.8442211055276382, 0.8291457286432161, 0.8140703517587939, 0.8592964824120602, 0.8743718592964824, 0.9246231155778895, 0.8492462311557789, 0.9095477386934674, 0.8542713567839196, 0.8894472361809045, 0.914572864321608, 0.9045226130653267, 0.9045226130653267, 0.9346733668341709, 0.9195979899497487, 0.8994974874371859, 0.8894472361809045, 0.8994974874371859, 0.9195979899497487, 0.9246231155778895, 0.8844221105527639, 0.8844221105527639, 0.8894472361809045, 0.8693467336683417, 0.9095477386934674, 0.9095477386934674]","[1.0893470438159243, 1.0653804662276287, 1.0540759295833355, 1.0433352139531349, 1.0426550714337095, 1.0471633405101544, 1.0555773997793392, 1.0645310440841986, 1.0701861381530762, 1.0886821381899776, 1.0304332849930744, 0.8902067773196162, 0.7980241142973608, 0.7074033350360637, 0.7196226837683697, 0.7306813269245381, 0.7955702141839631, 0.6710294898675413, 0.7420765769724943, 0.7062352664616643, 0.7106506483895438, 0.8300705065532606, 0.6935792699152109, 0.6416603545753323, 0.6575016123907906, 0.9456696291359104, 0.9454784150026283, 0.7246783996114925, 0.6830674799121156, 0.6719952675761008, 0.8865285260336739, 0.7861569061571237, 0.9137214787152349, 0.9729448897497994, 0.6471787435667855, 0.7409489787354762, 0.831863167334576, 0.8425361550584132, 0.7897558406907685, 0.8873217178850757, 1.110143660282602, 0.8443706218077212, 0.8264853394761378, 0.6952124639433257, 0.781908434264514, 0.8021418440098665, 0.9245944898955676, 0.8953108325296518, 0.7827794795133629, 0.6955544176150341]","[0.5102040816326531, 0.5102040816326531, 0.5102040816326531, 0.5102040816326531, 0.5102040816326531, 0.5102040816326531, 0.5102040816326531, 0.5102040816326531, 0.5102040816326531, 0.5102040816326531, 0.5102040816326531, 0.6122448979591837, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7551020408163265, 0.7142857142857143, 0.7551020408163265, 0.7142857142857143, 0.7755102040816326, 0.7551020408163265, 0.6122448979591837, 0.7142857142857143, 0.7551020408163265, 0.7755102040816326, 0.7142857142857143, 0.7551020408163265, 0.7755102040816326, 0.7959183673469388, 0.7755102040816326, 0.7142857142857143, 0.7755102040816326, 0.7755102040816326, 0.6122448979591837, 0.7551020408163265, 0.7551020408163265, 0.673469387755102, 0.7755102040816326, 0.8163265306122449, 0.7551020408163265, 0.673469387755102, 0.6938775510204082, 0.7346938775510204, 0.7551020408163265, 0.7551020408163265, 0.7346938775510204, 0.673469387755102, 0.7551020408163265, 0.7959183673469388, 0.7551020408163265]"
5,"[1.020223807449916, 0.9301548947640998, 0.8798109388830674, 0.8312448158336045, 0.8621156323495223, 0.8402407256203082, 0.824369719879112, 0.7840089372654057, 0.7999589688813866, 0.7798141768230266, 0.7301397060030069, 0.6876325054683877, 0.6998824450238865, 0.6685790009235018, 0.6465551095392237, 0.6284098426001755, 0.5986574768421039, 0.620065277395536, 0.5412813136026488, 0.4528623883748174, 0.4358382311897661, 0.5061497502590544, 0.4469285526467328, 0.43648915329770227, 0.48554328458393037, 0.471638258977152, 0.43165584754704234, 0.35385128661016724, 0.4070864581882055, 0.3792083239435551, 0.3668343867713483, 0.3222394876144639, 0.3648384590843814, 0.3820695348420934, 0.34491527679577544, 0.28258932595276953, 0.3368023687870658, 0.29973822502634634, 0.2905047522792265, 0.2752604927848931, 0.23422980188724385, 0.24779279163135357, 0.16095818032571418, 0.3029789033547119, 0.25521582829293293, 0.2519329657506703, 0.29940116375534975, 0.27784759285461963, 0.3030207560364924, 0.3253356778441961]","[0.5025125628140703, 0.6030150753768844, 0.6432160804020101, 0.6482412060301508, 0.6633165829145728, 0.6582914572864321, 0.6532663316582915, 0.6834170854271356, 0.678391959798995, 0.6733668341708543, 0.6984924623115578, 0.7286432160804021, 0.6934673366834171, 0.7236180904522613, 0.7437185929648241, 0.7236180904522613, 0.7386934673366834, 0.7386934673366834, 0.7839195979899497, 0.7989949748743719, 0.8140703517587939, 0.7889447236180904, 0.8542713567839196, 0.8442211055276382, 0.8190954773869347, 0.8190954773869347, 0.8341708542713567, 0.8894472361809045, 0.8592964824120602, 0.864321608040201, 0.8592964824120602, 0.8793969849246231, 0.8693467336683417, 0.8542713567839196, 0.8743718592964824, 0.8844221105527639, 0.8894472361809045, 0.8894472361809045, 0.8944723618090452, 0.8944723618090452, 0.9045226130653267, 0.9095477386934674, 0.9597989949748744, 0.8844221105527639, 0.9095477386934674, 0.8994974874371859, 0.8743718592964824, 0.8994974874371859, 0.8743718592964824, 0.8944723618090452]","[1.0853937402063487, 1.0658288123656292, 1.060435572449042, 1.0589442326098073, 1.0608371009632034, 1.063470502288974, 1.0705176397245757, 1.0900578182570788, 1.1166017371781018, 1.1461495890909312, 1.1311518732382326, 1.0133895679396026, 0.9733470483702056, 0.8922266595217646, 0.7898202234384964, 0.9201505476114701, 1.1521823746817452, 0.8527018269714044, 0.7360784825013609, 0.8892856860647396, 0.8692730397594218, 0.8219129260705442, 0.9725239666140809, 0.9495432328204719, 0.7838067789467014, 0.9667033419317129, 0.867515296352153, 0.822171442362727, 0.8845489146758099, 0.7677818293474159, 0.8569362090558422, 0.9443047825171023, 0.8699456331681232, 0.8216352000528452, 0.8190792726010693, 0.8635025365012032, 0.8417655935092848, 0.730039331377769, 0.8222422526807202, 0.9190384806418905, 0.894505213718025, 0.7984803537933194, 0.9437754592116998, 0.8607880290673704, 0.9382822683879307, 0.9869513317030303, 0.9196772794334256, 1.2654075768529152, 1.089803367244954, 0.9848677503819369]","[0.4897959183673469, 0.4897959183673469, 0.4897959183673469, 0.4897959183673469, 0.4897959183673469, 0.4897959183673469, 0.4897959183673469, 0.4897959183673469, 0.4897959183673469, 0.4897959183673469, 0.4897959183673469, 0.5510204081632653, 0.5714285714285714, 0.5714285714285714, 0.6530612244897959, 0.6326530612244898, 0.6530612244897959, 0.6530612244897959, 0.6938775510204082, 0.673469387755102, 0.6326530612244898, 0.6530612244897959, 0.6938775510204082, 0.5918367346938775, 0.673469387755102, 0.6122448979591837, 0.5918367346938775, 0.7142857142857143, 0.7346938775510204, 0.7346938775510204, 0.7551020408163265, 0.7346938775510204, 0.7346938775510204, 0.7551020408163265, 0.7346938775510204, 0.6938775510204082, 0.7142857142857143, 0.6938775510204082, 0.7142857142857143, 0.7346938775510204, 0.7551020408163265, 0.7346938775510204, 0.7346938775510204, 0.7551020408163265, 0.7142857142857143, 0.7755102040816326, 0.7142857142857143, 0.673469387755102, 0.6938775510204082, 0.7551020408163265]"
