fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[0.6726053618404964, 0.5503989323361279, 0.475946550908154, 0.3853995461169987, 0.32502042594021313, 0.26582840329980195, 0.20938418826011762, 0.18005251966110647, 0.1335353867648399, 0.12050490428323615, 0.0910053988025613, 0.07987339825254597, 0.07254554305786956, 0.06054256744172475, 0.05128395445134542, 0.04630011064957266, 0.0278837748178064, 0.03498920333916194, 0.03343234405125657, 0.021497047876250255, 0.028963084549528277, 0.019058660080988114, 0.0193653434055717, 0.02091347497619995, 0.016232013625845518, 0.009577001840488552, 0.01057470125490672, 0.009613497348578826, 0.010459899404787854, 0.0116069233938031, 0.01626846158545311, 0.005941357099999712, 0.008522273768505005, 0.007526316718287664, 0.024153305153834494, 0.006901667925388846, 0.014853743504579754, 0.007311854543394013, 0.004925441787871596, 0.012167097209659342, 0.011154724259490836, 0.007007165850229459, 0.005419892424794092, 0.006190539969207897, 0.010212862647253356, 0.005025846175594281, 0.006570100018831148, 0.006225388851144338, 0.00347797837975907, 0.004932915721701024]","[0.589041095890411, 0.821917808219178, 0.9452054794520548, 0.952054794520548, 0.9657534246575342, 0.9863013698630136, 1.0, 0.9931506849315068, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7102366089820862, 0.6527398957146539, 0.6021260685390897, 0.5366367300351461, 0.4794939094119602, 0.42798171440760296, 0.39169266488817, 0.3676320016384125, 0.3507375650935703, 0.3308565616607666, 0.3233336905638377, 0.3120552764998542, 0.29978109068340725, 0.2936307026280297, 0.29920612110031974, 0.29313211308585274, 0.2803659405973222, 0.2736647195286221, 0.2635013527340359, 0.2645411027802361, 0.26926767494943404, 0.2587747739420997, 0.24595065580474007, 0.2526482807265388, 0.2511852416727278, 0.24973700443903604, 0.2530176209078895, 0.2475257714589437, 0.24170965287420484, 0.24640749560462105, 0.23633597294489542, 0.23503956529829237, 0.2356453239917755, 0.2340866426626841, 0.23583621117803785, 0.22835631502999199, 0.246769732899136, 0.23480831252204049, 0.23519126574198404, 0.20715733038054573, 0.20601968301667106, 0.21453330583042568, 0.21739038825035095, 0.2155755658944448, 0.21663791272375318, 0.21532662709554037, 0.20711563693152535, 0.21314475271436903, 0.21630734205245972, 0.221285127931171]","[0.4444444444444444, 0.6388888888888888, 0.7222222222222222, 0.8055555555555556, 0.8333333333333334, 0.8611111111111112, 0.8333333333333334, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888]"
2,"[0.6688276447661935, 0.579114606935684, 0.49507811992135764, 0.414217130778587, 0.34895661391624033, 0.29135846479298316, 0.24772617343353898, 0.19693339013890043, 0.15995095037434198, 0.1362746194617389, 0.11199215575032039, 0.09459680614814367, 0.07992398320403818, 0.06662704173016222, 0.06689242253156558, 0.05536718829853894, 0.04765833322316, 0.044211282917898, 0.03904431109150795, 0.021237598783145212, 0.025494151940084482, 0.04918544994641657, 0.016682856728973454, 0.02064390245774021, 0.015443266024940635, 0.018517742086559125, 0.012211857797348336, 0.012515471176537748, 0.013448367686304327, 0.009957480958777748, 0.009770177802300616, 0.015455850795523762, 0.009369342345489215, 0.01170041843330207, 0.012421518717318366, 0.01098393836403138, 0.01099160854538826, 0.01054066618623799, 0.008015882657611207, 0.006065324931214117, 0.012469733529405235, 0.0050073801093313795, 0.009325205743925213, 0.004020529461080489, 0.004059136283826338, 0.00642777079945966, 0.011811996325340173, 0.0033016201006631327, 0.0030751319327838207, 0.005900891784782687]","[0.5753424657534246, 0.8356164383561644, 0.9246575342465754, 0.958904109589041, 0.9794520547945206, 0.9726027397260274, 0.9863013698630136, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6900750067498949, 0.6431951522827148, 0.5605187084939744, 0.4778632058037652, 0.40159214867485893, 0.33900129795074463, 0.2925131056043837, 0.2524935801823934, 0.22399750351905823, 0.2045828269587623, 0.18282200892766318, 0.16674875881936815, 0.150451574060652, 0.13873066504796347, 0.13208048211203682, 0.1250210338168674, 0.11785461174117194, 0.11120719379848903, 0.1055241690741645, 0.10282661351892683, 0.09869864251878527, 0.0949917518430286, 0.08744430541992188, 0.0837144802014033, 0.08365870846642388, 0.08154469066196018, 0.08169260621070862, 0.07953028712007734, 0.07894578907224867, 0.0770042555199729, 0.07812099158763885, 0.07886622018284267, 0.07572753561867608, 0.07268355124526554, 0.06977434787485334, 0.07095839579900105, 0.07053911354806688, 0.0705549418926239, 0.07219518389966753, 0.07071567575136821, 0.06752150588565403, 0.06554064816898769, 0.06545313199361165, 0.06657625238100688, 0.0655925108326806, 0.06329896052678426, 0.062040049168798655, 0.061327692535188466, 0.05908759103880988, 0.06008660958872901]","[0.5555555555555556, 0.75, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9444444444444444, 0.9166666666666666, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 1.0, 0.9722222222222222, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9722222222222222, 0.9722222222222222, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3,"[0.6715720678197926, 0.5679386081366703, 0.4926439620297531, 0.4193910117807059, 0.3426993230293537, 0.28102742443824635, 0.23496249328399527, 0.18516618558045092, 0.1561305646238656, 0.14859641739006701, 0.09514820555160786, 0.09157781518738846, 0.06653974590630367, 0.059763180053439634, 0.05703288445184971, 0.042234860463389035, 0.03480845006375477, 0.0556010948172931, 0.040151497927205314, 0.023657454267658036, 0.027903273598901157, 0.031822692448722906, 0.019800010965815906, 0.019648464024066926, 0.014508811962501755, 0.020791278227136053, 0.026099277313413292, 0.012742969342346849, 0.018980269262502934, 0.010093257678993817, 0.008631460946695558, 0.013961597198042377, 0.010566216064938183, 0.011002045063751525, 0.007987933471028148, 0.007793341374731269, 0.0076379777542476, 0.007521639587678786, 0.00657233036733393, 0.00648204255849123, 0.005296368607930068, 0.01065669009012395, 0.007740336332213262, 0.00515413955496303, 0.01064276656713979, 0.010938749587612933, 0.004801695559430739, 0.004212892350965533, 0.005399561034322813, 0.006692825572500969]","[0.5793103448275863, 0.7931034482758621, 0.9310344827586207, 0.9655172413793104, 0.9793103448275862, 0.9724137931034482, 0.993103448275862, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6969771127443056, 0.6622343031135766, 0.5879960333978808, 0.4909212379842191, 0.41196942007219467, 0.3541220297684541, 0.3032835850844512, 0.27256402453860723, 0.24947414365974632, 0.23700586525169579, 0.2218860242817853, 0.20795418926187464, 0.19494058795877406, 0.18225404539623777, 0.170541441118395, 0.16394055211866224, 0.15583301798717394, 0.15124661696923747, 0.14558937098528887, 0.1425622564715308, 0.13272078053371325, 0.1273117782296361, 0.12541921879794146, 0.12228457347766773, 0.1224183174403938, 0.11843031000446629, 0.11876019352191203, 0.1145802075798447, 0.1070241219288594, 0.10520850967716526, 0.10675578342901694, 0.10971774442775829, 0.1017144137137645, 0.10140065083632598, 0.09682932496070862, 0.09874929608525457, 0.0994901721541946, 0.09785328201345496, 0.10091625677572715, 0.10735654267104897, 0.10285263528694978, 0.10109204698253323, 0.10050618890169505, 0.1003653399042181, 0.09559231513255351, 0.09443011638280507, 0.09479315860851391, 0.09240896073547569, 0.08967582116255889, 0.0884408660837122]","[0.4594594594594595, 0.4864864864864865, 0.7837837837837838, 0.918918918918919, 0.918918918918919, 0.918918918918919, 0.918918918918919, 0.918918918918919, 0.918918918918919, 0.918918918918919, 0.9459459459459459, 0.9459459459459459, 0.9459459459459459, 0.9459459459459459, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973]"
4,"[0.7017294895159055, 0.5923617890436356, 0.5151567557086684, 0.42879738342272095, 0.3588003144688802, 0.31601743747110234, 0.24478527209530138, 0.20744069920827266, 0.18921326856090598, 0.14624090860151265, 0.1137014608064743, 0.09990949459271888, 0.08259247386292236, 0.06870296638305873, 0.06772854577188622, 0.04952953041416325, 0.0421581981218841, 0.03772463363735643, 0.03192659745579713, 0.029621827275785682, 0.032394627160201334, 0.023639443904569703, 0.018797947986893458, 0.015386075432067865, 0.01838252535217429, 0.027924037372616874, 0.014437691601988387, 0.023565015155975134, 0.010820480880059609, 0.01573747845545207, 0.011392687447369099, 0.00910467924932911, 0.014875679340672819, 0.009790573371191547, 0.0090329725397368, 0.008532826189104824, 0.009693671566472477, 0.0066683073017797245, 0.008643282252070431, 0.009776373865873846, 0.008232658716199333, 0.019846492434201175, 0.00490334530501333, 0.009836329836143206, 0.0046065086498856544, 0.004662380962032978, 0.007759644611649318, 0.009169680902045476, 0.004949198780606871, 0.004084688828211941]","[0.4726027397260274, 0.8013698630136986, 0.8904109589041096, 0.9794520547945206, 0.9931506849315068, 0.9657534246575342, 0.9931506849315068, 1.0, 0.9863013698630136, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6253525548511081, 0.6103049980269538, 0.5865847600830926, 0.5265201860004001, 0.4598401188850403, 0.40330372916327584, 0.35164514515135026, 0.32270879215664333, 0.3046599096722073, 0.2798471914397346, 0.263312213950687, 0.25338945786158246, 0.23543912834591335, 0.2243641416231791, 0.22791359159681532, 0.21070575382974413, 0.208404541015625, 0.1993206242720286, 0.1964341633849674, 0.20223133431540596, 0.19711432192060682, 0.20674862795405918, 0.2058882713317871, 0.203253126806683, 0.19731309678819445, 0.19556768072976005, 0.20786956946055093, 0.1890010635058085, 0.1817814376619127, 0.18113043904304504, 0.17850416567590502, 0.17657911446359423, 0.1861022710800171, 0.1636801626947191, 0.15650318066279092, 0.164451969994439, 0.1635795301861233, 0.16253319713804457, 0.16631241308318245, 0.15509208705690172, 0.15815566976865134, 0.1372280882464515, 0.14111938079198202, 0.164825932847129, 0.16881444719102648, 0.16512304544448853, 0.15742424461576673, 0.154622260067198, 0.16895720031526354, 0.17301007443004185]","[0.6388888888888888, 0.6944444444444444, 0.6666666666666666, 0.8055555555555556, 0.8611111111111112, 0.9166666666666666, 0.9166666666666666, 0.9444444444444444, 0.9166666666666666, 0.9166666666666666, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444]"
5,"[0.6787127614021301, 0.5850852407258132, 0.502196324282679, 0.4379165472655461, 0.3841662273324769, 0.30317752792917446, 0.2549398120107322, 0.21411362300659048, 0.17035439939334474, 0.14552550470006878, 0.11880941308777908, 0.08859525826470606, 0.09246855799494119, 0.06723518705573575, 0.08616801294787177, 0.05204827359010433, 0.04833932375085765, 0.03374489532976315, 0.048993524754869525, 0.0447792928023585, 0.025087085469015714, 0.02769011515995552, 0.016259339477481514, 0.019735541836968785, 0.027437854950027218, 0.01405327106858122, 0.015584238278197831, 0.015198066008502039, 0.013141808780873643, 0.016707593029172255, 0.019972326555128754, 0.010047756206115772, 0.020325318479846265, 0.008613074403898469, 0.009109325771187914, 0.010191758477996136, 0.006396645872757353, 0.01626144223043631, 0.007181832843042653, 0.006129869561770866, 0.005801268467872307, 0.012304103451556173, 0.004452174567970736, 0.00711184065660526, 0.005821300278706797, 0.0072808427800392286, 0.004742635503925126, 0.003551020431492863, 0.0053625319538445305, 0.0032917606355301267]","[0.6137931034482759, 0.8344827586206897, 0.9241379310344827, 0.9586206896551724, 0.9724137931034482, 0.993103448275862, 0.993103448275862, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.993103448275862, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6472589808541376, 0.6019950315758988, 0.5469726936237232, 0.4792718114079656, 0.41230768448597677, 0.3563327096604012, 0.30569956592611364, 0.2656705484196946, 0.23751431945207957, 0.2098005333462277, 0.19403594893378182, 0.18115003648641947, 0.17716422193759196, 0.17142934332022797, 0.1637135168185105, 0.15574705560465116, 0.14986768525999947, 0.14621511061449308, 0.13896157612671722, 0.13426411151885986, 0.13083344718088974, 0.13337983513200605, 0.1337814701570047, 0.1337536627779136, 0.12449486372438637, 0.1255594715476036, 0.12709182782753095, 0.11568810186676078, 0.11434252540001998, 0.1133655827190425, 0.10510578389103348, 0.1104047076927649, 0.11167611644880192, 0.11256820124548834, 0.11987419567398123, 0.11537376912059011, 0.12243017453599621, 0.12472381130666346, 0.11214010236231056, 0.1108388663143725, 0.11509139644535812, 0.11937988287693746, 0.11763239289457733, 0.11327676897918856, 0.10476209021903374, 0.09804486302105156, 0.1067606186544573, 0.11246356770798967, 0.12434231207982914, 0.11956512424591426]","[0.7567567567567568, 0.8918918918918919, 0.972972972972973, 1.0, 0.972972972972973, 0.972972972972973, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.9459459459459459, 0.972972972972973, 0.9459459459459459, 0.9459459459459459, 0.972972972972973, 0.972972972972973, 0.9459459459459459, 0.9459459459459459, 0.9459459459459459, 0.9459459459459459, 0.972972972972973, 0.972972972972973, 0.972972972972973, 0.9459459459459459, 0.9459459459459459, 0.9459459459459459]"
