fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[0.6676461642438715, 0.49489598847054816, 0.38667654294472237, 0.2804462363967648, 0.22071393705033637, 0.1593396934595975, 0.1263067940999935, 0.08791235398936581, 0.07016885696680515, 0.06305588462523051, 0.04360096253357924, 0.04529009024044136, 0.03267163744607529, 0.02114948918196288, 0.028138502900089537, 0.022106653236626805, 0.025113830028416273, 0.014111179810065728, 0.02421510461475942, 0.011339579805635012, 0.013665232952539023, 0.00852213307682957, 0.010445648997828558, 0.00915960966935986, 0.018681016859489603, 0.012631005934113032, 0.009205680074436324, 0.005740297879636674, 0.004713013018300007, 0.005476642502834658]","[0.5844155844155844, 0.8961038961038961, 0.9675324675324676, 0.9805194805194806, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935064935064936, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935064935064936, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6199766397476196, 0.545867383480072, 0.41583487391471863, 0.3033377230167389, 0.2191249430179596, 0.17334245145320892, 0.14599870145320892, 0.1265164166688919, 0.12004993855953217, 0.11130341142416, 0.0975664034485817, 0.080987848341465, 0.08010124415159225, 0.08351268619298935, 0.07748830318450928, 0.08477618545293808, 0.07780812680721283, 0.07470203191041946, 0.07590465992689133, 0.08835295587778091, 0.0859551951289177, 0.07881263643503189, 0.06814175844192505, 0.06373538821935654, 0.06003054231405258, 0.056060004979372025, 0.06883896142244339, 0.07203953713178635, 0.06788868457078934, 0.07144974172115326]","[0.6071428571428571, 0.75, 0.8928571428571429, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9285714285714286, 0.9285714285714286, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9285714285714286]"
2,"[0.6471021739212243, 0.4907388542149518, 0.37354034829784083, 0.2881265435669873, 0.19339061145846909, 0.14690629876143224, 0.13097397721297033, 0.08638673013931997, 0.07656372680857375, 0.06016425315190006, 0.03476735098740539, 0.060634223190513814, 0.040397678879467214, 0.02422256299571411, 0.01640640848593132, 0.024035869266938518, 0.02489462263278059, 0.01570568958649764, 0.013584254611585592, 0.02556871355989495, 0.008179490353811431, 0.008499141128079311, 0.0089892593992723, 0.008879987875352035, 0.006782231802070463, 0.006720649430880675, 0.014545279202630391, 0.03702347594741229, 0.004892508486738881, 0.006639315016769074]","[0.6486486486486487, 0.9527027027027027, 0.9797297297297297, 0.9864864864864865, 1.0, 1.0, 0.9797297297297297, 1.0, 0.9932432432432432, 1.0, 1.0, 0.9932432432432432, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6925136657322154, 0.6041357587365543, 0.4888224110883825, 0.40171581857344685, 0.3233229062136482, 0.24887999366311467, 0.19722447325201595, 0.15950627887950225, 0.13932555563309612, 0.12243294715881348, 0.10824785513036392, 0.09287066319409538, 0.08187519101535573, 0.08192265734953039, 0.08528969217749204, 0.07991979402654312, 0.0674753907848807, 0.06496165429844576, 0.06976006311528823, 0.06516898379606359, 0.061135730322669536, 0.05648582472520716, 0.05209559026886435, 0.053540990633123065, 0.05446178597562453, 0.05242724103086135, 0.04439727173132055, 0.05051008568090551, 0.054104831288842595, 0.0545386040911955]","[0.5882352941176471, 0.5882352941176471, 0.8235294117647058, 0.8823529411764706, 0.9117647058823529, 0.9117647058823529, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9705882352941176, 1.0, 1.0, 1.0, 1.0, 0.9705882352941176, 0.9705882352941176, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3,"[0.6768135202192042, 0.52050400389372, 0.40967461640817404, 0.32936932374961186, 0.22965722384243986, 0.18555934281244765, 0.13913709077521833, 0.12442631491996946, 0.08954471757594687, 0.0828782461692382, 0.056115056585221396, 0.04118280156250417, 0.03980160885266144, 0.029586143410988967, 0.027801886119329145, 0.025712142705264753, 0.019163544867595618, 0.016563495036459316, 0.0161353212638493, 0.016596076996439564, 0.010307765463842962, 0.019496219654152862, 0.012424230147289099, 0.006376341488348307, 0.01740515678713139, 0.0076431790162829584, 0.012657102605287176, 0.005575687541238909, 0.013675936715283098, 0.00553493201052838]","[0.6131386861313869, 0.9124087591240876, 0.9343065693430657, 0.9562043795620438, 0.9927007299270073, 1.0, 0.9854014598540146, 0.9927007299270073, 1.0, 0.9854014598540146, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9927007299270073, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7006787618001302, 0.6394432067871094, 0.5430958575672573, 0.44506380028194853, 0.34690236250559486, 0.26317572792371113, 0.1998065921995375, 0.1599203861422009, 0.12910337977939182, 0.1047835479180018, 0.08958741492695278, 0.08066368533505333, 0.07445920209089915, 0.0725208721227116, 0.06429808967643313, 0.06028709196382099, 0.053041344301568136, 0.054196922398275796, 0.059497722569439145, 0.05671035705341233, 0.05313189940320121, 0.04187146317627695, 0.04437437309987015, 0.048783408188157615, 0.04022992327809334, 0.037167415395379065, 0.048455043406122264, 0.05096429923756255, 0.04904214499725236, 0.03937548995018005]","[0.4, 0.6888888888888889, 0.8222222222222222, 0.9111111111111111, 0.9777777777777777, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9777777777777777, 1.0, 1.0]"
4,"[0.6548166495936734, 0.509530970266649, 0.3685856594905987, 0.29568441212177277, 0.23149717385535473, 0.17390757007198734, 0.12835432120136447, 0.10360871849360166, 0.07156107017210314, 0.057172865196541474, 0.04445642079194109, 0.033805179611577856, 0.0321899993227912, 0.025871526475969728, 0.019894310631431066, 0.019047654045003276, 0.027227057137533085, 0.02400585547923208, 0.021547189438259683, 0.009122609375761105, 0.01880180179239153, 0.024476169602020637, 0.008172136581652648, 0.009594435549595139, 0.006495626102742198, 0.02528287752016962, 0.015393505371143142, 0.01207129254780866, 0.010207239115102724, 0.013174695281924068]","[0.6993006993006993, 0.8951048951048951, 0.993006993006993, 0.9790209790209791, 1.0, 0.993006993006993, 0.993006993006993, 0.993006993006993, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.993006993006993, 0.993006993006993, 1.0, 1.0, 1.0]","[0.6079230598914318, 0.5305155729636167, 0.4821535899088933, 0.4068218163954906, 0.3166447090796935, 0.2466732553946666, 0.18885664680065253, 0.15068349012961754, 0.12267083655565213, 0.09963172865219605, 0.10878340708903778, 0.10389402929024819, 0.09643938258672372, 0.09879119656024835, 0.09357821368254148, 0.07636516159161544, 0.07322231661050747, 0.06345064460467069, 0.065923371949257, 0.06677121802782401, 0.0565158140200835, 0.073013798166544, 0.0672979324291914, 0.05403055594517635, 0.05728920205281331, 0.05087079814611337, 0.04823704445973421, 0.05456341822177936, 0.05992425156709475, 0.07220845058178291]","[0.8205128205128205, 0.7692307692307693, 0.8205128205128205, 0.7948717948717948, 0.8461538461538461, 0.9743589743589743, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9743589743589743]"
5,"[0.6600810052597359, 0.5026353483330713, 0.3794592512797003, 0.2910851721894251, 0.22308424360131565, 0.16681498268695727, 0.12701530989310514, 0.11199966991600925, 0.08631731518735625, 0.06373729342467165, 0.04746932464919678, 0.04540445563727862, 0.03944458720618731, 0.03891914978317202, 0.028006291858953973, 0.029007739145053574, 0.013142623083844576, 0.01380371317675669, 0.010989460622100797, 0.014493077763751762, 0.008483378025256607, 0.016670015238684742, 0.013738958471237796, 0.013456182375754395, 0.006235386283226209, 0.0064506150195247506, 0.01405932875477696, 0.0058494008350351906, 0.008869863823311378, 0.008990341567829864]","[0.6095890410958904, 0.9041095890410958, 0.958904109589041, 0.9863013698630136, 0.9931506849315068, 0.9931506849315068, 1.0, 1.0, 0.9931506849315068, 1.0, 1.0, 0.9931506849315068, 1.0, 1.0, 1.0, 0.9931506849315068, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6725927458869086, 0.5848850674099393, 0.47699058718151516, 0.3821251326137119, 0.3096233672565884, 0.24624970224168566, 0.19842488235897487, 0.1656533181667328, 0.14150261713398826, 0.1244840919971466, 0.11227419310145909, 0.10689725478490193, 0.09989518423875172, 0.09665198913878864, 0.08959707617759705, 0.09598521143198013, 0.09186831778950161, 0.0935015541811784, 0.0908658496207661, 0.09256411695645915, 0.08733757481806809, 0.08474058161179225, 0.08346309057540363, 0.08617155647112264, 0.07770814291305012, 0.08065556465751594, 0.07033812958333227, 0.06521014206939274, 0.06579523430102402, 0.0643794537625379]","[0.5555555555555556, 0.6388888888888888, 0.75, 0.8333333333333334, 0.9444444444444444, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9444444444444444, 0.9722222222222222, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9722222222222222, 0.9444444444444444, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222]"
