,iou_top_k,iou_top_k,iou_top_k,ssim,ssim,ssim
,mean,std,count,mean,std,count
acerto_ensemble,,,,,,
False,0.09560466402571666,0.07487018282708453,15,0.31885549554643344,0.05395628338031417,15
True,0.05756235068181262,0.058268135403493244,145,0.28078952922412165,0.058413286048659856,145
