fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[0.6892447146502408, 0.5949838091800739, 0.5121941454224772, 0.43551250943889863, 0.3839799026390175, 0.3317556249630916, 0.27860873898902494, 0.24108113483949142, 0.1992331938697146, 0.17501356520436026, 0.13950911590031215, 0.12046523827624012, 0.10269104244260045, 0.07778717751626844, 0.06472834412540708, 0.0629271755067559, 0.07722090233068962, 0.05046592589903187, 0.04237506011283243, 0.044041274865339326, 0.027812549433150847, 0.04542699330425882, 0.029453848766816126, 0.03625957483982111, 0.028550822674841075, 0.015247249685518154, 0.015416241843592037, 0.015872571907647244, 0.02540423058263667, 0.01723581879073149]","[0.551948051948052, 0.8441558441558441, 0.922077922077922, 0.974025974025974, 0.9675324675324676, 0.9805194805194806, 0.9935064935064936, 0.9935064935064936, 0.9935064935064936, 0.987012987012987, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6668092608451843, 0.6871716380119324, 0.6699881553649902, 0.6099025011062622, 0.5665766596794128, 0.5225997567176819, 0.4849497675895691, 0.43615230917930603, 0.403970867395401, 0.37376880645751953, 0.35617050528526306, 0.33415064215660095, 0.30532166361808777, 0.2887950539588928, 0.2716233432292938, 0.25546929240226746, 0.2450561821460724, 0.24173545837402344, 0.23535621166229248, 0.2344779521226883, 0.23005643486976624, 0.2129611223936081, 0.20556628704071045, 0.20898185670375824, 0.20431731641292572, 0.19896233081817627, 0.19889524579048157, 0.1966831535100937, 0.1927742063999176, 0.19510412216186523]","[0.7142857142857143, 0.5, 0.5, 0.7142857142857143, 0.75, 0.7857142857142857, 0.8214285714285714, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8928571428571429, 0.8928571428571429, 0.8928571428571429, 0.8928571428571429, 0.8928571428571429, 0.8928571428571429, 0.8928571428571429, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143]"
2,"[0.6655190247017265, 0.5900134080208388, 0.5208023642533578, 0.4449195033751878, 0.3914539045935509, 0.33470400307802545, 0.3097457385703221, 0.23693452135428486, 0.20119085307889337, 0.1742015453993074, 0.16741726022438716, 0.14461576148567584, 0.1332682540652736, 0.10329799964123924, 0.10909968004530708, 0.08039043583725923, 0.06331360735149191, 0.06700191461799929, 0.050990129652239334, 0.04959893592902078, 0.04196837979475124, 0.032341978293937326, 0.04031237654837986, 0.030792727666413226, 0.024702955562396336, 0.02503622343276171, 0.01862243201033581, 0.023123961792096196, 0.014547117366986786, 0.022203766903371218]","[0.5838926174496645, 0.825503355704698, 0.912751677852349, 0.9865771812080537, 0.9865771812080537, 0.9932885906040269, 0.959731543624161, 1.0, 0.9932885906040269, 1.0, 0.9865771812080537, 1.0, 1.0, 1.0, 0.9932885906040269, 0.9932885906040269, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6589831294435443, 0.5864280931877367, 0.4922245072596001, 0.39501185128183075, 0.3165368437767029, 0.26026229786150384, 0.2160650636210586, 0.18838985399766403, 0.16472876794410474, 0.14563046079693417, 0.13091588923425385, 0.11937699534676292, 0.10768773700251724, 0.09977405450560829, 0.09134572473439304, 0.0869419565706542, 0.08215653264161313, 0.07749042998660695, 0.07293077129306215, 0.06797780593236287, 0.06451366751482993, 0.061480817018133224, 0.058498433593547706, 0.057947384588646164, 0.05463350270733689, 0.05239277942614122, 0.05017361767364271, 0.04759806846127366, 0.045847367608185974, 0.04454028245174524]","[0.6060606060606061, 0.9090909090909091, 0.9696969696969697, 0.9696969696969697, 0.9696969696969697, 0.9696969696969697, 0.9696969696969697, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3,"[0.6849783860651174, 0.5879098934338505, 0.520384689022724, 0.465895508465014, 0.4112955945775025, 0.3654442570711437, 0.3238308980948943, 0.2785901377971907, 0.23921418570934383, 0.2027953785837145, 0.18240886052748315, 0.15609813431151828, 0.1445976177552589, 0.17106845504359194, 0.1314869209339744, 0.09177542337797638, 0.08920981903049283, 0.07985241061314605, 0.07904418440241563, 0.07065542411983461, 0.06117496891577441, 0.09656585696944617, 0.05764755640262948, 0.06282657900250944, 0.04341304223788412, 0.04127715404768635, 0.03194245998572586, 0.02553776780465492, 0.028891013304990037, 0.022784294714605]","[0.5338345864661654, 0.849624060150376, 0.9172932330827067, 0.9548872180451128, 0.9849624060150376, 0.9699248120300752, 0.9699248120300752, 0.9774436090225563, 0.9849624060150376, 0.9924812030075187, 0.9924812030075187, 1.0, 0.9924812030075187, 0.9849624060150376, 0.9849624060150376, 1.0, 1.0, 1.0, 1.0, 0.9924812030075187, 1.0, 0.9849624060150376, 1.0, 1.0, 1.0, 0.9924812030075187, 1.0, 1.0, 1.0, 1.0]","[0.7010442079329977, 0.6702138088187393, 0.6169227714441261, 0.5428870150021144, 0.478065588036362, 0.43023039613451275, 0.37683758808642015, 0.3381904010870019, 0.31392462703646445, 0.3018813251840825, 0.2840791922442767, 0.2581215342696832, 0.23426628873056296, 0.2024055016892297, 0.19220187347762438, 0.17735320025560808, 0.18600850324241483, 0.16725674590894155, 0.1695516121630766, 0.16228228214443946, 0.16411429514386217, 0.14262668028169748, 0.1369310418257908, 0.14116270870578532, 0.1377187484533203, 0.12793631030588734, 0.12927339469291727, 0.13565860171707309, 0.12368263304233551, 0.13058628354753768]","[0.4489795918367347, 0.6326530612244898, 0.8367346938775511, 0.8979591836734694, 0.9387755102040817, 0.9795918367346939, 0.9795918367346939, 1.0, 0.9591836734693877, 0.9387755102040817, 0.9183673469387755, 0.9387755102040817, 0.9795918367346939, 0.9795918367346939, 0.9591836734693877, 0.9591836734693877, 0.9795918367346939, 0.9795918367346939, 0.9795918367346939, 0.9795918367346939, 0.9795918367346939, 0.9795918367346939, 0.9795918367346939, 0.9795918367346939, 0.9795918367346939, 0.9795918367346939, 0.9795918367346939, 0.9795918367346939, 0.9795918367346939, 0.9795918367346939]"
4,"[0.665368602082536, 0.5694181484145087, 0.4868796145593798, 0.4062267509666649, 0.34657963627093546, 0.298009319885357, 0.2615446263068431, 0.20823182971090884, 0.20063747344790278, 0.1355676475811649, 0.1716435712737006, 0.11245501907290639, 0.10541368718888308, 0.10486325218870833, 0.07219103844584646, 0.07478772264880103, 0.06777187336135555, 0.040555895381682625, 0.04297493357916136, 0.032350310502020085, 0.03742320604018263, 0.025171947287949355, 0.037664598206410535, 0.033869078533874976, 0.023096110873125696, 0.028568864271447465, 0.026912271372369817, 0.022160546954821895, 0.01543761560743725, 0.016795364510570024]","[0.6013513513513513, 0.8513513513513513, 0.9324324324324325, 0.972972972972973, 0.9797297297297297, 0.9864864864864865, 0.9797297297297297, 0.9932432432432432, 0.9797297297297297, 1.0, 0.9797297297297297, 1.0, 0.9932432432432432, 0.9932432432432432, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9932432432432432, 1.0, 1.0, 1.0, 1.0]","[0.6383250390782076, 0.5876528725904577, 0.5423893227296717, 0.49232320575153127, 0.44786012523314533, 0.4175020175821641, 0.3924012675004847, 0.3609832805745742, 0.3396214632426991, 0.3204026222229004, 0.29876940390642953, 0.28591752753538247, 0.2725442384972292, 0.2623831910245559, 0.25138651974060955, 0.24103281077216654, 0.22434981430278106, 0.2181807370746837, 0.21188823615803437, 0.21071985188652487, 0.2051244202782126, 0.2046275033670313, 0.19741350762984333, 0.19149726278641643, 0.1876834858866299, 0.1849725982722114, 0.17900079488754272, 0.16541397220948162, 0.16490486790152156, 0.16156824897317326]","[0.6764705882352942, 0.7058823529411765, 0.7941176470588235, 0.8235294117647058, 0.8235294117647058, 0.7941176470588235, 0.8235294117647058, 0.8823529411764706, 0.9117647058823529, 0.9705882352941176, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9705882352941176, 0.9705882352941176, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353]"
5,"[0.6895071466763815, 0.5948638518651327, 0.5172392328580221, 0.4494377738899655, 0.3830396566126082, 0.33138911922772724, 0.2862376305792067, 0.24121403363015917, 0.20232642359203762, 0.17850998209582436, 0.15945066014925638, 0.14154852595594195, 0.14204483893182543, 0.10114081038369073, 0.09628267420662774, 0.07489743373460239, 0.05311306690176328, 0.06883137342002657, 0.053211844629711576, 0.04627597083648046, 0.03811131873064571, 0.033593227052026324, 0.03304643432299296, 0.05366698900858561, 0.02849207114842203, 0.03845545401175817, 0.021180953002638288, 0.0296699112902085, 0.032919782110386424, 0.02618888993230131]","[0.5208333333333334, 0.7777777777777778, 0.9236111111111112, 0.9444444444444444, 0.9861111111111112, 0.9791666666666666, 0.9930555555555556, 0.9930555555555556, 1.0, 1.0, 1.0, 0.9930555555555556, 0.9791666666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9930555555555556, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6634418807531658, 0.6292077240191007, 0.5705085710475319, 0.498939573764801, 0.4303534940669411, 0.3746399157925656, 0.3377310414063303, 0.3080337533825322, 0.2795538227809103, 0.253938963538722, 0.23172640329913088, 0.20966372521300064, 0.18982545796193576, 0.18550881665003927, 0.17935404103053243, 0.17436082504297556, 0.17152355925032967, 0.16719913796374672, 0.15695729459586896, 0.1511414176539371, 0.15232890530636436, 0.14110228027168073, 0.13956978838694722, 0.12582573608348244, 0.12052789801045467, 0.11239293766649146, 0.1129144798768194, 0.10996280767415699, 0.10715411838732268, 0.11424404461132853]","[0.6052631578947368, 0.631578947368421, 0.7631578947368421, 0.868421052631579, 0.8947368421052632, 0.9473684210526315, 0.9736842105263158, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
