branch,metrica,media,std
effnet_orig,complexity,0.33935103034166497,0.09620914824467927
effnet_orig,faithfulness,0.07390626609170188,0.16350194006358107
effnet_orig,robustness,1.7954445369541645,0.6335459567904936
effnet_recplot,complexity,0.2852725858013444,0.1028686801072646
effnet_recplot,faithfulness,0.09067472000606358,0.19417634434683595
effnet_recplot,robustness,2.4568255792061486,1.5256473736450453
mobilenet_orig,complexity,0.43910424026289957,0.05172088058625955
mobilenet_orig,faithfulness,0.056958000253265105,0.18855598534548007
mobilenet_orig,robustness,1.7316380416353543,0.5394947255615237
mobilenet_recplot,complexity,0.5093916318301885,0.055272132475500724
mobilenet_recplot,faithfulness,0.09765263359683256,0.18252410316039452
mobilenet_recplot,robustness,2.6455512642860413,1.271307082684484
