dataset,branch,categoria,n,complexidade_media,complexidade_std,ssim_medio_vs_confiante,ssim_std_vs_confiante,pct_acerto,pct_ensemble_salvaria
pulmao,effnet_orig,acerto_confiante,64,0.5384031963439897,0.019649426969921828,,,1.0,0.0
pulmao,effnet_orig,erro_confiante,21,0.5448085735368184,0.02228739589271218,0.20260721773583124,0.050742697275606534,0.0,0.6666666666666666
pulmao,effnet_orig,fronteira,10,0.5346245878268404,0.01316464382541633,0.22138887869054558,0.05670422981333228,0.6,0.3
pulmao,effnet_recplot,acerto_confiante,64,0.6024871740408332,0.03442326676389746,,,1.0,0.0
pulmao,effnet_recplot,erro_confiante,64,0.5744222737873217,0.03377954765497386,0.27190365437111547,0.25395489529656073,0.0,0.609375
pulmao,effnet_recplot,fronteira,21,0.5859701312117686,0.03347681799338734,0.19421942113827492,0.28579132734523627,0.3333333333333333,0.6666666666666666
pulmao,mobilenet_orig,acerto_confiante,64,0.5648531356404851,0.018678078901236628,,,1.0,0.0
pulmao,mobilenet_orig,erro_confiante,43,0.5814638741405249,0.025196213068082972,0.2805293783162029,0.07861334771724895,0.0,0.7906976744186046
pulmao,mobilenet_orig,fronteira,17,0.5727795235674722,0.02367503167870615,0.2394049814784111,0.04428354803832518,0.47058823529411764,0.5294117647058824
pulmao,mobilenet_recplot,acerto_confiante,64,0.6405302638434465,0.04894561909823013,,,1.0,0.0
pulmao,mobilenet_recplot,erro_confiante,64,0.6197042599230341,0.0394476020264834,0.5717265504818266,0.08657182334825411,0.0,0.6875
pulmao,mobilenet_recplot,fronteira,24,0.5812699189337909,0.03751344044112327,0.5110585196639058,0.09401599008816307,0.5833333333333334,0.4166666666666667
