branch,metrica,media,std
effnet_orig,complexity,0.39883316899841315,0.07214621827331864
effnet_orig,faithfulness,0.05919891512573902,0.19352047347116091
effnet_orig,robustness,1.5971253925334599,0.7676102129415985
effnet_recplot,complexity,0.2802762192324516,0.12018782968372939
effnet_recplot,faithfulness,0.07647141895130656,0.18239681989326265
effnet_recplot,robustness,2.2291037162481726,1.7576094277975636
mobilenet_orig,complexity,0.44499517890447565,0.044183425823659604
mobilenet_orig,faithfulness,0.08442081042005033,0.177811894549125
mobilenet_orig,robustness,1.5349351266178035,0.48088707249595886
mobilenet_recplot,complexity,0.47021419031832684,0.058623388194422935
mobilenet_recplot,faithfulness,0.15110316017634726,0.1852673253675555
mobilenet_recplot,robustness,1.671441310795687,0.638147956478475
