fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[0.6791738773647108, 0.6093561272872122, 0.5732259122948897, 0.5297450987916243, 0.4830402214276163, 0.4473549833423213, 0.404468120712983, 0.3774421575822328, 0.33211581330550344, 0.3060111944612704, 0.278037628060893, 0.23702682711576162, 0.22329396715289668, 0.19570587183299817, 0.1788936131878903, 0.16937520237345444, 0.13809317036678917, 0.13882898892226972, 0.10799611830397655, 0.0917470874755006, 0.082667644086637, 0.07535912919985621, 0.05961723860941435, 0.053377831256703326, 0.052903920019927775, 0.04957979662637962, 0.04300247975870183, 0.04049568721338322, 0.031897000772388356, 0.05684096601448561]","[0.5789473684210527, 0.7368421052631579, 0.7368421052631579, 0.8223684210526315, 0.8289473684210527, 0.8552631578947368, 0.8947368421052632, 0.8947368421052632, 0.9276315789473685, 0.9539473684210527, 0.9802631578947368, 0.993421052631579, 0.9736842105263158, 0.993421052631579, 0.9802631578947368, 0.9802631578947368, 0.9868421052631579, 0.9868421052631579, 0.993421052631579, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7713655829429626, 0.7660472989082336, 0.743649423122406, 0.7038766145706177, 0.6819928884506226, 0.6785037517547607, 0.6607563495635986, 0.6606400012969971, 0.6648616790771484, 0.6715268492698669, 0.6568062901496887, 0.6585754156112671, 0.6226887106895447, 0.5997820496559143, 0.6156222820281982, 0.6535609364509583, 0.6918994784355164, 0.7399062514305115, 0.7506768107414246, 0.7416765093803406, 0.7544758319854736, 0.7699601650238037, 0.7605746984481812, 0.7358308434486389, 0.7461556792259216, 0.7420447468757629, 0.7520298361778259, 0.7383156418800354, 0.7814714312553406, 0.7886603474617004]","[0.2, 0.2, 0.3333333333333333, 0.5, 0.5, 0.6, 0.7, 0.6666666666666666, 0.5333333333333333, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.7, 0.6666666666666666, 0.7, 0.7333333333333333, 0.7, 0.6666666666666666, 0.6333333333333333, 0.6333333333333333, 0.6333333333333333, 0.6333333333333333, 0.6666666666666666, 0.7, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7333333333333333, 0.7, 0.6333333333333333]"
2,"[0.7017380516260665, 0.6439346398738836, 0.5968795458212593, 0.5587267141468477, 0.5327888964027758, 0.4933790033621504, 0.46542338030227765, 0.42905542945230246, 0.40942917576688803, 0.3523889764255246, 0.3297462108119434, 0.2983317140317121, 0.26900039287592403, 0.23312016976195454, 0.2270393618289998, 0.18885436851457255, 0.17192262835455258, 0.14837369737246178, 0.1653093718337697, 0.12834812483645433, 0.105612602948353, 0.10162708824438764, 0.08296818123353238, 0.07581042616769967, 0.06732545151615775, 0.06145560445375001, 0.05649231749259873, 0.04362853150198002, 0.0425057787176789, 0.03478824241173188]","[0.48344370860927155, 0.6821192052980133, 0.8145695364238411, 0.8874172185430463, 0.8807947019867549, 0.8741721854304636, 0.9072847682119205, 0.9205298013245033, 0.9271523178807947, 0.9668874172185431, 0.9470198675496688, 0.9602649006622517, 0.9735099337748344, 0.9668874172185431, 0.9735099337748344, 0.9867549668874173, 0.9801324503311258, 1.0, 0.9801324503311258, 0.9933774834437086, 0.9933774834437086, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7412160038948059, 0.6931381225585938, 0.6839194297790527, 0.6997312903404236, 0.6984124779701233, 0.6898744106292725, 0.6957290172576904, 0.67293381690979, 0.6503249406814575, 0.6235206723213196, 0.5915173888206482, 0.5830403566360474, 0.578427791595459, 0.5595954060554504, 0.5274346470832825, 0.4833756983280182, 0.45153096318244934, 0.43385136127471924, 0.4207135736942291, 0.4137314558029175, 0.40150687098503113, 0.39383262395858765, 0.3822205066680908, 0.3827451467514038, 0.3795921504497528, 0.3725806176662445, 0.363811731338501, 0.358521431684494, 0.35757577419281006, 0.3648650050163269]","[0.45161290322580644, 0.45161290322580644, 0.41935483870967744, 0.45161290322580644, 0.4838709677419355, 0.5483870967741935, 0.4838709677419355, 0.5161290322580645, 0.6451612903225806, 0.7419354838709677, 0.8709677419354839, 0.7741935483870968, 0.7419354838709677, 0.7741935483870968, 0.7741935483870968, 0.7741935483870968, 0.7741935483870968, 0.7741935483870968, 0.7741935483870968, 0.8064516129032258, 0.8064516129032258, 0.8064516129032258, 0.8064516129032258, 0.8064516129032258, 0.8064516129032258, 0.7741935483870968, 0.8064516129032258, 0.8064516129032258, 0.8064516129032258, 0.8064516129032258]"
3,"[0.7089776788439069, 0.6468616706984384, 0.6034558807100568, 0.553643308367048, 0.5254192616258349, 0.480260808127267, 0.4560907057353428, 0.4282683917454311, 0.39184425643512183, 0.36014892629214695, 0.3189249302659716, 0.3061496811253684, 0.2636933471475329, 0.2477299383708409, 0.2100929102727345, 0.1838449388742447, 0.17807925811835698, 0.15926505497523716, 0.1523343116044998, 0.1263035625219345, 0.11408862216132028, 0.09901249579020908, 0.09856142486844743, 0.07452657840081624, 0.0814207334603582, 0.0639312347131116, 0.0670187513743128, 0.04619489056723458, 0.06804493878568922, 0.05129432997533253]","[0.4857142857142857, 0.6857142857142857, 0.75, 0.8428571428571429, 0.8714285714285714, 0.9214285714285714, 0.9071428571428571, 0.9071428571428571, 0.9071428571428571, 0.95, 0.9642857142857143, 0.95, 0.9857142857142858, 0.9642857142857143, 1.0, 0.9857142857142858, 0.9785714285714285, 0.9785714285714285, 0.9714285714285714, 0.9857142857142858, 0.9928571428571429, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7264391183853149, 0.689213630698976, 0.6746660783177331, 0.6863061388333639, 0.6933294790131705, 0.6883720698810759, 0.6758657154582796, 0.6654969851175944, 0.6583408429509118, 0.6543994914917719, 0.6406640949703398, 0.6270618381954375, 0.6342006921768188, 0.6286156461352393, 0.610429218837193, 0.606555870601109, 0.5946452702794757, 0.5862633160182408, 0.5839926884287879, 0.5672080630347842, 0.5639531300181434, 0.5716971442812965, 0.5667159500576201, 0.583034492674328, 0.5843900442123413, 0.5986358409836179, 0.6011069672448295, 0.5934928087961107, 0.5951158375967116, 0.5983760640734718]","[0.42857142857142855, 0.5476190476190477, 0.6428571428571429, 0.5714285714285714, 0.5952380952380952, 0.5952380952380952, 0.5952380952380952, 0.5952380952380952, 0.6190476190476191, 0.6190476190476191, 0.6428571428571429, 0.5714285714285714, 0.6666666666666666, 0.6666666666666666, 0.6904761904761905, 0.6904761904761905, 0.6904761904761905, 0.6666666666666666, 0.6904761904761905, 0.6666666666666666, 0.6666666666666666, 0.6904761904761905, 0.6666666666666666, 0.6904761904761905, 0.6904761904761905, 0.6428571428571429, 0.6666666666666666, 0.6428571428571429, 0.6666666666666666, 0.6666666666666666]"
4,"[0.6839178919792175, 0.6430251325879778, 0.5940975512777056, 0.5627826571464538, 0.5354016823428017, 0.49352112327303205, 0.475765449660165, 0.4302953004837036, 0.417911263023104, 0.3780999413558415, 0.3675754513059344, 0.32589512552533834, 0.3005562458719526, 0.2698396376201085, 0.25546365209988187, 0.2344005729470934, 0.20625967638833181, 0.18237201528889793, 0.15633988891329084, 0.1659492198910032, 0.12983225882053376, 0.12263943808419364, 0.0947129168680736, 0.09679545100246156, 0.08346465485436576, 0.10487013182469777, 0.09168370621544975, 0.07368371763399668, 0.0755823382309505, 0.08532658155475344]","[0.6214285714285714, 0.6928571428571428, 0.8, 0.8, 0.8428571428571429, 0.85, 0.8571428571428571, 0.8928571428571429, 0.9071428571428571, 0.9285714285714286, 0.9142857142857143, 0.9428571428571428, 0.9357142857142857, 0.9642857142857143, 0.9571428571428572, 0.9714285714285714, 0.9928571428571429, 0.9928571428571429, 0.9928571428571429, 0.9857142857142858, 0.9928571428571429, 0.9928571428571429, 1.0, 0.9928571428571429, 1.0, 1.0, 0.9928571428571429, 0.9928571428571429, 0.9928571428571429, 0.9857142857142858]","[0.69888969262441, 0.7075389822324117, 0.687632577759879, 0.6559532937549409, 0.6503032531057086, 0.6525148493903024, 0.6497033607392084, 0.6405423879623413, 0.6223521033922831, 0.6238263334546771, 0.5975208764984494, 0.5572456234977359, 0.5446468336241586, 0.5299861147290185, 0.4951533306212652, 0.47437033766791936, 0.44040378786268686, 0.4118732526188805, 0.3927850155603318, 0.38160209144864765, 0.3713301122188568, 0.3609816332658132, 0.3466031381062099, 0.3359148289476122, 0.3346316445441473, 0.32735255928266616, 0.32913462320963544, 0.30737185052462984, 0.30049263863336473, 0.28751584390799206]","[0.5, 0.4523809523809524, 0.5238095238095238, 0.6666666666666666, 0.6666666666666666, 0.6428571428571429, 0.6904761904761905, 0.6666666666666666, 0.6904761904761905, 0.6904761904761905, 0.7380952380952381, 0.7380952380952381, 0.7142857142857143, 0.7619047619047619, 0.8095238095238095, 0.8333333333333334, 0.8333333333333334, 0.8571428571428571, 0.8571428571428571, 0.8333333333333334, 0.8571428571428571, 0.8571428571428571, 0.8809523809523809, 0.8809523809523809, 0.9047619047619048, 0.9047619047619048, 0.8571428571428571, 0.8809523809523809, 0.9047619047619048, 0.9047619047619048]"
5,"[0.6737888915785428, 0.619061712149916, 0.5812780606335607, 0.5293266822551859, 0.5029608553853528, 0.4744692374920023, 0.4472381912428757, 0.40952106590928705, 0.36207194533841364, 0.3405798365329874, 0.31971040388633465, 0.29597980565038223, 0.2463360802880649, 0.22227069509440456, 0.20494644313023008, 0.20310276130150104, 0.17077339455999177, 0.18414545151694067, 0.1427515408088421, 0.14044800215754016, 0.12010192716943807, 0.09631050768597373, 0.08585439807382123, 0.0820068878346476, 0.06106765545133887, 0.05348120090262643, 0.0600327069389409, 0.0652432612817863, 0.04926907954544857, 0.03792278841137886]","[0.5862068965517241, 0.7172413793103448, 0.7655172413793103, 0.8620689655172413, 0.8896551724137931, 0.8482758620689655, 0.8758620689655172, 0.9241379310344827, 0.9517241379310345, 0.9448275862068966, 0.9448275862068966, 0.9448275862068966, 0.9793103448275862, 0.9724137931034482, 0.9793103448275862, 0.9586206896551724, 0.993103448275862, 0.9586206896551724, 0.993103448275862, 0.9793103448275862, 0.993103448275862, 1.0, 1.0, 0.993103448275862, 1.0, 1.0, 0.993103448275862, 1.0, 0.993103448275862, 1.0]","[0.7111994930215784, 0.7136188455530115, 0.7025699502712971, 0.7023599695514988, 0.7048382759094238, 0.6972296366820464, 0.6858477463593354, 0.6771900299433116, 0.6574003535348016, 0.6514357408961734, 0.6982314586639404, 0.6969091771422206, 0.6730740529459875, 0.6412119092168035, 0.6043653020987639, 0.6051761765737791, 0.6061999169555871, 0.5958305492594436, 0.6009825508336764, 0.5933576870608974, 0.5725306232233305, 0.583267359314738, 0.573635995388031, 0.5747000615339022, 0.5703413591191575, 0.5723779265945023, 0.5805731214381553, 0.6240006137538601, 0.6480842329360343, 0.5947562286982665]","[0.3783783783783784, 0.3783783783783784, 0.43243243243243246, 0.43243243243243246, 0.2972972972972973, 0.43243243243243246, 0.4594594594594595, 0.5405405405405406, 0.6216216216216216, 0.6216216216216216, 0.43243243243243246, 0.4864864864864865, 0.5405405405405406, 0.5945945945945946, 0.6756756756756757, 0.6486486486486487, 0.6756756756756757, 0.6756756756756757, 0.7027027027027027, 0.7027027027027027, 0.7027027027027027, 0.7297297297297297, 0.7297297297297297, 0.7297297297297297, 0.7027027027027027, 0.7297297297297297, 0.7297297297297297, 0.7027027027027027, 0.6486486486486487, 0.7297297297297297]"
