dataset,branch,categoria,n,complexidade_media,complexidade_std,ssim_medio_vs_confiante,ssim_std_vs_confiante,pct_acerto,pct_ensemble_salvaria
pulmao,effnet_orig,acerto_confiante,64,0.5384031987021543,0.019649428440321998,,,1.0,0.0
pulmao,effnet_orig,erro_confiante,21,0.5448085759601599,0.022287396123053145,0.20260722317249366,0.05074269739332955,0.0,0.6666666666666666
pulmao,effnet_orig,fronteira,10,0.5346245928257851,0.013164648807271957,0.22138888582151844,0.05670422601174847,0.6,0.3
pulmao,effnet_recplot,acerto_confiante,64,0.6024871714821285,0.034423265726123975,,,1.0,0.0
pulmao,effnet_recplot,erro_confiante,64,0.5744222707930413,0.033779550933120885,0.27190365952304185,0.2539548972175978,0.0,0.609375
pulmao,effnet_recplot,fronteira,21,0.5859701143719259,0.03347681207075657,0.19421941674337584,0.28579133878066826,0.3333333333333333,0.6666666666666666
pulmao,mobilenet_orig,acerto_confiante,64,0.5648531355705521,0.018678079987961543,,,1.0,0.0
pulmao,mobilenet_orig,erro_confiante,43,0.5814638722051051,0.025196215141237686,0.28052938216896184,0.07861335053510375,0.0,0.7906976744186046
pulmao,mobilenet_orig,fronteira,17,0.5727795235753766,0.02367503172052175,0.23940498464880722,0.04428354977507829,0.47058823529411764,0.5294117647058824
pulmao,mobilenet_recplot,acerto_confiante,64,0.6405302628036248,0.048945627085712075,,,1.0,0.0
pulmao,mobilenet_recplot,erro_confiante,64,0.6197042608577079,0.039447603816172905,0.5717265544672663,0.08657182765196658,0.0,0.6875
pulmao,mobilenet_recplot,fronteira,24,0.5812699230767843,0.037513442748208094,0.5110585182010307,0.09401598811638591,0.5833333333333334,0.4166666666666667
