fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[1.0862181331172134, 0.983409355385135, 0.9014009273413456, 0.8448404151983936, 0.8037385380629337, 0.750526963460325, 0.7190997612596762, 0.6949636526782104, 0.6772071375991359, 0.6369688390481352, 0.6112165210222957, 0.5864141517215304, 0.5707866672915641, 0.5515828247022148, 0.5153710727739815, 0.5304005067757885, 0.49570718678561126, 0.4784528601049173, 0.4527825412124094, 0.4212462197650563, 0.43243417234131787, 0.4186104957503502, 0.38384189780312356, 0.4021851137430981, 0.3736523540333064, 0.35946554397091723, 0.36586024785282634, 0.36834660232669175, 0.33030509888523757, 0.2931135868785357]","[0.3686868686868687, 0.5959595959595959, 0.6818181818181818, 0.6818181818181818, 0.6818181818181818, 0.702020202020202, 0.702020202020202, 0.7171717171717171, 0.7272727272727273, 0.7373737373737373, 0.7676767676767676, 0.7676767676767676, 0.7727272727272727, 0.7929292929292929, 0.797979797979798, 0.803030303030303, 0.8333333333333334, 0.8232323232323232, 0.8484848484848485, 0.8838383838383839, 0.8434343434343434, 0.8737373737373737, 0.8787878787878788, 0.8737373737373737, 0.9040404040404041, 0.9040404040404041, 0.9141414141414141, 0.898989898989899, 0.9242424242424242, 0.9444444444444444]","[1.0848132944107056, 1.0594880342483521, 1.0372066736221313, 1.0044207954406739, 0.9619899463653564, 0.9376100254058838, 0.9108827233314514, 0.8815637111663819, 0.8217900490760803, 0.7909188270568848, 0.7650487422943115, 0.7421613621711731, 0.7283429431915284, 0.7111439514160156, 0.6982315921783447, 0.6906547379493714, 0.6880544590950012, 0.6877325749397278, 0.6812244319915771, 0.6821637725830079, 0.6893248176574707, 0.6834224438667298, 0.6723290181159973, 0.6809961009025574, 0.6784500527381897, 0.6708810210227967, 0.6661405849456787, 0.6514204692840576, 0.6457623767852784, 0.6422337031364441]","[0.4, 0.48, 0.56, 0.62, 0.74, 0.68, 0.64, 0.74, 0.72, 0.68, 0.72, 0.72, 0.72, 0.72, 0.7, 0.72, 0.72, 0.74, 0.74, 0.72, 0.76, 0.74, 0.74, 0.7, 0.74, 0.78, 0.76, 0.76, 0.78, 0.76]"
2,"[1.03770052182554, 0.932527345840377, 0.8813739605624267, 0.8286996465740781, 0.7633733797555018, 0.7434582174426377, 0.704529157792679, 0.6697092297101261, 0.6585452183328494, 0.6416973194690666, 0.5990859535005357, 0.5863284513805852, 0.5554260051611698, 0.5341149719074519, 0.5119724833604061, 0.5095127688513862, 0.4738507728383999, 0.4807255340344978, 0.4895470479522089, 0.4412087653622483, 0.42257908528501337, 0.3971127277672893, 0.3983316153588921, 0.4096010041357291, 0.3890697089108554, 0.3600686921013726, 0.3293308245413231, 0.33412772597688617, 0.33686071724602673, 0.3254330609783982]","[0.5555555555555556, 0.6363636363636364, 0.6565656565656566, 0.6666666666666666, 0.696969696969697, 0.702020202020202, 0.7222222222222222, 0.7272727272727273, 0.7474747474747475, 0.7676767676767676, 0.7676767676767676, 0.7878787878787878, 0.8080808080808081, 0.8080808080808081, 0.797979797979798, 0.8131313131313131, 0.8434343434343434, 0.8232323232323232, 0.8333333333333334, 0.8484848484848485, 0.8838383838383839, 0.8939393939393939, 0.8686868686868687, 0.8737373737373737, 0.8838383838383839, 0.8888888888888888, 0.9343434343434344, 0.9191919191919192, 0.9393939393939394, 0.9242424242424242]","[1.0791115808486937, 1.07346670627594, 1.0666275310516358, 1.0305052375793458, 1.0078323698043823, 0.9695477390289307, 0.9228705406188965, 0.8824499702453613, 0.8457388639450073, 0.8130959248542786, 0.7934214377403259, 0.7715897369384765, 0.756288833618164, 0.7476163268089294, 0.7487109398841858, 0.7437180042266845, 0.7349676322937012, 0.7382937526702881, 0.7576246333122253, 0.7687414431571961, 0.7632630681991577, 0.7652608823776245, 0.7739686489105224, 0.7799265384674072, 0.7896061420440674, 0.7981724548339844, 0.7888336491584778, 0.7770639181137085, 0.7837637901306153, 0.7811588954925537]","[0.28, 0.48, 0.52, 0.54, 0.6, 0.64, 0.66, 0.64, 0.66, 0.62, 0.62, 0.62, 0.62, 0.6, 0.66, 0.66, 0.66, 0.64, 0.66, 0.64, 0.66, 0.64, 0.62, 0.66, 0.68, 0.66, 0.66, 0.64, 0.62, 0.62]"
3,"[1.0702985790040758, 0.9630206919679738, 0.9024832043984924, 0.8327849001595469, 0.7858311244935701, 0.7565674155649512, 0.7345264000121994, 0.6897506238234163, 0.6505893739787015, 0.6351306546818126, 0.6238808144222606, 0.5880029899905427, 0.5769387405328076, 0.5381183642329592, 0.557179433528823, 0.5078116974445305, 0.47915670004757965, 0.474236485030916, 0.484405978159471, 0.45854654938283596, 0.4247476314053391, 0.43971703118748134, 0.4303434569426257, 0.3996675965761898, 0.38955109528820925, 0.37293805678685504, 0.376550454081911, 0.342243740654955, 0.3406255775027805, 0.32095903067877796]","[0.4444444444444444, 0.6616161616161617, 0.6868686868686869, 0.7121212121212122, 0.7070707070707071, 0.7171717171717171, 0.7171717171717171, 0.7272727272727273, 0.7474747474747475, 0.7525252525252525, 0.7777777777777778, 0.7828282828282829, 0.797979797979798, 0.797979797979798, 0.797979797979798, 0.8434343434343434, 0.8282828282828283, 0.8434343434343434, 0.8282828282828283, 0.8383838383838383, 0.8636363636363636, 0.8484848484848485, 0.8282828282828283, 0.8787878787878788, 0.8787878787878788, 0.9040404040404041, 0.898989898989899, 0.9090909090909091, 0.8939393939393939, 0.9343434343434344]","[1.107976837158203, 1.0345946073532104, 1.0066808700561523, 1.0025771617889405, 0.9803905487060547, 0.9545478010177613, 0.9179803276062012, 0.8474653291702271, 0.79765869140625, 0.7534564352035522, 0.7229513645172119, 0.7114780902862549, 0.6967600727081299, 0.6874066519737244, 0.6904888129234314, 0.6912495088577271, 0.6923400163650513, 0.6847522401809693, 0.6780043888092041, 0.6735744428634644, 0.6787866592407227, 0.6653033041954041, 0.6606483888626099, 0.6549018573760986, 0.6432567620277405, 0.6453342723846436, 0.6449871301651001, 0.6225115847587586, 0.6288969039916992, 0.6429937314987183]","[0.44, 0.52, 0.5, 0.52, 0.6, 0.7, 0.72, 0.72, 0.7, 0.7, 0.68, 0.68, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.72, 0.74, 0.72, 0.68, 0.76, 0.74, 0.74, 0.78, 0.72, 0.72, 0.74]"
4,"[1.0738402724865095, 0.9692290811682466, 0.8852432139554814, 0.8370115130989995, 0.7731691832518458, 0.7156289028162932, 0.7027565995652472, 0.6597354130529279, 0.6402645260844398, 0.597168505191803, 0.5753750934373194, 0.56059579214259, 0.5660261652577463, 0.5644976616504803, 0.5064711597696621, 0.5025228878960537, 0.4737256912130806, 0.4511263412446832, 0.44182139485325644, 0.41678359370734824, 0.4252348277137507, 0.3736042254534199, 0.38050605873366694, 0.38018149856346933, 0.3563155076611581, 0.347511354702801, 0.3225766633024168, 0.30695732349726423, 0.32166886928692534, 0.29516864421978667]","[0.3768844221105528, 0.6432160804020101, 0.6733668341708543, 0.6934673366834171, 0.6733668341708543, 0.6934673366834171, 0.7085427135678392, 0.7085427135678392, 0.7286432160804021, 0.7286432160804021, 0.7738693467336684, 0.7537688442211056, 0.7839195979899497, 0.7738693467336684, 0.7989949748743719, 0.8090452261306532, 0.8391959798994975, 0.8492462311557789, 0.8391959798994975, 0.8391959798994975, 0.864321608040201, 0.8894472361809045, 0.8793969849246231, 0.8944723618090452, 0.914572864321608, 0.8944723618090452, 0.9195979899497487, 0.9246231155778895, 0.914572864321608, 0.9296482412060302]","[1.085940949770869, 1.0410261032532673, 1.0254983172124745, 1.0193940376748845, 0.9952326696746203, 0.9565343589198833, 0.9486943872607484, 0.9346864004524387, 0.9074669857414401, 0.8839697472903193, 0.8780084386163828, 0.8662550133101794, 0.8611145092516529, 0.8269256402035149, 0.8232530160826079, 0.8100997136563671, 0.8082245709944744, 0.8152333546657952, 0.8130025109466241, 0.8022966068618151, 0.8135633541613209, 0.8193051523091842, 0.8225127531557667, 0.8226500068392072, 0.8103613950768296, 0.8088175812546088, 0.8209758267110708, 0.8101882691286049, 0.7938564602209597, 0.7821250862004806]","[0.42857142857142855, 0.4897959183673469, 0.5102040816326531, 0.4897959183673469, 0.5510204081632653, 0.6122448979591837, 0.5918367346938775, 0.6326530612244898, 0.6326530612244898, 0.6326530612244898, 0.6326530612244898, 0.6326530612244898, 0.6326530612244898, 0.6326530612244898, 0.6530612244897959, 0.6530612244897959, 0.673469387755102, 0.673469387755102, 0.6938775510204082, 0.673469387755102, 0.6530612244897959, 0.673469387755102, 0.6530612244897959, 0.673469387755102, 0.673469387755102, 0.6530612244897959, 0.673469387755102, 0.673469387755102, 0.673469387755102, 0.7142857142857143]"
5,"[1.0991663459557384, 0.9780105657912977, 0.8932786230465874, 0.8282696925215984, 0.7925531486770017, 0.7604964501294659, 0.71431105520258, 0.6830877329236898, 0.664810298076227, 0.6449356144996145, 0.6058317437842863, 0.573490917083606, 0.5578115480629044, 0.5845862447316922, 0.543972958272426, 0.506232874477329, 0.5111690211535698, 0.49649157910490754, 0.49947414820517727, 0.4656914826014533, 0.4462302081548988, 0.4381525546462093, 0.4297601430859398, 0.4237536644216758, 0.385454909885349, 0.36051317368020963, 0.3701340915569708, 0.3748055630592845, 0.31896387467432263, 0.3555272185622747]","[0.34673366834170855, 0.628140703517588, 0.6633165829145728, 0.6834170854271356, 0.6984924623115578, 0.6934673366834171, 0.7185929648241206, 0.7236180904522613, 0.7537688442211056, 0.7437185929648241, 0.7738693467336684, 0.7939698492462312, 0.7889447236180904, 0.8040201005025126, 0.8291457286432161, 0.8241206030150754, 0.8492462311557789, 0.8442211055276382, 0.8241206030150754, 0.8492462311557789, 0.8592964824120602, 0.864321608040201, 0.864321608040201, 0.8743718592964824, 0.8944723618090452, 0.8994974874371859, 0.8994974874371859, 0.9045226130653267, 0.9195979899497487, 0.9195979899497487]","[1.1043921611746963, 1.081933663815868, 1.0459194840217123, 1.0291762424975026, 0.9819746917607833, 0.9475743843584644, 0.9180815365849709, 0.8787553115766875, 0.8323043840272086, 0.7877256043103277, 0.7689806016124024, 0.7686296616281781, 0.7601718355198296, 0.7393868018169792, 0.7330159094868874, 0.7310882137746227, 0.7147381098902955, 0.7047283211532904, 0.7014088995602666, 0.7014247252016651, 0.6993396002419141, 0.689372548035213, 0.667511840255893, 0.6702811803136554, 0.6668478226175114, 0.6600519333566938, 0.6544469181372194, 0.6574821593810101, 0.651563146892859, 0.6258497225994967]","[0.3469387755102041, 0.3877551020408163, 0.5510204081632653, 0.5306122448979592, 0.6326530612244898, 0.6122448979591837, 0.6122448979591837, 0.6326530612244898, 0.6326530612244898, 0.6530612244897959, 0.6530612244897959, 0.673469387755102, 0.673469387755102, 0.673469387755102, 0.673469387755102, 0.673469387755102, 0.673469387755102, 0.6938775510204082, 0.6938775510204082, 0.6938775510204082, 0.6938775510204082, 0.6938775510204082, 0.6938775510204082, 0.6938775510204082, 0.6938775510204082, 0.6938775510204082, 0.6938775510204082, 0.6938775510204082, 0.6938775510204082, 0.7142857142857143]"
