branch,metrica,media,std
effnet_orig,complexity,0.5489650533313638,0.017078633344942275
effnet_orig,faithfulness,0.1457681804224533,0.17154735451575928
effnet_orig,robustness,1.3196058436217954,0.3330098064273281
effnet_recplot,complexity,0.600614442669324,0.045436535414297416
effnet_recplot,faithfulness,-0.0017169262716641366,0.1825622940658246
effnet_recplot,robustness,486.61041257240004,1737.6066008255411
mobilenet_orig,complexity,0.5827606263439857,0.0195939242419385
mobilenet_orig,faithfulness,0.07710220198881007,0.1813393632486146
mobilenet_orig,robustness,2.176080122842627,0.895982166699168
mobilenet_recplot,complexity,0.6500767987256797,0.04605431967800902
mobilenet_recplot,faithfulness,-0.03156381626455587,0.18669749501527616
mobilenet_recplot,robustness,2.4378782222836706,1.0504715947459324
