dataset,seed,branch,sample,categoria,confianca,margem,acertou,complexidade_heatmap,ssim_vs_grupo_confiante,ensemble_salvaria
displasia,7,mobilenet_orig,34,acerto_confiante,0.9998335838317872,0.9996671566914304,True,0.6110841231039262,,False
displasia,7,mobilenet_orig,8,acerto_confiante,0.999730110168457,0.9994601974613033,True,0.5904950244035907,,False
displasia,7,mobilenet_orig,26,acerto_confiante,0.9995479583740234,0.9990959069109523,True,0.6447260999730121,,False
displasia,7,mobilenet_orig,44,acerto_confiante,0.999446451663971,0.9988928641541861,True,0.6179536119475648,,False
displasia,7,mobilenet_orig,25,acerto_confiante,0.998835027217865,0.9976701078703628,True,0.6990370520014743,,False
displasia,7,mobilenet_orig,24,acerto_confiante,0.9986982941627502,0.9973966073011981,True,0.6458653024103141,,False
displasia,7,mobilenet_orig,45,acerto_confiante,0.9986751675605774,0.9973503609653563,True,0.6532044390261967,,False
displasia,7,mobilenet_orig,42,acerto_confiante,0.9982293248176576,0.9964586197165773,True,0.6223453256823711,,False
displasia,7,mobilenet_recplot,0,fronteira,0.5387073159217834,0.07741460204124456,False,0.6097875714878437,0.5015617836198167,True
displasia,7,mobilenet_recplot,16,fronteira,0.531333863735199,0.06266772747039795,False,0.6283293184433116,0.5461206777729948,True
displasia,7,mobilenet_recplot,25,fronteira,0.5421270132064819,0.08425399661064154,True,0.5798238235345762,0.4688492583590816,False
displasia,7,mobilenet_recplot,35,fronteira,0.52988600730896,0.059771955013275146,True,0.5910262224518198,0.5415844947533269,False
displasia,7,mobilenet_recplot,2,acerto_confiante,0.9948561191558838,0.9897122341208161,True,0.6246775840001914,,False
displasia,7,mobilenet_recplot,20,acerto_confiante,0.9943172335624696,0.988634458743036,True,0.6263657730358118,,False
displasia,7,mobilenet_recplot,37,acerto_confiante,0.9923755526542664,0.9847511146217586,True,0.6172644200755555,,False
displasia,7,mobilenet_recplot,8,acerto_confiante,0.9917880296707152,0.9835760332643986,True,0.6352884525986912,,False
displasia,7,mobilenet_recplot,11,acerto_confiante,0.991429328918457,0.982858636416495,True,0.610304595065947,,False
displasia,7,mobilenet_recplot,7,acerto_confiante,0.9906612038612366,0.9813224328681827,True,0.6074292654597219,,False
displasia,7,mobilenet_recplot,41,acerto_confiante,0.9905349016189576,0.9810698106884959,True,0.6153140085961587,,False
displasia,7,mobilenet_recplot,23,acerto_confiante,0.9890978932380676,0.9781957650557161,True,0.6256451982089045,,False
displasia,7,mobilenet_recplot,43,erro_confiante,0.9113133549690248,0.8226267099380494,False,0.6455185883626919,0.6077718240944884,True
displasia,7,mobilenet_recplot,26,erro_confiante,0.6749541759490967,0.3499083817005158,False,0.6152749835446114,0.537349077633765,True
displasia,7,mobilenet_recplot,10,erro_confiante,0.6304803490638733,0.2609606981277466,False,0.624473139525962,0.5112165616176848,True
displasia,7,mobilenet_recplot,0,erro_confiante,0.5387073159217834,0.07741460204124456,False,0.6097875714878437,0.5015617836198167,True
displasia,7,mobilenet_recplot,16,erro_confiante,0.531333863735199,0.06266772747039795,False,0.6283293184433116,0.5461206777729948,True
displasia,7,effnet_orig,21,fronteira,0.5214422345161438,0.042884498834609985,False,0.6244669235950429,0.3374827186843555,True
displasia,7,effnet_orig,26,acerto_confiante,0.9998794198036194,0.9997588499754784,True,0.5505455570918188,,False
displasia,7,effnet_orig,24,acerto_confiante,0.99969744682312,0.999394839425804,True,0.5986944823112179,,False
displasia,7,effnet_orig,23,acerto_confiante,0.9995335340499878,0.9990670304978267,True,0.7058071293281899,,False
displasia,7,effnet_orig,32,acerto_confiante,0.9991946816444396,0.9983893346507102,True,0.5841971210038643,,False
displasia,7,effnet_orig,22,acerto_confiante,0.9989811778068542,0.9979623424587771,True,0.6162193763990356,,False
displasia,7,effnet_orig,36,acerto_confiante,0.998835027217865,0.9976701034465805,True,0.5797983460978986,,False
displasia,7,effnet_orig,39,acerto_confiante,0.9982889890670776,0.9965779830235988,True,0.5877521710278074,,False
displasia,7,effnet_orig,44,acerto_confiante,0.9974265098571776,0.9948530164547265,True,0.6005980859987188,,False
displasia,7,effnet_orig,7,erro_confiante,0.7871268391609192,0.574253648519516,False,0.5945855825147597,0.28028225099236803,True
displasia,7,effnet_orig,14,erro_confiante,0.6846829652786255,0.3693658709526062,False,0.6829981966072811,0.39244439153049954,True
displasia,7,effnet_orig,20,erro_confiante,0.6298729181289673,0.25974583625793457,False,0.6317996217373235,0.34926477993908234,True
displasia,7,effnet_orig,11,erro_confiante,0.623230516910553,0.2464610636234284,False,0.5618567812193639,0.24964386458320242,True
displasia,7,effnet_orig,21,erro_confiante,0.5214422345161438,0.042884498834609985,False,0.6244669235950429,0.3374827186843555,True
displasia,7,effnet_recplot,27,acerto_confiante,0.9994149208068848,0.9988297830568627,True,0.6008148941895551,,False
displasia,7,effnet_recplot,23,acerto_confiante,0.999350368976593,0.9987007401068695,True,0.6583126114836239,,False
displasia,7,effnet_recplot,13,acerto_confiante,0.9992581009864808,0.9985161946970039,True,0.6225635710528699,,False
displasia,7,effnet_recplot,7,acerto_confiante,0.9992360472679138,0.9984720672946424,True,0.6011353724668365,,False
displasia,7,effnet_recplot,4,acerto_confiante,0.9987831115722656,0.9975662066135557,True,0.6028837554112955,,False
displasia,7,effnet_recplot,15,acerto_confiante,0.9986695051193236,0.9973390009254216,True,0.6164163232884208,,False
displasia,7,effnet_recplot,24,acerto_confiante,0.9986177682876588,0.9972354909405114,True,0.6466023717139202,,False
displasia,7,effnet_recplot,11,acerto_confiante,0.9979581832885742,0.9959163670428098,True,0.59126347099843,,False
displasia,7,effnet_recplot,34,erro_confiante,0.997239351272583,0.9944786743726582,False,0.6038345221798419,0.5745501143269625,True
displasia,7,effnet_recplot,26,erro_confiante,0.9581310749053956,0.9162621125578883,False,0.6248138378093135,0.574881763367631,True
displasia,7,effnet_recplot,32,erro_confiante,0.9474825859069824,0.8949651569128038,False,0.5706865667752042,0.4119313918333618,True
displasia,7,effnet_recplot,36,erro_confiante,0.8605629801750183,0.721125990152359,False,0.6104083043259028,0.4180197886176501,True
displasia,7,effnet_recplot,1,erro_confiante,0.7332031726837158,0.46640634536743164,False,0.599359124396586,0.5457905626132419,False
displasia,7,effnet_recplot,35,erro_confiante,0.6943942308425903,0.38878849148750305,False,0.5688520720322,0.4695923438976593,True
displasia,7,effnet_recplot,21,erro_confiante,0.6000997424125671,0.20019951462745667,False,0.6300328981453178,0.47878158292517914,True
displasia,12,mobilenet_orig,10,fronteira,0.5176107287406921,0.035221487283706665,False,0.6303740485839129,0.3488653626723594,True
displasia,12,mobilenet_orig,11,fronteira,0.5163565874099731,0.032713174819946345,False,0.6243414792480901,0.3269934566902693,True
displasia,12,mobilenet_orig,20,fronteira,0.5093442797660828,0.01868858933448797,False,0.6250689724701781,0.3389139322450412,True
displasia,12,mobilenet_orig,28,fronteira,0.5313339233398438,0.06266784667968756,False,0.626718342402053,0.3326699970222246,True
displasia,12,mobilenet_orig,35,acerto_confiante,0.9990301728248596,0.9980603330768645,True,0.6115086163797182,,False
displasia,12,mobilenet_orig,25,acerto_confiante,0.9988645315170288,0.9977291112300009,True,0.6485488798899735,,False
displasia,12,mobilenet_orig,42,acerto_confiante,0.9988449811935424,0.9976899718167259,True,0.6088738648562164,,False
displasia,12,mobilenet_orig,26,acerto_confiante,0.9986478686332704,0.9972957476275044,True,0.6260532060408311,,False
displasia,12,mobilenet_orig,34,acerto_confiante,0.9986154437065125,0.9972308850847186,True,0.599104160403763,,False
displasia,12,mobilenet_orig,24,acerto_confiante,0.9985278248786926,0.9970556373009458,True,0.6198254737755142,,False
displasia,12,mobilenet_orig,8,acerto_confiante,0.9982507824897766,0.9965015650959687,True,0.6044070533150476,,False
displasia,12,mobilenet_orig,41,acerto_confiante,0.9977176189422609,0.9954352197237315,True,0.6142386348381728,,False
displasia,12,mobilenet_orig,17,erro_confiante,0.5826778411865234,0.16535571217536926,False,0.582042515392152,0.30469668857236143,True
displasia,12,mobilenet_orig,28,erro_confiante,0.5313339233398438,0.06266784667968756,False,0.626718342402053,0.3326699970222246,True
displasia,12,mobilenet_orig,10,erro_confiante,0.5176107287406921,0.035221487283706665,False,0.6303740485839129,0.3488653626723594,True
displasia,12,mobilenet_orig,11,erro_confiante,0.5163565874099731,0.032713174819946345,False,0.6243414792480901,0.3269934566902693,True
displasia,12,mobilenet_orig,20,erro_confiante,0.5093442797660828,0.01868858933448797,False,0.6250689724701781,0.3389139322450412,True
displasia,12,mobilenet_recplot,0,fronteira,0.5305740237236023,0.06114807724952698,False,0.5878837115456976,0.48832165852935355,True
displasia,12,mobilenet_recplot,26,fronteira,0.5293306112289429,0.058661252260208185,True,0.6226451376814068,0.5379631114842809,False
displasia,12,mobilenet_recplot,34,fronteira,0.519359290599823,0.038718581199645996,True,0.5789168036283194,0.5551413693310212,False
displasia,12,mobilenet_recplot,8,acerto_confiante,0.993506669998169,0.9870133264921607,True,0.6234475201688247,,False
displasia,12,mobilenet_recplot,21,acerto_confiante,0.9920241832733154,0.9840483190491797,True,0.6039104655642688,,False
displasia,12,mobilenet_recplot,20,acerto_confiante,0.9880235195159912,0.9760470846667886,True,0.6014534081232931,,False
displasia,12,mobilenet_recplot,7,acerto_confiante,0.9871250987052916,0.9742501918226479,True,0.5876821436465878,,False
displasia,12,mobilenet_recplot,2,acerto_confiante,0.9870684742927552,0.9741369523108008,True,0.6083025804772524,,False
displasia,12,mobilenet_recplot,5,acerto_confiante,0.9869977235794068,0.9739954955875876,True,0.60377824121906,,False
displasia,12,mobilenet_recplot,3,acerto_confiante,0.986135184764862,0.9722703890874982,True,0.626501990280817,,False
displasia,12,mobilenet_recplot,15,acerto_confiante,0.980546772480011,0.9610935654491187,True,0.6161980282025904,,False
displasia,12,mobilenet_recplot,43,erro_confiante,0.81015545129776,0.6203109323978424,False,0.6175713534064977,0.5808745860049137,True
displasia,12,mobilenet_recplot,32,erro_confiante,0.5984305739402771,0.1968611776828766,False,0.5616208755461496,0.49661857377192703,True
displasia,12,mobilenet_recplot,0,erro_confiante,0.5305740237236023,0.06114807724952698,False,0.5878837115456976,0.48832165852935355,True
displasia,12,effnet_orig,7,fronteira,0.5178516507148743,0.03570330142974859,True,0.5972988282418409,0.3616226115652163,False
displasia,12,effnet_orig,17,fronteira,0.5341300368309021,0.0682600736618042,False,0.6474866377475128,0.4387996583629669,True
displasia,12,effnet_orig,23,acerto_confiante,0.999691128730774,0.9993822477990764,True,0.6363503276170523,,False
