branch,metrica,media,std
effnet_orig,complexity,0.47928306223632894,0.13433366120712237
effnet_orig,faithfulness,0.026192164731259317,0.19376471229727818
effnet_orig,robustness,0.8390920272065421,0.5436376292353424
effnet_recplot,complexity,0.5635646474651524,0.1925049244029869
effnet_recplot,faithfulness,0.06940902922770162,0.1981791879631985
effnet_recplot,robustness,inf,
mobilenet_orig,complexity,0.5502619316475371,0.09916061504334588
mobilenet_orig,faithfulness,0.02759343658384504,0.19136542463963974
mobilenet_orig,robustness,0.9630922712385654,0.5908906486957715
mobilenet_recplot,complexity,0.6049636725562695,0.14431075572496174
mobilenet_recplot,faithfulness,0.10435913350010327,0.19436383316812228
mobilenet_recplot,robustness,inf,
