fold,best_epoch,best_val_loss,best_val_accuracy,best_train_loss,best_train_accuracy
1,27,0.38614181995391844,0.88,0.07429698952520737,0.98989898989899
2,30,0.26733852982521056,0.9,0.06667369303077159,0.9848484848484849
3,24,0.3082412242889404,0.84,0.06255206254997639,0.9949494949494949
4,29,0.24097641755123528,0.9183673469387755,0.03611373409029826,1.0
5,29,0.25593470766836285,0.8979591836734694,0.03301252364812784,1.0
