fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[0.682570013271016, 0.6303353518437428, 0.5673910026337691, 0.5446122003968354, 0.5389896190849839, 0.528553938220261, 0.4610524002913457, 0.4148812679348478, 0.41511995055872924, 0.40549555914417196, 0.380438313172881, 0.38211056286362327, 0.3587303620994471, 0.3533727308367468, 0.33309079621248183, 0.3274076803095022, 0.2906355428847538, 0.2951784857139466, 0.26549046766606105, 0.28298567909343986, 0.27284531133949375, 0.25988106116367754, 0.2549661406476027, 0.2452329181751628, 0.21722151519386632, 0.1948548788857308, 0.20239821076393127, 0.22223454429085848, 0.1757432033491742, 0.203944154605744]","[0.535031847133758, 0.6050955414012739, 0.7452229299363057, 0.7834394904458599, 0.7643312101910829, 0.7707006369426752, 0.8280254777070064, 0.8535031847133758, 0.8662420382165605, 0.8853503184713376, 0.8662420382165605, 0.8662420382165605, 0.8726114649681529, 0.8789808917197452, 0.8789808917197452, 0.89171974522293, 0.9235668789808917, 0.8980891719745223, 0.9426751592356688, 0.9044585987261147, 0.910828025477707, 0.9044585987261147, 0.910828025477707, 0.9299363057324841, 0.9426751592356688, 0.9617834394904459, 0.9426751592356688, 0.9299363057324841, 0.9490445859872612, 0.9235668789808917]","[0.6907229423522949, 0.6928830146789551, 0.6650047898292542, 0.6531545519828796, 0.6527975797653198, 0.648938775062561, 0.6395182013511658, 0.6281791925430298, 0.6202051043510437, 0.6109236478805542, 0.5957647562026978, 0.566289484500885, 0.5249034762382507, 0.48776671290397644, 0.4474814534187317, 0.4412059187889099, 0.42095130681991577, 0.4039054811000824, 0.3986748158931732, 0.3959709703922272, 0.39264315366744995, 0.393641859292984, 0.3862206041812897, 0.3861355781555176, 0.3821643888950348, 0.3828495144844055, 0.3772931396961212, 0.3751862943172455, 0.3817236125469208, 0.3942555785179138]","[0.5, 0.5, 0.5714285714285714, 0.5714285714285714, 0.5357142857142857, 0.5714285714285714, 0.5714285714285714, 0.6785714285714286, 0.6785714285714286, 0.7142857142857143, 0.75, 0.75, 0.7857142857142857, 0.8214285714285714, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857, 0.8214285714285714, 0.8214285714285714, 0.8214285714285714, 0.8214285714285714, 0.8214285714285714, 0.8214285714285714, 0.8214285714285714, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8214285714285714]"
2,"[0.7002500078894875, 0.6190148829580187, 0.5735571697041705, 0.5178936661540211, 0.509272550369476, 0.5027335869682419, 0.4669786727094984, 0.4346395755981232, 0.3902600768145981, 0.39976492524147034, 0.3855306666630965, 0.36016693294465124, 0.34346984691553184, 0.3192583772685978, 0.3151231983324865, 0.3195374224569414, 0.2887278763981132, 0.2813322085600633, 0.2880734286525033, 0.24650836470243814, 0.23958280849290062, 0.2273835782612954, 0.24792740311655964, 0.2550312368186204, 0.23094992756426752, 0.20661189683250614, 0.22787679033679561, 0.19842038162938364, 0.1611613722426908, 0.19784256190686791]","[0.4755244755244755, 0.6503496503496503, 0.7692307692307693, 0.7832167832167832, 0.7482517482517482, 0.7692307692307693, 0.7972027972027972, 0.7832167832167832, 0.8251748251748252, 0.8041958041958042, 0.8111888111888111, 0.8321678321678322, 0.8881118881118881, 0.9020979020979021, 0.9090909090909091, 0.8671328671328671, 0.9230769230769231, 0.916083916083916, 0.916083916083916, 0.9440559440559441, 0.9230769230769231, 0.951048951048951, 0.9230769230769231, 0.8951048951048951, 0.9090909090909091, 0.958041958041958, 0.916083916083916, 0.958041958041958, 0.9790209790209791, 0.9370629370629371]","[0.681396810781388, 0.7137395711172194, 0.7312326260975429, 0.7370605837731135, 0.7343238279933021, 0.7229815863427662, 0.7173444571949187, 0.7124970753987631, 0.7169739916211083, 0.7137660611243475, 0.7124038139979044, 0.7114972443807692, 0.7145621606281826, 0.6631476708820888, 0.6233165320895967, 0.634315326100304, 0.6207269288244701, 0.6178861317180452, 0.618171078818185, 0.6308292462712243, 0.6318709680012294, 0.6346205245880854, 0.6389358668100267, 0.6188339931624276, 0.631526856195359, 0.629886405808585, 0.6419777472813925, 0.6444771573657081, 0.6375356231416974, 0.6431818746385121]","[0.4523809523809524, 0.47619047619047616, 0.4523809523809524, 0.40476190476190477, 0.42857142857142855, 0.5, 0.5, 0.47619047619047616, 0.47619047619047616, 0.5, 0.47619047619047616, 0.47619047619047616, 0.5, 0.5714285714285714, 0.6428571428571429, 0.6428571428571429, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6904761904761905, 0.6666666666666666, 0.6904761904761905, 0.6666666666666666, 0.6904761904761905, 0.6666666666666666, 0.6666666666666666]"
3,"[0.7115043467945523, 0.6375664406352572, 0.6106248696645101, 0.5743466284539964, 0.5521137184566922, 0.516010562578837, 0.4762769473923577, 0.47110414505004883, 0.4585590163866679, 0.42680442333221436, 0.4008399513032701, 0.39258509543206954, 0.36621567275789046, 0.36868763632244533, 0.337303982840644, 0.3401270806789398, 0.30782874425252277, 0.3102236357000139, 0.30581408242384595, 0.2822377151913113, 0.24835861722628275, 0.2634441885683272, 0.2651739733086692, 0.2447356879711151, 0.24247228271431392, 0.23925220635202196, 0.2374468445777893, 0.22669273614883423, 0.19457152982552847, 0.19155729148123]","[0.5069444444444444, 0.6666666666666666, 0.7083333333333334, 0.7361111111111112, 0.7430555555555556, 0.7638888888888888, 0.8402777777777778, 0.8263888888888888, 0.7916666666666666, 0.8472222222222222, 0.8472222222222222, 0.8541666666666666, 0.8819444444444444, 0.8472222222222222, 0.8888888888888888, 0.8680555555555556, 0.8888888888888888, 0.8888888888888888, 0.875, 0.9444444444444444, 0.9375, 0.9166666666666666, 0.9305555555555556, 0.9375, 0.9375, 0.9375, 0.9097222222222222, 0.9444444444444444, 0.9375, 0.9583333333333334]","[0.788949018571435, 0.7862653499696313, 0.7466643699785558, 0.706595258014958, 0.6961224035518926, 0.6920588118274037, 0.6836663251969872, 0.6665836369119039, 0.6518588938364168, 0.6406126342168669, 0.6199033391184923, 0.5919366871438375, 0.5284902569724292, 0.44982002421123224, 0.413933928419904, 0.38603806495666504, 0.3663516800578048, 0.3515471350855944, 0.34070439745740194, 0.3331162544285379, 0.3255666763317294, 0.3236978526522474, 0.3139456975750807, 0.30975440507981833, 0.3049476321150617, 0.29718535702403, 0.28865908922218697, 0.2834384652172647, 0.2849123841378747, 0.28800715542421107]","[0.34146341463414637, 0.36585365853658536, 0.3902439024390244, 0.4146341463414634, 0.5609756097560976, 0.6097560975609756, 0.6097560975609756, 0.6341463414634146, 0.6829268292682927, 0.6585365853658537, 0.6829268292682927, 0.7073170731707317, 0.7560975609756098, 0.8292682926829268, 0.8292682926829268, 0.8292682926829268, 0.8292682926829268, 0.8292682926829268, 0.8292682926829268, 0.8292682926829268, 0.8292682926829268, 0.8292682926829268, 0.8292682926829268, 0.8536585365853658, 0.8780487804878049, 0.9024390243902439, 0.9024390243902439, 0.8780487804878049, 0.8536585365853658, 0.8536585365853658]"
4,"[0.7206712095704797, 0.6380473399815494, 0.5788234545759958, 0.5327108894308953, 0.48109094165775873, 0.4685657016218525, 0.4439618865104571, 0.4259948665148591, 0.403106930729461, 0.3880702755222582, 0.35321269704870983, 0.3440340720627406, 0.3665074142691207, 0.32007382218151875, 0.30638933222587794, 0.28107877504335693, 0.29056394855453543, 0.2735018534203098, 0.2661765299431265, 0.23082675264306265, 0.24516157418081205, 0.2387733465596421, 0.21852604126277037, 0.2241345464366756, 0.23124880660070132, 0.17495580976956512, 0.2019756697628596, 0.18343405486786202, 0.17942514219512679, 0.15265570519721672]","[0.5273972602739726, 0.6506849315068494, 0.773972602739726, 0.8013698630136986, 0.8424657534246576, 0.8082191780821918, 0.8493150684931506, 0.8287671232876712, 0.8493150684931506, 0.8698630136986302, 0.8904109589041096, 0.8767123287671232, 0.8561643835616438, 0.8835616438356164, 0.9041095890410958, 0.9246575342465754, 0.8972602739726028, 0.9178082191780822, 0.910958904109589, 0.958904109589041, 0.9246575342465754, 0.9452054794520548, 0.9315068493150684, 0.9315068493150684, 0.9178082191780822, 0.9383561643835616, 0.9452054794520548, 0.952054794520548, 0.952054794520548, 0.9726027397260274]","[0.6980861990879743, 0.7074243357548347, 0.7048581739266714, 0.690771643932049, 0.6756432881722083, 0.6597885458897321, 0.6453760938766675, 0.633597867611127, 0.6237257367525345, 0.6128234710448828, 0.6068882498985682, 0.6079343205843216, 0.6077826130084503, 0.602105499842228, 0.592156728108724, 0.5828245801803393, 0.573767785842602, 0.5702944978689536, 0.5674534608156253, 0.5675126696244265, 0.5752837398113348, 0.5839645648613955, 0.5736830310943799, 0.5633141215030963, 0.5521262440925989, 0.5538575633978232, 0.5581572453180949, 0.5567328150455768, 0.5467365063153781, 0.5485044381557367]","[0.5897435897435898, 0.5384615384615384, 0.5128205128205128, 0.5128205128205128, 0.48717948717948717, 0.5384615384615384, 0.5384615384615384, 0.6153846153846154, 0.6666666666666666, 0.6923076923076923, 0.7692307692307693, 0.7692307692307693, 0.6666666666666666, 0.6666666666666666, 0.6153846153846154, 0.6410256410256411, 0.6923076923076923, 0.7692307692307693, 0.7692307692307693, 0.7435897435897436, 0.7435897435897436, 0.7435897435897436, 0.7435897435897436, 0.7435897435897436, 0.7435897435897436, 0.7435897435897436, 0.717948717948718, 0.7435897435897436, 0.7435897435897436, 0.717948717948718]"
5,"[0.6976889777183533, 0.6217427722613017, 0.5795698658625285, 0.525952684879303, 0.5009236081441244, 0.46833553751309714, 0.441368997891744, 0.44638821800549827, 0.40903222481409707, 0.42785370111465454, 0.3963916083176931, 0.3559962522983551, 0.3733369048436483, 0.33228543440500896, 0.3106840972105662, 0.3089223549763362, 0.2966784163316091, 0.2982534674803416, 0.29238348523775737, 0.28814430157343546, 0.24067525823911032, 0.23336689929167428, 0.22929611245791118, 0.23677881240844725, 0.22788524429003398, 0.24825215220451355, 0.19002447346846263, 0.22625785450140634, 0.1936137221256892, 0.17036936382452647]","[0.5333333333333333, 0.6933333333333334, 0.7466666666666667, 0.7866666666666666, 0.7933333333333333, 0.8133333333333334, 0.8133333333333334, 0.8133333333333334, 0.8533333333333334, 0.8066666666666666, 0.84, 0.86, 0.86, 0.88, 0.8866666666666667, 0.9133333333333333, 0.9133333333333333, 0.9, 0.9066666666666666, 0.9066666666666666, 0.94, 0.9466666666666667, 0.96, 0.94, 0.92, 0.9133333333333333, 0.9466666666666667, 0.9066666666666666, 0.92, 0.96]","[0.6599898730005537, 0.6767658420971462, 0.6839380690029689, 0.6848017420087542, 0.6822670868464878, 0.6801864947591509, 0.6801258512905666, 0.6787746565682548, 0.667735058920724, 0.6555528487477984, 0.648262117590223, 0.622946274280548, 0.5594464199883598, 0.494180771282741, 0.4501575231552124, 0.41866176809583394, 0.4154709509440831, 0.4161626168659755, 0.41411701951708113, 0.3992844615663801, 0.39938389573778427, 0.40120880944388254, 0.399737320627485, 0.39374779633113316, 0.37915430068969724, 0.3819939170564924, 0.3802501371928624, 0.3843391043799264, 0.40409882749829973, 0.4016050032206944]","[0.6285714285714286, 0.4857142857142857, 0.4857142857142857, 0.42857142857142855, 0.4857142857142857, 0.5714285714285714, 0.6285714285714286, 0.6285714285714286, 0.5714285714285714, 0.6571428571428571, 0.6571428571428571, 0.6857142857142857, 0.7142857142857143, 0.7428571428571429, 0.7714285714285715, 0.8, 0.8, 0.7714285714285715, 0.7714285714285715, 0.7714285714285715, 0.7714285714285715, 0.7428571428571429, 0.7428571428571429, 0.7428571428571429, 0.7428571428571429, 0.7428571428571429, 0.7142857142857143, 0.6857142857142857, 0.7428571428571429, 0.7714285714285715]"
