fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[0.6800964987202055, 0.5824548670440722, 0.5118557389374752, 0.47744677552751674, 0.4419696006425627, 0.38590403935711853, 0.34417548585849206, 0.33296487285832693, 0.2994994063665912, 0.26385839273975153, 0.27055630761726646, 0.21684233967665653, 0.21618172175185696, 0.21506916280764682, 0.15691079806749988, 0.15861330784050523, 0.15172631260316083, 0.13333839747556456, 0.15088118489380856, 0.11944682867663681, 0.11354472500028884, 0.10096867586586886, 0.08433763739789367, 0.09152244724285831, 0.08238218079327018, 0.07472358895525051, 0.11812657858156095, 0.07823960739336196, 0.06438853793368218, 0.09604857074227302]","[0.5414012738853503, 0.7770700636942676, 0.7961783439490446, 0.8407643312101911, 0.821656050955414, 0.9044585987261147, 0.9235668789808917, 0.8726114649681529, 0.9044585987261147, 0.9363057324840764, 0.8853503184713376, 0.9235668789808917, 0.9299363057324841, 0.9299363057324841, 0.9617834394904459, 0.9617834394904459, 0.9617834394904459, 0.9490445859872612, 0.9490445859872612, 0.9681528662420382, 0.9617834394904459, 0.9617834394904459, 0.9745222929936306, 0.9617834394904459, 0.9872611464968153, 0.9681528662420382, 0.9617834394904459, 0.9745222929936306, 0.9745222929936306, 0.9617834394904459]","[0.6868724822998047, 0.6811217665672302, 0.6841846704483032, 0.6628351807594299, 0.6453802585601807, 0.6456719040870667, 0.6593453288078308, 0.6583431959152222, 0.6463194489479065, 0.638957679271698, 0.6313362717628479, 0.5994111895561218, 0.5242992043495178, 0.4450521171092987, 0.3928183317184448, 0.37250006198883057, 0.37139999866485596, 0.3818106949329376, 0.3617759644985199, 0.33519446849823, 0.3005276024341583, 0.2997194528579712, 0.29259341955184937, 0.28876370191574097, 0.29144972562789917, 0.33828678727149963, 0.4037565588951111, 0.42999327182769775, 0.4307594299316406, 0.4206860065460205]","[0.48, 0.56, 0.52, 0.6, 0.64, 0.6, 0.48, 0.56, 0.64, 0.68, 0.6, 0.64, 0.76, 0.84, 0.8, 0.8, 0.8, 0.84, 0.84, 0.88, 0.88, 0.88, 0.88, 0.88, 0.92, 0.92, 0.92, 0.84, 0.84, 0.84]"
2,"[0.6996951143213567, 0.5973967257762115, 0.5268100924139855, 0.47660535173928176, 0.42218965491992516, 0.38968536417756305, 0.3472266727245894, 0.3165421531904464, 0.2984808087348938, 0.2480584029983354, 0.23784480038905303, 0.22994904990164225, 0.17243535886674918, 0.17361507899809203, 0.13758232289512687, 0.17145706103152078, 0.13225701121275857, 0.1119925141234526, 0.09601338407737296, 0.1268723586061657, 0.11556583932982195, 0.07947707901264997, 0.1006673423435864, 0.08173118321687584, 0.05144291521118791, 0.06916716134788206, 0.09148604657826008, 0.1255476742782849, 0.0700489901406253, 0.05281033761949347]","[0.5100671140939598, 0.7583892617449665, 0.7785234899328859, 0.8657718120805369, 0.8657718120805369, 0.8859060402684564, 0.9060402684563759, 0.9060402684563759, 0.9060402684563759, 0.9328859060402684, 0.9328859060402684, 0.9261744966442953, 0.959731543624161, 0.9328859060402684, 0.9798657718120806, 0.9395973154362416, 0.959731543624161, 0.9731543624161074, 0.9664429530201343, 0.959731543624161, 0.959731543624161, 0.9798657718120806, 0.9798657718120806, 0.9664429530201343, 1.0, 0.9865771812080537, 0.959731543624161, 0.9530201342281879, 0.9798657718120806, 0.9865771812080537]","[0.6837074070265798, 0.6726879567810984, 0.6610587799187863, 0.6632047367818428, 0.6558790893265696, 0.658837257009564, 0.6582678484194207, 0.6579833789305254, 0.6577659104809617, 0.6659582185022759, 0.6661953149419843, 0.6313502788543701, 0.5622579184445468, 0.48022076758471405, 0.4916550733826377, 0.5467950177915168, 0.5714032379063693, 0.5515955180832834, 0.5597113226399277, 0.6450806061426798, 0.6716391931880604, 0.6447751671075821, 0.6216013090628566, 0.6142265945672989, 0.6016024202108383, 0.612880679694089, 0.6433320840199789, 0.612407156012275, 0.5019549275889541, 0.49673094442396454]","[0.48484848484848486, 0.5454545454545454, 0.5454545454545454, 0.6363636363636364, 0.5454545454545454, 0.5757575757575758, 0.48484848484848486, 0.5151515151515151, 0.5151515151515151, 0.5151515151515151, 0.48484848484848486, 0.48484848484848486, 0.7272727272727273, 0.7878787878787878, 0.7878787878787878, 0.7575757575757576, 0.7575757575757576, 0.7878787878787878, 0.7878787878787878, 0.7575757575757576, 0.7575757575757576, 0.7575757575757576, 0.7575757575757576, 0.7575757575757576, 0.7575757575757576, 0.7575757575757576, 0.7272727272727273, 0.7575757575757576, 0.7878787878787878, 0.7575757575757576]"
3,"[0.7164662794062966, 0.6051420318452936, 0.5197111430921053, 0.48591095522830363, 0.4499581048363133, 0.3750742532705006, 0.33390333307416814, 0.2930803455804524, 0.27311000855345474, 0.2578416560825549, 0.20653672202637322, 0.17951546609401703, 0.1627787947654724, 0.1909649293673666, 0.14577222537053258, 0.1591532959749824, 0.11536081527408801, 0.11164365316692151, 0.0953115115040227, 0.09701452619935337, 0.08796907530019157, 0.08013450079842617, 0.07157678157091141, 0.07809978958807494, 0.0670861268514081, 0.06904774472901695, 0.04727731782354807, 0.05930485517570847, 0.05357733310053223, 0.09406359062383049]","[0.4868421052631579, 0.743421052631579, 0.8092105263157895, 0.8289473684210527, 0.8421052631578947, 0.8881578947368421, 0.9144736842105263, 0.9210526315789473, 0.9407894736842105, 0.9276315789473685, 0.9473684210526315, 0.9671052631578947, 0.9605263157894737, 0.9342105263157895, 0.9539473684210527, 0.9407894736842105, 0.9671052631578947, 0.9605263157894737, 1.0, 0.9736842105263158, 0.9671052631578947, 0.9736842105263158, 0.9802631578947368, 0.9671052631578947, 0.9868421052631579, 0.9802631578947368, 0.993421052631579, 0.9736842105263158, 0.9736842105263158, 0.9802631578947368]","[0.7191354036331177, 0.7084857225418091, 0.7012515664100647, 0.6794360876083374, 0.658696174621582, 0.641640305519104, 0.6280434131622314, 0.6275045871734619, 0.6284469962120056, 0.6223912835121155, 0.6117919087409973, 0.6009581685066223, 0.5672901272773743, 0.5625011920928955, 0.6203883290290833, 0.6900268793106079, 0.702747106552124, 0.7320368885993958, 0.7406903505325317, 0.764197051525116, 0.7991814017295837, 0.7977478504180908, 0.8219860196113586, 0.8654050230979919, 0.8561885356903076, 0.856751561164856, 0.8026092648506165, 0.8214239478111267, 0.846598207950592, 0.9080760478973389]","[0.5, 0.5, 0.5, 0.6, 0.6666666666666666, 0.6333333333333333, 0.6666666666666666, 0.6333333333333333, 0.7, 0.7, 0.7333333333333333, 0.7333333333333333, 0.7666666666666667, 0.7333333333333333, 0.7333333333333333, 0.7, 0.6666666666666666, 0.6666666666666666, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7333333333333333, 0.7666666666666667, 0.7666666666666667, 0.7666666666666667, 0.7666666666666667, 0.7666666666666667, 0.7666666666666667]"
4,"[0.6873061895370484, 0.6142593114464371, 0.5223537705562733, 0.49654275443818835, 0.4666877775280564, 0.39179052158638283, 0.36274441922152484, 0.32214414433196736, 0.3114908770278648, 0.28280774619844223, 0.2777244863686738, 0.23035399670954104, 0.23738288901470325, 0.17007368251129432, 0.1546068404559736, 0.16784958883568094, 0.19692729667381004, 0.17125361859798433, 0.16165476927050837, 0.13816732631789314, 0.14301323736155475, 0.09344716756432145, 0.11215167001441673, 0.09953641516190988, 0.07739625827029899, 0.11334937777784136, 0.09021627505620321, 0.1465018669764201, 0.11525541455657394, 0.12789224728390022]","[0.5703703703703704, 0.7111111111111111, 0.8296296296296296, 0.8074074074074075, 0.8296296296296296, 0.9037037037037037, 0.9185185185185185, 0.9259259259259259, 0.9111111111111111, 0.9185185185185185, 0.9333333333333333, 0.9259259259259259, 0.9185185185185185, 0.9703703703703703, 0.9925925925925926, 0.9629629629629629, 0.9333333333333333, 0.9407407407407408, 0.9555555555555556, 0.9555555555555556, 0.9629629629629629, 0.9777777777777777, 0.9703703703703703, 0.9777777777777777, 1.0, 0.9777777777777777, 0.9703703703703703, 0.9259259259259259, 0.9629629629629629, 0.9703703703703703]","[0.6943060781093354, 0.7076007774535645, 0.703859325419081, 0.6836604171610893, 0.6673503251785927, 0.6591937123460972, 0.6627043739278266, 0.6724498893352265, 0.6793940574564832, 0.6805947334208386, 0.6764699157248152, 0.6375239707053976, 0.6352769846611834, 0.633493739239713, 0.6650713973856986, 0.6787732421083653, 0.6683179926364979, 0.7078685468815743, 0.7404062747955322, 0.7808169836693621, 0.7071913683668096, 0.6977513749548729, 0.778079315702966, 0.7345107273852571, 0.7104739870162721, 0.7100555877736274, 0.7302139911879885, 0.8048955706205774, 0.8463749080262286, 0.8674510926642316]","[0.5531914893617021, 0.425531914893617, 0.46808510638297873, 0.5319148936170213, 0.5957446808510638, 0.5957446808510638, 0.6170212765957447, 0.6170212765957447, 0.6382978723404256, 0.574468085106383, 0.6170212765957447, 0.5957446808510638, 0.574468085106383, 0.6382978723404256, 0.6595744680851063, 0.6382978723404256, 0.6382978723404256, 0.6382978723404256, 0.6808510638297872, 0.6808510638297872, 0.6808510638297872, 0.6595744680851063, 0.6595744680851063, 0.6595744680851063, 0.6808510638297872, 0.723404255319149, 0.6808510638297872, 0.6808510638297872, 0.6595744680851063, 0.6808510638297872]"
5,"[0.7030830599643566, 0.6059943450821771, 0.5551518453492059, 0.49837261879885636, 0.46279324028227065, 0.4034641897236859, 0.3971537638593603, 0.34992392548808343, 0.32773901555273266, 0.33035733898480735, 0.28251365467354106, 0.2462819426148026, 0.2564019823515857, 0.20222748396573242, 0.1980006875815215, 0.18211011555459763, 0.19351892338858712, 0.13606320244294626, 0.13263226405338005, 0.1527229321223718, 0.10967637918613575, 0.10587869341726656, 0.10950855778323279, 0.11579272048892798, 0.08851451399149718, 0.11060761853500649, 0.14035480684704252, 0.09560427864392598, 0.09011428538295958, 0.07874632400495035]","[0.5037037037037037, 0.7185185185185186, 0.7703703703703704, 0.837037037037037, 0.8666666666666667, 0.8444444444444444, 0.8962962962962963, 0.9185185185185185, 0.9037037037037037, 0.8814814814814815, 0.9185185185185185, 0.9259259259259259, 0.9185185185185185, 0.9259259259259259, 0.9481481481481482, 0.9407407407407408, 0.9111111111111111, 0.9777777777777777, 0.9777777777777777, 0.9703703703703703, 0.9777777777777777, 0.9629629629629629, 0.9777777777777777, 0.9555555555555556, 0.9777777777777777, 0.9629629629629629, 0.9481481481481482, 0.9777777777777777, 0.9703703703703703, 0.9851851851851852]","[0.6612446954909791, 0.6733877379843529, 0.6791059970855713, 0.6492483210056386, 0.6240248768887622, 0.6220144959206276, 0.6302052495327402, 0.6344284377199538, 0.6353831703358508, 0.6330564465928585, 0.6183613196332404, 0.587305949723467, 0.5511442061434401, 0.5752983473716898, 0.608111820322402, 0.6407024720881848, 0.6616355180740356, 0.6730627011745534, 0.6948577216330994, 0.7063339149698298, 0.7409880009103329, 0.7624155447838155, 0.7213907913958773, 0.7304558893467518, 0.7617197899108238, 0.7570873473552947, 0.8127181732908209, 0.8486398585299229, 0.796559454278743, 0.7424621138166874]","[0.6170212765957447, 0.5957446808510638, 0.5531914893617021, 0.7659574468085106, 0.7659574468085106, 0.7021276595744681, 0.6808510638297872, 0.6595744680851063, 0.6382978723404256, 0.6382978723404256, 0.6808510638297872, 0.6595744680851063, 0.7446808510638298, 0.723404255319149, 0.6808510638297872, 0.6595744680851063, 0.6808510638297872, 0.7021276595744681, 0.7021276595744681, 0.723404255319149, 0.7021276595744681, 0.6808510638297872, 0.7021276595744681, 0.7021276595744681, 0.7659574468085106, 0.7446808510638298, 0.723404255319149, 0.7021276595744681, 0.7021276595744681, 0.7021276595744681]"
