branch,bloco,spearman,ssim
mobilenet_orig,nenhum (referencia),1.0,1.0
mobilenet_orig,classifier,0.7294817645019612,0.5390123775699742
mobilenet_orig,features[18],-0.17445352107471762,0.23406415564872893
mobilenet_orig,features[17],0.1683590091374587,0.18318606971039483
mobilenet_orig,features[16],0.31547485614671533,0.24145272546266494
mobilenet_orig,features[15],0.3182853304809827,0.24299462707026556
mobilenet_orig,features[14],0.5243766558405542,0.20368412016380488
mobilenet_orig,features[13],0.3788027300268638,0.20390226181525709
mobilenet_orig,features[12],0.4209116663936823,0.23960121759481784
mobilenet_orig,features[11],0.47419307327605936,0.2271433361458328
mobilenet_orig,features[10],0.5072004119434476,0.24515775155868239
mobilenet_orig,features[9],0.43855106451287845,0.2522457808758651
mobilenet_orig,features[8],0.4778316783038683,0.23757393906941515
mobilenet_orig,features[7],0.5281987106864239,0.26828809944768806
mobilenet_orig,features[6],0.5408515210727998,0.2495365719895524
mobilenet_orig,features[5],0.5732244575230744,0.2846086217402327
mobilenet_orig,features[4],0.4439535486065808,0.20891133947161375
mobilenet_orig,features[3],0.38511905470392205,0.20290004189400557
mobilenet_orig,features[2],0.5219599180360123,0.22799052633142866
mobilenet_orig,features[1],0.432777195396949,0.19669990040676538
mobilenet_orig,features[0],0.4017354261556288,0.22245921275437913
mobilenet_recplot,nenhum (referencia),1.0,1.0
mobilenet_recplot,classifier,-0.008343470601275181,0.3632669951291151
mobilenet_recplot,features[18],0.09173135781136824,0.1153234160648301
mobilenet_recplot,features[17],-0.5663703258778863,0.18879156389362728
mobilenet_recplot,features[16],-0.41904170886901915,0.2136367074138414
mobilenet_recplot,features[15],-0.36797263595522073,0.185633267063983
mobilenet_recplot,features[14],0.22382942069941922,0.2936300457147251
mobilenet_recplot,features[13],0.19502675883704798,0.29661782038126105
mobilenet_recplot,features[12],0.16000178709312457,0.18301623863723632
mobilenet_recplot,features[11],0.24140931963651208,0.5699146271855197
mobilenet_recplot,features[10],-0.21802535273406357,0.4778483824992265
mobilenet_recplot,features[9],-0.35932377664751897,0.3182186739590616
mobilenet_recplot,features[8],-0.195289180752683,0.37484335060845086
mobilenet_recplot,features[7],-0.32886712322262773,0.17133478573684058
mobilenet_recplot,features[6],-0.2379723575815461,0.2453306930474749
mobilenet_recplot,features[5],-0.11943602846984827,0.3354084200730407
mobilenet_recplot,features[4],-0.46552243192656756,0.2732649455344671
mobilenet_recplot,features[3],-0.5031886151465437,0.3114504022563909
mobilenet_recplot,features[2],-0.15255571008853755,0.4043648751896579
mobilenet_recplot,features[1],0.11669209950959174,0.40780135036417337
mobilenet_recplot,features[0],-0.31037866001949743,0.34713275426471407
effnet_orig,nenhum (referencia),1.0,1.0
effnet_orig,classifier,0.270344879255259,0.3243655317953697
effnet_orig,features[8],-0.11625271122181143,0.22658304037794788
effnet_orig,features[7],0.2923277684334994,0.40754258172041874
effnet_orig,features[6],0.18168968105727315,0.3165775503438553
effnet_orig,features[5],0.05890627737919451,0.3095170974211184
effnet_orig,features[4],0.20135702440175837,0.3434533982344698
effnet_orig,features[3],0.34949187542939286,0.3119406320490074
effnet_orig,features[2],-0.025969310358249106,0.22235307034275134
effnet_orig,features[1],0.14283182107689205,0.2831830456373359
effnet_orig,features[0],0.0,0.12195217313735113
effnet_recplot,nenhum (referencia),1.0,1.0
effnet_recplot,classifier,-0.12500716213631144,0.29195885034876323
effnet_recplot,features[8],0.25179164471001875,0.36324809328383867
effnet_recplot,features[7],0.1151833622827521,0.2561299712090875
effnet_recplot,features[6],-0.14687053624960533,0.19137478478764072
effnet_recplot,features[5],-0.33908743779975226,0.16475822789416783
effnet_recplot,features[4],-0.2588089558011134,0.2127311368433535
effnet_recplot,features[3],0.052082700902882195,0.30084528555718143
effnet_recplot,features[2],0.5920379827948915,0.45059253054837634
effnet_recplot,features[1],0.0,0.39029540650128486
effnet_recplot,features[0],0.0,0.39029540650128486
