banda,media,std,n
Manhattan (G),0.008072562050074339,0.023401365686599795,48
Manhattan (H),-0.00021484370032946268,0.008246526653380604,48
Euclidiana (G),-0.001042189309373498,0.16017372406108016,48
Minkowski (P),-0.0020657998975366354,0.031994432108253285,48
Manhattan (P),-0.00236323568969965,0.04499459943732278,48
Minkowski (G),-0.005355484240377943,0.09340435297124315,48
Minkowski (H),-0.011372223030775785,0.0712292090252269,48
Euclidiana (H),-0.02744543451505403,0.0524623777750838,48
Euclidiana (P),-0.028156522351006668,0.08781842541084217,48
