seed,banda,queda_prob,sample,target_class
87,Manhattan (H),0.019218385219573975,1,0
93,Minkowski (P),-0.01089566946029663,1,0
93,Minkowski (G),-0.04199784994125366,1,0
93,Minkowski (H),0.1256200671195984,1,0
93,Euclidiana (P),0.14554810523986816,1,0
93,Euclidiana (G),0.14191460609436035,1,0
93,Euclidiana (H),0.0371549129486084,1,0
93,Manhattan (P),0.12792664766311646,1,0
93,Manhattan (G),-0.05041474103927612,1,0
93,Manhattan (H),-0.02286475896835327,1,0
107,Minkowski (P),0.026239752769470215,1,0
107,Minkowski (G),-0.021441996097564697,1,0
107,Minkowski (H),-0.01090174913406372,1,0
107,Euclidiana (P),0.04458588361740112,1,0
107,Euclidiana (G),0.009345471858978271,1,0
107,Euclidiana (H),0.025221586227416992,1,0
107,Manhattan (P),0.07479053735733032,1,0
107,Manhattan (G),-0.006112992763519287,1,0
107,Manhattan (H),-0.006995797157287598,1,0
121,Minkowski (P),0.11636769771575928,1,0
121,Minkowski (G),-0.09809434413909912,1,0
121,Minkowski (H),0.11091172695159912,1,0
121,Euclidiana (P),0.12136691808700562,1,0
121,Euclidiana (G),0.0075768232345581055,1,0
121,Euclidiana (H),0.07362496852874756,1,0
121,Manhattan (P),0.16714012622833252,1,0
121,Manhattan (G),0.04079627990722656,1,0
121,Manhattan (H),-0.0174558162689209,1,0
7,Minkowski (P),-0.002600371837615967,2,0
7,Minkowski (G),0.009074747562408447,2,0
7,Minkowski (H),0.0019591450691223145,2,0
7,Euclidiana (P),0.004042625427246094,2,0
7,Euclidiana (G),0.000329434871673584,2,0
7,Euclidiana (H),0.0004520416259765625,2,0
7,Manhattan (P),0.004245281219482422,2,0
7,Manhattan (G),0.0008537769317626953,2,0
7,Manhattan (H),-0.0006632208824157715,2,0
12,Minkowski (P),-0.005274415016174316,2,0
12,Minkowski (G),0.005563914775848389,2,0
12,Minkowski (H),0.0046749114990234375,2,0
12,Euclidiana (P),0.006985187530517578,2,0
12,Euclidiana (G),0.007945835590362549,2,0
12,Euclidiana (H),0.013458311557769775,2,0
12,Manhattan (P),0.007168710231781006,2,0
12,Manhattan (G),-0.0019518136978149414,2,0
12,Manhattan (H),-0.00025779008865356445,2,0
42,Minkowski (P),-0.0016049742698669434,2,0
42,Minkowski (G),0.004110932350158691,2,0
42,Minkowski (H),-0.00281524658203125,2,0
42,Euclidiana (P),-0.0007688999176025391,2,0
42,Euclidiana (G),-0.0013670921325683594,2,0
42,Euclidiana (H),0.0004311800003051758,2,0
42,Manhattan (P),0.0021785497665405273,2,0
42,Manhattan (G),-0.00024950504302978516,2,0
42,Manhattan (H),4.595518112182617e-05,2,0
65,Minkowski (P),-0.011625528335571289,2,0
65,Minkowski (G),0.004999816417694092,2,0
65,Minkowski (H),-0.0145835280418396,2,0
65,Euclidiana (P),-0.0030376315116882324,2,0
65,Euclidiana (G),0.020413756370544434,2,0
65,Euclidiana (H),0.012030839920043945,2,0
65,Manhattan (P),0.008665502071380615,2,0
65,Manhattan (G),-0.0047490596771240234,2,0
65,Manhattan (H),0.0006354451179504395,2,0
87,Minkowski (P),0.004590332508087158,2,0
87,Minkowski (G),0.02300482988357544,2,0
87,Minkowski (H),-0.0013718605041503906,2,0
87,Euclidiana (P),0.0031069517135620117,2,0
87,Euclidiana (G),0.007292747497558594,2,0
87,Euclidiana (H),0.006181955337524414,2,0
87,Manhattan (P),0.007781565189361572,2,0
87,Manhattan (G),-0.0012798905372619629,2,0
87,Manhattan (H),0.0004463791847229004,2,0
93,Minkowski (P),2.4139881134033203e-05,2,0
93,Minkowski (G),0.000996232032775879,2,0
93,Minkowski (H),-0.00033283233642578125,2,0
93,Euclidiana (P),-1.9371509552001953e-05,2,0
93,Euclidiana (G),0.0027530789375305176,2,0
93,Euclidiana (H),0.0010707378387451172,2,0
93,Manhattan (P),0.000424802303314209,2,0
93,Manhattan (G),-0.00016438961029052734,2,0
93,Manhattan (H),3.0100345611572266e-05,2,0
107,Minkowski (P),-0.0004387497901916504,2,0
107,Minkowski (G),0.00276947021484375,2,0
107,Minkowski (H),-0.0008887052536010742,2,0
107,Euclidiana (P),0.0005442500114440918,2,0
107,Euclidiana (G),0.0003731250762939453,2,0
107,Euclidiana (H),-0.00020927190780639648,2,0
107,Manhattan (P),0.0002314448356628418,2,0
107,Manhattan (G),-0.00021469593048095703,2,0
107,Manhattan (H),3.653764724731445e-05,2,0
121,Minkowski (P),-0.0008199810981750488,2,0
121,Minkowski (G),0.002879500389099121,2,0
121,Minkowski (H),-0.0024820566177368164,2,0
