branch,metrica,media,std
effnet_orig,complexity,0.27864631508755916,0.12249274557747195
effnet_orig,faithfulness,0.07533303616345739,0.20202764277504165
effnet_orig,robustness,2.371422798251328,1.7502472414986137
effnet_recplot,complexity,0.2439345471110959,0.11902118908995342
effnet_recplot,faithfulness,0.0664764624291464,0.19401237731703247
effnet_recplot,robustness,2.03161831734621,2.139277801832615
mobilenet_orig,complexity,0.4294878920094808,0.04737318326752335
mobilenet_orig,faithfulness,0.12858717172386366,0.2015034398464932
mobilenet_orig,robustness,1.5113611695883067,0.6376625996626359
mobilenet_recplot,complexity,0.47993303602542303,0.06020321261743551
mobilenet_recplot,faithfulness,0.13613922743167242,0.19178661209164355
mobilenet_recplot,robustness,2.4938554797807466,1.3172805964592713
