fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[1.1133224061041167, 0.9642248882187737, 0.8443415676704561, 0.7564834326204627, 0.6490792030035847, 0.5630859539966391, 0.5020386865644744, 0.4221565645150464, 0.366361827260316, 0.3484123403375799, 0.29450008724675036, 0.26137036777505973, 0.22285738888413015, 0.1972848842240343, 0.20669269441354154, 0.13963420990139547, 0.13055146523196287, 0.10754925072795213, 0.09292542121627113, 0.10181205561666777, 0.07409110439546181, 0.09834282747422805, 0.07141306785622029, 0.05931428074836731, 0.0675389760672444, 0.06735179671133408, 0.07126494609948361, 0.038894315410141996, 0.07921532007178875, 0.046975007111375984]","[0.26262626262626265, 0.7121212121212122, 0.7828282828282829, 0.803030303030303, 0.8585858585858586, 0.8737373737373737, 0.8888888888888888, 0.9242424242424242, 0.9595959595959596, 0.9343434343434344, 0.9646464646464646, 0.9696969696969697, 0.9797979797979798, 0.9696969696969697, 0.9747474747474747, 0.9848484848484849, 0.9949494949494949, 0.9949494949494949, 1.0, 1.0, 1.0, 0.9848484848484849, 1.0, 0.9949494949494949, 1.0, 1.0, 0.9848484848484849, 0.9949494949494949, 0.98989898989899, 0.9949494949494949]","[1.0647055768966676, 0.987895803451538, 0.8737980556488038, 0.7691253256797791, 0.6842497205734253, 0.6219554090499878, 0.5543508148193359, 0.5161506175994873, 0.4826132488250732, 0.44649481773376465, 0.4224070882797241, 0.40533683776855467, 0.398904447555542, 0.3816366481781006, 0.37880352020263675, 0.36418148040771486, 0.3575535607337952, 0.35327050685882566, 0.3420004034042358, 0.32652687430381777, 0.32505412578582765, 0.32112932682037354, 0.326936844587326, 0.33219101309776305, 0.32614750623703004, 0.3485753858089447, 0.3458060872554779, 0.3450654983520508, 0.35230508089065554, 0.3354476761817932]","[0.46, 0.7, 0.74, 0.8, 0.84, 0.84, 0.86, 0.86, 0.86, 0.86, 0.86, 0.88, 0.88, 0.88, 0.88, 0.9, 0.9, 0.9, 0.92, 0.9, 0.88, 0.92, 0.88, 0.88, 0.88, 0.9, 0.9, 0.92, 0.88, 0.9]"
2,"[1.0567200834100896, 0.8998516791998737, 0.7599917993401036, 0.6767123245229625, 0.5960190603227327, 0.4913810906988202, 0.43277627350103975, 0.37859090349890967, 0.3500378384734645, 0.30011849692373566, 0.2796652741504438, 0.2130191485689144, 0.22930707233120698, 0.18403101148027362, 0.16455669279652413, 0.14090258003485323, 0.11604909975119311, 0.11222125303865683, 0.10716007108038123, 0.10550146331690778, 0.06771527531773153, 0.08104072767074662, 0.06642034363867057, 0.06248789566634881, 0.06398644185427463, 0.050854629488906476, 0.03636909539651389, 0.03507443765799204, 0.03720872450356531, 0.03288571521489307]","[0.45454545454545453, 0.7474747474747475, 0.8383838383838383, 0.8333333333333334, 0.8686868686868687, 0.9040404040404041, 0.9191919191919192, 0.9292929292929293, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9848484848484849, 0.9696969696969697, 0.9848484848484849, 0.9797979797979798, 0.9696969696969697, 0.9949494949494949, 0.9848484848484849, 1.0, 0.98989898989899, 1.0, 0.9949494949494949, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0464943504333497, 0.9821447992324829, 0.8776555681228637, 0.7979069089889527, 0.7328742265701294, 0.6899142169952392, 0.6318009734153748, 0.5904378843307495, 0.5656317806243897, 0.5465974378585815, 0.5327825856208801, 0.5033358907699585, 0.46378780841827394, 0.44655551433563234, 0.4246664977073669, 0.40216007590293884, 0.39951896786689756, 0.38158912539482115, 0.3929551661014557, 0.3833203506469727, 0.36845929026603697, 0.36160454630851746, 0.3387474238872528, 0.335390168428421, 0.33257595062255857, 0.3365583407878876, 0.33440143465995786, 0.33179708480834963, 0.3326794505119324, 0.32182623744010924]","[0.54, 0.56, 0.74, 0.76, 0.74, 0.74, 0.74, 0.78, 0.8, 0.78, 0.8, 0.8, 0.84, 0.82, 0.8, 0.82, 0.82, 0.84, 0.86, 0.86, 0.88, 0.88, 0.88, 0.88, 0.86, 0.86, 0.9, 0.84, 0.9, 0.9]"
3,"[1.0862297758911594, 0.937673508518874, 0.8253130792367338, 0.7001313518996191, 0.6337813157023806, 0.5587220336451675, 0.476421058177948, 0.4572877992283214, 0.40405817043901693, 0.33347780776746344, 0.3794339317263979, 0.27505826107179276, 0.25078652242217403, 0.22854749391777346, 0.20120025990587292, 0.17420853569050027, 0.14050553543399077, 0.13416765645296888, 0.1240985808950482, 0.12454069217648168, 0.09172066865545331, 0.07107880079385007, 0.06704636911551158, 0.05642090632457926, 0.05282998897812583, 0.056174177714068484, 0.058073405665580675, 0.04826803746247532, 0.038421358010082535, 0.041771475714866564]","[0.3939393939393939, 0.7272727272727273, 0.7929292929292929, 0.8232323232323232, 0.8131313131313131, 0.8535353535353535, 0.9040404040404041, 0.9040404040404041, 0.9090909090909091, 0.9646464646464646, 0.9040404040404041, 0.9848484848484849, 0.9797979797979798, 0.9797979797979798, 0.98989898989899, 0.98989898989899, 1.0, 0.9949494949494949, 0.9848484848484849, 0.9949494949494949, 1.0, 0.9949494949494949, 1.0, 1.0, 0.9949494949494949, 0.98989898989899, 0.9949494949494949, 1.0, 1.0, 1.0]","[1.0155025959014892, 0.9422972774505616, 0.8452326965332031, 0.7275435733795166, 0.6424358797073364, 0.5733852100372314, 0.5183624744415283, 0.473936185836792, 0.4426122236251831, 0.42423120260238645, 0.3833922612667084, 0.3598619318008423, 0.3408263719081879, 0.31063260793685915, 0.29564379215240477, 0.2803068196773529, 0.27389528632164, 0.2555269312858581, 0.25755423069000244, 0.26287289619445803, 0.2473252844810486, 0.24253844380378722, 0.23314231395721435, 0.23495382070541382, 0.2445130777359009, 0.23526041805744172, 0.2145407211780548, 0.18886902272701264, 0.1721072179079056, 0.17920247972011566]","[0.68, 0.76, 0.72, 0.74, 0.78, 0.84, 0.86, 0.86, 0.9, 0.94, 0.92, 0.92, 0.92, 0.94, 0.96, 0.94, 0.94, 0.94, 0.92, 0.94, 0.9, 0.92, 0.96, 0.92, 0.88, 0.9, 0.94, 0.94, 0.94, 0.96]"
4,"[1.1010533092009962, 0.9384135475110769, 0.8050942444921139, 0.7125868991990785, 0.611184104004098, 0.5383400431829481, 0.457410783923451, 0.41354351397135747, 0.3612156450448923, 0.3142544273755059, 0.265588965997025, 0.23989439519805525, 0.2132899770185576, 0.2058758797058508, 0.16522471831372035, 0.13920994192811112, 0.13754736463628223, 0.12949099762355862, 0.09901147556664357, 0.07880097545271543, 0.07856512556423494, 0.07371998933990996, 0.06381015382220398, 0.07758190539014999, 0.0748482517261601, 0.053136636039719506, 0.04161569236510962, 0.034575248745518115, 0.04257130718336034, 0.024158871503331552]","[0.3316582914572864, 0.7386934673366834, 0.8442211055276382, 0.8442211055276382, 0.8894472361809045, 0.8944723618090452, 0.9296482412060302, 0.914572864321608, 0.949748743718593, 0.964824120603015, 0.964824120603015, 0.9849246231155779, 0.9798994974874372, 0.9798994974874372, 1.0, 0.9949748743718593, 0.9899497487437185, 0.9748743718592965, 0.9949748743718593, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0749979603047273, 0.9903653884420589, 0.8755130305582163, 0.7701835230905183, 0.6940285526976293, 0.6369021413277607, 0.5849022232756322, 0.5488235609872001, 0.5249830837152443, 0.4996702634558386, 0.47504126174109323, 0.4582842673574175, 0.43787847733011054, 0.4387306449364643, 0.43353485331243397, 0.4242462296875156, 0.4202447752563321, 0.41083858451064753, 0.38738832668382295, 0.374823733251922, 0.3644163985641635, 0.3485624546907386, 0.37111056337551196, 0.3669152843708895, 0.36720105336636916, 0.36991508517946514, 0.360207698783096, 0.370970931588387, 0.3783424654785468, 0.3853858709335327]","[0.4489795918367347, 0.673469387755102, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8775510204081632, 0.8775510204081632, 0.8775510204081632, 0.8775510204081632, 0.8571428571428571, 0.8775510204081632, 0.8775510204081632, 0.8775510204081632, 0.8775510204081632, 0.8979591836734694, 0.8775510204081632, 0.8571428571428571, 0.8775510204081632, 0.8571428571428571, 0.8571428571428571, 0.8367346938775511]"
5,"[1.0654119106393363, 0.9214209881260167, 0.8004550415666858, 0.684345994462919, 0.5983354305502159, 0.5198225274157884, 0.4783084539312813, 0.42059525263369385, 0.38950768487537324, 0.3095100676294547, 0.2952191792241293, 0.2565261026722702, 0.22591367558618286, 0.1765897807164408, 0.17361839946789956, 0.15584718237570183, 0.13726756890215466, 0.13410251104651982, 0.1454627714564453, 0.10084137425350784, 0.09749457195176552, 0.07375572786558812, 0.07753262567759758, 0.05804747889688865, 0.05712837295316572, 0.057422178324742536, 0.03554671334486511, 0.05784431369460408, 0.04035411835016318, 0.033856733847203564]","[0.4723618090452261, 0.7638190954773869, 0.8241206030150754, 0.8592964824120602, 0.8693467336683417, 0.8693467336683417, 0.8743718592964824, 0.9095477386934674, 0.8944723618090452, 0.9246231155778895, 0.9396984924623115, 0.9597989949748744, 0.964824120603015, 0.9798994974874372, 0.9698492462311558, 0.9849246231155779, 0.9798994974874372, 0.9798994974874372, 0.9949748743718593, 0.9949748743718593, 0.9949748743718593, 1.0, 0.9949748743718593, 1.0, 1.0, 0.9949748743718593, 1.0, 0.9949748743718593, 1.0, 1.0]","[1.0740573746817452, 0.9860087365520244, 0.8783718079936748, 0.7816937407668756, 0.7010121844252761, 0.6506068134794429, 0.5920500171427824, 0.5420845467217115, 0.4995648946080889, 0.4856851769953358, 0.46457267172482547, 0.44893230102500137, 0.4292818812691436, 0.407326799874403, 0.39659918388541865, 0.37995705920822764, 0.3645758501120976, 0.3503042441241595, 0.3456862161354143, 0.34238764278742734, 0.3430012537508595, 0.34061093233069595, 0.3397190284972288, 0.3282924628987604, 0.32435102122170584, 0.32240746337540294, 0.3247512025492532, 0.33271716078933405, 0.3467278285902374, 0.3400478691470866]","[0.46938775510204084, 0.7346938775510204, 0.6938775510204082, 0.7346938775510204, 0.7346938775510204, 0.7551020408163265, 0.7551020408163265, 0.8367346938775511, 0.7959183673469388, 0.7755102040816326, 0.8163265306122449, 0.8367346938775511, 0.8571428571428571, 0.8571428571428571, 0.8775510204081632, 0.8979591836734694, 0.9183673469387755, 0.9183673469387755, 0.9183673469387755, 0.9183673469387755, 0.8979591836734694, 0.8979591836734694, 0.9183673469387755, 0.8979591836734694, 0.8979591836734694, 0.8979591836734694, 0.8775510204081632, 0.8979591836734694, 0.8979591836734694, 0.8775510204081632]"
