fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[1.1011163249160305, 0.9362419386102696, 0.8198872383194741, 0.7224454927926112, 0.6088343780450146, 0.5270377650405421, 0.4722464614444309, 0.41574740108817515, 0.35965936653541797, 0.347703165177143, 0.3164263018453964, 0.24692483773135177, 0.2308915945315602, 0.19096738039845168, 0.18817466768351468, 0.18323313106190076, 0.15276840359273583, 0.13190986833187066, 0.1387112471792433, 0.09367644869618946, 0.08768485215577212, 0.07100657260779178, 0.0626909380609339, 0.0759281540157819, 0.0578616839466673, 0.0554925480274239, 0.0885968373881446, 0.07195317654898672, 0.06956067199658866, 0.05622609757413768]","[0.36363636363636365, 0.7222222222222222, 0.8535353535353535, 0.8686868686868687, 0.8939393939393939, 0.9090909090909091, 0.8888888888888888, 0.898989898989899, 0.9292929292929293, 0.9343434343434344, 0.9393939393939394, 0.9595959595959596, 0.9595959595959596, 0.9797979797979798, 0.9797979797979798, 0.9747474747474747, 0.9797979797979798, 0.9848484848484849, 0.9848484848484849, 0.9949494949494949, 0.9949494949494949, 1.0, 1.0, 0.98989898989899, 1.0, 0.98989898989899, 0.9797979797979798, 0.98989898989899, 0.9848484848484849, 0.9949494949494949]","[1.1294574928283692, 1.0293224334716797, 0.9059087252616882, 0.8003696131706238, 0.7245257377624512, 0.6681527113914489, 0.6009913516044617, 0.5613592886924743, 0.5333131265640259, 0.5046391940116882, 0.48571068048477173, 0.4672155737876892, 0.44765626430511474, 0.4553400182723999, 0.4359258806705475, 0.4195320165157318, 0.40847564935684205, 0.4002413785457611, 0.4029131102561951, 0.39023462653160096, 0.37234448075294496, 0.3620711135864258, 0.3668160772323608, 0.3457318687438965, 0.3388525927066803, 0.34127050280570986, 0.35102906823158264, 0.3556667029857635, 0.3491853439807892, 0.3620726919174194]","[0.28, 0.5, 0.76, 0.76, 0.74, 0.74, 0.76, 0.78, 0.78, 0.8, 0.8, 0.82, 0.8, 0.8, 0.8, 0.86, 0.86, 0.84, 0.84, 0.84, 0.84, 0.88, 0.88, 0.86, 0.86, 0.86, 0.88, 0.88, 0.86, 0.86]"
2,"[1.072191475617765, 0.9218457184656702, 0.8081817572767084, 0.6953280869156423, 0.6097494574508282, 0.5236022863725219, 0.4690710264022904, 0.39659179912673104, 0.3730618550319864, 0.36853837244438403, 0.3122062159307075, 0.251763160782631, 0.22303517689608565, 0.21139501381402065, 0.17455703622162944, 0.1695274794944609, 0.1416534385596863, 0.12783823320359894, 0.09448699999337244, 0.08915625362083165, 0.07055260128144061, 0.10360622526419283, 0.07325346933470832, 0.07932878323275634, 0.058479136288768115, 0.05984306862257948, 0.07222247183924974, 0.039229011144300906, 0.04375962134112011, 0.047494124734040466]","[0.4696969696969697, 0.7222222222222222, 0.7929292929292929, 0.8686868686868687, 0.8585858585858586, 0.8838383838383839, 0.8888888888888888, 0.9343434343434344, 0.9343434343434344, 0.898989898989899, 0.9292929292929293, 0.9696969696969697, 0.9696969696969697, 0.9595959595959596, 0.9848484848484849, 0.9696969696969697, 0.98989898989899, 0.98989898989899, 0.98989898989899, 0.98989898989899, 1.0, 0.9949494949494949, 0.9949494949494949, 0.98989898989899, 0.9949494949494949, 1.0, 0.98989898989899, 1.0, 1.0, 1.0]","[1.0690278816223144, 1.0108914184570312, 0.9253378343582154, 0.8295056009292603, 0.7464946103096008, 0.6702754163742065, 0.6191646361351013, 0.5787072086334228, 0.5300538158416748, 0.4998598074913025, 0.4765541267395019, 0.455363130569458, 0.4481236433982849, 0.4147412443161011, 0.3834453535079956, 0.35700309157371524, 0.36276675581932066, 0.34876186728477476, 0.34410828948020933, 0.3517170983552933, 0.3476604437828064, 0.3200114041566849, 0.3050465202331543, 0.2903601598739624, 0.293359237909317, 0.28861514568328855, 0.2903181755542755, 0.2924142444133759, 0.30189247310161593, 0.29902985751628874]","[0.42, 0.58, 0.72, 0.74, 0.76, 0.78, 0.78, 0.78, 0.8, 0.8, 0.82, 0.82, 0.84, 0.84, 0.82, 0.86, 0.88, 0.88, 0.88, 0.88, 0.84, 0.92, 0.9, 0.94, 0.92, 0.92, 0.92, 0.88, 0.88, 0.88]"
3,"[1.0563812797719783, 0.922528806960944, 0.8069478116854273, 0.696453515327338, 0.6232489720739499, 0.532157190520354, 0.45908004527140145, 0.41089344024658203, 0.39007340958624176, 0.3337720518160348, 0.2981051504611969, 0.2524815249924708, 0.22003953625457456, 0.1902652265447559, 0.17651106236558972, 0.14404354056324623, 0.14287660218248463, 0.08464632326304311, 0.09495712289906512, 0.08121101242123228, 0.07929676169096822, 0.07873618738217787, 0.07265307129633547, 0.047980721701275215, 0.04895988467967871, 0.05014284030355588, 0.04109954322227324, 0.029240880725961742, 0.034227783631796786, 0.04567468979141929]","[0.46464646464646464, 0.7323232323232324, 0.8636363636363636, 0.8686868686868687, 0.898989898989899, 0.8939393939393939, 0.9343434343434344, 0.9494949494949495, 0.9444444444444444, 0.9393939393939394, 0.9646464646464646, 0.9595959595959596, 0.9797979797979798, 0.9949494949494949, 0.9848484848484849, 0.9949494949494949, 0.9747474747474747, 0.9949494949494949, 0.9949494949494949, 0.9949494949494949, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9949494949494949, 1.0]","[1.0516664218902587, 0.9775576686859131, 0.8709977722167969, 0.7478927588462829, 0.6536995363235474, 0.5887244510650634, 0.5404214811325073, 0.49124109983444214, 0.45439045429229735, 0.4379040050506592, 0.4246818518638611, 0.41605979919433594, 0.40886319637298585, 0.41589033365249634, 0.3949935245513916, 0.3773279976844788, 0.3757566332817078, 0.34461939096450805, 0.31639007568359373, 0.30536185383796693, 0.31707570075988767, 0.3199001383781433, 0.3407370328903198, 0.3455811405181885, 0.3892722845077515, 0.38698182344436644, 0.3460476636886597, 0.32410831928253175, 0.3261731195449829, 0.3423329854011536]","[0.46, 0.68, 0.8, 0.82, 0.86, 0.88, 0.86, 0.88, 0.9, 0.86, 0.9, 0.86, 0.86, 0.84, 0.88, 0.88, 0.86, 0.88, 0.92, 0.92, 0.9, 0.88, 0.86, 0.88, 0.84, 0.84, 0.82, 0.84, 0.82, 0.84]"
4,"[1.1085965232034425, 0.9404480127832997, 0.8215171805578261, 0.7234570749440984, 0.6238830296238463, 0.5487534197131593, 0.46924292561995923, 0.44225826994258555, 0.37981497762191235, 0.3393265950919396, 0.31115236683706543, 0.2514993885354181, 0.24367318291160928, 0.1968053118068369, 0.1780634645241589, 0.1579390964915405, 0.13560989529044185, 0.13357700085520147, 0.09706264584507775, 0.09656038880348206, 0.07814440587956702, 0.0579241780592269, 0.07602552882391005, 0.052998760088005255, 0.03970480697163985, 0.04612617351900992, 0.06943587951324692, 0.03414263505132953, 0.07528239278937104, 0.03887673882982839]","[0.33668341708542715, 0.7487437185929648, 0.8140703517587939, 0.8291457286432161, 0.9095477386934674, 0.9195979899497487, 0.9246231155778895, 0.914572864321608, 0.9195979899497487, 0.9346733668341709, 0.9447236180904522, 0.9547738693467337, 0.9798994974874372, 0.9798994974874372, 0.9899497487437185, 0.9899497487437185, 0.9849246231155779, 0.9949748743718593, 1.0, 0.9949748743718593, 1.0, 1.0, 0.9949748743718593, 1.0, 1.0, 1.0, 0.9949748743718593, 1.0, 0.9849246231155779, 0.9949748743718593]","[1.0973329714366369, 1.016633882814524, 0.8913116783511882, 0.7858405368668693, 0.6939814796253126, 0.6260932282525666, 0.5759468066449068, 0.5326649449309524, 0.49449058941432406, 0.46450135294271977, 0.4168158088411604, 0.41281356130327496, 0.39545094601962033, 0.402644758321801, 0.38849172421864103, 0.3723227576333649, 0.3798044299592777, 0.37863641125815256, 0.3585966217274569, 0.3557157151553096, 0.3710222931540742, 0.34231799719284994, 0.31448655651540175, 0.2974975729475216, 0.32541088790309675, 0.32754840047992007, 0.3302539088288132, 0.3146795277692834, 0.3183128821606539, 0.3352899466242109]","[0.40816326530612246, 0.5918367346938775, 0.7755102040816326, 0.9183673469387755, 0.9183673469387755, 0.9183673469387755, 0.9183673469387755, 0.9387755102040817, 0.9387755102040817, 0.9387755102040817, 0.9387755102040817, 0.9387755102040817, 0.9387755102040817, 0.8979591836734694, 0.8979591836734694, 0.8979591836734694, 0.9183673469387755, 0.9183673469387755, 0.8979591836734694, 0.9183673469387755, 0.8775510204081632, 0.9183673469387755, 0.9387755102040817, 0.9591836734693877, 0.9183673469387755, 0.8979591836734694, 0.9387755102040817, 0.8979591836734694, 0.8979591836734694, 0.9183673469387755]"
5,"[1.076298551942835, 0.9027209608399089, 0.7865102069461765, 0.66200787278276, 0.5699635648248184, 0.4909515189166045, 0.41970124466335357, 0.36067591360465967, 0.3074507073840903, 0.27994623630490134, 0.24269738119451245, 0.20111376616223972, 0.17101508277894265, 0.14968370530174005, 0.12831591459075412, 0.1277272704258636, 0.13487760924813735, 0.09694772194977382, 0.0756384781257591, 0.09298765415971602, 0.06284200018225004, 0.07363386639398546, 0.05019284876522107, 0.04380807113932006, 0.04320455840484581, 0.04205386460426465, 0.03929475110829176, 0.04970510491174669, 0.04835064507009995, 0.031100619677922235]","[0.4371859296482412, 0.7638190954773869, 0.8743718592964824, 0.8944723618090452, 0.9045226130653267, 0.9195979899497487, 0.9246231155778895, 0.9346733668341709, 0.9447236180904522, 0.949748743718593, 0.9447236180904522, 0.9698492462311558, 0.9798994974874372, 0.9899497487437185, 0.9849246231155779, 0.9899497487437185, 0.9849246231155779, 0.9949748743718593, 1.0, 0.9949748743718593, 1.0, 0.9899497487437185, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9949748743718593, 0.9899497487437185, 0.9949748743718593]","[1.1233111936218885, 1.03219088729547, 0.8985938636624083, 0.7831414329762362, 0.7051220207798238, 0.6442813678663604, 0.6078999006018346, 0.5871436693230454, 0.5737409238912621, 0.5594407575471061, 0.5559446519734909, 0.5489646354500128, 0.5344560839691941, 0.5193198323249817, 0.5013869441285426, 0.4919210088496305, 0.4595113214181394, 0.47269513290755605, 0.455807414590096, 0.4211004327754585, 0.4087373565654365, 0.3874154601778303, 0.40029217394030825, 0.3988597368707462, 0.40660030744513687, 0.38848738281094297, 0.41389310481596964, 0.4128475006745786, 0.4062894181329377, 0.37376422845587437]","[0.2653061224489796, 0.5510204081632653, 0.6938775510204082, 0.7142857142857143, 0.6938775510204082, 0.7142857142857143, 0.7346938775510204, 0.7551020408163265, 0.7142857142857143, 0.7142857142857143, 0.7551020408163265, 0.7551020408163265, 0.7346938775510204, 0.7551020408163265, 0.7346938775510204, 0.7755102040816326, 0.7959183673469388, 0.7959183673469388, 0.7551020408163265, 0.8163265306122449, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8367346938775511, 0.8163265306122449, 0.8163265306122449, 0.8163265306122449, 0.7959183673469388, 0.8163265306122449, 0.8163265306122449]"
