fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[0.7004567866293799, 0.615571833604219, 0.5453401310554403, 0.4804082702327248, 0.4339108376313519, 0.38488775116718366, 0.3366579172627026, 0.3002660677133017, 0.25548483095816427, 0.23932314294063492, 0.20333284642917432, 0.20563148406167694, 0.16246416789806442, 0.1407643242782315, 0.16458821296691895, 0.12233956602235503, 0.10421811764603418, 0.08965562358005158, 0.08469465720337747, 0.08207589427366951, 0.06918711590253754, 0.06024756016123374, 0.05851616392171146, 0.05343535066341722, 0.0616491555871553, 0.0918433770833426, 0.04367234997007231, 0.05140206960356788, 0.05486371669153504, 0.036418609197763414]","[0.5231788079470199, 0.7218543046357616, 0.8344370860927153, 0.8940397350993378, 0.9139072847682119, 0.9668874172185431, 0.9602649006622517, 0.9801324503311258, 0.9933774834437086, 0.9933774834437086, 0.9933774834437086, 1.0, 0.9933774834437086, 0.9933774834437086, 0.9735099337748344, 0.9933774834437086, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7479899525642395, 0.7092883586883545, 0.6456072926521301, 0.5849385261535645, 0.5255151391029358, 0.4773999750614166, 0.4382416307926178, 0.406692773103714, 0.371112197637558, 0.3422561287879944, 0.3141206204891205, 0.2855604290962219, 0.26554834842681885, 0.247007817029953, 0.22677400708198547, 0.21569667756557465, 0.20268070697784424, 0.19150346517562866, 0.18099357187747955, 0.17146335542201996, 0.16449035704135895, 0.1537565141916275, 0.14622630178928375, 0.13677886128425598, 0.13144458830356598, 0.1248183399438858, 0.12544691562652588, 0.12296062707901001, 0.12404687702655792, 0.12000273168087006]","[0.2903225806451613, 0.45161290322580644, 0.6451612903225806, 0.7096774193548387, 0.7741935483870968, 0.8709677419354839, 0.9032258064516129, 0.9032258064516129, 0.9032258064516129, 0.9032258064516129, 0.9032258064516129, 0.9032258064516129, 0.9032258064516129, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.9354838709677419, 0.9354838709677419, 0.9354838709677419, 0.9354838709677419, 0.9354838709677419, 0.9354838709677419, 0.9354838709677419, 0.9354838709677419, 0.9354838709677419, 0.9354838709677419, 0.9354838709677419, 0.9354838709677419, 0.9354838709677419, 0.9354838709677419]"
2,"[0.6582678842217955, 0.589539400518757, 0.5333806104855995, 0.4546929259006291, 0.4051514210766309, 0.36487841646965236, 0.33127616366294965, 0.27329153394045896, 0.236502298141179, 0.20242431086220153, 0.1919878647752004, 0.16037184326616052, 0.15028414354748923, 0.1246046397375734, 0.11918738361907331, 0.11249559321632124, 0.11117876739534613, 0.08385016891646059, 0.0705831767353293, 0.0627806015210609, 0.0886338508802734, 0.06023087648496236, 0.048867377516341536, 0.051602075157100205, 0.04632598916961722, 0.040946228251065295, 0.0466574642501057, 0.039131589463516456, 0.037197983428223495, 0.035010150365837635]","[0.636986301369863, 0.815068493150685, 0.8904109589041096, 0.9726027397260274, 0.9726027397260274, 0.9863013698630136, 0.9794520547945206, 0.9931506849315068, 1.0, 1.0, 0.9931506849315068, 0.9931506849315068, 0.9931506849315068, 1.0, 1.0, 1.0, 0.9931506849315068, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6903944677776761, 0.629783935017056, 0.5519821776284112, 0.4685321781370375, 0.4064684708913167, 0.35646622048483956, 0.32166532675425213, 0.28720278210110134, 0.2626977165540059, 0.23745217588212755, 0.21988197498851353, 0.20261124438709682, 0.19326708051893446, 0.189296027024587, 0.17888683742947048, 0.17086118459701538, 0.16877677043279013, 0.1612666646639506, 0.16622456908226013, 0.16414124766985574, 0.16574787431293064, 0.16634503338072035, 0.1602006819513109, 0.16002823412418365, 0.15947398212220934, 0.15780163142416212, 0.1575967421134313, 0.15809698899586996, 0.1657163749138514, 0.16468675434589386]","[0.5, 0.8055555555555556, 0.8611111111111112, 0.9444444444444444, 0.9444444444444444, 0.9166666666666666, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444]"
3,"[0.6489943971870639, 0.5670367115778281, 0.4942346978272107, 0.441999541529527, 0.39407708480003034, 0.3324395538644588, 0.31066383875853626, 0.2654511383239259, 0.2374629166954798, 0.2238869290825323, 0.19115299874163688, 0.1677939014654633, 0.14220775653284493, 0.13981410649651332, 0.1341090385161393, 0.11378081988358328, 0.10054992366555734, 0.09581493411926513, 0.08859875602713714, 0.08097472242641111, 0.07410854312545019, 0.06647886298861064, 0.06737261640687361, 0.06477101115470237, 0.05453981083969698, 0.052908925141425846, 0.05470089482288834, 0.03949479029533711, 0.03791160744132725, 0.03841001226018507]","[0.7163120567375887, 0.8226950354609929, 0.900709219858156, 0.9290780141843972, 0.9432624113475178, 0.9787234042553191, 0.9574468085106383, 1.0, 0.9929078014184397, 0.9929078014184397, 0.9929078014184397, 0.9929078014184397, 1.0, 1.0, 1.0, 0.9929078014184397, 1.0, 0.9929078014184397, 1.0, 1.0, 0.9929078014184397, 1.0, 1.0, 0.9929078014184397, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6851544903545845, 0.657234193348303, 0.6142996869436125, 0.56581048558398, 0.5163773181961804, 0.4707597174295565, 0.4332857931532511, 0.40168417226977465, 0.3713236887280534, 0.34493157049504725, 0.3226425233410626, 0.2985885310463789, 0.2836626419206945, 0.26490060512612507, 0.24748599965397905, 0.23008027018570318, 0.21931974989611927, 0.2138188873849264, 0.20197841888520776, 0.1955830563859242, 0.18653815185151448, 0.1823308148035189, 0.18730203116812358, 0.1776489637246946, 0.1703114720379434, 0.16753048286205385, 0.16106264620292476, 0.16344735389802514, 0.168081885430871, 0.16347438242377305]","[0.4878048780487805, 0.6341463414634146, 0.7560975609756098, 0.7804878048780488, 0.8536585365853658, 0.9024390243902439, 0.9512195121951219, 0.9512195121951219, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561]"
4,"[0.7162243962287903, 0.6232249651636396, 0.5587453893252782, 0.5123164406844548, 0.453492716380528, 0.3872726891721998, 0.35128674932888576, 0.33053937000887734, 0.2818739822932652, 0.24437659127371653, 0.2114136014665876, 0.19114788940974645, 0.16743461659976414, 0.17358126321009226, 0.15002259186335973, 0.12269230016640255, 0.1032383463212422, 0.11026067222867693, 0.08591913793768202, 0.10873019099235534, 0.07714928622756685, 0.08483845229659762, 0.05815074358667646, 0.05515896805695125, 0.05985678093773978, 0.04687446228095463, 0.06112969432558332, 0.04309926565204348, 0.03723698386124202, 0.033624990178006034]","[0.4142857142857143, 0.7428571428571429, 0.8785714285714286, 0.9428571428571428, 0.9428571428571428, 0.9928571428571429, 1.0, 0.9714285714285714, 0.9714285714285714, 0.9857142857142858, 1.0, 0.9928571428571429, 1.0, 0.9857142857142858, 0.9857142857142858, 1.0, 1.0, 1.0, 1.0, 0.9928571428571429, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9928571428571429, 1.0, 1.0, 1.0]","[0.6717190004530407, 0.6609633536565871, 0.6129012618746076, 0.5286849311419896, 0.4455684508596148, 0.39357432297297884, 0.34420797370728995, 0.3077200622785659, 0.2808361677896409, 0.2538479140826634, 0.23371446700323195, 0.21484761862527757, 0.1990376114845276, 0.18562692545709156, 0.1697179220971607, 0.16253156747136796, 0.1595910248302278, 0.145382441225506, 0.13929482017244613, 0.13073926596414476, 0.1324142643383571, 0.12808827417237417, 0.1269272622608003, 0.1250348204658145, 0.12342496003423419, 0.12863412357511975, 0.11433370482353937, 0.11232004421097892, 0.11098579849515643, 0.1098152342296782]","[0.6190476190476191, 0.6190476190476191, 0.6904761904761905, 0.8095238095238095, 0.8571428571428571, 0.9047619047619048, 0.8809523809523809, 0.9047619047619048, 0.9047619047619048, 0.9047619047619048, 0.9047619047619048, 0.9047619047619048, 0.9285714285714286, 0.9285714285714286, 0.9523809523809523, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 1.0, 0.9523809523809523, 0.9523809523809523, 0.9523809523809523, 0.9523809523809523, 0.9285714285714286, 0.9285714285714286, 0.9523809523809523, 0.9523809523809523, 0.9523809523809523, 0.9523809523809523]"
5,"[0.668985185623169, 0.5713396223386129, 0.5039292192459106, 0.43589745958646137, 0.3993617669741313, 0.3361663464705149, 0.2888468941052755, 0.25639850775400796, 0.2223399895429611, 0.18030742863814037, 0.16184212744235993, 0.1519385250409444, 0.15940867940584819, 0.12242972036202748, 0.10111562430858612, 0.15054163376490276, 0.083969966173172, 0.07126260012388229, 0.07699991057316462, 0.06769475658734639, 0.06051297128200531, 0.056109218796094255, 0.050481203744808835, 0.0439974090953668, 0.038717491229375206, 0.044402940422296526, 0.04326484809319178, 0.032968911627928414, 0.040184000978867214, 0.033344071507453915]","[0.5866666666666667, 0.7533333333333333, 0.8666666666666667, 0.9666666666666667, 0.94, 0.9666666666666667, 0.9866666666666667, 0.9866666666666667, 1.0, 0.9933333333333333, 1.0, 1.0, 0.9933333333333333, 0.9933333333333333, 1.0, 0.9933333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9933333333333333, 1.0, 1.0, 1.0]","[0.7202995419502258, 0.6768593788146973, 0.6337782144546509, 0.5784907341003418, 0.5255545973777771, 0.47121530771255493, 0.4405532777309418, 0.4251728653907776, 0.4038568139076233, 0.39202266931533813, 0.3793816864490509, 0.3690348267555237, 0.36370304226875305, 0.3483463227748871, 0.340903103351593, 0.3275832533836365, 0.328426718711853, 0.31911471486091614, 0.31310251355171204, 0.29976871609687805, 0.2902003228664398, 0.28673410415649414, 0.280823677778244, 0.27242591977119446, 0.2729296386241913, 0.2610343098640442, 0.2599412500858307, 0.2510961592197418, 0.24285268783569336, 0.23340341448783875]","[0.46875, 0.5625, 0.71875, 0.78125, 0.875, 0.96875, 1.0, 0.96875, 1.0, 0.96875, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.90625]"
