branch,bloco,spearman,ssim
mobilenet_orig,nenhum (referencia),1.0,1.0
mobilenet_orig,classifier,0.24011825737714063,0.4009563728789294
mobilenet_orig,features[18],0.13518635099490792,0.389748085390898
mobilenet_orig,features[17],0.007812636964196065,0.3556721886037513
mobilenet_orig,features[16],0.10991242260277793,0.40298579803761203
mobilenet_orig,features[15],0.11836894070396609,0.3714687305847392
mobilenet_orig,features[14],-0.1326347329247982,0.32498244770826346
mobilenet_orig,features[13],0.027494043302600225,0.34283236599580597
mobilenet_orig,features[12],0.10062236530691933,0.37056658221527305
mobilenet_orig,features[11],-0.024599765716516987,0.32206639296035444
mobilenet_orig,features[10],0.03591790352856055,0.3222922709698865
mobilenet_orig,features[9],-0.056192973089274754,0.32318640710151725
mobilenet_orig,features[8],0.030758074412896748,0.389733698079197
mobilenet_orig,features[7],0.07579156403477136,0.3013926659382627
mobilenet_orig,features[6],-0.010951566234148488,0.3719963064934602
mobilenet_orig,features[5],0.16092585118131553,0.3533830006242162
mobilenet_orig,features[4],-0.08624724972499519,0.3002863586261483
mobilenet_orig,features[3],-0.14507729494113913,0.3195913865152018
mobilenet_orig,features[2],0.19677437454825117,0.3316868792508053
mobilenet_orig,features[1],-0.3827035286662631,0.1957464783995355
mobilenet_orig,features[0],0.0,0.028139994112185752
mobilenet_recplot,nenhum (referencia),1.0,1.0
mobilenet_recplot,classifier,-0.021876021005825214,0.32068195567854724
mobilenet_recplot,features[18],0.20253886794858514,0.3708316120687132
mobilenet_recplot,features[17],0.1719688578281762,0.41834842049948
mobilenet_recplot,features[16],0.010885416251623647,0.3997518157306678
mobilenet_recplot,features[15],-0.10304807592697368,0.38937534115963734
mobilenet_recplot,features[14],0.0779478679406163,0.3347665863690984
mobilenet_recplot,features[13],-0.1184868793280686,0.33303226311745826
mobilenet_recplot,features[12],-0.0041613209125899485,0.3535527984505958
mobilenet_recplot,features[11],0.2544780817442166,0.3996973663548924
mobilenet_recplot,features[10],0.0001577827538668728,0.3365432619414153
mobilenet_recplot,features[9],0.11578704109523545,0.3434255602111724
mobilenet_recplot,features[8],0.2805855493310171,0.3728162963830623
mobilenet_recplot,features[7],0.18870282100773828,0.33778906167242506
mobilenet_recplot,features[6],0.10730116659774648,0.3359699425170671
mobilenet_recplot,features[5],-0.002705419644854842,0.29436613594621686
mobilenet_recplot,features[4],0.004636338679660589,0.30656466238310154
mobilenet_recplot,features[3],-0.025639299038334715,0.3341082045619519
mobilenet_recplot,features[2],0.21878903013806317,0.33144482506121536
mobilenet_recplot,features[1],-0.047154618345337476,0.17518439472569722
mobilenet_recplot,features[0],0.0,0.034271315643738844
effnet_orig,nenhum (referencia),1.0,1.0
effnet_orig,classifier,-0.06095673724390186,0.34678669788572625
effnet_orig,features[8],-0.15194160444341737,0.3598323809527268
effnet_orig,features[7],-0.12194853732199636,0.32185441371651374
effnet_orig,features[6],-0.00500442469237371,0.4275352799995873
effnet_orig,features[5],-0.044325177207825035,0.326099413474302
effnet_orig,features[4],0.11608850756909748,0.36243190080605536
effnet_orig,features[3],-0.0336490016902649,0.05665973099867634
effnet_orig,features[2],0.0,0.004785999358891846
effnet_orig,features[1],0.0,0.004785999358891846
effnet_orig,features[0],0.0,0.004785999358891846
effnet_recplot,nenhum (referencia),1.0,1.0
effnet_recplot,classifier,0.16492282192064642,0.5000738059867624
effnet_recplot,features[8],0.08282000812820248,0.4222512286484652
effnet_recplot,features[7],-0.09804684075895098,0.29086095283555485
effnet_recplot,features[6],0.03428507677963805,0.4578343343442224
effnet_recplot,features[5],-0.27922936641037144,0.3147918580831485
effnet_recplot,features[4],-0.06187175568170689,0.2581362372959531
effnet_recplot,features[3],0.08810923378657701,0.2996399856517146
effnet_recplot,features[2],0.0,0.003018322785344479
effnet_recplot,features[1],0.0,0.003018322785344479
effnet_recplot,features[0],0.0,0.003018322785344479
