fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[1.0772718877503367, 0.8891623501825814, 0.7642895928537002, 0.714696851643649, 0.6185405922658516, 0.5814386847043278, 0.5435467741706155, 0.5105835060880641, 0.5194545225663618, 0.4690734394873031, 0.4007275035284986, 0.4056785124720949, 0.3785598837968075, 0.3454246397572334, 0.3606193240242775, 0.3085646912305042, 0.2645831565664272, 0.271070885011042, 0.26465756423545606, 0.2856218832911867, 0.21614980998665395, 0.20532413564547145, 0.1957408803882021, 0.18249843924334555, 0.19710083652024318, 0.18821403986275798, 0.24167287650734487, 0.14724402806975626, 0.14672318221342684, 0.1390769397369539]","[0.41414141414141414, 0.6666666666666666, 0.7525252525252525, 0.7525252525252525, 0.803030303030303, 0.8080808080808081, 0.8080808080808081, 0.8080808080808081, 0.8232323232323232, 0.8434343434343434, 0.8838383838383839, 0.8838383838383839, 0.8939393939393939, 0.9191919191919192, 0.898989898989899, 0.9141414141414141, 0.9545454545454546, 0.9343434343434344, 0.9343434343434344, 0.9040404040404041, 0.9494949494949495, 0.9494949494949495, 0.9545454545454546, 0.9444444444444444, 0.9545454545454546, 0.9494949494949495, 0.9242424242424242, 0.9747474747474747, 0.9696969696969697, 0.9646464646464646]","[1.1974301385879516, 1.088398265838623, 1.0490543842315674, 1.015823016166687, 0.9781135177612305, 0.9388413667678833, 0.8987099170684815, 0.8572745037078857, 0.7764487075805664, 0.684169762134552, 0.6591907095909119, 0.6452085208892823, 0.6306135034561158, 0.6238217687606812, 0.6309521889686585, 0.6536706256866455, 0.6722067046165466, 0.6787201809883118, 0.6963321328163147, 0.7617066526412963, 0.7111588907241821, 0.6737943291664124, 0.6336913323402404, 0.6411487603187561, 0.6552501702308655, 0.6761686420440673, 0.6394553446769714, 0.6557908487319947, 0.7144351124763488, 0.7786406993865966]","[0.24, 0.44, 0.52, 0.54, 0.54, 0.62, 0.62, 0.64, 0.7, 0.7, 0.72, 0.72, 0.72, 0.74, 0.76, 0.72, 0.7, 0.72, 0.72, 0.66, 0.72, 0.76, 0.78, 0.78, 0.78, 0.78, 0.8, 0.8, 0.76, 0.78]"
2,"[1.0404698439318725, 0.8659028278456794, 0.7739020411414329, 0.6825040175457193, 0.6203453474574618, 0.5733823914720555, 0.543637851573, 0.49366516597343213, 0.490050560898251, 0.3983887795246009, 0.39715742221986405, 0.380017122234961, 0.32754726542366874, 0.370582133832604, 0.3332072207421968, 0.3029425884738113, 0.2903816757178066, 0.259310453227072, 0.30310736581532643, 0.2519311590327157, 0.19247626460561848, 0.18622761453040923, 0.19225560173843848, 0.17323168389724963, 0.18104377419057519, 0.16601885930456298, 0.1997323686426336, 0.14801232622127342, 0.1658057203196516, 0.14273953467908532]","[0.4797979797979798, 0.6868686868686869, 0.7373737373737373, 0.7222222222222222, 0.7777777777777778, 0.7878787878787878, 0.7575757575757576, 0.8484848484848485, 0.803030303030303, 0.8737373737373737, 0.8636363636363636, 0.8636363636363636, 0.9191919191919192, 0.8636363636363636, 0.8737373737373737, 0.9292929292929293, 0.9090909090909091, 0.9191919191919192, 0.8939393939393939, 0.9292929292929293, 0.9797979797979798, 0.9595959595959596, 0.9393939393939394, 0.9444444444444444, 0.9545454545454546, 0.9646464646464646, 0.9393939393939394, 0.9646464646464646, 0.9595959595959596, 0.9646464646464646]","[1.0865425872802734, 1.0148432683944701, 0.9151897716522217, 0.8925569152832031, 0.8970914268493653, 0.8874825429916382, 0.8593896198272705, 0.8065559482574463, 0.7357497692108155, 0.6586300587654114, 0.5723886966705323, 0.5541686177253723, 0.5377930140495301, 0.5377692794799804, 0.5437564158439636, 0.5541370701789856, 0.5185771441459656, 0.5158130598068237, 0.4863487660884857, 0.5166323113441468, 0.5707046961784363, 0.6079919719696045, 0.568464515209198, 0.4739019823074341, 0.47252392768859863, 0.5167031860351563, 0.5505973672866822, 0.5555133819580078, 0.7049416899681091, 0.7439550471305847]","[0.46, 0.5, 0.58, 0.64, 0.6, 0.58, 0.62, 0.66, 0.7, 0.68, 0.76, 0.78, 0.78, 0.76, 0.78, 0.78, 0.84, 0.82, 0.86, 0.82, 0.82, 0.82, 0.84, 0.82, 0.8, 0.78, 0.76, 0.82, 0.7, 0.68]"
3,"[1.0723052036882652, 0.8714746206697791, 0.7746243525033045, 0.7398340364899298, 0.6549267233020127, 0.6243925245121272, 0.5246345451985946, 0.5021208801654854, 0.47869082532747825, 0.4279298631831853, 0.3966003045289203, 0.36703370466376795, 0.3473834112437085, 0.32779199125790837, 0.2811339353070115, 0.30759982870082664, 0.32182765232794214, 0.25195011857784155, 0.2275549257644499, 0.19357384635944558, 0.2045930748937106, 0.29306549496120876, 0.17893437634814868, 0.13686417148570823, 0.2079552123040864, 0.1526558700233999, 0.23619044429124003, 0.1677732478187542, 0.14203187236280151, 0.1366373137994246]","[0.41414141414141414, 0.6313131313131313, 0.7121212121212122, 0.7121212121212122, 0.7676767676767676, 0.7474747474747475, 0.8383838383838383, 0.8434343434343434, 0.8383838383838383, 0.8787878787878788, 0.8787878787878788, 0.898989898989899, 0.9242424242424242, 0.8939393939393939, 0.9444444444444444, 0.9292929292929293, 0.9090909090909091, 0.9292929292929293, 0.9595959595959596, 0.9595959595959596, 0.9545454545454546, 0.8888888888888888, 0.9595959595959596, 0.9696969696969697, 0.9343434343434344, 0.9646464646464646, 0.9393939393939394, 0.9494949494949495, 0.9797979797979798, 0.9646464646464646]","[1.0489303302764892, 1.0007740259170532, 0.9458906698226929, 0.9140521335601807, 0.8899694108963012, 0.8673554420471191, 0.8212191033363342, 0.7953951930999756, 0.7633124661445617, 0.7308837985992431, 0.6930413842201233, 0.6671754050254822, 0.6972164487838746, 0.7087571620941162, 0.7440065288543701, 0.7018929767608643, 0.666153256893158, 0.6891862154006958, 0.738120722770691, 0.6953585433959961, 0.7282541728019715, 0.7841556906700134, 0.7501816368103027, 0.7066219735145569, 0.7376897358894348, 0.8415674448013306, 0.7750124454498291, 0.7203115844726562, 0.7323521614074707, 0.7880931282043457]","[0.48, 0.52, 0.6, 0.6, 0.58, 0.58, 0.68, 0.68, 0.64, 0.72, 0.74, 0.72, 0.68, 0.7, 0.7, 0.74, 0.74, 0.72, 0.76, 0.74, 0.68, 0.68, 0.68, 0.74, 0.7, 0.66, 0.68, 0.68, 0.74, 0.72]"
4,"[1.067059625333278, 0.8748943242595424, 0.7702612784040633, 0.7294130861459664, 0.6874860641944348, 0.5953366810352958, 0.5420218622265149, 0.5056996694461784, 0.46112630714723213, 0.43228502818687475, 0.3697077489677985, 0.3784654684102715, 0.34363717230121094, 0.353570346107435, 0.3060549422724163, 0.3349394319045484, 0.3100855215710012, 0.2603683423756355, 0.22841790632985945, 0.19691100454510158, 0.24204461995381207, 0.20894961575766904, 0.18745504611700622, 0.18651892102543433, 0.18081216596478794, 0.179694885135296, 0.13813182666673132, 0.15581614033660696, 0.10561475247593981, 0.15934209604209393]","[0.3969849246231156, 0.6984924623115578, 0.7487437185929648, 0.7688442211055276, 0.7738693467336684, 0.7889447236180904, 0.8391959798994975, 0.7889447236180904, 0.8391959798994975, 0.8442211055276382, 0.914572864321608, 0.8844221105527639, 0.9045226130653267, 0.8844221105527639, 0.9095477386934674, 0.8793969849246231, 0.8844221105527639, 0.914572864321608, 0.949748743718593, 0.9597989949748744, 0.9296482412060302, 0.9597989949748744, 0.949748743718593, 0.9396984924623115, 0.9346733668341709, 0.9396984924623115, 0.9698492462311558, 0.9698492462311558, 0.9597989949748744, 0.9547738693467337]","[1.1017943231426939, 1.0732302860337861, 1.0244131793781204, 0.9828518726387803, 0.9648981605257306, 0.954104101171299, 0.9233017101579782, 0.8600178129818975, 0.7970103463348077, 0.7858003694183973, 0.8249632691850468, 0.8149653235260321, 0.8034134774791951, 0.8326228565099288, 0.8351009621912119, 0.845277934658284, 0.8833984112252995, 0.9041382159505572, 0.922924737541043, 0.9532391209991611, 0.9036678550194721, 0.9203123316472891, 0.9269257236500176, 0.9920172849479987, 1.039055464219074, 1.0979285751070296, 1.0870240659129864, 1.0527902136043625, 1.008178314384149, 1.0019593384801124]","[0.30612244897959184, 0.3469387755102041, 0.46938775510204084, 0.5714285714285714, 0.6530612244897959, 0.673469387755102, 0.6938775510204082, 0.7142857142857143, 0.673469387755102, 0.673469387755102, 0.6530612244897959, 0.6326530612244898, 0.673469387755102, 0.673469387755102, 0.7142857142857143, 0.6938775510204082, 0.7142857142857143, 0.7142857142857143, 0.6938775510204082, 0.6326530612244898, 0.7346938775510204, 0.7551020408163265, 0.7346938775510204, 0.7142857142857143, 0.6938775510204082, 0.6530612244897959, 0.7142857142857143, 0.6530612244897959, 0.6938775510204082, 0.6938775510204082]"
5,"[1.047887513685466, 0.8651725862493467, 0.7654581836719608, 0.6889288167857645, 0.6259905779781054, 0.5865734183608587, 0.5202706270481474, 0.5221877264317556, 0.4525326042618584, 0.4460172768513761, 0.41391426834029765, 0.3617802513903709, 0.33094256397467764, 0.36793553784264993, 0.34212472301032676, 0.2863960326017447, 0.26996816672272417, 0.25894962715443653, 0.2531293155859463, 0.24592863734643064, 0.21984290028337258, 0.22486488124233994, 0.18176449708004094, 0.21276557175957378, 0.16474639957574144, 0.21637127971529363, 0.17974186692405586, 0.15931856662184748, 0.14572863932230964, 0.11096888765617831]","[0.4321608040201005, 0.6733668341708543, 0.7185929648241206, 0.7537688442211056, 0.7487437185929648, 0.7688442211055276, 0.8341708542713567, 0.7939698492462312, 0.8693467336683417, 0.8391959798994975, 0.8442211055276382, 0.9095477386934674, 0.914572864321608, 0.8894472361809045, 0.8844221105527639, 0.9195979899497487, 0.9246231155778895, 0.9396984924623115, 0.9296482412060302, 0.9296482412060302, 0.9346733668341709, 0.9396984924623115, 0.9597989949748744, 0.9346733668341709, 0.9547738693467337, 0.9296482412060302, 0.9396984924623115, 0.964824120603015, 0.964824120603015, 0.9748743718592965]","[1.0250468546030473, 0.9737485720186817, 0.9323282387791848, 0.9103182773200833, 0.8886339007591715, 0.860575795173645, 0.8296361310141427, 0.7913274327102973, 0.7341607955037331, 0.675853967666626, 0.7163282876112023, 0.7310515131269183, 0.7383494498778362, 0.7196692264809901, 0.7458854232515607, 0.7925552981240409, 0.7323066458410147, 0.7459371187249009, 0.8470808097294399, 0.9202321086611066, 0.9054820610552418, 0.9074949391034185, 0.9657216412680489, 0.9650268603344353, 0.8695039335562258, 0.8518782489153803, 0.8960291901413275, 0.8640497168716119, 0.8043437296030472, 0.8791437149047852]","[0.5714285714285714, 0.6122448979591837, 0.6326530612244898, 0.6326530612244898, 0.6530612244897959, 0.6938775510204082, 0.6938775510204082, 0.7142857142857143, 0.7142857142857143, 0.7551020408163265, 0.7551020408163265, 0.7346938775510204, 0.7755102040816326, 0.7755102040816326, 0.7551020408163265, 0.7551020408163265, 0.7959183673469388, 0.7959183673469388, 0.7959183673469388, 0.7551020408163265, 0.6938775510204082, 0.673469387755102, 0.7142857142857143, 0.7346938775510204, 0.7346938775510204, 0.7346938775510204, 0.6938775510204082, 0.7346938775510204, 0.7142857142857143, 0.7142857142857143]"
