fold,train_loss,train_accuracy,val_loss,val_accuracy
1,"[0.6805823166649063, 0.6013258594971198, 0.516567179521957, 0.44395245592315474, 0.36765646431353183, 0.30605762538971837, 0.275694175587072, 0.2190427230550097, 0.18570341402060025, 0.1589602210691997, 0.13973092297454934, 0.10682514435672141, 0.10183954577554356, 0.09303288635882465, 0.06822237241771315, 0.057653107813426425, 0.05591082069780919, 0.05184175693369531, 0.04304732314564965, 0.03853273793280899, 0.047678919678384606, 0.047779514224498304, 0.02807212088789259, 0.04051257365129211, 0.02137417249478303, 0.018737606849376257, 0.018190961911693795, 0.01585678770751148, 0.01830333350347234, 0.01400890972997461]","[0.5714285714285714, 0.7662337662337663, 0.935064935064935, 0.9675324675324676, 0.9805194805194806, 0.987012987012987, 0.9805194805194806, 1.0, 0.9935064935064936, 1.0, 0.9935064935064936, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935064935064936, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6729826927185059, 0.6265403032302856, 0.5629939436912537, 0.4625547230243683, 0.37942591309547424, 0.3076465129852295, 0.2639535665512085, 0.22735197842121124, 0.20146231353282928, 0.18129253387451172, 0.16308021545410156, 0.15295502543449402, 0.14488358795642853, 0.13653138279914856, 0.13402502238750458, 0.13168637454509735, 0.12517434358596802, 0.11925441026687622, 0.11432076245546341, 0.11318224668502808, 0.11517786234617233, 0.10675837844610214, 0.10130224376916885, 0.10043162107467651, 0.10118923336267471, 0.09795241057872772, 0.09886139631271362, 0.09742752462625504, 0.09192506223917007, 0.09552160650491714]","[0.6428571428571429, 0.7857142857142857, 0.8571428571428571, 0.8928571428571429, 0.9642857142857143, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9285714285714286, 0.9285714285714286, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9285714285714286, 0.9285714285714286, 0.9642857142857143, 0.9642857142857143, 0.9285714285714286, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143]"
2,"[0.6488131655229105, 0.5629719028601775, 0.4921760108019855, 0.4331411735431568, 0.3850575290821694, 0.3161976514635859, 0.2647770965421522, 0.2221149914973491, 0.1865034916916409, 0.16080612346932693, 0.14503324072103244, 0.12619164787434242, 0.09377978258841746, 0.09274932701845427, 0.0702860862822146, 0.06168532874938604, 0.056343169228450674, 0.05388530917667054, 0.05268330247821035, 0.034572176937315915, 0.037732705574583365, 0.027431171941193374, 0.028913671704562934, 0.027309552137110685, 0.018053112048152332, 0.02040645248583845, 0.017174529465469154, 0.029711680335773004, 0.017784113215433585, 0.012279430026742252]","[0.6081081081081081, 0.831081081081081, 0.918918918918919, 0.9527027027027027, 0.972972972972973, 0.9864864864864865, 0.9932432432432432, 1.0, 1.0, 1.0, 0.9932432432432432, 0.9932432432432432, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6203091249746435, 0.6018461059121525, 0.5606743377797744, 0.4929404328851139, 0.42728256127413583, 0.38419020877164956, 0.35922075019163247, 0.33804556201486025, 0.31912339434904213, 0.2999718750224394, 0.2824059794930851, 0.2665805466034833, 0.2531483822009143, 0.23918353459414313, 0.2266685945146224, 0.22005285585627837, 0.20967828701524174, 0.19959875064737656, 0.1914736155201407, 0.18544104169396794, 0.17765553032650666, 0.17302827624713674, 0.169333056491964, 0.1639202429967768, 0.1610493589850033, 0.15663567536017475, 0.15539494332145243, 0.15205994073082418, 0.14574960575384252, 0.13927772641181946]","[0.5882352941176471, 0.6764705882352942, 0.7058823529411765, 0.8235294117647058, 0.9411764705882353, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176]"
3,"[0.6636333095766332, 0.5675784575678137, 0.4986734986305237, 0.43287404349250513, 0.3828758832311978, 0.3138896849033606, 0.2943088836478491, 0.2332364085816989, 0.21168305186459618, 0.1734992600705502, 0.14868278148835593, 0.1264663151580922, 0.10210230359195793, 0.09417842600467431, 0.09641704474487443, 0.08670419541588664, 0.06927434306075103, 0.05864594202407085, 0.048920783030725744, 0.04376295654878129, 0.04853877169589927, 0.031113916477800287, 0.033959977491928715, 0.028178992035397647, 0.028520648795975385, 0.027831260985049018, 0.022419556649061884, 0.03590845017537583, 0.024676570709604415, 0.015629460538880233]","[0.6277372262773723, 0.9197080291970803, 0.948905109489051, 0.9854014598540146, 0.9854014598540146, 0.9854014598540146, 0.9781021897810219, 0.9927007299270073, 1.0, 0.9927007299270073, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9927007299270073, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6608856466081408, 0.6419470972485013, 0.5997880180676778, 0.5329881230990092, 0.4755249765184191, 0.4201583743095398, 0.3747573296229045, 0.3381004015604655, 0.3128661831219991, 0.291345743338267, 0.2732401430606842, 0.2575881885157691, 0.23569738864898682, 0.2215940965546502, 0.21440401077270507, 0.1905189295609792, 0.18422685033745237, 0.18565320471922556, 0.18774838811821407, 0.17408690022097695, 0.16322489943769242, 0.157263978322347, 0.16159500413470798, 0.15408127042982314, 0.15528342492050595, 0.14697769383589426, 0.14566023151079813, 0.1416189346048567, 0.1378775242302153, 0.13935977816581727]","[0.6888888888888889, 0.7333333333333333, 0.7555555555555555, 0.8444444444444444, 0.8888888888888888, 0.9111111111111111, 0.9333333333333333, 0.9555555555555556, 0.9555555555555556, 0.9111111111111111, 0.9111111111111111, 0.9111111111111111, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9555555555555556, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9555555555555556, 0.9555555555555556, 0.9333333333333333, 0.9555555555555556, 0.9555555555555556, 0.9777777777777777, 0.9777777777777777, 0.9333333333333333, 0.9333333333333333, 0.9111111111111111]"
4,"[0.6920040858375442, 0.5998501719294728, 0.5222679043149615, 0.45586837546808734, 0.38037768173051045, 0.33180690895427356, 0.296565658354259, 0.2363937342917169, 0.20231995736802375, 0.17923364803924427, 0.1489361655878854, 0.13848544355038997, 0.10040332856294992, 0.10525257875035693, 0.09159730510278181, 0.06770616337344364, 0.07171036920451618, 0.05414173168527497, 0.0659697536196742, 0.04896635939920699, 0.0446598736399954, 0.03243511730244943, 0.03064980931006945, 0.03560712204112873, 0.03202091954596393, 0.03247602192776187, 0.02293383866756946, 0.023071630603887817, 0.027762604187001716, 0.015703311190009117]","[0.5314685314685315, 0.8461538461538461, 0.8951048951048951, 0.972027972027972, 0.9790209790209791, 1.0, 0.986013986013986, 1.0, 0.993006993006993, 1.0, 1.0, 0.993006993006993, 1.0, 0.993006993006993, 0.986013986013986, 1.0, 1.0, 1.0, 0.993006993006993, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6495997798748505, 0.5879265849406903, 0.52930359962659, 0.47697559686807484, 0.4300639522381318, 0.38851143763615537, 0.3540780681830186, 0.32096504095273143, 0.2921529947183071, 0.2735293461726262, 0.2580512502254584, 0.23203906951806483, 0.223172556131314, 0.20871398540643546, 0.2078067660331726, 0.1956187746463678, 0.19062461302830622, 0.18237715042554414, 0.1937518746424944, 0.19831415781607994, 0.19127854169943395, 0.180086001371726, 0.16179587749334481, 0.1451597870924534, 0.1516489585240682, 0.14840921377524352, 0.1550483504931132, 0.16123665601779252, 0.16408917078605065, 0.14865349042109954]","[0.6666666666666666, 0.8717948717948718, 0.9487179487179487, 0.8205128205128205, 0.8974358974358975, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9487179487179487, 0.9487179487179487, 0.9230769230769231, 0.9487179487179487, 0.9487179487179487, 0.9487179487179487]"
5,"[0.6727036809268063, 0.5904412269592285, 0.5036011313738888, 0.44005128128887855, 0.3680508883848582, 0.3118474903988512, 0.255603771299532, 0.23151928308891923, 0.1815652067530645, 0.2008001881919495, 0.14742057882759668, 0.13002385627733518, 0.1078335488699887, 0.106130366353956, 0.08368314026969753, 0.07319714067733452, 0.058716798379813154, 0.051451849508775425, 0.05654666338064899, 0.05186628223690268, 0.03388617840940005, 0.034617157678489816, 0.03181733231838435, 0.02912077879252499, 0.02841550938478888, 0.03257214492314482, 0.04751920026459106, 0.030165123306725123, 0.0180230172325487, 0.01142257585968465]","[0.5616438356164384, 0.8356164383561644, 0.9383561643835616, 0.9657534246575342, 0.952054794520548, 0.9794520547945206, 0.9794520547945206, 0.9726027397260274, 0.9931506849315068, 0.9726027397260274, 0.9931506849315068, 0.9931506849315068, 1.0, 0.9931506849315068, 0.9931506849315068, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931506849315068, 1.0, 1.0, 1.0]","[0.7457075516382853, 0.6792914205127292, 0.6130014657974243, 0.5355087253782485, 0.48191102345784503, 0.4306982888115777, 0.3857661750581529, 0.3516339196099175, 0.32265355851915145, 0.2928285863664415, 0.268811606698566, 0.2522331774234772, 0.2390038470427195, 0.22745471199353537, 0.21425747209125096, 0.2081296013461219, 0.2055544058481852, 0.2020254996087816, 0.19904173413912454, 0.1941245479716195, 0.19447522693210179, 0.1911576125356886, 0.18372073107295567, 0.18175172805786133, 0.17485001020961338, 0.17562934259573618, 0.17156062523523966, 0.17385408447848427, 0.1716619614097807, 0.17388179732693565]","[0.4722222222222222, 0.5277777777777778, 0.8055555555555556, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9722222222222222, 1.0, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222]"
